Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage,HeroThrowPercentage
Tim Boyle,NYG,QB,28,28,28,0.6071,5,14,0.5,0.5714,-0.1219,28,13,0.0714,193,6.8929,0.3316,6,289,1,1,Yes,No,4,0.1429,6.2442,-0.0801,No,0.3571,4,0.1429,0.0714,1,0.3214,1.8679,1.7,10.3214,69.5,No,No,9,10.72,10.72,10.72,10.72,10.72,10.72,10.72,9.72,9.72,9.72,9.72,12.65,11.65,3,,
Jordan Love,GB,QB,226,226,226,0.7655,22,140,0.6195,0.7124,0.05,226,237,0.0929,2015,8.9159,0.338,9.0265,2859,17,7,Yes,No,40,0.177,71.2138,-0.1381,Yes,0.2212,51,0.2257,0.0398,1,0.4646,2.4018,2.41,12.6504,103,No,No,92,141.6,141.6,141.6,141.6,141.6,144.6,144.6,134.6,134.6,134.6,134.6,161.75,154.75,15,0.0177,0.0442
Clayton Tune,ARZ,QB,1,1,1,1,,1,1,1,0.257,1,,,7,7,,7,7,,,No,No,,,0.1595,-0.1595,No,,,,,1,1,1.5,,7,95.8,No,No,,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,6,,
Sam Howell,SEA,QB,5,5,5,0.4,,2,0.4,0.4,-0.3003,5,,,16,3.2,0.375,-5.8,48,,1,No,No,,,1.3153,-0.2631,No,0.4,1,0.2,0.2,1,0.4,2.1,,9.6,9.2,No,No,1,-0.36,-0.36,-0.36,-0.36,-0.36,-0.36,-0.36,-1.36,-1.36,-1.36,-1.36,-0.2,-1.2,2,,
Jameis Winston,CLV,QB,192,192,192,0.7396,19,122,0.6354,0.6859,-0.0025,192,101,0.0469,1447,7.5365,0.3068,6.7031,2082,10,8,No,No,14,0.0729,53.6796,-0.2067,No,0.2396,25,0.1302,0.0729,1,0.4479,2.1958,2.2071,10.8646,86.4,No,Yes,75,89.88,89.88,89.88,89.88,89.88,92.88,92.88,81.88,81.88,81.88,81.88,104.35,96.35,12,0.0208,0.0521
Skylar Thompson,MIA,QB,20,20,20,0.8,4,14,0.7,0.7,-0.0007,20,,,135,6.75,0.3704,6.75,200,,,No,No,4,0.2,5.5198,-0.076,No,0.15,2,0.1,0.05,1,0.5,2.175,1.9,10,88.5,No,No,6,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,6.75,6.75,3,0.05,
Josh Allen,BUF,QB,219,219,219,0.758,15,142,0.6484,0.6941,-0.0018,219,162,0.0457,1904,8.6941,0.4422,9.1507,2315,14,4,No,No,31,0.1416,60.9717,-0.1369,No,0.21,37,0.1689,0.0274,1,0.5662,2.189,2.1452,10.5708,106,No,No,88,134.86,134.86,134.86,134.86,134.86,137.86,137.86,130.86,130.86,130.86,130.86,153.9,149.9,17,0.0365,0.0959
Jake Haener,NO,QB,25,25,25,0.76,3,13,0.52,0.68,-0.0116,25,36,0.16,207,8.28,0.3768,9.08,272,1,,No,Yes,4,0.16,7.5595,-0.1424,Yes,0.24,3,0.12,0.04,1,0.52,2.328,2.4,10.88,93.3,No,No,9,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,12.28,14.35,14.35,8,,0.12
Michael Penix,ATL,QB,67,67,67,0.791,6,40,0.597,0.7015,0.0452,67,77,0.1045,561,8.3731,0.2709,7.2537,842,3,3,No,No,10,0.1493,18.4006,-0.1254,Yes,0.1791,11,0.1642,,1,0.4328,2.1672,2.17,12.5672,83,No,Yes,26,31.44,31.44,31.44,31.44,31.44,34.44,34.44,28.44,28.44,28.44,28.44,37.05,34.05,5,0.0149,0.1045
Tyrod Taylor,NYJ,QB,13,13,13,0.9231,3,11,0.8462,0.8462,0.115,13,,,92,7.0769,0.2717,11.6923,108,3,,No,Yes,5,0.3846,3.5749,0.1096,No,0.0769,,,0.0769,1,0.6923,2.1692,2,8.3077,135.7,No,Yes,8,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.68,16.6,16.6,2,,0.0769
