Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
J.K. Dobbins,DEN,RB,4,,,,,
Emari Demercado,ARZ,RB,4,,,,,
Efton Chism,NE,WR,1,,,,,
Bam Knight,ARZ,RB,9,,,,,
Samaje Perine,CIN,RB,12,,,,,
Travis Etienne,JAX,RB,14,,,,,
Josh Whyle,GB,TE,2,,,,,
Jordan Whittington,LA,WR,14,,,,,
Elijah Arroyo,SEA,TE,8,1,1,6,9,-3
Darius Slayton,NYG,WR,13,6,4,47,63,9
Jake Ferguson,DAL,TE,26,3,3,39,34,5
Davante Adams,LA,WR,31,13,10,165,173,31
Dare Ogunbowale,HST,RB,5,2,1,6,11,
Jerry Jeudy,CLV,WR,37,16,9,142,211,28
Nico Collins,HST,WR,26,10,6,125,136,44
Marquez Valdes-Scantling,PIT,WR,12,1,,,15,
Pat Bryant,DEN,WR,14,6,5,60,64,17
Brevyn Spann-Ford,DAL,TE,2,,,,,
Tyler Higbee,LA,TE,12,2,1,16,21,5
Jake Bobo,SEA,WR,2,,,,,
Adonai Mitchell,NYJ,WR,16,4,2,22,61,
Dylan Sampson,CLV,RB,9,,,,,
Jawhar Jordan,HST,RB,2,,,,,
Nick Westbrook-Ikhine,MIA,WR,9,3,1,17,22,7
Jamari Thrash,CLV,WR,9,,,,,
Matthew Golden,GB,WR,13,3,2,29,38,5
Saquon Barkley,PHI,RB,9,1,,,11,
Evan Engram,DEN,TE,20,5,3,54,55,16
Rasheen Ali,BLT,RB,3,,,,,
Keleki Latu,BUF,TE,5,,,,,
Miles Sanders,DAL,RB,1,,,,,
Charlie Jones,CIN,WR,2,,,,,
KhaDarel Hodge,ATL,WR,3,2,1,16,32,4
Will Dissly,LAC,TE,6,1,1,15,11,4
Tommy Tremble,CAR,TE,16,1,1,5,5,
Jonathan Mingo,DAL,WR,3,1,1,25,21,4
Cooper Kupp,SEA,WR,20,4,3,32,45,
D'Andre Swift,CHI,RB,19,,,9,,
Adam Trautman,DEN,TE,6,1,,,11,
Ja'Marr Chase,CIN,WR,34,11,8,123,98,56
Robbie Chosen,WAS,WR,4,1,1,17,17,
Ben Sims,MIN,TE,1,1,1,18,18,
Hunter Long,JAX,TE,7,,,,,
Sal Cannella,CLV,TE,1,,,,,
Kayshon Boutte,NE,WR,12,5,4,66,68,16
Chris Brooks,GB,RB,3,,,,,
Christian Watson,GB,WR,11,2,2,56,44,12
George Holani,SEA,RB,1,,,,,
Tyler Conklin,LAC,TE,3,,,,,
Anthony Firkser,DET,TE,8,,,,,
Justice Hill,BLT,RB,6,,,,,
Kyle Williams,NE,WR,10,2,,,30,
James Conner,ARZ,RB,2,,,,,
Shedrick Jackson,LV,WR,1,,,,,
Jacory Croskey-Merritt,WAS,RB,8,,,,,
Rome Odunze,CHI,WR,34,18,9,169,280,33
Brenden Bates,CLV,TE,1,1,1,19,12,7
Isaiah Bond,CLV,WR,21,5,2,39,66,3
Isaiah Davis,NYJ,RB,7,,,,,
Colby Parkinson,LA,TE,11,1,,,6,
Tyjae Spears,TEN,RB,10,,,,,
Josh Oliver,MIN,TE,4,1,,,5,
Nick Chubb,HST,RB,3,,,,,
Michael Carter,ARZ,RB,16,,,,,
Bucky Irving,TB,RB,7,,,,,
DJ Moore,CHI,WR,46,9,6,70,105,7
David Sills,ATL,WR,19,5,1,4,61,1
Zamir White,LV,RB,1,,,,,
Isaiah Hodgins,NYG,WR,9,4,3,45,51,8
Devin Singletary,NYG,RB,4,,,,,
Gage Larvadain,CLV,WR,8,2,2,22,16,6
Trayveon Williams,CLV,RB,3,,,,,
Foster Moreau,NO,TE,4,1,1,6,5,1
Tyler Allgeier,ATL,RB,7,,,,,
KeAndre Lambert-Smith,LAC,WR,3,1,,,12,
Khalil Herbert,NYJ,RB,1,,,,,
Quinshon Judkins,CLV,RB,8,,,,,
Devaughn Vele,NO,WR,15,6,6,85,86,-1
Josh Downs,IND,WR,27,3,2,26,36,5
Tetairoa McMillan,CAR,WR,32,17,12,280,203,108
Hassan Haskins,LAC,RB,4,,,,,
Jack Bech,LV,WR,6,2,2,17,14,3
Andrew Ogletree,IND,TE,1,,,,,
Jaylen Warren,PIT,RB,5,,,,,
Mack Hollins,NE,WR,19,8,4,71,100,19
Kendrick Bourne,SF,WR,26,7,4,58,39,33
Juwan Johnson,NO,TE,30,3,2,17,21,1
David Montgomery,DET,RB,16,,,,,
Dareke Young,SEA,WR,1,1,1,12,12,
Ja'Tavion Sanders,CAR,TE,12,2,1,7,13,1
Jahdae Walker,CHI,WR,4,1,1,15,14,1
Tahj Washington,MIA,WR,1,,,,,
Tanner Conner,MIA,TE,2,1,,,13,
Quintin Morris,JAX,TE,3,,,,,
Ashton Dulin,IND,WR,4,2,1,20,36,
Jauan Jennings,SF,WR,37,12,4,41,109,8
KaVontae Turpin,DAL,WR,13,1,,,5,
Marquise Brown,KC,WR,8,1,,,13,
John Metchie,NYJ,WR,14,4,2,36,40,20
Jalen Nailor,MIN,WR,17,3,1,7,40,2
Bhayshul Tuten,JAX,RB,6,,,,,
Casey Washington,ATL,WR,2,1,,,10,
Kenneth Gainwell,PIT,RB,9,,,,,
Tyler Badie,DEN,RB,6,,,,,
Jalen Brooks,ARZ,WR,11,3,,,32,
Kevin Austin,NO,WR,5,2,1,18,30,1
Darius Cooper,PHI,WR,1,,,,,
Jack Stoll,NO,TE,2,,,,,
Russell Gage,SF,WR,1,,,,,
Nate Adkins,DEN,TE,1,,,,,
Tre Harris,LAC,WR,15,5,4,50,45,9
Luke Schoonmaker,DAL,TE,7,1,,,9,
Malik Heath,GB,WR,7,,,,,
Jalen Royals,KC,WR,2,,,,,
Shane Zylstra,DET,TE,7,,,,,
Travis Homer,CHI,RB,1,,,,,
Jayden Higgins,HST,WR,16,5,5,65,53,12
Skyy Moore,SF,WR,7,1,1,18,18,
David Martin-Robinson,TEN,TE,1,1,1,1,8,
Puka Nacua,LA,WR,35,17,16,195,155,49
Woody Marks,HST,RB,10,,,,,
James Proche,TEN,WR,5,,,,,
Xavier Restrepo,TEN,WR,2,2,1,12,-4,22
Luke Musgrave,GB,TE,10,1,,,17,
Aaron Jones,MIN,RB,6,,,,,
Luke Farrell,SF,TE,11,2,2,22,7,15
Christian Kirk,HST,WR,18,4,2,39,31,30
Jahan Dotson,PHI,WR,19,1,1,15,14,1
DeVonta Smith,PHI,WR,21,6,5,85,83,16
Theo Johnson,NYG,TE,17,3,2,28,32,5
Jalen McMillan,TB,WR,7,3,2,31,40,
Mitchell Evans,CAR,TE,8,1,,,3,
Jameson Williams,DET,WR,50,15,12,209,214,34
Tucker Fisk,LAC,TE,3,,,,,
Tai Felton,MIN,WR,1,,,,,
Jimmy Horn,CAR,WR,3,,,,,
Brian Robinson,SF,RB,3,,,,,
Alvin Kamara,NO,RB,10,,,,,
Gunner Olszewski,NYG,WR,1,,,,,
Ray-Ray McCloud,NYG,WR,2,,,,,
Malik Nabers,NYG,WR,3,1,1,13,13,
Cade Otton,TB,TE,29,2,2,27,21,6
DeMario Douglas,NE,WR,7,3,1,10,31,
Xavier Weaver,ARZ,WR,12,2,1,23,39,9
Taysom Hill,NO,TE,4,,,,,
Julian Hill,MIA,TE,9,1,,,12,
Blake Corum,LA,RB,7,,,,,
Evan Hull,NO,RB,4,,,,,
Breece Hall,NYJ,RB,6,,,,,
Trent Sherfield,ARZ,WR,3,,,,,
Tyquan Thornton,KC,WR,7,1,1,26,24,2
DK Metcalf,PIT,WR,13,,,,,
Mark Andrews,BLT,TE,13,1,,,20,
Parker Washington,JAX,WR,29,15,9,186,262,30
Travis Hunter,JAX,WR,13,1,1,5,4,1
Kendre Miller,NO,RB,1,,,,,
Braxton Berrios,HST,WR,1,,,,,
Jonathan Taylor,IND,RB,20,,,,,
Malik Washington,MIA,WR,18,3,1,19,33,15
Troy Franklin,DEN,WR,24,7,4,65,81,22
Michael Pittman,IND,WR,28,12,6,78,158,10
Laquon Treadwell,IND,WR,1,,,,,
Tyler Goodson,IND,RB,3,,,,,
Jordan Mason,MIN,RB,6,,,,,
Tre Tucker,LV,WR,21,2,2,22,18,4
Javonte Williams,DAL,RB,14,,,,,
Courtland Sutton,DEN,WR,27,9,8,148,141,25
Cam Akers,SEA,RB,1,,,,,
Greg Dortch,ARZ,WR,8,,,,,
Zach Ertz,WAS,TE,21,10,4,27,113,1
Darnell Washington,PIT,TE,3,2,2,38,9,29
Audric Estime,NO,RB,3,,,,,
Charlie Kolar,BLT,TE,4,,,,,
Davis Allen,LA,TE,5,,,,,
Tip Reiman,ARZ,TE,2,,,,,
Tyrell Shavers,BUF,WR,12,3,2,25,38,24
Zavier Scott,MIN,RB,3,,,,,
Jahmyr Gibbs,DET,RB,32,,,3,,
Cody White,SEA,WR,4,2,1,9,13,3
Hunter Henry,NE,TE,17,,,,,
Myles Price,MIN,WR,1,,,,,
Dalton Kincaid,BUF,TE,15,8,7,118,94,41
Jakobi Meyers,JAX,WR,29,11,9,163,152,43
Gabe Davis,BUF,WR,7,2,1,22,31,3
Michael Wilson,ARZ,WR,39,13,5,66,149,7
Ian Thomas,LV,TE,3,,,,,
Zay Flowers,BLT,WR,17,11,9,148,130,38
T.J. Hockenson,MIN,TE,21,2,1,13,14,6
Stone Smartt,NYJ,TE,3,1,1,5,5,
Jakobie Keeney-James,GB,WR,1,1,1,8,8,
Xavier Hutchinson,HST,WR,18,2,1,15,24,1
Brian Thomas,JAX,WR,27,6,4,72,80,21
DeAndre Hopkins,BLT,WR,7,3,3,29,23,6
Josh Reynolds,NYJ,WR,10,1,,,21,
Noah Gray,KC,TE,4,,,,,
Chimere Dike,TEN,WR,21,6,3,37,66,3
Tim Patrick,JAX,WR,7,2,2,19,16,3
Tyrone Tracy,NYG,RB,9,,,,,
Michael Mayer,LV,TE,4,1,1,9,4,5
Ben Yurosek,MIN,TE,1,,,,,
Ollie Gordon,MIA,RB,2,,,,,
Marvin Harrison,ARZ,WR,16,5,5,80,79,1
Bryce Oliver,TEN,WR,2,,,,,
Mo Alie-Cox,IND,TE,6,,,,,
Rashee Rice,KC,WR,9,4,1,21,24,8
Ty Chandler,MIN,RB,1,,,,,
Austin Hooper,NE,TE,7,2,1,12,26,1
Jaylen Wright,MIA,RB,1,,,,,
Tyler Lockett,LV,WR,16,5,3,36,58,2
Jordan Addison,MIN,WR,21,6,3,51,68,13
Lil'Jordan Humphrey,DEN,WR,8,1,,,12,
Keon Coleman,BUF,WR,23,6,3,60,80,19
Xavier Smith,LA,WR,11,,,,,
Kenneth Walker,SEA,RB,6,,,,,
De'Von Achane,MIA,RB,19,2,1,5,20,1
Mike Evans,TB,WR,13,6,4,47,69,
John FitzPatrick,GB,TE,4,,,,,
Brashard Smith,KC,RB,4,,,,,
Sean Tucker,TB,RB,2,,,,,
Cedrick Wilson,MIA,WR,2,1,,,15,
Tank Bigsby,PHI,RB,2,,,,,
Ashton Jeanty,LV,RB,11,,,,,
Kyle Monangai,CHI,RB,20,,,,,
Ben Sinnott,WAS,TE,8,,,,,
Stefon Diggs,NE,WR,15,5,5,90,58,32
Jaylin Noel,HST,WR,9,1,1,8,4,4
Zay Jones,ARZ,WR,12,4,3,54,60,11
Isaac TeSlaa,DET,WR,24,6,5,74,82,18
Allen Lazard,NYJ,WR,9,2,1,10,33,1
Hunter Renfrow,CAR,WR,12,1,1,15,13,2
Andrei Iosivas,CIN,WR,33,5,3,55,58,9
Jeremy Ruckert,NYJ,TE,5,1,1,12,11,1
Kalif Raymond,DET,WR,11,3,3,45,37,8
Darnell Mooney,ATL,WR,22,1,1,11,11,
Najee Harris,LAC,RB,2,,,,,
Chase Brown,CIN,RB,21,1,,17,5,
Curtis Samuel,BUF,WR,8,,,,,
Tanner Hudson,CIN,TE,13,3,2,11,17,6
Dylan Drummond,ATL,WR,7,3,1,15,36,1
Drew Sample,CIN,TE,6,1,1,16,4,12
Daniel Bellinger,NYG,TE,6,2,2,23,14,9
Austin Ekeler,WAS,RB,6,,,,,
Devontez Walker,BLT,WR,2,,,,,
Dontayvion Wicks,GB,WR,9,3,1,16,53,3
Malik Davis,DAL,RB,2,,,,,
Dawson Knox,BUF,TE,19,2,1,14,28,
Emeka Egbuka,TB,WR,27,13,9,162,158,50
Cam Skattebo,NYG,RB,4,,,,,
Noah Brown,WAS,WR,3,,,,,
Dont'e Thornton,LV,WR,8,3,1,14,44,
John Bates,WAS,TE,5,1,1,6,6,
Trey McBride,ARZ,TE,38,12,6,61,115,21
Kyren Williams,LA,RB,24,,,,,
Payne Durham,TB,TE,3,,,,,
Tucker Kraft,GB,TE,9,1,1,10,11,-1
Will Shipley,PHI,RB,3,,,,,
Raheem Mostert,LV,RB,3,,,,,
Jalen Coker,CAR,WR,19,5,3,32,48,5
Dallas Goedert,PHI,TE,19,7,2,9,68,1
Roschon Johnson,CHI,RB,1,,,,,
