Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
Corey Kiner,ARZ,RB,1,,,,,
Taysom Hill,NO,TE,4,,,,,
Jeff Wilson,MIA,RB,1,,,,,
Kameron Johnson,TB,WR,2,,,,,
Dyami Brown,JAX,WR,19,4,4,44,40,4
Luther Burden,CHI,WR,33,10,7,104,90,48
Garrett Wilson,NYJ,WR,29,20,12,114,159,23
Blake Whiteheart,CLV,TE,4,,,,,
Cameron Latu,PHI,TE,3,,,,,
Chris Manhertz,NYG,TE,3,1,,,11,
Mason Taylor,NYJ,TE,40,10,7,43,50,8
Emanuel Wilson,GB,RB,18,,,,,
Quentin Johnston,LAC,WR,46,8,6,53,68,-1
Harrison Bryant,HST,TE,10,1,,,7,
Tylan Wallace,BLT,WR,13,2,,,25,
Jonnu Smith,PIT,TE,33,6,4,34,50,14
Adam Thielen,PIT,WR,24,3,3,31,29,2
Elijah Higgins,ARZ,TE,26,3,2,19,20,2
Braelon Allen,NYJ,RB,1,,,,,
Josiah Deguara,ARZ,TE,6,,,,,
David Moore,CAR,WR,4,,,,,
Amon-Ra St. Brown,DET,WR,63,43,32,309,328,71
Chris Moore,WAS,WR,19,2,,,21,
Tutu Atwell,LA,WR,15,1,,,12,
Isaiah Williams,NYJ,WR,36,5,4,58,47,16
Josh Palmer,BUF,WR,15,1,,,4,
Antonio Gibson,NE,RB,2,,,,,
Charlie Woerner,ATL,TE,11,,,,,
Mason Kinsey,TEN,WR,4,1,,,19,
Omarion Hampton,LAC,RB,17,,,,,
Bijan Robinson,ATL,RB,47,6,5,35,32,13
LeQuint Allen,JAX,RB,21,,,,,
Colston Loveland,CHI,TE,55,20,15,142,147,32
Jaleel McLaughlin,DEN,RB,1,,,,,
Calvin Austin,PIT,WR,36,11,5,70,72,31
Ronnie Bell,NO,WR,2,,,,,
Isiah Pacheco,KC,RB,20,,,,,
Pat Freiermuth,PIT,TE,31,9,4,30,72,12
Darren Waller,MIA,TE,20,4,4,22,24,3
Xavier Worthy,KC,WR,39,14,11,162,140,59
Rachaad White,TB,RB,28,,,,,
Elijah Moore,BUF,WR,9,2,,,23,
Malachi Corley,CLV,WR,3,1,1,11,11,
AJ Barner,SEA,TE,55,12,8,35,53,8
Zach Charbonnet,SEA,RB,26,1,1,9,5,4
Chuba Hubbard,CAR,RB,21,,,,,
Derrick Henry,BLT,RB,13,,,,,
Robert Tonyan,KC,TE,1,,,,,
Jared Wayne,HST,WR,4,1,1,3,2,1
Kareem Hunt,KC,RB,24,,,,,
Ty Johnson,BUF,RB,14,,,,,
Van Jefferson,TEN,WR,30,8,4,55,82,5
