teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingAveragesPerTargetDropsTotal
2,Atlanta,Falcons,1,NO,NFC,NFC South,Open,Closed,Cover 1,16,16,No,No,Yes,74,15,No,3,No,9,0.6,5,0.2027,8,2,1,0.5333,247,47,39,398,3,3,1,0.125,0.0667,0.3333,0.6,12,0.8,26.5333,98.6,3.3378,16.4667,4.5579,30.875,5.875,4.875,8,2,,
32,Washington,Commanders,,PHI,NFC,NFC East,Closed,Closed,Cover 1,11,15,No,Yes,Yes,70,15,No,3,No,9,0.6,,0.2143,8,2,,0.5333,347,113,11,455,3,,2,0.25,,0.4,0.6,14,0.9333,30.3333,138.2,4.9571,23.1333,9.8012,43.375,14.125,1.375,8,,,
19,Las Vegas,Raiders,1,KC,AFC,AFC West,Open,Open,Cover 4,14,12,No,No,No,55,12,No,,No,5,0.4167,2,0.2182,4,,,0.3333,98,11,2,354,2,,1,0.25,,0.3333,0.6667,8,0.6667,29.5,68.8,1.7818,8.1667,-3.921,24.5,2.75,0.5,4,,1,0.0833
9,Dallas,Cowboys,,NYG,NFC,NFC East,Open,Closed,Cover 3,17,20,Yes,No,No,96,20,No,,Yes,12,0.6,4,0.2083,12,,,0.6,383,102,37,447,2,2,4,0.3333,0.05,0.4,0.55,14,0.7,22.35,137.5,3.9896,19.15,7.5731,31.9167,8.5,3.0833,12,3,,
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Closed,Cover 1,14,12,No,No,Yes,48,12,No,3,No,8,0.6667,1,0.25,6,1,,0.5,200,46,12,337,2,,1,0.1667,,0.1667,0.8333,10,0.8333,28.0833,135.4,4.1667,16.6667,4.0087,33.3333,7.6667,2,6,,1,0.0833
11,Detroit,Lions,,CHI,NFC,NFC North,Open,Open,Cover 2,16,21,No,No,No,94,21,No,5,No,18,0.8571,4,0.2234,14,3,,0.6667,354,54,28,527,1,1,1,0.0714,0.0476,0.3333,0.619,17,0.8095,25.0952,125.6,3.766,16.8571,4.819,25.2857,3.8571,2,14,1,3,0.1429
21,Minnesota,Vikings,1,DET,NFC,NFC North,Open,Open,Cover 0,11,18,No,No,No,79,17,No,,No,12,0.7059,2,0.2152,11,,,0.6471,331,90,32,391,3,,,,,0.3529,0.6471,11,0.6471,23,147.7,4.1899,19.4706,7.9931,30.0909,8.1818,2.9091,10,1,1,0.0588
13,Houston,Texans,1,IND,AFC,AFC South,Closed,Closed,Cover 3,14,18,Yes,Yes,No,83,18,No,2,Yes,7,0.3889,3,0.2169,5,1,1,0.2778,130,19,28,503,1,1,,,0.1111,0.2778,0.6111,14,0.7778,27.9444,36.1,1.5663,7.2222,-5.1202,26,3.8,5.6,5,2,1,0.0556
15,Jacksonville,Jaguars,1,TEN,AFC,AFC South,Open,Closed,Cover 3,17,30,No,No,Yes,136,29,No,10,Yes,13,0.4483,2,0.2132,9,4,1,0.3103,218,28,12,670,1,,1,0.1111,0.1034,0.4138,0.4483,22,0.7586,23.1034,42,1.6029,7.5172,-3.718,24.2222,3.1111,1.3333,9,,1,0.0345
18,Los Angeles,Chargers,1,HST,AFC,AFC South,Open,Open,Cover 4,13,16,No,No,No,75,16,No,3,Yes,8,0.5,3,0.2133,7,2,1,0.4375,260,57,3,473,1,,,,,0.375,0.625,13,0.8125,29.5625,71.9,3.4667,16.25,3.7619,37.1429,8.1429,0.4286,7,1,1,0.0625
25,New York,Jets,1,NE,AFC,AFC East,Closed,Open,Cover 2,14,15,No,Yes,No,70,15,No,2,No,8,0.5333,1,0.2143,4,,,0.2667,95,11,1,350,1,,,,,0.5333,0.4667,12,0.8,23.3333,75.7,1.3571,6.3333,-5.3556,23.75,2.75,0.25,4,1,2,0.1333
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Open,Cover 6,11,11,No,Yes,Yes,50,11,No,3,No,7,0.6364,,0.22,6,2,,0.5455,131,27,10,199,2,,,,,0.4545,0.5455,8,0.7273,18.0909,98.9,2.62,11.9091,0.7472,21.8333,4.5,1.6667,6,1,1,0.0909
3,Baltimore,Ravens,,PIT,AFC,AFC North,Open,Open,Cover 2,16,27,No,No,No,117,27,No,5,Yes,19,0.7037,,0.2308,15,2,,0.5556,360,69,17,528,2,,1,0.0667,0.037,0.4074,0.5556,20,0.7407,19.5556,109.7,3.0769,13.3333,2.3407,24,4.6,1.1333,15,1,2,0.0741
12,Green Bay,Packers,1,BLT,AFC,AFC North,Open,Open,Cover 2,16,18,No,No,No,82,18,No,7,Yes,12,0.6667,2,0.2195,7,3,,0.3889,143,12,10,418,1,1,,,0.1667,0.2778,0.5556,13,0.7222,23.2222,63,1.7439,7.9444,-4.0186,20.4286,1.7143,1.4286,6,,2,0.1111
17,Los Angeles,Rams,1,ARZ,NFC,NFC West,Open,Open,Miscellaneous,16,16,No,No,No,75,17,No,1,Yes,12,0.7059,3,0.2267,10,1,,0.5882,282,68,3,369,3,2,2,0.2,0.0588,0.4118,0.4706,14,0.8235,21.7059,118.3,3.76,16.5882,5.3918,28.2,6.8,0.3,10,2,1,0.0588
31,Tennessee,Titans,,JAX,AFC,AFC South,Open,Closed,Cover 3,15,20,No,No,Yes,92,20,No,3,Yes,15,0.75,2,0.2174,13,1,,0.65,400,126,22,457,4,2,2,0.1538,,0.4,0.6,18,0.9,22.85,127.1,4.3478,20,8.448,30.7692,9.6923,1.6923,13,,,
22,New England,Patriots,1,MIA,AFC,AFC East,Open,Open,Cover 6,16,10,No,Yes,Yes,43,10,No,2,No,7,0.7,,0.2326,6,1,,0.6,135,22,3,228,,,,,,0.2,0.8,5,0.5,22.8,104.2,3.1395,13.5,1.6113,22.5,3.6667,0.5,6,,,
30,Tampa Bay,Buccaneers,1,CAR,NFC,NFC South,Closed,Open,Cover 2,15,19,No,Yes,Yes,84,19,No,4,Yes,13,0.6842,,0.2262,12,2,,0.6316,317,82,24,428,,,3,0.25,0.1053,0.4737,0.4211,15,0.7895,22.5263,106.8,3.7738,16.6842,5.1184,26.4167,6.8333,2,12,,,
28,Seattle,Seahawks,1,LA,NFC,NFC West,Open,Closed,Cover 3,11,19,Yes,No,No,88,19,No,1,Yes,11,0.5789,,0.2159,8,,,0.4211,298,119,53,392,1,,2,0.25,,0.4737,0.5263,14,0.7368,20.6316,67.2,3.3864,15.6842,4.2774,37.25,14.875,6.625,8,,2,0.1053
10,Denver,Broncos,,KC,AFC,AFC West,Open,Open,Bracket,16,27,No,No,No,123,27,No,3,No,10,0.3704,2,0.2195,6,2,1,0.2222,171,30,13,779,1,1,,,,0.4074,0.5926,22,0.8148,28.8519,26.2,1.3902,6.3333,-5.5431,28.5,5,2.1667,6,,1,0.037
14,Indianapolis,Colts,,HST,AFC,AFC South,Closed,Closed,Cover 3,16,20,Yes,Yes,No,86,20,No,6,Yes,13,0.65,3,0.2326,10,4,1,0.5,222,23,8,457,1,1,,,,0.65,0.35,15,0.75,22.85,85.8,2.5814,11.1,-0.7011,22.2,2.3,0.8,10,2,2,0.1
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Miscellaneous,16,19,No,No,No,83,19,No,4,Yes,13,0.6842,1,0.2289,12,3,1,0.6316,271,67,23,386,,,1,0.0833,0.0526,0.4737,0.4737,15,0.7895,20.3158,106.8,3.2651,14.2632,3.0012,22.5833,5.5833,1.9167,12,,,
4,Buffalo,Bills,1,PHI,NFC,NFC East,Open,Open,Cover 6,12,14,No,No,No,64,14,Yes,4,Yes,10,0.7143,2,0.2188,8,2,,0.5714,214,62,19,294,,,2,0.25,0.0714,0.6429,0.2857,9,0.6429,21,101.8,3.3438,15.2857,3.9138,26.75,7.75,2.375,8,1,,
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Open,Cover 2,15,27,No,Yes,Yes,123,27,No,4,Yes,15,0.5556,2,0.2195,13,2,1,0.4815,356,90,41,661,1,,1,0.0769,,0.4444,0.5556,21,0.7778,24.4815,67.1,2.8943,13.1852,1.7056,27.3846,6.9231,3.1538,12,1,,
6,Chicago,Bears,1,DET,NFC,NFC North,Open,Open,Cover 2,16,24,No,No,No,106,24,No,5,No,17,0.7083,2,0.2264,14,5,,0.5833,437,78,6,615,5,1,1,0.0714,0.0417,0.5,0.4583,18,0.75,25.625,102.8,4.1226,18.2083,6.4821,31.2143,5.5714,0.4286,13,1,3,0.125
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Open,Cover 4,14,11,No,No,No,46,9,No,2,No,7,0.7778,1,0.1957,5,1,,0.5556,145,47,8,196,,,,,0.1111,0.2222,0.6667,5,0.5556,21.7778,100.5,3.1522,16.1111,5.132,29,9.4,1.6,5,,,
24,New York,Giants,1,DAL,NFC,NFC East,Open,Closed,Cover 3,15,23,Yes,No,No,104,23,No,4,Yes,16,0.6957,1,0.2212,13,2,,0.5652,327,60,20,501,1,,1,0.0769,0.1304,0.4783,0.3913,19,0.8261,21.7826,97.6,3.1442,14.2174,2.6037,25.1538,4.6154,1.5385,13,,2,0.087
27,Pittsburgh,Steelers,1,BLT,AFC,AFC North,Open,Open,Cover 2,17,24,No,No,No,109,24,No,6,Yes,19,0.7917,,0.2202,16,5,,0.6667,410,57,28,526,1,,1,0.0625,,0.2917,0.7083,17,0.7083,21.9167,123.6,3.7615,17.0833,5.5238,25.625,3.5625,1.75,16,,2,0.0833
29,San Francisco,49ers,1,CHI,NFC,NFC North,Open,Open,Cover 2,16,19,No,No,No,94,19,No,5,Yes,15,0.7895,4,0.2021,13,4,2,0.6842,356,25,11,528,5,4,,,,0.4211,0.5789,14,0.7368,27.7895,128.8,3.7872,18.7368,6.3345,27.3846,1.9231,0.8462,13,2,1,0.0526
7,Cincinnati,Bengals,1,ARZ,NFC,NFC West,Closed,Open,Bracket,15,21,No,Yes,No,94,21,Yes,5,Yes,18,0.8571,1,0.2234,9,1,,0.4286,264,83,55,420,2,1,2,0.2222,0.1429,0.381,0.4762,15,0.7143,20,82,2.8085,12.5714,1.8293,29.3333,9.2222,6.1111,9,1,2,0.0952
8,Cleveland,Browns,1,PIT,AFC,AFC North,Open,Open,Cover 4,16,16,No,No,No,72,16,No,,Yes,11,0.6875,,0.2222,11,,,0.6875,294,71,35,365,,,3,0.2727,0.125,0.3125,0.5625,13,0.8125,22.8125,71.9,4.0833,18.375,6.5538,26.7273,6.4545,3.1818,10,,,
26,Philadelphia,Eagles,1,WAS,NFC,NFC East,Closed,Closed,Cover 1,17,20,No,Yes,Yes,96,20,No,6,No,13,0.65,1,0.2083,9,4,1,0.45,274,30,13,464,2,1,2,0.2222,0.05,0.6,0.35,13,0.65,23.2,125,2.8542,13.7,2.0095,30.4444,3.3333,1.4444,9,,2,0.1
