teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsHero,teamIsHomeTeam
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Open,Cover 0,17,95,No,No,Yes,445,92,No,20,No,80,0.8696,6,0.2067,66,15,0.7174,708,305,122,633,4,2,11,4,0.0606,0.1413,0.1196,0.4457,0.2935,59,0.6413,2,0.0217,6.8804,103.9,1.591,7.6957,0.4591,0.1196,10.7273,4.6212,1.8485,44,18,2,
6,Chicago,Bears,DET,NFC,NFC North,Open,Open,Cover 0,17,112,Yes,Yes,Yes,503,108,No,15,Yes,94,0.8704,8,0.2147,85,8,0.787,927,408,117,737,6,4,5,7,0.0824,0.1296,0.1759,0.3704,0.3241,73,0.6759,7,0.0648,6.8241,109.4,1.8429,8.5833,1.2929,0.0463,10.9059,4.8,1.3765,46,15,,1
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Closed,Prevent,17,93,No,No,No,421,87,No,15,Yes,81,0.931,5,0.2067,74,11,0.8506,711,292,89,529,5,3,5,9,0.1216,0.2069,0.1839,0.3218,0.2874,52,0.5977,6,0.069,6.0805,119.9,1.6888,8.1724,1.0898,0.0575,9.6081,3.9459,1.2027,40,15,,
16,Kansas City,Chiefs,LV,AFC,AFC West,Open,Open,Cover 0,17,53,No,No,No,230,43,No,7,Yes,37,0.8605,3,0.187,31,4,0.7209,325,156,50,289,4,1,3,5,0.1613,0.1628,0.186,0.3488,0.3023,23,0.5349,4,0.093,6.7209,124.7,1.413,7.5581,0.2366,0.0698,10.4839,5.0323,1.6129,18,8,1,
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Open,Cover 2,17,163,Yes,No,No,740,148,No,28,Yes,131,0.8851,8,0.2,113,16,0.7635,1153,463,186,984,6,2,8,25,0.2212,0.1216,0.1284,0.4189,0.3311,101,0.6824,4,0.027,6.6486,106.1,1.5581,7.7905,0.6038,0.0541,10.2035,4.0973,1.646,57,24,2,1
24,New York,Giants,DAL,NFC,NFC East,Closed,Closed,Cover 1,17,92,No,No,No,411,89,No,19,Yes,80,0.8989,6,0.2165,70,12,0.7865,713,286,116,596,5,5,4,8,0.1143,0.1573,0.1236,0.3596,0.3596,62,0.6966,4,0.0449,6.6966,109.4,1.7348,8.0112,0.8704,0.0449,10.1857,4.0857,1.6571,40,14,1,1
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Closed,Cover 3,17,69,No,No,No,314,65,No,8,No,54,0.8308,5,0.207,47,4,0.7231,485,215,84,400,3,3,5,7,0.1489,0.2462,0.1231,0.3231,0.3077,34,0.5231,3,0.0462,6.1538,96,1.5446,7.4615,0.2958,0.0769,10.3191,4.5745,1.7872,30,14,,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Closed,Closed,Cover 1,17,97,No,No,Yes,430,81,No,19,No,68,0.8395,3,0.1884,46,7,0.5679,536,266,101,555,2,,11,8,0.1739,0.1481,0.1605,0.3827,0.3086,44,0.5432,4,0.0494,6.8519,69.8,1.2465,6.6173,-0.6736,0.1358,11.6522,5.7826,2.1957,24,10,,1
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Closed,Cover 3,17,103,No,No,No,445,97,No,11,No,81,0.8351,10,0.218,70,7,0.7216,746,375,150,605,7,6,9,12,0.1714,0.1649,0.2371,0.3505,0.2474,59,0.6082,9,0.0928,6.2371,118.3,1.6764,7.6907,0.5664,0.0928,10.6571,5.3571,2.1429,37,18,,1
29,San Francisco,49ers,SEA,NFC,NFC West,Closed,Closed,Cover 3,17,95,Yes,No,No,435,92,No,18,Yes,80,0.8696,5,0.2115,74,14,0.8043,708,298,88,537,5,4,3,8,0.1081,0.1739,0.1087,0.5,0.2174,60,0.6522,4,0.0435,5.837,107.8,1.6276,7.6957,0.8019,0.0326,9.5676,4.027,1.1892,35,13,,1
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 4,17,89,No,No,No,412,86,No,23,Yes,77,0.8953,4,0.2087,62,14,0.7209,712,344,135,530,6,3,10,10,0.1613,0.1047,0.1163,0.4186,0.3488,54,0.6279,3,0.0349,6.1628,110.2,1.7282,8.2791,1.355,0.1163,11.4839,5.5484,2.1774,34,9,1,1
