teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingReceptionsHero,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,31,Yes,No,No,127,28,No,3,Yes,19,0.6786,,0.2205,14,1,0.5,313,31,11,591,,,1,,0.0714,0.25,0.6786,20,0.7143,21.1071,60.6,2.4646,11.1786,-0.2869,0.0357,22.3571,2.2143,0.7857,14,1,1,,,,,
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Open,Cover 4,17,39,No,No,No,168,32,Yes,10,Yes,21,0.6562,1,0.1905,15,5,0.4688,393,42,19,704,3,,2,,0.0625,0.3125,0.625,24,0.75,22,123.6,2.3393,12.2812,1.1456,0.0625,26.2,2.8,1.2667,15,2,,1,,,,
6,Chicago,Bears,DET,NFC,NFC North,Open,Open,Cover 2,16,36,Yes,Yes,Yes,158,34,No,5,No,22,0.6471,4,0.2152,18,3,0.5294,497,94,17,854,6,1,1,,0.0588,0.4412,0.5,26,0.7647,25.1176,98.3,3.1456,14.6176,2.7969,0.0294,27.6111,5.2222,0.9444,18,,1,2,,,,
24,New York,Giants,DAL,NFC,NFC East,Open,Open,Cover 4,17,42,No,Yes,Yes,177,40,No,7,Yes,24,0.6,7,0.226,19,4,0.475,504,55,18,1016,3,1,2,,0.05,0.3,0.65,30,0.75,25.4,118.8,2.8475,12.6,1.0092,0.05,26.5263,2.8947,0.9474,19,1,1,4,,,,
16,Kansas City,Chiefs,LV,AFC,AFC West,Open,Closed,Cover 3,17,44,No,No,No,180,44,No,9,Yes,23,0.5227,1,0.2444,19,7,0.4318,517,70,35,1071,1,1,3,0.0227,,0.25,0.7273,36,0.8182,24.3409,66.2,2.8722,11.75,0.0053,0.0682,27.2105,3.6842,1.8421,19,1,,3,1,0.0526,,
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Closed,Cover 3,17,35,No,Yes,Yes,153,33,Yes,5,Yes,18,0.5455,2,0.2157,13,3,0.3939,372,111,9,684,3,1,5,0.0303,0.0303,0.2727,0.6667,25,0.7576,20.7273,74.3,2.4314,11.2727,-0.1147,0.1515,28.6154,8.5385,0.6923,13,1,1,1,1,0.0769,,
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Closed,Cover 3,17,39,Yes,Yes,Yes,182,38,No,5,No,20,0.5263,4,0.2088,19,3,0.5,520,127,41,852,3,1,,,0.0789,0.3158,0.6053,29,0.7632,22.4211,100.2,2.8571,13.6842,2.1454,,27.3684,6.6842,2.1579,19,3,,2,1,0.0526,,
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Open,Bracket,17,38,No,Yes,No,173,38,No,7,No,23,0.6053,6,0.2197,17,3,0.4474,442,79,30,1012,4,2,3,,0.1053,0.2105,0.6842,29,0.7632,26.6316,112,2.5549,11.6316,-0.1436,0.0789,26,4.6471,1.7647,17,2,1,,1,0.0588,,
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Open,Bracket,17,37,No,Yes,No,163,37,No,14,No,20,0.5405,6,0.227,9,5,0.2432,259,12,8,1014,3,2,5,,0.0541,0.2973,0.6486,34,0.9189,27.4054,83.3,1.589,7,-5.1983,0.1351,28.7778,1.3333,0.8889,9,,,2,,,,
26,Philadelphia,Eagles,WAS,NFC,NFC East,Closed,Closed,Cover 1,17,40,No,No,No,185,40,No,10,No,25,0.625,3,0.2162,15,5,0.375,477,120,34,1074,2,1,6,0.075,0.05,0.25,0.625,29,0.725,26.85,99.7,2.5784,11.925,-0.3256,0.15,31.8,8,2.2667,15,1,1,2,2,0.1333,,
29,San Francisco,49ers,SEA,NFC,NFC West,Closed,Closed,Cover 1,17,55,No,No,Yes,249,55,Yes,10,Yes,34,0.6182,4,0.2209,22,4,0.4,594,96,34,1241,3,1,6,0.0182,0.1636,0.2182,0.6,43,0.7818,22.5636,98.6,2.3855,10.8,-1.0831,0.1091,27,4.3636,1.5455,22,2,1,3,1,0.0455,,
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 4,17,50,No,Yes,No,220,50,No,8,Yes,22,0.44,10,0.2273,18,4,0.36,525,78,20,1331,7,4,2,0.04,0.06,0.22,0.68,45,0.9,26.62,82.1,2.3864,10.5,-1.342,0.04,29.1667,4.3333,1.1111,18,5,1,1,2,0.1111,,
32,Washington,Commanders,PHI,NFC,NFC East,Closed,Closed,Cover 1,17,43,No,No,No,195,41,No,11,No,21,0.5122,5,0.2103,16,4,0.3902,402,36,31,1015,2,,,0.0244,0.0244,0.3415,0.6098,33,0.8049,24.7561,71.4,2.0615,9.8049,-2.038,,25.125,2.25,1.9375,16,4,,1,,,,
17,Los Angeles,Rams,ARZ,NFC,NFC West,Open,Open,Cover 4,17,42,No,No,No,195,40,Yes,5,Yes,23,0.575,2,0.2051,19,2,0.475,500,92,45,914,1,,1,,0.025,0.25,0.725,31,0.775,22.85,81.3,2.5641,12.5,1.0792,0.025,26.3158,4.8421,2.3684,18,2,1,3,3,0.1579,,
22,New England,Patriots,MIA,AFC,AFC East,Closed,Closed,Cover 3,17,41,Yes,Yes,No,180,41,No,8,No,20,0.4878,8,0.2278,15,5,0.3659,366,22,9,1037,5,3,2,0.0244,0.0732,0.2195,0.6829,27,0.6585,25.2927,69.8,2.0333,8.9268,-3.1442,0.0488,24.4,1.4667,0.6,15,4,1,2,2,0.1333,,
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Closed,Cover 3,17,39,Yes,Yes,Yes,166,38,No,6,No,22,0.5789,4,0.2289,13,2,0.3421,375,87,24,870,5,2,5,0.0263,0.0263,0.3158,0.6316,29,0.7632,22.8947,89.4,2.259,9.8684,-1.4256,0.1316,28.8462,6.6923,1.8462,13,,1,2,2,0.1538,,
28,Seattle,Seahawks,SF,NFC,NFC West,Closed,Closed,Cover 1,17,40,No,No,Yes,182,37,Yes,10,Yes,20,0.5405,4,0.2033,15,5,0.4054,375,47,6,855,1,1,2,,0.1351,0.2973,0.5676,31,0.8378,23.1081,64.6,2.0604,10.1351,-1.6034,0.0541,25,3.1333,0.4,15,2,,1,,,,
31,Tennessee,Titans,JAX,AFC,AFC South,Open,Open,Cover 4,17,35,No,No,No,157,34,No,7,Yes,18,0.5294,3,0.2166,15,3,0.4412,434,161,29,746,2,1,1,0.0294,0.0294,0.1176,0.8235,30,0.8824,21.9412,98.3,2.7643,12.7647,1.709,0.0294,28.9333,10.7333,1.9333,15,,,1,1,0.0667,,
10,Denver,Broncos,LAC,AFC,AFC West,Closed,Open,Cover 2,17,38,Yes,No,No,171,35,No,8,Yes,16,0.4571,2,0.2047,11,5,0.3143,248,44,10,885,1,1,1,0.0286,0.1143,0.3429,0.5143,26,0.7429,25.2857,67.3,1.4503,7.0857,-4.8055,0.0286,22.5455,4,0.9091,11,1,1,1,1,0.0909,,
