teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingTouchdownsInEndzone
25,New York,Jets,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,42,Yes,Yes,Yes,188,42,No,10,Yes,28,0.6667,5,0.2234,21,3,3,0.5,577,128,63,964,5,2,1,0.0476,0.0714,0.2857,0.5952,33,0.7857,22.9524,135.4,3.0691,13.7381,2.57,0.0476,27.4762,6.0952,3,21,5,,0.0476,3
18,Los Angeles,Chargers,DEN,AFC,AFC West,Open,Open,Cover 0,17,37,No,No,Yes,168,34,No,6,No,11,0.3235,3,0.2024,9,3,,0.2647,207,18,,892,,1,,,0.0588,0.2941,0.6176,24,0.7059,26.2353,12.9,1.2321,6.0882,-6.4113,0.0294,23,2,,8,4,,0.0294,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Open,Closed,Cover 3,16,45,Yes,Yes,No,187,43,No,9,No,26,0.6047,4,0.2299,19,2,3,0.4419,574,122,37,1092,2,1,4,0.2105,0.1163,0.3023,0.5814,28,0.6512,25.3953,67.7,3.0695,13.3488,1.5099,0.0233,30.2105,6.4211,1.9474,19,1,1,,1
14,Indianapolis,Colts,HST,AFC,AFC South,Open,Open,Cover 2,17,58,Yes,No,No,261,58,No,10,No,31,0.5345,6,0.2222,22,2,1,0.3793,595,156,82,1270,1,3,5,0.2273,0.0862,0.3793,0.5172,46,0.7931,21.8966,53.4,2.2797,10.2586,-0.855,0.0517,27.0455,7.0909,3.7273,21,4,,0.0172,
10,Denver,Broncos,LAC,AFC,AFC West,Open,Open,Cover 0,17,56,No,No,Yes,251,52,No,9,No,30,0.5769,6,0.2072,20,2,,0.3846,577,89,18,1253,3,2,1,0.05,0.0962,0.2885,0.5577,39,0.75,24.0962,91.6,2.2988,11.0962,-0.3886,0.0385,28.85,4.45,0.9,19,3,1,0.0577,1
28,Seattle,Seahawks,SF,NFC,NFC West,Open,Open,Cover 4,17,44,No,Yes,No,195,44,No,13,No,25,0.5682,6,0.2256,17,7,1,0.3864,389,57,57,961,2,3,,,0.0455,0.4091,0.4773,32,0.7273,21.8409,76.8,1.9949,8.8409,-1.8736,0.0682,22.8824,3.3529,3.3529,17,4,,0.0682,1
22,New England,Patriots,MIA,AFC,AFC East,Open,Open,Cover 0,17,33,No,No,Yes,137,30,No,9,No,15,0.5,2,0.219,12,5,2,0.4,325,21,13,717,1,3,,,,0.2667,0.7333,29,0.9667,23.9,91.7,2.3723,10.8333,-1.0422,0.1,27.0833,1.75,1.0833,12,1,1,,1
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Closed,Prevent,17,41,No,No,No,179,40,Yes,7,Yes,17,0.425,5,0.2235,14,5,2,0.35,388,50,14,1052,3,1,,,0.125,0.1,0.775,32,0.8,26.3,86.3,2.1676,9.7,-2.1807,0.025,27.7143,3.5714,1,14,3,1,,2
17,Los Angeles,Rams,ARZ,NFC,NFC West,Closed,Closed,Cover 3,17,47,Yes,No,Yes,208,45,No,11,Yes,24,0.5333,6,0.2163,18,7,3,0.4,454,75,15,1068,5,,,,0.0667,0.1556,0.7778,31,0.6889,23.7333,86.7,2.1827,10.0889,-1.6266,,25.2222,4.1667,0.8333,18,3,1,,1
31,Tennessee,Titans,JAX,AFC,AFC South,Open,Closed,Cover 3,17,41,Yes,Yes,No,180,37,No,9,No,28,0.7568,6,0.2056,20,4,3,0.5405,578,91,22,922,5,2,3,0.15,0.0811,0.1892,0.6757,29,0.7838,24.9189,138.8,3.2111,15.6216,3.7609,0.0541,28.9,4.55,1.1,20,4,,0.0541,4
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 6,17,43,No,Yes,Yes,190,40,No,12,Yes,25,0.625,1,0.2105,16,4,2,0.4,372,50,8,920,1,4,2,0.125,0.075,0.375,0.55,31,0.775,23,61.7,1.9579,9.3,-2.1924,0.1,23.25,3.125,0.5,16,3,1,,
32,Washington,Commanders,PHI,NFC,NFC East,Open,Open,Cover 4,17,41,No,Yes,No,171,39,No,9,No,26,0.6667,5,0.2281,20,3,2,0.5128,555,170,61,850,4,,2,0.1,0.1282,0.2564,0.5897,32,0.8205,21.7949,131.1,3.2456,14.2308,2.956,,27.75,8.5,3.05,20,2,,0.0256,3
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Open,Cover 0,17,33,No,No,Yes,147,32,No,5,No,16,0.5,4,0.2177,12,2,2,0.375,329,86,18,728,2,,,,0.0938,0.2812,0.625,24,0.75,22.75,84,2.2381,10.2812,-0.9696,,27.4167,7.1667,1.5,12,1,,,2
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Open,Cover 4,17,44,No,Yes,No,196,43,No,8,No,20,0.4651,1,0.2194,11,3,1,0.2558,356,57,10,1152,1,3,,,0.0465,0.2093,0.7209,28,0.6512,26.7907,59.6,1.8163,8.2791,-3.7836,0.0698,32.3636,5.1818,0.9091,11,1,1,0.0233,
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Open,Closed,Cover 1,17,32,No,No,No,145,31,No,5,Yes,22,0.7097,5,0.2138,17,2,2,0.5484,524,152,61,730,6,1,5,0.2941,0.0323,0.2581,0.7097,27,0.871,23.5484,126,3.6138,16.9032,5.7819,0.0323,30.8235,8.9412,3.5882,17,2,1,,2
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Open,Cover 0,17,35,No,No,Yes,155,30,No,10,No,14,0.4667,,0.1935,9,6,1,0.3,211,28,13,609,1,1,,,0.0333,0.3333,0.5667,18,0.6,20.3,53.6,1.3613,7.0333,-4.3495,0.0333,23.4444,3.1111,1.4444,9,1,1,0.0667,
29,San Francisco,49ers,SEA,NFC,NFC West,Open,Open,Cover 4,16,45,No,Yes,No,206,40,No,8,No,20,0.5,4,0.1942,15,4,,0.375,386,58,27,907,4,1,,,0.125,0.375,0.475,26,0.65,22.675,96.5,1.8738,9.65,-2.0918,0.025,25.7333,3.8667,1.8,15,1,1,0.025,2
16,Kansas City,Chiefs,LV,AFC,AFC West,Closed,Closed,Cover 3,17,30,No,No,No,128,27,Yes,4,Yes,17,0.6296,2,0.2109,14,3,1,0.5185,361,50,18,646,2,3,1,0.0714,0.1111,0.3704,0.5185,18,0.6667,23.9259,91.2,2.8203,13.3704,1.1553,0.1111,25.7857,3.5714,1.2857,14,,,,
24,New York,Giants,DAL,NFC,NFC East,Open,Open,Cover 4,17,48,No,Yes,No,207,43,No,9,No,29,0.6744,5,0.2077,20,6,2,0.4651,561,124,41,1020,2,4,1,0.05,0.0233,0.4186,0.5349,33,0.7674,23.7209,108.4,2.7101,13.0465,1.3158,0.093,28.05,6.2,2.05,20,4,1,0.0233,1
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,47,Yes,Yes,Yes,207,46,No,18,Yes,26,0.5652,7,0.2222,15,8,4,0.3261,372,25,28,1172,4,4,,,,0.2391,0.6957,34,0.7391,25.4783,64.8,1.7971,8.087,-3.6975,0.087,24.8,1.6667,1.8667,15,,1,0.0652,3
