Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,ReceptionsHero
Josh Palmer,BUF,WR,77,Yes,No,No,77,13,No,1,Yes,8,0.6154,1,0.1688,7,0.5385,56,17,7,66,0.2208,0.7792,9,5.0769,32.9,0.7273,4.3077,-2.1195,8,2.4286,1,3,20.5125,20.5125,0.1688,5.6,12.6,9.1,12.6,12.6,12.6,9.1,12.6,12.6,12.6,9.1,12.6,12.6,4,12,,,,,,,,,,,,
Antonio Gibson,NE,RB,5,Yes,Yes,No,4,1,No,,Yes,1,1,,0.25,,,,,,6,,0.25,,6,39.6,,,-7.7086,,,,,1.2347,1.2347,0.2,,,,,,,,,,,,,,,5,0.75,,,,,,,,,,,
Charlie Woerner,ATL,TE,62,No,No,No,43,5,No,2,Yes,5,1,,0.1163,5,1,47,26,15,21,0.0698,0.0698,2,4.2,105.8,1.093,9.4,2.8907,9.4,5.2,3,2,7.8204,7.8204,0.0806,4.7,9.7,7.2,9.7,12.2,9.7,7.2,9.7,9.7,9.7,7.2,12.2,9.7,1,17,0.5814,2,1,0.2,0.2791,,,,,,,
Mason Kinsey,TEN,WR,16,No,Yes,No,16,,No,,No,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
Omarion Hampton,LAC,RB,85,No,Yes,Yes,66,10,Yes,3,Yes,10,1,,0.1515,9,0.9,68,41,19,31,0.0303,0.0758,2,3.1,95,1.0303,6.8,0.3209,7.5556,4.5556,2.1111,,14.0244,14.0244,0.1176,6.8,15.8,11.3,20.3,15.8,15.8,11.3,15.8,15.8,15.8,11.3,15.8,15.8,,9,0.8788,2,,,0.0152,,,,,,,
CJ Dippre,NE,TE,1,No,Yes,Yes,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,
David Moore,CAR,WR,14,No,No,No,14,1,No,1,Yes,1,1,,0.0714,1,1,5,,,5,0.1429,0.8571,1,5,87.5,0.3571,5,-1.3628,5,,,,1.2445,1.2445,0.0714,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,4,,1,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,237,No,No,No,234,93,No,9,Yes,80,0.8602,4,0.3974,68,0.7312,596,253,97,490,0.6197,0.3718,85,5.2688,95.1,2.547,6.4086,-0.0524,8.7647,3.7206,1.4265,32,166.1668,166.1668,0.3924,83.6,151.6,117.6,151.6,151.6,154.6,120.6,151.6,151.6,151.6,117.6,151.6,151.6,22,17,0.0085,5,8,0.1176,,4,1,8,0.086,,,
Chris Moore,WAS,WR,76,No,Yes,No,74,7,No,1,Yes,5,0.7143,,0.0946,4,0.5714,49,18,11,49,0.1622,0.8378,7,7,78.9,0.6622,7,-0.0415,12.25,4.5,2.75,3,10.3288,10.3288,0.0921,4.9,8.9,6.9,8.9,8.9,8.9,6.9,8.9,8.9,8.9,6.9,8.9,8.9,,14,,,,,,,,1,0.1429,,,
Tutu Atwell,LA,WR,50,No,No,No,50,2,No,1,Yes,2,1,,0.04,1,0.5,4,,,7,0.7,0.3,1,3.5,56.3,0.08,2,-3.7498,4,,,,4.1808,4.1808,0.04,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,10,,,,,,,,,,,,
