Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,ReceptionsHero
Isaiah Williams,NYJ,WR,85,Yes,No,No,83,15,No,2,Yes,12,0.8,,0.1807,10,0.6667,80,31,10,75,0.6145,0.3855,11,5,79.9,0.9639,5.3333,-1.0534,8,3.1,1,4,22.0617,22.0617,0.1786,8,18,13,18,18,18,13,18,18,18,13,18,18,,15,,1,,,,,,2,0.1333,,,
Adam Thielen,PIT,WR,88,No,No,Yes,86,18,No,8,Yes,17,0.9444,,0.2093,13,0.7222,90,31,12,88,0.5233,0.4651,15,4.8889,83.1,1.0465,5,-1.3438,6.9231,2.3846,0.9231,5,27.0177,27.0177,0.2045,9,22,15.5,22,22,22,15.5,22,22,22,15.5,22,22,2,16,0.0116,5,1,0.0769,,,,2,0.1111,,,
Elijah Higgins,ARZ,TE,126,No,No,No,120,19,No,4,Yes,17,0.8947,,0.1583,17,0.8947,191,119,47,81,0.45,0.1417,7,4.2632,86.6,1.5917,10.0526,3.5337,11.2353,7,2.7647,11,31.3756,31.3756,0.1508,18.1,35.1,26.6,35.1,43.6,38.1,28.6,34.1,34.1,34.1,25.6,43.6,34.1,2,17,0.0167,4,2,0.1176,0.3917,,,,,,,
Braelon Allen,NYJ,RB,10,No,No,No,8,2,No,,Yes,2,1,,0.25,2,1,17,9,6,8,0.125,,1,4,102.1,2.125,8.5,1.6288,8.5,4.5,3,1,3.6914,3.6914,0.2,1.7,3.7,2.7,4.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,1,4,0.875,,1,0.5,,,,,,,,
Josiah Deguara,ARZ,TE,24,No,No,No,20,4,No,2,Yes,4,1,1,0.2,3,0.75,21,5,2,22,0.35,0.25,1,5.5,126,1.05,5.25,-1.2183,7,1.6667,0.6667,2,7.9979,7.9979,0.1667,8.1,11.1,9.6,11.1,12.6,11.1,9.6,11.1,11.1,11.1,9.6,12.6,11.1,1,12,,1,,,0.4,1,1,,,,,
Harrison Bryant,HST,TE,30,No,No,No,23,4,No,,Yes,2,0.5,,0.1739,2,0.5,7,1,,19,0.1304,0.0435,2,4.75,56.3,0.3043,1.75,-4.9141,3.5,0.5,,1,9.528,9.528,0.1333,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,,12,,,,,0.8261,,,,,,,
Tylan Wallace,BLT,WR,20,No,No,Yes,19,1,No,,Yes,1,1,,0.0526,1,1,10,7,4,3,0.4211,0.5789,,3,108.3,0.5263,10,4.5501,10,7,4,1,2.7834,2.7834,0.05,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,,14,,,,,,,,,,,,
Jonnu Smith,PIT,TE,118,No,No,Yes,111,20,No,6,Yes,18,0.9,,0.1802,16,0.8,113,51,15,83,0.5225,0.1441,12,4.15,90.2,1.018,5.65,-0.8844,7.0625,3.1875,0.9375,5,29.4271,29.4271,0.1695,11.3,27.3,19.3,27.3,35.3,30.3,22.3,27.3,27.3,27.3,19.3,35.3,27.3,2,17,,4,,,0.3333,,,,,,,
Mason Taylor,NYJ,TE,166,No,No,Yes,155,50,No,8,Yes,46,0.92,,0.3226,39,0.78,312,127,42,239,0.3484,0.2065,33,4.78,84.3,2.0129,6.24,-0.3721,8,3.2564,1.0769,20,75.3471,75.3471,0.3012,31.2,70.2,50.7,70.2,89.7,73.2,53.7,70.2,70.2,70.2,50.7,89.7,70.2,6,13,0.0065,7,,,0.4387,,,7,0.14,,,
Emanuel Wilson,GB,RB,54,Yes,Yes,Yes,42,6,No,,No,5,0.8333,,0.1429,5,0.8333,49,41,25,15,0.0476,0.1667,1,2.5,100.7,1.1667,8.1667,1.924,9.8,8.2,5,3,13.9025,13.9025,0.1111,4.9,9.9,7.4,12.4,9.9,9.9,7.4,9.9,9.9,9.9,7.4,9.9,9.9,1,17,0.7619,,3,0.6,0.0238,,,,,,,
Quentin Johnston,LAC,WR,172,No,Yes,Yes,172,27,Yes,4,Yes,25,0.9259,,0.157,20,0.7407,157,71,42,126,0.1919,0.8081,21,4.6667,100.4,0.9128,5.8148,-0.4291,7.85,3.55,2.1,5,39.3919,39.3919,0.157,21.7,41.7,31.7,41.7,41.7,44.7,34.7,41.7,41.7,41.7,31.7,41.7,41.7,6,14,,1,2,0.1,,1,,4,0.1481,,,
Blake Whiteheart,CLV,TE,36,No,Yes,No,29,4,No,1,No,2,0.5,,0.1379,1,0.25,4,2,,18,0.2069,0.1724,1,4.5,39.6,0.1379,1,-5.5046,4,2,,,5.5784,5.5784,0.1111,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,16,0.0345,,,,0.5862,,,,,,,
Cameron Latu,PHI,TE,11,No,Yes,No,6,,No,,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.1667,,,,0.3333,,,,,,,
Chris Manhertz,NYG,TE,10,No,No,No,2,1,No,,No,1,1,,0.5,1,1,7,6,3,1,,,,1,95.8,3.5,7,1.2246,7,6,3,,1.4435,1.4435,0.1,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,17,,,,,1,,,,,,,
Garrett Wilson,NYJ,WR,102,No,Yes,Yes,102,32,No,5,Yes,29,0.9062,,0.3137,23,0.7188,185,70,39,172,0.451,0.549,26,5.375,106.9,1.8137,5.7812,-0.7023,8.0435,3.0435,1.6957,8,51.5277,51.5277,0.3137,30.5,53.5,42,53.5,53.5,56.5,45,53.5,53.5,53.5,42,53.5,53.5,3,7,,1,5,0.2174,,2,,2,0.0625,,,
Corey Kiner,ARZ,RB,7,No,No,No,6,3,No,1,Yes,3,1,,0.5,2,0.6667,15,5,1,12,,,1,4,78.5,2.5,5,-1.9217,7.5,2.5,0.5,1,4.7572,4.7572,0.4286,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,1,4,1,1,,,,,,1,0.3333,,,
Jeff Wilson,MIA,RB,2,No,Yes,Yes,2,,No,,No,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,,,,,,,,,,,
Kameron Johnson,TB,WR,14,Yes,No,Yes,14,1,No,,Yes,1,1,,0.0714,1,1,13,6,2,7,0.5714,0.4286,1,7,118.8,0.9286,13,5.9355,13,6,2,1,1.4781,1.4781,0.0714,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,17,,,,,,,,,,,,
Dyami Brown,JAX,WR,56,No,Yes,No,54,10,No,3,No,9,0.9,1,0.1852,6,0.6,43,6,4,58,0.2963,0.7037,10,5.8,30.4,0.7963,4.3,-2.3669,7.1667,1,0.6667,4,18.5742,18.5742,0.1786,4.3,10.3,7.3,10.3,10.3,10.3,7.3,10.3,10.3,10.3,7.3,10.3,10.3,3,14,,3,,,,,,3,0.3,,,
Luther Burden,CHI,WR,86,No,No,No,86,25,No,2,Yes,21,0.84,,0.2907,17,0.68,202,131,27,115,0.4419,0.5465,23,4.6,92.4,2.3488,8.08,1.7944,11.8824,7.7059,1.5882,10,36.1471,36.1471,0.2907,20.2,37.2,28.7,37.2,37.2,40.2,31.7,37.2,37.2,37.2,28.7,37.2,37.2,1,15,0.0116,1,3,0.1765,,,,3,0.12,2,0.08,
Ty Johnson,BUF,RB,66,Yes,No,No,50,6,No,,Yes,5,0.8333,,0.12,5,0.8333,75,33,10,18,0.12,0.12,1,3,118.8,1.5,12.5,3.9548,15,6.6,2,4,10.8558,10.8558,0.0909,7.5,12.5,10,15,12.5,12.5,10,12.5,12.5,12.5,10,12.5,12.5,,17,0.66,,,,0.1,,,,,,,
Van Jefferson,TEN,WR,120,No,No,No,118,18,Yes,2,Yes,15,0.8333,,0.1525,15,0.8333,102,36,22,81,0.1102,0.8898,15,4.5,108.8,0.8644,5.6667,-0.5021,6.8,2.4,1.4667,6,27.3723,27.3723,0.15,16.2,31.2,23.7,31.2,31.2,34.2,26.7,31.2,31.2,31.2,23.7,31.2,31.2,1,16,,2,,,,1,,,,,,
Elic Ayomanor,TEN,WR,165,No,Yes,No,163,36,No,6,No,27,0.75,2,0.2209,23,0.6389,187,66,24,202,0.1656,0.8282,26,5.6111,72.3,1.1472,5.1944,-1.406,8.1304,2.8696,1.0435,14,59.9568,59.9568,0.2182,30.7,53.7,42.2,53.7,53.7,56.7,45.2,53.7,53.7,53.7,42.2,53.7,53.7,4,16,,5,2,0.087,0.0061,2,1,3,0.0833,,,
Andre Baccellia,ARZ,WR,29,No,Yes,No,27,3,No,,Yes,1,0.3333,,0.1111,1,0.3333,5,-1,,12,0.4815,0.5185,2,4,42.4,0.1852,1.6667,-4.283,5,-1,,,4.5202,4.5202,0.1034,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,2,5,,,,,,,,,,,,
Derrick Henry,BLT,RB,75,No,No,Yes,48,12,No,,Yes,10,0.8333,,0.25,9,0.75,112,93,17,26,0.0208,0.0208,4,2.1667,68.8,2.3333,9.3333,3.0509,12.4444,10.3333,1.8889,3,15.9804,15.9804,0.16,11.2,20.2,15.7,24.7,20.2,23.2,18.7,20.2,20.2,20.2,15.7,20.2,20.2,2,17,0.9583,,4,0.4444,,,,1,0.0833,,,
Robert Tonyan,KC,TE,11,No,No,No,8,1,No,,Yes,1,1,,0.125,1,1,1,,,1,0.375,0.25,,1,79.2,0.125,1,-4.7754,1,,,,2.6708,2.6708,0.0909,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,16,,,,,0.375,,,,,,,
Kareem Hunt,KC,RB,97,No,No,No,63,7,No,,Yes,7,1,1,0.1111,6,0.8571,45,30,9,25,0.0952,0.0794,2,3.5714,133,0.7143,6.4286,-0.2789,7.5,5,1.5,3,12.6341,12.6341,0.0722,10.5,16.5,13.5,19.5,16.5,16.5,13.5,16.5,16.5,16.5,13.5,16.5,16.5,2,17,0.8095,,1,0.1667,0.0159,1,1,1,0.1429,,,
AJ Barner,SEA,TE,186,No,No,No,166,47,No,6,Yes,42,0.8936,1,0.2831,39,0.8298,325,175,81,186,0.1084,0.0301,23,3.9574,116.8,1.9578,6.9149,0.5579,8.3333,4.4872,2.0769,18,76.1507,76.1507,0.2527,50.5,89.5,70,89.5,109,92.5,73,89.5,89.5,89.5,70,109,89.5,10,17,0.0181,4,5,0.1282,0.8434,3,,1,0.0213,,,
Zach Charbonnet,SEA,RB,115,No,No,No,84,18,No,1,Yes,15,0.8333,,0.2143,14,0.7778,125,86,37,55,0.0714,0.0476,3,3.0556,95.6,1.4881,6.9444,0.3992,8.9286,6.1429,2.6429,6,26.1923,26.1923,0.1565,12.5,26.5,19.5,33.5,26.5,29.5,22.5,26.5,26.5,26.5,19.5,26.5,26.5,1,16,0.8452,1,,,0.0357,,,1,0.0556,,,
Chuba Hubbard,CAR,RB,90,Yes,No,Yes,70,10,No,,Yes,9,0.9,,0.1429,8,0.8,85,66,42,27,0.0429,0.1714,4,2.7,141.7,1.2143,8.5,2.0974,10.625,8.25,5.25,5,19.4264,19.4264,0.1111,20.5,28.5,24.5,32.5,28.5,28.5,24.5,28.5,28.5,28.5,24.5,28.5,28.5,1,15,0.7857,,2,0.25,,2,,1,0.1,,,
Jared Wayne,HST,WR,4,No,Yes,No,4,1,No,,Yes,1,1,,0.25,1,1,3,1,1,2,0.25,0.75,1,2,79.2,0.75,3,-2.3344,3,1,1,,1.5092,1.5092,0.25,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,1,,,,,,,,,,,,
Xavier Worthy,KC,WR,128,No,No,No,126,23,No,1,Yes,19,0.8261,,0.1825,16,0.6957,139,49,25,122,0.3016,0.6905,18,5.3043,99.7,1.1032,6.0435,-0.4187,8.6875,3.0625,1.5625,6,36.3279,36.3279,0.1797,19.9,35.9,27.9,35.9,35.9,38.9,30.9,35.9,35.9,35.9,27.9,35.9,35.9,2,14,0.0079,1,5,0.3125,,1,,2,0.087,1,0.0435,
Rachaad White,TB,RB,125,Yes,No,Yes,97,6,No,,Yes,6,1,,0.0619,6,1,66,48,9,18,0.0928,0.1031,2,3,112.5,0.6804,11,4.4874,11,8,1.5,5,9.8092,9.8092,0.048,6.6,12.6,9.6,15.6,12.6,12.6,9.6,12.6,12.6,12.6,9.6,12.6,12.6,1,17,0.8041,,1,0.1667,,,,,,,,
Cam Grandy,CIN,TE,2,No,No,No,2,,No,,Yes,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,0.5,,,,,,,
Elijah Moore,BUF,WR,36,No,No,No,36,5,No,1,Yes,4,0.8,,0.1389,3,0.6,37,23,9,26,0.4167,0.5556,3,5.2,82.9,1.0278,7.4,0.9075,12.3333,7.6667,3,1,7.1179,7.1179,0.1389,3.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,,9,0.0278,,1,0.3333,,,,1,0.2,,,
Malachi Corley,CLV,WR,24,No,Yes,No,24,4,No,1,No,4,1,,0.1667,4,1,50,37,3,13,0.6667,0.3333,3,3.25,118.8,2.0833,12.5,6.6824,12.5,9.25,0.75,3,5.5556,5.5556,0.1667,5,9,7,9,9,9,7,9,9,9,7,9,9,,13,,1,2,0.5,,,,,,1,0.25,
Darren Waller,MIA,TE,49,No,No,No,49,9,No,3,Yes,9,1,,0.1837,8,0.8889,64,25,5,42,0.4694,0.3061,8,4.6667,96.3,1.3061,7.1111,0.6723,8,3.125,0.625,4,12.2549,12.2549,0.1837,6.4,14.4,10.4,14.4,18.4,14.4,10.4,14.4,14.4,14.4,10.4,18.4,14.4,,9,,2,,,0.2245,,,,,,,
Isiah Pacheco,KC,RB,84,No,No,No,61,2,No,,Yes,1,0.5,,0.0328,1,0.5,6,1,,8,0.0984,0.1148,,4,56.3,0.0984,3,-3.8712,6,1,,,4.3776,4.3776,0.0238,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,13,0.7869,,,,,,,,,,,
Pat Freiermuth,PIT,TE,132,No,No,Yes,125,26,No,6,Yes,23,0.8846,,0.208,21,0.8077,192,91,41,126,0.648,0.152,18,4.8462,97.4,1.536,7.3846,0.8464,9.1429,4.3333,1.9524,8,38.5591,38.5591,0.197,19.2,40.2,29.7,40.2,50.7,43.2,32.7,40.2,40.2,40.2,29.7,50.7,40.2,1,17,,5,2,0.0952,0.2,,,1,0.0385,,,
Calvin Austin,PIT,WR,119,No,No,Yes,116,26,No,6,Yes,22,0.8462,1,0.2241,16,0.6154,142,46,12,151,0.5259,0.4741,23,5.8077,60.1,1.2241,5.4615,-1.2084,8.875,2.875,0.75,4,39.3851,39.3851,0.2185,14.2,30.2,22.2,30.2,30.2,33.2,25.2,30.2,30.2,30.2,22.2,30.2,30.2,2,14,,5,2,0.125,,,,3,0.1154,1,0.0385,
Ronnie Bell,NO,WR,6,No,No,No,6,1,No,,Yes,1,1,,0.1667,1,1,7,1,1,6,0.3333,0.6667,1,6,95.8,1.1667,7,0.0509,7,1,1,,1.6581,1.6581,0.1667,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,2,,,,,,,,,,,,
Bijan Robinson,ATL,RB,177,No,No,No,144,39,No,2,Yes,32,0.8205,1,0.2708,31,0.7949,381,249,54,173,0.1875,0.1944,20,4.4359,115.9,2.6458,9.7692,2.8426,12.2903,8.0323,1.7419,18,59.7353,59.7353,0.2203,43.1,74.1,58.6,89.6,74.1,77.1,60.6,73.1,73.1,73.1,57.6,74.1,73.1,8,17,0.6181,2,1,0.0323,,1,1,1,0.0256,,,1
LeQuint Allen,JAX,RB,65,No,Yes,No,49,3,No,,No,3,1,,0.0612,3,1,26,19,8,7,0.102,0.0612,,2.3333,102.8,0.5306,8.6667,2.4047,8.6667,6.3333,2.6667,,3.9898,3.9898,0.0462,2.6,5.6,4.1,7.1,5.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,,17,0.8367,,,,,,,,,,,
Jaleel McLaughlin,DEN,RB,9,No,No,No,6,1,No,,Yes,1,1,,0.1667,1,1,9,8,2,1,,,1,1,104.2,1.5,9,3.2706,9,8,2,1,1.4039,1.4039,0.1111,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,8,1,,,,,,,,,,,
Colston Loveland,CHI,TE,155,No,No,No,146,49,No,8,Yes,47,0.9592,2,0.3356,41,0.8367,360,145,46,271,0.411,0.2329,34,5.5306,110.9,2.4658,7.3469,0.5616,8.7805,3.5366,1.122,20,81.094,81.094,0.3161,48,89,68.5,89,109.5,92,71.5,89,89,89,68.5,109.5,89,8,16,0.0137,4,4,0.0976,0.3425,2,1,1,0.0204,,,
Darnell Mooney,ATL,WR,162,No,No,No,162,16,No,1,Yes,12,0.75,1,0.0988,10,0.625,82,19,2,95,0.463,0.537,13,5.9375,75.5,0.5062,5.125,-1.5438,8.2,1.9,0.2,5,26.7739,26.7739,0.0988,8.2,18.2,13.2,18.2,18.2,18.2,13.2,18.2,18.2,18.2,13.2,18.2,18.2,3,15,,,,,,,,2,0.125,,,
Jeremy Ruckert,NYJ,TE,95,Yes,No,No,83,25,No,6,Yes,23,0.92,2,0.3012,20,0.8,163,83,37,97,0.1807,0.0964,16,3.88,107.2,1.9639,6.52,-0.0521,8.15,4.15,1.85,7,38.5191,38.5191,0.266,22.3,42.3,32.3,42.3,52.3,45.3,35.3,42.3,42.3,42.3,32.3,52.3,42.3,3,17,,5,,,0.7229,1,1,2,0.08,,,
Kalif Raymond,DET,WR,96,No,No,No,96,17,No,3,Yes,15,0.8824,,0.1771,14,0.8235,158,90,16,85,0.4062,0.5938,11,5,125,1.6458,9.2941,2.9504,11.2857,6.4286,1.1429,8,26.6778,26.6778,0.1771,21.8,35.8,28.8,35.8,35.8,38.8,31.8,35.8,35.8,35.8,28.8,35.8,35.8,2,15,,3,1,0.0714,,1,,1,0.0588,,,
Andrei Iosivas,CIN,WR,225,No,Yes,No,220,32,No,8,No,27,0.8438,1,0.1455,18,0.5625,150,56,18,159,0.5636,0.4364,17,4.9688,68.5,0.6818,4.6875,-1.6359,8.3333,3.1111,1,9,53.4549,53.4549,0.1422,15,33,24,33,33,36,27,33,33,33,24,33,33,5,17,,3,4,0.2222,,,,4,0.125,,,
Isaac TeSlaa,DET,WR,133,No,No,No,130,6,No,1,Yes,4,0.6667,1,0.0462,4,0.6667,46,24,15,33,0.2154,0.7769,6,5.5,89.6,0.3538,7.6667,1.0436,11.5,6,3.75,2,9.7265,9.7265,0.0451,4.6,8.6,6.6,8.6,8.6,8.6,6.6,8.6,8.6,8.6,6.6,8.6,8.6,1,17,,1,,,0.0077,,,,,,,
Allen Lazard,NYJ,WR,67,No,No,No,66,8,No,2,Yes,7,0.875,1,0.1212,7,0.875,54,22,9,37,0.4545,0.5455,4,4.625,94.8,0.8182,6.75,0.5717,7.7143,3.1429,1.2857,3,14.9085,14.9085,0.1194,5.4,12.4,8.9,12.4,12.4,12.4,8.9,12.4,12.4,12.4,8.9,12.4,12.4,3,10,,2,,,,,,,,,,
Hunter Renfrow,CAR,WR,62,No,No,No,61,14,No,2,Yes,12,0.8571,2,0.2295,12,0.8571,68,15,2,75,0.7705,0.2295,10,5.3571,126.5,1.1148,4.8571,-1.6448,5.6667,1.25,0.1667,7,24.9388,24.9388,0.2258,18.8,30.8,24.8,30.8,30.8,30.8,24.8,30.8,30.8,30.8,24.8,30.8,30.8,4,6,,2,,,,2,2,,,,,
Zay Jones,ARZ,WR,54,No,No,No,54,7,No,,Yes,7,1,,0.1296,7,1,53,16,4,37,0.2037,0.7963,7,5.2857,98.2,0.9815,7.5714,1.1799,7.5714,2.2857,0.5714,2,9.9206,9.9206,0.1296,5.3,12.3,8.8,12.3,12.3,12.3,8.8,12.3,12.3,12.3,8.8,12.3,12.3,,8,,,,,,,,,,,,
Jaylin Noel,HST,WR,91,No,No,No,90,15,No,1,Yes,12,0.8,,0.1667,12,0.8,77,28,6,71,0.6778,0.3222,13,4.7333,88.1,0.8556,5.1333,-1.1158,6.4167,2.3333,0.5,6,24.4551,24.4551,0.1648,7.7,19.7,13.7,19.7,19.7,19.7,13.7,19.7,19.7,19.7,13.7,19.7,19.7,2,17,,1,,,,,,,,,,
Stefon Diggs,NE,WR,156,No,Yes,Yes,156,61,No,5,No,58,0.9508,2,0.391,56,0.918,480,230,107,289,0.6154,0.3846,51,4.7377,110.4,3.0769,7.8689,1.5705,8.5714,4.1071,1.9107,27,96.8287,96.8287,0.391,60,116,88,116,116,119,91,116,116,116,88,116,116,8,17,,4,13,0.2321,,2,1,2,0.0328,,,1
Jaydon Blue,DAL,RB,10,No,No,No,6,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,
