Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,AlignmentWideRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,YardsAfterContactTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerReceptionYardsAfterContact,AlignmentBackfieldRoutesPercentage,ReceptionsHero
RJ Harvey,DEN,RB,43,No,No,No,38,3,No,Yes,1,0.3333,1,0.0789,1,0.3333,1,,40,1,1,,0.0263,0.1053,2,13.3333,81.9,0.0263,0.3333,-8.9239,,1,,1,7.6425,7.6425,0.0698,6.1,7.1,6.6,7.6,7.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,2,17,,,0.0263,,,,,,,0.8421,
Mason Tipton,NO,WR,36,No,No,Yes,35,4,Yes,Yes,2,0.5,,0.1143,1,0.25,9,-1,52,,,,,0.4,4,13,,0.2571,2.25,-6.9094,,9,-1,1,6.8016,6.8016,0.1111,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,13,1,,0.6,,,,,,,,
Tyreek Hill,MIA,WR,19,No,No,Yes,19,10,No,No,6,0.6,1,0.5263,5,0.5,56,-1,140,1,1,,,0.4211,7,14,60.8,2.9474,5.6,-3.822,,11.2,-0.2,4,21.0365,21.0365,0.5263,11.6,16.6,14.1,16.6,16.6,16.6,14.1,16.6,16.6,16.6,14.1,16.6,16.6,1,4,1,,0.5789,,,-1,,,-0.2,,
Demarcus Robinson,SF,WR,66,No,No,No,66,14,Yes,Yes,9,0.6429,,0.2121,8,0.5714,127,18,196,,,1,,0.4091,11,14,87.5,1.9242,9.0714,-0.3456,0.0714,15.875,2.25,8,24.2782,24.2782,0.2121,12.7,20.7,16.7,20.7,20.7,23.7,19.7,20.7,20.7,20.7,16.7,20.7,20.7,,14,2,2,0.5909,,,5,2,0.25,0.625,,
Tory Horton,SEA,WR,32,No,Yes,Yes,31,6,No,Yes,4,0.6667,3,0.1935,4,0.6667,50,5,78,3,2,,,0.1613,5,13,131.9,1.6129,8.3333,-0.8188,,12.5,1.25,3,14.4641,14.4641,0.1875,23,27,25,27,27,27,25,27,27,27,25,27,27,3,8,2,2,0.8387,,,,2,0.5,,,
Travis Kelce,KC,TE,83,No,No,No,76,17,No,Yes,15,0.8824,2,0.2237,13,0.7647,231,81,228,3,2,2,0.3553,0.3289,11,13.4118,133,3.0395,13.5882,4.1184,0.1176,17.7692,6.2308,13,32.4958,32.4958,0.2048,41.1,54.1,47.6,54.1,60.6,57.1,50.6,54.1,54.1,54.1,47.6,60.6,54.1,3,17,4,4,0.2895,,,14,,,1.0769,0.0263,
Cole Kmet,CHI,TE,85,Yes,Yes,Yes,58,11,No,Yes,7,0.6364,2,0.1897,6,0.5455,107,27,159,1,1,1,0.5172,0.1724,9,14.4545,118.4,1.8448,9.7273,-0.2801,0.0909,17.8333,4.5,5,21.9784,21.9784,0.131,16.7,22.7,19.7,22.7,25.7,25.7,22.7,22.7,22.7,22.7,19.7,25.7,22.7,2,16,,,0.2241,,,7,,,1.1667,0.0862,
Brenton Strange,JAX,TE,80,No,No,No,67,9,Yes,Yes,7,0.7778,1,0.1343,6,0.6667,99,17,130,1,1,,0.5075,0.3731,8,14.4444,140.5,1.4776,11,0.4905,,16.5,2.8333,6,15.1941,15.1941,0.1125,15.9,21.9,18.9,21.9,24.9,21.9,18.9,21.9,21.9,21.9,18.9,24.9,21.9,1,12,1,,0.0896,,,4,,,0.6667,0.0299,
Rhamondre Stevenson,NE,RB,69,Yes,Yes,No,53,4,No,No,3,0.75,1,0.0755,3,0.75,52,8,64,2,1,,,,3,16,156.3,0.9811,13,4.6091,,17.3333,2.6667,3,8.467,8.467,0.058,17.2,20.2,18.7,21.7,20.2,20.2,18.7,20.2,20.2,20.2,18.7,20.2,20.2,2,14,,,0.0755,,,2,,,0.6667,0.9245,
Noah Fant,CIN,TE,37,No,No,Yes,36,2,Yes,Yes,1,0.5,,0.0556,1,0.5,14,,30,,,,0.6944,0.2222,2,15,72.9,0.3889,7,-3.2363,,14,,1,3.349,3.349,0.0541,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,,15,,,0.0833,,,,,,,,
CeeDee Lamb,DAL,WR,79,No,No,Yes,79,31,No,No,23,0.7419,3,0.3924,17,0.5484,283,61,430,,,3,,0.3418,24,13.871,85.8,3.5823,9.129,-0.4171,0.0968,16.6471,3.5882,17,69.3965,69.3965,0.3924,28.3,45.3,36.8,45.3,45.3,48.3,39.8,45.3,45.3,45.3,36.8,45.3,45.3,3,14,6,3,0.6582,,,21,2,0.1176,1.2353,,1
Travis Vokolek,ARZ,TE,2,No,No,No,1,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Nick Vannett,LA,TE,6,No,No,Yes,4,,No,No,,,,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
Michael Bandy,DEN,WR,2,No,Yes,No,2,,No,No,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Jared Wiley,KC,TE,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.5,
James Cook,BUF,RB,48,No,No,No,41,2,No,Yes,1,0.5,,0.0488,1,0.5,25,8,35,1,,,,0.0244,2,17.5,135.4,0.6098,12.5,5.3009,,25,8,1,4.8092,4.8092,0.0417,8.5,9.5,9,10,9.5,9.5,9,9.5,9.5,9.5,9,9.5,9.5,,17,,,,,,,,,,0.9756,
Treylon Burks,WAS,WR,33,No,No,No,33,9,No,No,7,0.7778,2,0.2727,4,0.4444,56,6,132,1,1,,,0.2727,5,14.6667,62.5,1.697,6.2222,-3.607,,14,1.5,4,20.1082,20.1082,0.2727,11.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,2,8,5,2,0.697,,,7,1,0.25,1.75,0.0303,1
Dalton Schultz,HST,TE,101,Yes,No,Yes,91,18,No,Yes,15,0.8333,3,0.1978,13,0.7222,224,84,232,2,2,,0.4835,0.3626,12,12.8889,151.2,2.4615,12.4444,3.017,,17.2308,6.4615,13,38.6781,38.6781,0.1782,34.4,47.4,40.9,47.4,53.9,50.4,43.9,47.4,47.4,47.4,40.9,53.9,47.4,4,17,4,2,0.1429,,,13,,,1,0.011,1
Anthony Gould,IND,WR,7,Yes,No,No,7,,No,No,,,,,,,,,,,,,,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,0.1429,,,,,,,,
George Kittle,SF,TE,71,No,No,No,58,21,Yes,Yes,19,0.9048,4,0.3621,15,0.7143,204,24,282,3,3,1,0.569,0.3103,18,13.4286,141.7,3.5172,9.7143,0.1589,0.0476,13.6,1.6,15,42.5233,42.5233,0.2958,38.4,53.4,45.9,53.4,60.9,56.4,48.9,53.4,53.4,53.4,45.9,60.9,53.4,6,11,8,5,0.0862,,,8,,,0.5333,0.0345,
Zaire Mitchell-Paden,NO,TE,7,No,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,1,
Isaiah Likely,BLT,TE,38,No,No,No,37,9,No,Yes,7,0.7778,3,0.2432,5,0.5556,104,57,101,1,1,1,0.1351,0.7027,3,11.2222,133.6,2.8108,11.5556,2.8682,0.1111,20.8,11.4,3,20.0213,20.0213,0.2368,15.4,20.4,17.9,20.4,22.9,23.4,19.9,19.4,19.4,19.4,16.9,22.9,19.4,4,14,1,,0.1622,,,4,1,0.2,0.8,,
Keenan Allen,LAC,WR,70,No,No,No,70,17,No,Yes,10,0.5882,5,0.2429,10,0.5882,141,18,237,2,2,,,0.4143,9,13.9412,124.9,2.0143,8.2941,-1.2017,,14.1,1.8,10,39.1933,39.1933,0.2429,26.1,36.1,31.1,36.1,36.1,39.1,34.1,36.1,36.1,36.1,31.1,36.1,36.1,5,17,,,0.5857,,,11,,,1.1,,
Ko Kieft,TB,TE,4,No,No,Yes,1,,Yes,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Nick Kallerup,SEA,TE,8,Yes,No,No,2,,Yes,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
Chig Okonkwo,TEN,TE,79,No,No,No,74,12,Yes,Yes,9,0.75,1,0.1622,8,0.6667,143,28,173,,,1,0.3919,0.4324,9,14.4167,107.3,1.9324,11.9167,1.6924,0.0833,17.875,3.5,8,23.5239,23.5239,0.1519,14.3,22.3,18.3,22.3,26.3,25.3,21.3,22.3,22.3,22.3,18.3,26.3,22.3,1,17,2,2,0.1757,,,11,,,1.375,,
Ke'Shawn Williams,CIN,WR,1,No,No,Yes,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,1,,,,,,,,
Lucas Krull,DEN,TE,5,No,No,No,5,,No,Yes,,,,,,,,,,,,,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0.2,,,,,,,,
Tyler Johnson,NYJ,WR,21,No,Yes,Yes,21,6,No,No,5,0.8333,1,0.2857,5,0.8333,86,13,88,1,1,,,0.3333,3,14.6667,158.3,4.0952,14.3333,4.5881,,17.2,2.6,5,11.7803,11.7803,0.2857,14.6,19.6,17.1,19.6,19.6,19.6,17.1,19.6,19.6,19.6,17.1,19.6,19.6,1,12,1,1,0.6667,,,8,1,0.2,1.6,,
Malik Turner,SF,WR,1,No,Yes,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,
Alex Bachman,LV,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,0.5,,,,,,,,
Austin Trammell,JAX,WR,13,Yes,No,No,13,4,No,No,3,0.75,,0.3077,3,0.75,46,2,55,,,,,0.6923,3,13.75,72.9,3.5385,11.5,1.6409,,15.3333,0.6667,2,7.0965,7.0965,0.3077,4.6,7.6,6.1,7.6,7.6,7.6,6.1,7.6,7.6,7.6,6.1,7.6,7.6,,6,2,2,0.3077,,,,,,,,
Tony Pollard,TEN,RB,64,No,No,No,41,,Yes,Yes,,,,,,,,,,,,,,0.0976,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,0.0488,,,,,,,0.8537,
Ray Davis,BUF,RB,15,No,No,No,10,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,1,
DeeJay Dallas,JAX,RB,4,No,No,No,2,,Yes,Yes,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,0.5,
Ladd McConkey,LAC,WR,96,Yes,No,No,96,30,No,Yes,22,0.7333,3,0.3125,19,0.6333,333,77,422,1,1,,,0.5625,17,14.0667,84.4,3.4688,11.1,1.3388,,17.5263,4.0526,15,61.522,61.522,0.3125,39.3,58.3,48.8,58.3,58.3,61.3,51.8,58.3,58.3,58.3,48.8,58.3,58.3,3,16,3,1,0.4375,,,13,4,0.2105,0.6842,,
Chris Manhertz,NYG,TE,17,No,No,Yes,6,1,No,No,,,,0.1667,,,,,11,,,,1,,1,11,39.6,,,-8.7402,,,,,1.75,1.75,0.0588,,,,,,,,,,,,,,1,17,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,43,No,No,No,41,8,No,Yes,5,0.625,,0.1951,5,0.625,112,46,106,,,,,0.5122,3,13.25,66.7,2.7317,14,4.8177,,22.4,9.2,5,24.5853,24.5853,0.186,11.2,16.2,13.7,16.2,16.2,19.2,16.7,16.2,16.2,16.2,13.7,16.2,16.2,2,17,1,1,0.4878,,,24,1,0.2,4.8,,
Cameron Latu,PHI,TE,7,No,No,No,3,,No,No,,,,,,,,,,,,,0.3333,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.3333,
Blake Whiteheart,CLV,TE,21,No,No,Yes,17,,Yes,Yes,,,,,,,,,,,,,0.7059,0.2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,0.0588,,,,,,,,
Romeo Doubs,GB,WR,80,No,Yes,Yes,79,34,No,No,25,0.7353,3,0.4304,18,0.5294,303,59,475,1,1,4,,0.1772,23,13.9706,93.1,3.8354,8.9118,-0.5439,0.1176,16.8333,3.2778,17,67.6403,67.6403,0.425,36.3,54.3,45.3,54.3,54.3,57.3,48.3,54.3,54.3,54.3,45.3,54.3,54.3,5,16,7,1,0.8228,,,23,2,0.1111,1.2778,,
Mason Taylor,NYJ,TE,55,No,No,No,47,9,Yes,Yes,5,0.5556,2,0.1915,4,0.4444,62,20,126,1,1,,0.5106,0.3191,7,14,104.9,1.3191,6.8889,-2.9262,,15.5,5,3,19.9472,19.9472,0.1636,12.2,16.2,14.2,16.2,18.2,16.2,14.2,16.2,16.2,16.2,14.2,18.2,16.2,2,13,3,1,0.1702,,,2,,,0.5,,
Emanuel Wilson,GB,RB,34,Yes,No,Yes,23,,No,Yes,,,,,,,,,,,,,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,0.087,,,,,,,0.8696,
Quentin Johnston,LAC,WR,81,Yes,No,No,81,23,No,Yes,15,0.6522,6,0.284,11,0.4783,147,17,310,3,2,2,,0.1481,17,13.4783,71.9,1.8148,6.3913,-3.0301,0.087,13.3636,1.5455,9,47.7371,47.7371,0.284,31.7,42.7,37.2,42.7,42.7,45.7,39.2,41.7,41.7,41.7,36.2,42.7,41.7,6,14,4,1,0.8519,,,4,3,0.2727,0.3636,,
Jeff Wilson,MIA,RB,1,Yes,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,
Kameron Johnson,TB,WR,9,No,No,No,9,3,No,Yes,2,0.6667,,0.3333,1,0.3333,17,3,39,,,1,,0.3333,2,13,13.9,1.8889,5.6667,-3.5744,0.3333,17,3,1,5.0539,5.0539,0.3333,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,,17,,,0.6667,,,,,,,,
Corey Kiner,ARZ,RB,1,No,No,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,
Dyami Brown,JAX,WR,45,No,No,No,43,15,Yes,Yes,13,0.8667,2,0.3488,8,0.5333,111,3,215,1,1,4,,0.2093,13,14.3333,99.6,2.5814,7.4,-2.3475,0.2667,13.875,0.375,7,30.6839,30.6839,0.3333,17.1,25.1,21.1,25.1,25.1,28.1,24.1,25.1,25.1,25.1,21.1,25.1,25.1,3,14,3,1,0.7907,,,13,,,1.625,,
Garrett Wilson,NYJ,WR,27,No,No,No,27,14,No,Yes,9,0.6429,,0.5185,8,0.5714,120,16,191,,,1,,0.3704,13,13.6429,55.7,4.4444,8.5714,-0.8277,0.0714,15,2,7,27.5424,27.5424,0.5185,12,20,16,20,20,23,19,20,20,20,16,20,20,1,7,1,1,0.6296,,,4,2,0.25,0.5,,
Luther Burden,CHI,WR,42,Yes,Yes,Yes,42,14,No,Yes,13,0.9286,,0.3333,10,0.7143,204,57,214,,,3,,0.381,10,15.2857,113.7,4.8571,14.5714,4.4119,0.2143,20.4,5.7,10,22.8821,22.8821,0.3333,20.4,30.4,25.4,30.4,30.4,33.4,28.4,30.4,30.4,30.4,25.4,30.4,30.4,,15,,,0.5952,,,33,3,0.3,3.3,0.0238,
Chris Moore,WAS,WR,51,No,No,No,51,8,No,No,6,0.75,,0.1569,5,0.625,102,33,113,,,,,0.1373,6,14.125,106.3,2,12.75,3.0391,,20.4,6.6,5,14.0993,14.0993,0.1569,10.2,15.2,12.7,15.2,15.2,18.2,15.7,15.2,15.2,15.2,12.7,15.2,15.2,,14,3,1,0.8627,,,8,,,1.6,,
Tutu Atwell,LA,WR,39,No,No,Yes,39,7,No,No,4,0.5714,,0.1795,2,0.2857,28,2,98,,,,,0.6154,5,14,4.2,0.7179,4,-5.6837,,14,1,1,10.9411,10.9411,0.1795,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,,10,2,,0.3846,,,1,,,0.5,,1
David Moore,CAR,WR,8,No,No,No,8,,No,Yes,,,,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,0.625,,,,,,,,
Amon-Ra St. Brown,DET,WR,112,Yes,Yes,Yes,111,48,No,Yes,35,0.7292,2,0.4324,30,0.625,613,189,705,2,1,5,,0.5586,40,14.6875,102.8,5.5225,12.7708,2.7756,0.1042,20.4333,6.3,29,93.4109,93.4109,0.4286,73.3,103.3,88.3,103.3,103.3,106.3,91.3,103.3,103.3,103.3,88.3,103.3,103.3,2,17,4,3,0.4414,,,27,3,0.1,0.9,,1
Omarion Hampton,LAC,RB,36,Yes,No,No,25,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,0.04,,,,,,,0.96,
Isaiah Williams,NYJ,WR,35,No,No,No,35,5,No,Yes,4,0.8,,0.1429,4,0.8,68,13,69,,,,,0.6571,4,13.8,118.8,1.9429,13.6,4.0226,,17,3.25,4,7.5311,7.5311,0.1429,6.8,10.8,8.8,10.8,10.8,10.8,8.8,10.8,10.8,10.8,8.8,10.8,10.8,,15,,,0.3429,,,3,,,0.75,,
Charlie Woerner,ATL,TE,55,No,No,No,26,,Yes,No,,,,,,,,,,,,,0.3462,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,0.0385,,,,,,,0.5385,
Josh Palmer,BUF,WR,54,No,No,No,53,18,No,Yes,11,0.6111,,0.3396,10,0.5556,144,47,238,,,,,0.1887,13,13.2222,58.6,2.717,8,-1.2268,,14.4,4.7,7,32.3732,32.3732,0.3333,14.4,24.4,19.4,24.4,24.4,27.4,22.4,24.4,24.4,24.4,19.4,24.4,24.4,,12,4,3,0.8113,,,6,,,0.6,,
Antonio Gibson,NE,RB,4,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,0.3333,,,,,,,0.6667,
Mason Kinsey,TEN,WR,5,No,No,No,5,2,Yes,Yes,2,1,,0.4,1,0.5,14,3,30,,,1,,0.8,2,15,72.9,2.8,7,-3.1237,0.5,14,3,1,2.9108,2.9108,0.4,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,10,,,0.2,,,,,,,,
Jonnu Smith,PIT,TE,45,No,No,No,44,8,No,Yes,4,0.5,2,0.1818,2,0.25,31,7,115,1,1,2,0.3636,0.4545,6,14.375,82.8,0.7045,3.875,-6.3667,0.25,15.5,3.5,2,17.2887,17.2887,0.1778,9.1,11.1,10.1,11.1,12.1,11.1,10.1,11.1,11.1,11.1,10.1,12.1,11.1,2,17,,,0.1591,,,3,,,1.5,0.0227,
Harrison Bryant,HST,TE,11,Yes,No,Yes,4,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,
Tylan Wallace,BLT,WR,23,No,No,No,23,4,No,Yes,2,0.5,2,0.1739,2,0.5,29,3,54,1,1,,,0.3478,3,13.5,113.5,1.2609,7.25,-2.031,,14.5,1.5,2,8.6001,8.6001,0.1739,8.9,10.9,9.9,10.9,10.9,10.9,9.9,10.9,10.9,10.9,9.9,10.9,10.9,2,14,,,0.6522,,,2,,,1,,
Josiah Deguara,ARZ,TE,6,No,No,Yes,6,,No,No,,,,,,,,,,,,,0.1667,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0.1667,
Braelon Allen,NYJ,RB,3,No,No,Yes,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,
Elijah Higgins,ARZ,TE,48,No,No,Yes,47,6,No,No,4,0.6667,,0.1277,3,0.5,44,10,71,,,,0.4894,0.4468,4,11.8333,74.3,0.9362,7.3333,-1.5289,,14.6667,3.3333,3,12.2526,12.2526,0.125,4.4,7.4,5.9,7.4,8.9,7.4,5.9,7.4,7.4,7.4,5.9,8.9,7.4,1,17,3,,0.0426,,,6,,,2,0.0213,
Adam Thielen,PIT,WR,47,No,No,No,47,12,No,Yes,7,0.5833,1,0.2553,4,0.3333,61,7,170,,,2,,0.6596,8,14.1667,51,1.2979,5.0833,-4.7251,0.1667,15.25,1.75,4,20.038,20.038,0.2553,6.1,10.1,8.1,10.1,10.1,10.1,8.1,10.1,10.1,10.1,8.1,10.1,10.1,1,16,3,2,0.3404,,,,,,,,
Pat Freiermuth,PIT,TE,49,No,No,No,49,11,No,Yes,7,0.6364,4,0.2245,6,0.5455,97,26,141,3,2,,0.1633,0.6327,8,12.8182,86,1.9796,8.8182,-0.4089,,16.1667,4.3333,6,29.3421,29.3421,0.2245,27.7,33.7,30.7,33.7,36.7,33.7,30.7,33.7,33.7,33.7,30.7,36.7,33.7,5,17,3,3,0.2041,,,7,,,1.1667,,
Isiah Pacheco,KC,RB,37,No,Yes,No,28,1,No,No,1,1,,0.0357,1,1,31,15,16,,,,,0.0357,,16,118.8,1.1071,31,20.3333,,31,15,1,1.9627,1.9627,0.027,3.1,4.1,3.6,4.6,4.1,4.1,3.6,4.1,4.1,4.1,3.6,4.1,4.1,,13,,,0.1071,,,1,,,1,0.8571,
Darren Waller,MIA,TE,39,No,No,No,39,16,No,Yes,10,0.625,5,0.4103,9,0.5625,95,9,216,5,5,,0.2564,0.2821,12,13.5,113.3,2.4359,5.9375,-3.8008,,10.5556,1,9,34.2533,34.2533,0.4103,39.5,48.5,44,48.5,53,48.5,44,48.5,48.5,48.5,44,53,48.5,5,9,4,3,0.4615,,,,,,,,1
LeQuint Allen,JAX,RB,47,No,No,No,32,,Yes,Yes,,,,,,,,,,,,,,0.125,,,,,,,,,,,3.2667,3.2667,,,,,,,,,,,,,,,,17,,,,,,,,,,0.875,
Colston Loveland,CHI,TE,79,Yes,Yes,Yes,76,22,No,Yes,13,0.5909,2,0.2895,12,0.5455,266,101,323,2,1,,0.4605,0.3026,16,14.6818,128.2,3.5,12.0909,1.7958,,22.1667,8.4167,11,41.6362,41.6362,0.2785,38.6,50.6,44.6,50.6,56.6,53.6,47.6,50.6,50.6,50.6,44.6,56.6,50.6,3,16,4,3,0.2368,,,64,3,0.25,5.3333,,
Bijan Robinson,ATL,RB,127,No,No,No,107,4,Yes,No,2,0.5,,0.0374,2,0.5,32,6,51,,,,,0.1869,2,12.75,77.1,0.2991,8,0.0082,,16,3,1,7.372,7.372,0.0315,3.2,5.2,4.2,6.2,5.2,5.2,4.2,5.2,5.2,5.2,4.2,5.2,5.2,1,17,,,0.1308,,,1,,,0.5,0.6822,
Jaleel McLaughlin,DEN,RB,7,No,No,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,0.2,,,,,,,0.8,
Calvin Austin,PIT,WR,45,No,No,No,45,11,No,Yes,7,0.6364,2,0.2444,6,0.5455,115,25,167,2,2,,,0.4444,9,15.1818,92.8,2.5556,10.4545,0.4684,,19.1667,4.1667,6,22.916,22.916,0.2444,23.5,29.5,26.5,29.5,29.5,32.5,29.5,29.5,29.5,29.5,26.5,29.5,29.5,2,14,4,3,0.5111,,,5,1,0.1667,0.8333,0.0444,1
Ronnie Bell,NO,WR,1,No,No,No,1,,Yes,No,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Kareem Hunt,KC,RB,49,No,No,No,37,1,No,Yes,,,,0.027,,,,,14,,,,,,,14,,,,-9.9318,,,,,1.7048,1.7048,0.0204,,,,,,,,,,,,,,1,17,1,,0.027,,,,,,,0.973,
Derrick Henry,BLT,RB,43,No,No,No,33,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,1,
Robert Tonyan,KC,TE,3,No,No,No,3,,No,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,
Andre Baccellia,ARZ,WR,14,No,No,No,14,,No,No,,,,,,,,,,,,,,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,0.7143,,,,,,,,
Elic Ayomanor,TEN,WR,104,No,No,No,104,33,Yes,Yes,19,0.5758,3,0.3173,11,0.3333,146,14,455,2,1,4,,0.2019,27,13.7879,55.9,1.4038,4.4242,-5.0224,0.1212,13.2727,1.2727,10,61.499,61.499,0.3173,26.6,37.6,32.1,37.6,37.6,40.6,35.1,37.6,37.6,37.6,32.1,37.6,37.6,4,16,10,5,0.7981,,,5,,,0.4545,,1
Ty Johnson,BUF,RB,50,No,No,No,44,2,No,Yes,2,1,,0.0455,1,0.5,23,6,34,,,1,0.0682,0.25,2,17,91.7,0.5227,11.5,6.314,0.5,23,6,1,5.083,5.083,0.04,2.3,3.3,2.8,3.8,3.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,1,17,,,0.1364,,,,,,,0.5455,
Van Jefferson,TEN,WR,68,No,Yes,No,68,19,Yes,Yes,10,0.5263,1,0.2794,8,0.4211,114,15,259,,,,,0.1618,9,13.6316,62.2,1.6765,6,-3.35,,14.25,1.875,6,33.8676,33.8676,0.2794,11.4,19.4,15.4,19.4,19.4,22.4,18.4,19.4,19.4,19.4,15.4,19.4,19.4,2,16,4,3,0.8382,,,4,,,0.5,,
Elijah Moore,BUF,WR,21,No,Yes,No,21,5,No,No,3,0.6,,0.2381,2,0.4,45,20,74,,,,,0.4286,3,14.8,33.3,2.1429,9,-1.1281,,22.5,10,2,8.8739,8.8739,0.2381,4.5,6.5,5.5,6.5,6.5,6.5,5.5,6.5,6.5,6.5,5.5,6.5,6.5,,9,1,1,0.5714,,,,,,,,
