Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,AlignmentWideRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,YardsAfterContactTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerReceptionYardsAfterContact,AlignmentBackfieldRoutesPercentage,ReceptionsHero
Wan'Dale Robinson,NYG,WR,95,No,No,No,94,26,No,Yes,20,0.7692,2,0.2766,17,0.6538,324,78,363,2,1,1,,0.6702,17,13.9615,118.1,3.4468,12.4615,2.8482,0.0385,19.0588,4.5882,14,50.005,50.005,0.2737,44.4,61.4,52.9,61.4,61.4,64.4,55.9,61.4,61.4,61.4,52.9,61.4,61.4,3,16,6,2,0.3191,,,40,2,0.1176,2.3529,0.0106,
Jerome Ford,CLV,RB,42,No,No,Yes,27,,Yes,Yes,,,,,,,,,,,,,0.1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,0.0741,,,,,,,0.7407,
George Pickens,DAL,WR,109,No,No,Yes,109,33,No,No,25,0.7576,3,0.3028,22,0.6667,416,121,453,1,,1,,0.055,20,13.7273,107.2,3.8165,12.6061,3.0507,0.0303,18.9091,5.5,22,63.8689,63.8689,0.3028,47.6,69.6,58.6,69.6,69.6,72.6,61.6,69.6,69.6,69.6,58.6,69.6,69.6,3,17,11,8,0.945,,,75,6,0.2727,3.4091,,1
Jeremy McNichols,WAS,RB,41,No,No,No,28,,No,No,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,0.0357,,,,,,,0.7143,
Rico Dowdle,CAR,RB,52,No,No,No,37,1,No,Yes,,,1,0.027,,,,,14,,,,,0.0541,1,14,39.6,,,-9.9318,,,,,2.5771,2.5771,0.0192,,,,,,,,,,,,,,1,17,,,0.1351,,,,,,,0.8108,
Ricky Pearsall,SF,WR,59,No,No,No,59,23,No,No,15,0.6522,3,0.3898,15,0.6522,215,13,324,,,,,0.2542,20,14.087,77.3,3.6441,9.3478,-0.3185,,14.3333,0.8667,15,56.2461,56.2461,0.3898,21.5,36.5,29,36.5,36.5,39.5,32,36.5,36.5,36.5,29,36.5,36.5,4,9,2,2,0.7458,,,6,,,0.4,,
Pharaoh Brown,ARZ,TE,3,No,No,Yes,3,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
Chris Olave,NO,WR,115,No,Yes,No,114,44,Yes,Yes,31,0.7045,6,0.386,27,0.6136,383,29,595,4,4,2,,0.3684,37,13.5227,119.8,3.3596,8.7045,-0.7768,0.0455,14.1852,1.0741,24,91.0414,91.0414,0.3826,62.3,89.3,75.8,89.3,89.3,92.3,78.8,89.3,89.3,89.3,75.8,89.3,89.3,8,16,7,2,0.6316,,,6,2,0.0741,0.2222,,2
Grant Calcaterra,PHI,TE,25,No,No,No,17,3,No,No,1,0.3333,1,0.1765,1,0.3333,15,1,45,1,,,0.5882,0.2941,2,15,90.3,0.8824,5,-4.8478,,15,1,1,7.6272,7.6272,0.12,7.5,8.5,8,8.5,9,8.5,8,8.5,8.5,8.5,8,9,8.5,2,15,1,1,0.1176,,,,,,,,
Rashod Bateman,BLT,WR,63,No,Yes,Yes,62,13,No,No,11,0.8462,2,0.2097,8,0.6154,126,7,192,1,1,2,,0.1129,9,14.7692,119.4,2.0323,9.6923,-0.2715,0.1538,15.75,0.875,7,24.7318,24.7318,0.2063,18.6,26.6,22.6,26.6,26.6,29.6,25.6,26.6,26.6,26.6,22.6,26.6,26.6,2,13,3,2,0.8871,,,1,,,0.125,,1
Tee Higgins,CIN,WR,99,No,No,Yes,98,33,Yes,Yes,25,0.7576,3,0.3367,19,0.5758,298,58,443,3,2,1,,0.1122,29,13.4242,105.4,3.0408,9.0303,-0.2508,0.0303,15.6842,3.0526,19,62.0969,62.0969,0.3333,47.8,66.8,57.3,66.8,66.8,69.8,60.3,66.8,66.8,66.8,57.3,66.8,66.8,5,15,12,7,0.8878,,,32,3,0.1579,1.6842,,1
Scott Miller,PIT,WR,11,No,No,No,11,1,No,Yes,1,1,,0.0909,1,1,15,5,10,,,,,0.1818,1,10,118.8,1.3636,15,7.5,,15,5,1,3.0654,3.0654,0.0909,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,,13,,,0.8182,,,,,,,,
Jaylen Waddle,MIA,WR,84,No,No,No,83,41,No,Yes,29,0.7073,,0.494,28,0.6829,485,120,561,1,,1,,0.2289,37,13.6829,116.4,5.8434,11.8293,2.2789,0.0244,17.3214,4.2857,28,71.7536,71.7536,0.4881,54.5,82.5,68.5,82.5,82.5,85.5,71.5,82.5,82.5,82.5,68.5,82.5,82.5,2,16,7,6,0.7711,,,44,4,0.1429,1.5714,,
Stephen Carlson,CHI,TE,2,No,No,No,1,,No,No,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Josh Jacobs,GB,RB,46,No,Yes,Yes,33,1,No,No,1,1,1,0.0303,1,1,14,,19,1,1,,0.0303,0.0303,,19,158.3,0.4242,14,5.6667,,14,,1,1.8968,1.8968,0.0217,7.4,8.4,7.9,8.9,8.4,8.4,7.9,8.4,8.4,8.4,7.9,8.4,8.4,1,15,1,1,0.0303,,,,,,,0.9091,1
Cade Stover,HST,TE,17,Yes,No,Yes,13,,No,Yes,,,,,,,,,,,,,0.6923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,0.3077,,,,,,,,
Greg Dulcich,MIA,TE,31,Yes,Yes,No,30,7,No,No,7,1,1,0.2333,6,0.8571,114,32,96,1,1,,0.4,0.4,6,13.7143,158.3,3.8,16.2857,6.5688,,19,5.3333,6,12.24,12.24,0.2258,17.4,23.4,20.4,23.4,26.4,26.4,23.4,23.4,23.4,23.4,20.4,26.4,23.4,1,10,2,1,0.2,,,18,1,0.1667,3,,
Gunnar Helm,TEN,TE,54,No,Yes,No,46,13,Yes,Yes,11,0.8462,2,0.2826,7,0.5385,112,15,193,,,1,0.5217,0.3913,10,14.8462,82.9,2.4348,8.6154,-1.6891,0.0769,16,2.1429,6,26.1823,26.1823,0.2407,11.2,18.2,14.7,18.2,21.7,21.2,17.7,18.2,18.2,18.2,14.7,21.7,18.2,3,16,6,3,0.0652,,,5,,,0.7143,0.0217,1
Justin Jefferson,MIN,WR,116,Yes,No,Yes,116,50,No,Yes,32,0.64,7,0.431,28,0.56,468,81,685,2,2,2,,0.3017,41,13.7,84.4,4.0345,9.36,-0.0778,0.04,16.7143,2.8929,24,98.2603,98.2603,0.431,58.8,86.8,72.8,86.8,86.8,89.8,75.8,86.8,86.8,86.8,72.8,86.8,86.8,9,17,14,12,0.6983,,,44,4,0.1429,1.5714,,3
Rashid Shaheed,SEA,WR,87,No,No,No,87,25,Yes,Yes,16,0.64,2,0.2874,16,0.64,250,17,366,,,,,0.2184,17,14.64,63.8,2.8736,10,-0.0794,,15.625,1.0625,15,46.9349,46.9349,0.2874,25,41,33,41,41,44,36,41,41,41,33,41,41,3,18,3,3,0.7816,,,34,,,2.125,,
Xavier Legette,CAR,WR,80,No,No,No,79,22,No,Yes,15,0.6818,4,0.2785,9,0.4091,124,17,300,1,1,2,,0.3544,19,13.6364,55.9,1.5696,5.6364,-3.8481,0.0909,13.7778,1.8889,8,47.4066,47.4066,0.275,18.4,27.4,22.9,27.4,27.4,30.4,25.9,27.4,27.4,27.4,22.9,27.4,27.4,4,15,6,4,0.6456,,,11,,,1.2222,,
Johnny Mundt,JAX,TE,39,No,No,No,25,3,Yes,Yes,2,0.6667,,0.12,,,,,45,,,1,0.76,0.16,,15,39.6,,,-9.5183,0.3333,,,,5.2434,5.2434,0.0769,,,,,,,,,,,,,,,16,2,,0.08,,,,,,,,
