Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero
Bucky Irving,TB,RB,50,No,No,Yes,39,27,No,1,Yes,26,0.963,0.6923,26,1,0.963,196,304,82,-108,2,16,0.6154,0.8974,0.0513,0.0513,11,7,0.2593,-4,121.6,5.0256,7.2593,1.8321,7.5385,11.6923,3.1538,10,42.9971,42.9971,0.54,31.6,57.6,44.6,70.6,57.6,60.6,47.6,57.6,57.6,57.6,44.6,57.6,57.6,2,10,,,,
Keaton Mitchell,BLT,RB,13,No,No,No,10,10,No,,Yes,8,0.8,1,7,,0.7,42,68,4,-37,,,,0.7,0.3,,5,5,0.5,-3.7,38.3,4.2,4.2,-1.5178,6,9.7143,0.5714,1,14.8819,14.8819,0.7692,4.2,11.2,7.7,14.7,11.2,11.2,7.7,11.2,11.2,11.2,7.7,11.2,11.2,,13,1,0.1,,
DJ Moore,CHI,WR,81,No,No,No,46,14,No,1,No,14,1,0.3043,11,,0.7857,47,79,18,-40,,1,0.0909,0.087,0.3261,0.587,13,13,0.9286,-2.8571,80.7,1.0217,3.3571,-1.6755,4.2727,7.1818,1.6364,3,21.2535,21.2535,0.1728,4.7,15.7,10.2,15.7,15.7,15.7,10.2,15.7,15.7,15.7,10.2,15.7,15.7,3,17,2,0.1429,,
Tyjae Spears,TEN,RB,65,No,No,No,47,38,No,,Yes,37,0.9737,0.8085,34,,0.8947,171,312,100,-171,,17,0.5,0.7021,0.1915,0.0851,19,15,0.3947,-4.5,85.4,3.6383,4.5,-1.0076,5.0294,9.1765,2.9412,8,58.8186,58.8186,0.5846,17.1,51.1,34.1,68.1,51.1,54.1,37.1,51.1,51.1,51.1,34.1,51.1,51.1,7,13,3,0.0789,0.0213,
Josh Oliver,MIN,TE,25,Yes,No,Yes,10,5,No,,Yes,4,0.8,0.5,4,,0.8,17,28,4,-14,,1,0.25,,0.1,,4,1,0.2,-2.8,80.8,1.7,3.4,-2.3667,4.25,7,1,1,9.4843,9.4843,0.2,1.7,5.7,3.7,5.7,7.7,5.7,3.7,5.7,5.7,5.7,3.7,7.7,5.7,1,15,,,0.9,
Nick Chubb,HST,RB,15,No,No,Yes,10,8,No,,Yes,7,0.875,0.8,7,,0.875,26,46,7,-22,,,,1,,,4,4,0.5,-2.75,80.2,2.6,3.25,-2.7728,3.7143,6.5714,1,1,13.7181,13.7181,0.5333,2.6,9.6,6.1,13.1,9.6,9.6,6.1,9.6,9.6,9.6,6.1,9.6,9.6,1,15,,,,
Michael Carter,ARZ,RB,37,Yes,No,No,28,17,No,,Yes,17,1,0.6071,17,,1,123,145,60,-22,,10,0.5882,0.8929,0.0714,0.0357,6,1,0.0588,-1.2941,96.8,4.3929,7.2353,1.2896,7.2353,8.5294,3.5294,6,26.0509,26.0509,0.4595,12.3,29.3,20.8,37.8,29.3,32.3,23.8,29.3,29.3,29.3,20.8,29.3,29.3,2,13,,,,
Isaiah Bond,CLV,WR,54,No,No,No,42,5,No,,Yes,5,1,0.119,4,,0.8,38,33,6,-19,,1,0.25,0.0238,0.4524,0.5238,4,4,0.8,-3.8,98.3,0.9048,7.6,2.0726,9.5,8.25,1.5,2,8.3662,8.3662,0.0926,3.8,7.8,5.8,7.8,7.8,7.8,5.8,7.8,7.8,7.8,5.8,7.8,7.8,1,16,1,0.2,,
Isaiah Davis,NYJ,RB,20,No,No,No,13,11,No,1,Yes,11,1,0.8462,11,1,1,67,109,24,-42,,,,0.7692,0.1538,0.0769,5,5,0.4545,-3.8182,92,5.1538,6.0909,0.5798,6.0909,9.9091,2.1818,3,17.2268,17.2268,0.55,6.7,17.7,12.2,23.2,17.7,17.7,12.2,17.7,17.7,17.7,12.2,17.7,17.7,,16,,,,
Colby Parkinson,LA,TE,45,Yes,No,No,30,18,No,1,Yes,16,0.8889,0.6,15,,0.8333,111,138,24,-32,1,2,0.1333,,0.0333,0.0333,13,10,0.5556,-1.7778,87.7,3.7,6.1667,0.8849,7.4,9.2,1.6,4,30.0743,30.0743,0.4,16.1,31.1,23.6,31.1,38.6,34.1,25.6,30.1,30.1,30.1,22.6,38.6,30.1,7,15,1,0.0556,0.9333,
