teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsReceivingTouchdownsTotal,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTouchdownsInEndzone
8,Cleveland,Browns,,BLT,AFC,AFC North,Open,Open,Cover 2,17,91,No,No,Yes,387,81,No,4,Yes,66,0.8148,0.2093,58,1,,0.716,748,431,104,694,5,8,0.1379,0.1975,0.1605,0.2346,0.4074,48,0.5926,13,0.1605,8.5679,107.4,1.9328,9.2346,1.4888,0.0617,12.8966,7.431,1.7931,25,3,,1,1
27,Pittsburgh,Steelers,1,CIN,AFC,AFC North,Open,Open,Cover 2,17,99,Yes,No,No,470,80,No,7,Yes,68,0.85,0.1702,63,5,1,0.7875,659,355,118,557,3,12,0.1905,0.1875,0.0875,0.3125,0.4125,43,0.5375,6,0.075,6.9625,107.2,1.4021,8.2375,0.7339,0.0375,10.4603,5.6349,1.873,29,4,4,4,2
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Open,Cover 2,17,116,No,Yes,No,504,91,No,9,No,74,0.8132,0.1806,69,6,2,0.7582,615,345,113,694,2,5,0.0725,0.1978,0.1538,0.3846,0.2637,56,0.6154,9,0.0989,7.6264,75.1,1.2202,6.7582,-0.675,0.022,8.913,5,1.6377,29,,2,3,
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Open,Cover 2,17,57,No,No,No,240,45,No,2,Yes,39,0.8667,0.1875,34,1,,0.7556,360,209,50,282,2,4,0.1176,0.2,0.1778,0.2,0.4222,31,0.6889,8,0.1778,6.2667,96.5,1.5,8,0.7948,0.0444,10.5882,6.1471,1.4706,21,1,1,,
24,New York,Giants,,PHI,NFC,NFC East,Open,Open,Cover 2,17,57,Yes,No,No,241,52,No,2,Yes,48,0.9231,0.2158,46,2,,0.8846,467,259,130,262,2,9,0.1957,0.2308,0.1923,0.1923,0.3846,38,0.7308,6,0.1154,5.0385,96.1,1.9378,8.9808,2.1436,0.0385,10.1522,5.6304,2.8261,22,,,,
6,Chicago,Bears,,GB,NFC,NFC North,Closed,Open,Cover 2,17,84,No,No,No,363,71,No,5,Yes,56,0.7887,0.1956,51,1,,0.7183,443,312,104,352,2,9,0.1765,0.2254,0.1127,0.2817,0.3803,43,0.6056,8,0.1127,4.9577,70.3,1.2204,6.2394,-0.7904,0.0282,8.6863,6.1176,2.0392,16,,8,2,
1,Arizona,Cardinals,1,SF,NFC,NFC West,Open,Open,Cover 2,17,108,No,No,No,455,88,No,5,Yes,79,0.8977,0.1934,74,3,,0.8409,782,438,139,585,2,13,0.1757,0.25,0.125,0.3068,0.3182,47,0.5341,10,0.1136,6.6477,99,1.7187,8.8864,1.4668,0.0227,10.5676,5.9189,1.8784,38,,1,1,
4,Buffalo,Bills,,NE,AFC,AFC East,Closed,Open,Cover 2,17,120,No,No,No,482,107,No,6,Yes,96,0.8972,0.222,88,5,,0.8224,891,574,141,540,4,9,0.1023,0.2336,0.1215,0.3738,0.271,74,0.6916,24,0.2243,5.0467,100.6,1.8485,8.3271,1.2918,0.0374,10.125,6.5227,1.6023,44,1,7,,
14,Indianapolis,Colts,1,JAX,AFC,AFC South,Open,Open,Cover 2,17,116,No,Yes,No,515,97,No,5,Yes,80,0.8247,0.1883,75,3,1,0.7732,736,411,200,610,3,21,0.28,0.2474,0.1237,0.3093,0.3196,58,0.5979,9,0.0928,6.2887,67.2,1.4291,7.5876,0.3479,0.0309,9.8133,5.48,2.6667,33,1,6,3,
5,Carolina,Panthers,,ATL,NFC,NFC South,Closed,Open,Cover 2,17,47,Yes,No,No,209,39,No,2,Yes,35,0.8974,0.1866,31,1,,0.7949,348,168,42,269,2,6,0.1935,0.2821,,0.3846,0.3333,26,0.6667,4,0.1026,6.8974,101.7,1.6651,8.9231,1.4409,0.0513,11.2258,5.4194,1.3548,14,1,3,,
10,Denver,Broncos,1,KC,AFC,AFC West,Closed,Open,Cover 2,17,80,No,Yes,No,369,63,No,7,No,50,0.7937,0.1707,44,4,1,0.6984,434,240,88,398,2,5,0.1136,0.1746,0.1111,0.3968,0.3175,37,0.5873,5,0.0794,6.3175,55.9,1.1762,6.8889,-0.5684,0.0317,9.8636,5.4545,2,18,,3,1,
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 2,17,84,Yes,Yes,Yes,357,74,No,2,No,57,0.7703,0.2073,54,1,1,0.7297,618,454,125,418,2,6,0.1111,0.2568,0.1486,0.1892,0.3919,44,0.5946,5,0.0676,5.6486,89.8,1.7311,8.3514,1.3252,0.027,11.4444,8.4074,2.3148,25,2,6,,
31,Tennessee,Titans,1,HST,AFC,AFC South,Open,Open,Cover 2,17,48,No,No,No,204,35,No,4,Yes,29,0.8286,0.1716,25,2,,0.7143,272,150,48,222,2,3,0.12,0.1714,0.1429,0.3143,0.3714,25,0.7143,5,0.1429,6.3429,79.7,1.3333,7.7714,0.283,0.0571,10.88,6,1.92,11,1,2,1,1
22,New England,Patriots,1,BUF,AFC,AFC East,Closed,Open,Cover 2,17,96,No,No,No,386,82,No,4,Yes,78,0.9512,0.2124,73,2,,0.8902,677,380,126,440,4,16,0.2192,0.1951,0.0976,0.2683,0.439,51,0.622,15,0.1829,5.3659,100.1,1.7539,8.2561,1.3927,0.0488,9.274,5.2055,1.726,23,1,3,,
30,Tampa Bay,Buccaneers,1,NO,NFC,NFC South,Open,Open,Cover 2,17,105,No,No,No,440,91,No,3,Yes,78,0.8571,0.2068,70,1,1,0.7692,713,346,85,640,4,10,0.1429,0.2308,0.1209,0.2967,0.3516,52,0.5714,12,0.1319,7.033,101.6,1.6205,7.8352,0.3467,0.044,10.1857,4.9429,1.2143,29,2,1,,
