teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingTouchdownsTotal,opponentStatsPassingRunPassOptionPercentage
5,Carolina,Panthers,,ATL,NFC,NFC South,Closed,Open,Cover 2,17,47,43,0.813953488372093,,31,0.7209302325581395,0.8461538461538461,0.08896901753846154,2,2,4,0.046511627906976744,348,8.093023255813954,0.4827586206896552,7.181818181818182,269,1,1,,4,-7,0.02127659574468085,Yes,No,16,0.3404255319148936,0.013879787234042557,No,0.06976744186046512,4,0.09302325581395349,0.046511627906976744,0.023255813953488372,0.6046511627906976,0.16279069767441862,0.5348837209302325,2.644186046511628,1.7,5.933333333333334,2.4625,6.897435897435898,93.9,No,Yes,14,1,
6,Chicago,Bears,,GB,NFC,NFC North,Closed,Open,Cover 2,17,84,75,0.7466666666666667,2,51,0.68,0.7464788732394366,-0.05405647026760563,4,,10,0.02666666666666667,443,5.906666666666666,0.7042889390519187,3.207317073170732,352,3,7,1,5,-45,0.08333333333333333,No,No,28,0.3333333333333333,-0.005854166666666663,No,0.18666666666666668,3,0.04,0.08,0.013333333333333334,0.5733333333333334,0.21333333333333335,0.56,2.7773333333333334,3.3714285714285714,4.6,2.5321428571428575,4.957746478873239,66.7,No,Yes,16,,0.011904761904761904
24,New York,Giants,,PHI,NFC,NFC East,Open,Open,Cover 2,17,57,54,0.8888888888888888,,46,0.8518518518518519,0.9230769230769231,0.13013937021153854,2,,3,0.037037037037037035,467,8.648148148148149,0.5546038543897216,7.285714285714286,262,1,2,,1,-14,0.03508771929824561,Yes,No,12,0.21052631578947367,-0.08346842105263158,No,0.07407407407407407,2,0.037037037037037035,0.018518518518518517,,0.7037037037037037,0.07407407407407407,0.5555555555555556,2.374074074074074,2.9000000000000004,3.4,2.6083333333333334,5.038461538461538,95,No,Yes,22,,0.03508771929824561
10,Denver,Broncos,True,KC,AFC,AFC West,Closed,Open,Cover 2,17,80,64,0.78125,1,44,0.6875,0.7301587301587301,-0.039700554333333415,1,,5,0.03125,434,6.78125,0.5529953917050692,2.0675675675675675,398,5,10,1,3,-56,0.125,No,Yes,29,0.3625,0.107425625,No,0.1875,1,0.015625,0.0625,0.015625,0.578125,0.1875,0.546875,2.4234375,3.2600000000000002,4.833333333333333,2.3310344827586205,6.317460317460317,55.1,No,No,18,,0.0125
14,Indianapolis,Colts,True,JAX,AFC,AFC South,Open,Open,Cover 2,17,116,102,0.7843137254901961,3,75,0.7352941176470589,0.8041237113402062,0.03298456008247419,5,,33,0.029411764705882353,736,7.215686274509804,0.5584239130434783,3.6285714285714286,610,8,3,2,3,-15,0.02586206896551724,No,Yes,32,0.27586206896551724,-0.025035344827586205,No,0.1568627450980392,8,0.0784313725490196,0.06862745098039216,0.00980392156862745,0.5686274509803921,0.11764705882352941,0.5882352941176471,2.5588235294117645,2.9333333333333336,4.363636363636363,2.50625,6.288659793814433,64,No,Yes,33,1,0.034482758620689655
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Open,Cover 2,17,57,51,0.7647058823529411,,34,0.6666666666666666,0.8,0.03078044533333335,6,,8,0.0392156862745098,360,7.0588235294117645,0.5805555555555556,5.618181818181818,282,1,4,2,5,-26,0.07017543859649122,No,No,13,0.22807017543859648,-0.08839561403508774,No,0.11764705882352941,5,0.09803921568627451,0.0392156862745098,0.0392156862745098,0.6078431372549019,0.058823529411764705,0.5686274509803921,2.6254901960784314,4.75,4.35,2.553846153846154,6.266666666666667,85.4,No,Yes,21,1,0.017543859649122806
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 2,17,84,77,0.7402597402597403,,54,0.7012987012987013,0.7567567567567568,-0.025263031986486384,2,1,34,0.025974025974025976,618,8.025974025974026,0.7346278317152104,5.865853658536586,418,3,5,3,5,-42,0.05952380952380952,Yes,Yes,25,0.2976190476190476,-0.028815476190476197,Yes,0.2077922077922078,7,0.09090909090909091,0.06493506493506493,0.05194805194805195,0.5714285714285714,0.07792207792207792,0.5064935064935064,2.6394805194805198,2.94,4.5,2.412,5.648648648648648,86.4,No,No,25,2,0.023809523809523808
17,Los Angeles,Rams,True,SEA,NFC,NFC West,Open,Open,Cover 2,17,85,77,0.7532467532467533,,52,0.6753246753246753,0.8,0.03722204805714291,3,3,38,0.05194805194805195,526,6.8311688311688314,0.5228136882129277,5.317073170731708,475,1,5,2,3,-45,0.058823529411764705,Yes,Yes,30,0.35294117647058826,0.001661176470588251,Yes,0.15584415584415584,9,0.11688311688311688,0.025974025974025976,0.03896103896103896,0.4935064935064935,0.18181818181818182,0.5194805194805194,2.8207792207792206,4.319999999999999,4.966666666666666,2.76,6.957746478873239,81.4,No,No,22,,
31,Tennessee,Titans,True,HST,AFC,AFC South,Open,Open,Cover 2,17,48,37,0.7837837837837838,1,25,0.6756756756756757,0.7714285714285715,0.007119365857142901,2,,-6,0.05405405405405406,272,7.351351351351352,0.5514705882352942,4.238095238095238,222,2,5,2,5,-24,0.10416666666666667,No,No,25,0.5208333333333334,0.235409375,No,0.16216216216216217,2,0.05405405405405406,0.05405405405405406,,0.6756756756756757,0.05405405405405406,0.5675675675675675,2.7216216216216216,3.78,4.816666666666667,2.508,6.3428571428571425,75.5,No,Yes,11,1,
22,New England,Patriots,True,BUF,AFC,AFC East,Closed,Open,Cover 2,17,96,85,0.9176470588235294,,73,0.8588235294117647,0.9506172839506173,0.15175926885185187,1,2,8,0.047058823529411764,677,7.964705882352941,0.5612998522895125,6.977777777777778,405,1,5,1,2,-24,0.052083333333333336,No,No,25,0.2604166666666667,-0.023882812500000017,No,0.03529411764705882,6,0.07058823529411765,0.023529411764705882,0.011764705882352941,0.6,0.11764705882352941,0.6705882352941176,2.436470588235294,3.54,4.6000000000000005,2.4,5.365853658536586,98.9,No,Yes,23,1,0.03125
