Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,InterceptionsTotal,TowThrowPercentage,HeroThrowPercentage,TouchdownsTotal,RunPassOptionPercentage
Matthew Stafford,LA,QB,91,91,91,0.7253,10,54,0.5934,0.7654,-0.0011,91,518,5.6923,0.5792,6.7912,474,Yes,No,32,0.3516,41.8258,-0.108,Yes,0.1648,5,0.0549,0.5385,0.1209,0.5824,3.2396,2.9656,5.8519,93.6,No,Yes,29,40.72,40.72,40.72,40.72,40.72,43.72,43.72,40.72,40.72,40.72,40.72,45.9,45.9,17,10,,48,0.0879,,,0.033,5,
J.J. McCarthy,MIN,QB,32,32,32,0.5938,4,18,0.5625,0.6786,-0.0338,32,203,6.3438,0.3498,7.5938,253,Yes,Yes,19,0.5938,19.3024,-0.0094,No,0.2812,3,0.0938,0.4688,0.0312,0.375,4.0719,2.6158,9.0357,96.2,Yes,Yes,11,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,16.12,18.15,18.15,10,3,1,11,0.0312,,,0.0938,2,
Patrick Mahomes,KC,QB,90,90,90,0.6444,7,48,0.5333,0.7465,0.0876,90,739,8.2111,0.3302,9.2667,875,Yes,Yes,61,0.6778,52.3612,0.096,No,0.1444,11,0.1222,0.3333,0.0111,0.5,3.9478,2.6754,12.3239,102,No,No,37,56.56,56.56,56.56,56.56,56.56,59.56,59.56,55.56,55.56,55.56,55.56,63.95,62.95,14,19,,46,0.0556,1,0.0222,0.0667,7,
Tyson Bagent,CHI,QB,1,1,1,1,,1,1,1,0.0628,1,20,20,1.25,20,-5,No,No,1,1,0.5391,0.4609,No,,,,1,,1,3.7,3.6,-5,118.8,No,No,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,3,,,,,,,,,
Trey Lance,LAC,QB,9,9,9,0.4444,,4,0.4444,0.6667,-0.0398,9,37,4.1111,0.4054,4.1111,66,No,Yes,5,0.5556,5.1275,-0.0142,No,0.2222,2,0.2222,0.3333,0.1111,0.3333,3.8778,2.56,9.4286,56.3,No,No,2,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.85,1.85,4,2,,,,,0.1111,0.1111,,0.2222
Tyler Shough,NO,QB,47,46,46,0.6304,3,26,0.5652,0.7436,0.0535,46,404,8.7826,0.3218,10.087,398,No,Yes,32,0.6957,26.9353,0.1101,Yes,0.2174,8,0.1739,0.2826,0.1087,0.5435,3.9696,2.5187,10.2051,107.5,No,Yes,15,28.16,28.16,28.16,28.16,28.16,31.16,31.16,28.16,28.16,28.16,28.16,32.2,32.2,11,7,,1,0.0652,,0.0217,0.1522,3,0.0217
Jalen Hurts,PHI,QB,87,87,87,0.6207,3,43,0.4943,0.697,-0.0161,87,513,5.8966,0.3275,5.5517,612,No,Yes,56,0.6437,56.3331,-0.0038,Yes,0.1379,8,0.092,0.3103,0.069,0.5287,4.3287,2.7464,9,69.8,No,No,26,30.52,30.52,30.52,30.52,30.52,33.52,33.52,28.52,28.52,28.52,28.52,35.65,33.65,16,18,1,4,0.0345,2,0.0345,0.046,3,0.1494
Cooper Rush,BLT,QB,6,6,6,0.6667,,3,0.5,0.5,-0.2178,6,28,4.6667,0.2857,4.6667,47,No,Yes,4,0.6667,3.7518,0.0414,Yes,0.3333,,,0.1667,,0.1667,4.2,2.25,7.8333,63.2,No,Yes,3,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.4,1.4,4,,,,,,,,,
Malik Willis,GB,QB,8,8,8,1,1,8,1,1,0.269,8,88,11,0.2841,13.5,70,No,Yes,4,0.5,4.2779,-0.0347,Yes,,2,0.25,0.625,0.125,0.75,3.675,2.9,8.75,152.1,No,No,5,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,8.4,8.4,4,,,,,,,,1,
Riley Leonard,IND,QB,10,10,10,0.5,,5,0.5,0.7143,-0.0301,10,68,6.8,0.4706,6.8,52,Yes,Yes,8,0.8,5.3905,0.2609,No,0.3,1,0.1,0.3,0.1,0.4,3.7,2.85,6.25,72.1,No,Yes,2,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,3.4,3.4,5,2,,,,,0.1,,,0.2
Davis Mills,HST,QB,22,22,22,0.5909,1,11,0.5,0.6316,-0.0453,22,134,6.0909,0.2388,6.0909,194,No,No,9,0.4091,10.9449,-0.0884,No,0.2727,4,0.1818,0.4091,0.0455,0.5455,3.4591,2.4333,10.2105,69.1,No,No,9,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,6.7,6.7,6,3,,,0.0455,,0.0909,,,
Josh Allen,BUF,QB,83,83,83,0.7108,8,45,0.5422,0.7286,0.0366,83,618,7.4458,0.3803,8.8313,749,No,No,56,0.6747,55.8156,0.0022,No,0.1325,12,0.1446,0.253,0.0843,0.5181,4.4735,2.7089,10.7,105.4,No,No,35,55.72,55.72,55.72,55.72,55.72,58.72,58.72,54.72,54.72,54.72,54.72,61.9,60.9,17,12,1,55,0.0723,1,,0.0723,8,
Max Brosmer,MIN,QB,12,12,12,0.5833,,5,0.4167,0.75,-0.0154,12,32,2.6667,0.8438,-1.0833,53,Yes,Yes,6,0.5,5.8648,0.0113,Yes,0.0833,1,0.0833,0.25,0.0833,0.3333,3.4083,2.1667,5.8889,14.6,No,Yes,3,0.28,0.28,0.28,0.28,0.28,0.28,0.28,-0.72,-0.72,-0.72,-0.72,0.6,-0.4,7,3,,9,0.0833,1,0.1667,,,
