Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
Tyjae Spears,TEN,RB,27,1,1,2,1,1
Laviska Shenault,LAC,WR,1,,,,,
Josh Oliver,MIN,TE,13,3,2,22,14,15
Nick Chubb,CLV,RB,9,,,,,
Michael Carter,ARZ,RB,6,,,,,
Bucky Irving,TB,RB,23,,,,,
D.J. Moore,CHI,WR,85,25,19,180,196,51
Rome Odunze,CHI,WR,78,19,13,185,188,60
Isaiah Davis,NYJ,RB,2,,,,,
Colby Parkinson,LA,TE,52,11,7,61,52,32
Stephen Sullivan,CAR,TE,1,,,,,
Foster Moreau,NO,TE,31,12,8,57,83,20
Tyler Allgeier,ATL,RB,10,,,,,
Jermar Jefferson,DET,RB,1,,,,,
Khalil Herbert,CIN,RB,10,,,,,
Devaughn Vele,DEN,WR,38,10,9,89,79,20
Trey Sermon,IND,RB,13,,,,,
Josh Downs,IND,WR,44,16,10,75,95,14
Zamir White,LV,RB,12,,,,,
Ameer Abdullah,LV,RB,34,2,1,5,6,3
Isaiah Hodgins,NYG,WR,5,2,2,12,10,2
Devin Singletary,NYG,RB,34,,,,,
Trayveon Williams,CIN,RB,1,,,,,
Ja'Tavion Sanders,CAR,TE,30,7,5,37,46,9
Tanner Conner,MIA,TE,1,1,1,11,7,4
Quintin Morris,BUF,TE,10,2,1,7,10,2
Teagan Quitoriano,HST,TE,3,,,,,
Ashton Dulin,IND,WR,7,2,1,13,24,8
Jauan Jennings,SF,WR,59,25,20,241,201,89
Hassan Haskins,LAC,RB,5,,,,,
Andrew Ogletree,IND,TE,14,2,1,15,14,10
Jaylen Warren,PIT,RB,21,,,,,
Mack Hollins,BUF,WR,50,14,11,128,111,44
Kendrick Bourne,NE,WR,39,9,7,80,71,38
Juwan Johnson,NO,TE,41,11,9,82,69,26
David Montgomery,DET,RB,19,,,,,
Tyler Boyd,TEN,WR,61,12,9,70,83,20
Dareke Young,SEA,WR,1,1,,,9,
Casey Washington,ATL,WR,1,1,1,14,3,11
Kenneth Gainwell,PHI,RB,13,1,,,4,
Jalen Brooks,DAL,WR,27,3,2,19,22,10
Jordan Mims,NO,RB,3,1,1,6,6,
David Bell,CLV,WR,1,,,,,
Kevin Austin,NO,WR,20,1,,,11,
Jamison Crowder,WAS,WR,11,2,2,22,23,-1
KaVontae Turpin,DAL,WR,27,6,4,24,49,3
Marquise Brown,KC,WR,4,1,1,3,5,-2
Jalen Nailor,MIN,WR,51,6,5,52,43,15
John Metchie,HST,WR,15,1,,,4,
Ronnie Rivers,LA,RB,7,,,,,
Amari Cooper,BUF,WR,49,19,12,128,139,34
Darius Slayton,NYG,WR,88,19,15,156,151,40
Jake Ferguson,DAL,TE,52,13,11,95,66,42
Davante Adams,NYJ,WR,63,19,11,118,125,44
Jerry Jeudy,CLV,WR,110,35,27,241,265,31
Dare Ogunbowale,HST,RB,14,,,,,
Nico Collins,HST,WR,31,7,3,30,69,5
J.K. Dobbins,LAC,RB,29,,,,,
Emari Demercado,ARZ,RB,12,,,,,
Equanimeous St. Brown,NO,WR,3,,,,,
Samaje Perine,KC,RB,20,1,1,29,13,1
Josh Whyle,TEN,TE,24,10,10,63,49,14
Travis Etienne,JAX,RB,29,,,,,
Jordan Whittington,LA,WR,17,3,3,25,13,12
Jamari Thrash,CLV,WR,15,1,,,11,
Saquon Barkley,PHI,RB,35,,,,,
Evan Engram,JAX,TE,31,14,10,72,73,24
Rasheen Ali,BLT,RB,2,,,,,
Miles Sanders,CAR,RB,15,1,,,5,
Charlie Jones,CIN,WR,2,1,1,5,5,
KhaDarel Hodge,ATL,WR,16,3,2,49,13,40
Will Dissly,LAC,TE,41,15,14,111,69,44
Marquez Valdes-Scantling,NO,WR,29,8,4,117,65,84
Brevyn Spann-Ford,DAL,TE,18,1,,,6,
Tyler Higbee,LA,TE,4,2,2,23,11,12
Parris Campbell,PHI,WR,7,3,3,15,8,7
Jake Bobo,SEA,WR,33,5,5,42,33,9
Adonai Mitchell,IND,WR,33,9,4,51,100,7
Connor Heyward,PIT,TE,6,3,2,11,15,1
Nick Westbrook-Ikhine,TEN,WR,59,8,5,39,49,16
Robbie Chosen,MIA,WR,3,2,1,5,20,1
Ben Sims,GB,TE,2,,,,,
DeAndre Carter,CHI,WR,11,3,3,21,18,3
Hunter Long,LA,TE,8,1,1,5,5,
Kayshon Boutte,NE,WR,66,15,13,108,93,39
Tommy Tremble,CAR,TE,31,4,3,17,23,5
Jonathan Mingo,DAL,WR,34,6,2,22,44,
Cooper Kupp,LA,WR,52,20,15,109,102,44
D'Andre Swift,CHI,RB,38,2,2,15,8,7
Adam Trautman,DEN,TE,23,5,1,7,22,2
Ja'Marr Chase,CIN,WR,114,34,30,291,194,120
Tyler Conklin,NYJ,TE,51,13,10,104,78,47
Sincere McCormick,LV,RB,1,,,,,
K.J. Osborn,WAS,WR,16,5,2,8,22,
Anthony Firkser,KC,TE,2,,,,,
Justice Hill,BLT,RB,35,,,,,
James Conner,ARZ,RB,27,1,1,2,-2,4
Chris Brooks,GB,RB,6,,,,,
Christian Watson,GB,WR,25,7,5,43,63,1
Dallin Holker,NO,TE,1,,,,,
George Holani,SEA,RB,2,1,1,-1,-2,1
Cam Akers,MIN,RB,15,,,,,
JaMycal Hasty,NE,RB,5,1,,,4,
Javonte Williams,DEN,RB,35,2,2,17,13,4
Courtland Sutton,DEN,WR,75,25,21,165,204,23
Greg Dortch,ARZ,WR,45,9,9,83,46,37
Terrell Jennings,NE,RB,2,,,,,
Darnell Washington,PIT,TE,16,4,4,33,17,16
Zach Ertz,WAS,TE,79,26,23,205,160,70
Audric Estime,DEN,RB,1,,,,,
Charlie Kolar,BLT,TE,12,5,4,17,21,2
Brady Russell,SEA,TE,1,,,,,
Davis Allen,LA,TE,16,2,2,23,8,15
Tip Reiman,ARZ,TE,14,1,1,5,4,1
Tyrell Shavers,BUF,WR,2,,,,,
River Cracraft,MIA,WR,11,2,2,14,9,5
DJ Chark,LAC,WR,12,3,2,15,20,5
Jonathan Taylor,IND,RB,39,,,,,
Troy Franklin,DEN,WR,31,6,5,42,41,16
Javon Baker,NE,WR,4,2,1,12,30,-1
Michael Pittman,IND,WR,58,23,16,174,192,39
Malik Washington,MIA,WR,32,5,3,35,37,9
Grant DuBose,MIA,WR,3,,,,,
Tim Jones,JAX,WR,9,,,,,
Tyler Goodson,IND,RB,10,,,,,
Jordan Mason,SF,RB,24,,,,,
Ezekiel Elliott,DAL,RB,18,,,,,
Stone Smartt,LAC,TE,18,4,4,27,18,9
T.J. Hockenson,MIN,TE,41,11,8,65,64,20
Feleipe Franks,CAR,TE,1,,,,,
Simi Fehoko,LAC,WR,14,2,1,25,24,6
Tre Tucker,LV,WR,82,14,10,98,115,17
Eric Tomlinson,LAC,TE,2,,,,,
Xavier Hutchinson,HST,WR,13,2,2,15,9,6
Brian Thomas,JAX,WR,76,18,16,145,135,39
DeAndre Hopkins,KC,WR,68,23,20,170,211,18
Josh Reynolds,JAX,WR,30,6,2,18,59,-2
Noah Gray,KC,TE,43,11,11,128,73,56
Tim Patrick,DET,WR,54,13,12,101,67,42
D.J. Turner,LV,WR,27,6,5,43,31,15
Jahmyr Gibbs,DET,RB,46,2,2,16,10,6
Odell Beckham,MIA,WR,15,4,4,31,25,6
Hunter Henry,NE,TE,63,19,17,180,140,55
Nelson Agholor,BLT,WR,27,10,6,60,74,6
Dalton Kincaid,BUF,TE,33,5,5,37,24,13
Gabe Davis,JAX,WR,44,15,11,133,188,25
Jakobi Meyers,LV,WR,77,22,16,170,202,29
Cody White,SEA,WR,4,2,1,16,14,11
Michael Wilson,ARZ,WR,66,14,13,101,83,32
Zay Flowers,BLT,WR,60,11,7,70,107,18
Rashee Rice,KC,WR,9,3,2,21,28,7
Ty Chandler,MIN,RB,6,,,,,
Britain Covey,PHI,WR,6,,,,,
Austin Hooper,NE,TE,50,17,14,104,82,37
Justin Watson,KC,WR,60,10,9,116,87,35
Tyler Scott,CHI,WR,1,,,,,
