teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal
24,New York,Giants,1,DAL,NFC,NFC East,Closed,Closed,Cover 1,17,179,Yes,No,No,631,143,No,16,Yes,122,0.8531,7,0.2266,110,9,3,0.7692,1340,694,190,1062,9,3,6,7,0.0636,0.1678,0.2238,0.2028,0.3986,105,0.7343,26,0.1818,7.4266,123.3,2.1236,9.3706,1.8299,0.042,12.1818,6.3091,1.7273,70,16
27,Pittsburgh,Steelers,1,BLT,AFC,AFC North,Open,Open,Cover 0,17,161,Yes,No,No,551,118,No,13,Yes,97,0.822,7,0.2142,85,5,,0.7203,933,523,163,780,6,3,7,16,0.1882,0.1356,0.2034,0.161,0.5,82,0.6949,23,0.1949,6.6102,101.4,1.6933,7.9068,0.4511,0.0593,10.9765,6.1529,1.9176,43,18
16,Kansas City,Chiefs,,LV,AFC,AFC West,Closed,Closed,Cover 1,17,166,Yes,Yes,Yes,517,144,No,16,No,133,0.9236,5,0.2785,117,7,2,0.8125,1348,919,217,827,3,1,7,10,0.0855,0.2014,0.2083,0.2153,0.375,97,0.6736,38,0.2639,5.7431,112.6,2.6074,9.3611,2.2154,0.0486,11.5214,7.8547,1.8547,52,20
29,San Francisco,49ers,1,SEA,NFC,NFC West,Open,Closed,Cover 3,17,178,Yes,No,Yes,643,154,No,14,No,126,0.8182,10,0.2395,110,9,3,0.7143,1164,717,210,1088,9,6,10,20,0.1818,0.1948,0.2727,0.2078,0.3247,104,0.6753,29,0.1883,7.0649,107.2,1.8103,7.5584,-0.0189,0.0649,10.5818,6.5182,1.9091,60,21
7,Cincinnati,Bengals,1,CLV,AFC,AFC North,Closed,Closed,Cover 1,17,197,Yes,Yes,No,706,164,No,16,No,140,0.8537,15,0.2323,113,1,,0.689,1446,988,323,1144,11,6,15,24,0.2124,0.1585,0.2866,0.2195,0.3354,109,0.6646,29,0.1768,6.9756,113.5,2.0482,8.8171,1.2471,0.0915,12.7965,8.7434,2.8584,75,33
26,Philadelphia,Eagles,1,WAS,NFC,NFC East,Open,Open,Cover 0,17,178,Yes,Yes,Yes,649,138,No,17,No,110,0.7971,9,0.2126,94,10,2,0.6812,1273,613,221,1086,9,4,9,18,0.1915,0.1522,0.2101,0.2319,0.4058,96,0.6957,19,0.1377,7.8696,116,1.9615,9.2246,1.6083,0.0652,13.5426,6.5213,2.3511,55,19
8,Cleveland,Browns,,CIN,AFC,AFC North,Closed,Closed,Cover 1,17,147,Yes,Yes,No,513,113,No,7,No,93,0.823,12,0.2203,85,4,1,0.7522,901,497,153,915,11,8,6,11,0.1294,0.1239,0.3097,0.1947,0.3717,90,0.7965,16,0.1416,8.0973,123.1,1.7563,7.9735,0.3308,0.0531,10.6,5.8471,1.8,49,16
2,Atlanta,Falcons,1,NO,NFC,NFC South,Open,Closed,Cover 1,17,157,Yes,Yes,No,604,121,No,18,No,102,0.843,8,0.2003,88,10,,0.7273,1082,574,146,1026,9,2,9,14,0.1591,0.2397,0.1818,0.1653,0.405,85,0.7025,15,0.124,8.4793,114.4,1.7914,8.9421,1.1668,0.0744,12.2955,6.5227,1.6591,46,17
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 0,17,193,Yes,Yes,Yes,685,163,No,22,No,129,0.7914,9,0.238,113,11,4,0.6933,1483,888,309,1387,11,6,7,19,0.1681,0.1227,0.2577,0.227,0.3926,127,0.7791,20,0.1227,8.5092,115.1,2.165,9.0982,1.3664,0.0429,13.1239,7.8584,2.7345,77,22
22,New England,Patriots,1,MIA,AFC,AFC East,Open,Closed,Cover 3,17,153,Yes,No,Yes,541,120,No,14,Yes,98,0.8167,5,0.2218,88,11,1,0.7333,979,524,183,924,6,2,7,13,0.1477,0.175,0.225,0.2,0.3917,79,0.6583,18,0.15,7.7,103.4,1.8096,8.1583,0.4632,0.0583,11.125,5.9545,2.0795,47,12
30,Tampa Bay,Buccaneers,1,CAR,NFC,NFC South,Closed,Closed,Cover 3,17,146,Yes,No,Yes,504,122,No,11,Yes,99,0.8115,5,0.2421,90,7,3,0.7377,1161,672,125,1008,7,1,5,10,0.1111,0.1148,0.2951,0.1967,0.3852,81,0.6639,19,0.1557,8.2623,118.9,2.3036,9.5164,1.9724,0.041,12.9,7.4667,1.3889,54,11
17,Los Angeles,Rams,1,ARZ,NFC,NFC West,Open,Open,Cover 0,17,141,Yes,No,No,495,116,No,13,Yes,99,0.8534,4,0.2343,92,9,1,0.7931,1021,499,146,841,3,3,3,13,0.1413,0.1638,0.2155,0.2155,0.4052,81,0.6983,26,0.2241,7.25,104.8,2.0626,8.8017,1.3576,0.0259,11.0978,5.4239,1.587,44,11
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,189,Yes,No,No,684,156,No,14,Yes,134,0.859,8,0.2281,121,5,1,0.7756,1484,883,258,1205,6,2,3,17,0.1405,0.1538,0.25,0.2051,0.391,108,0.6923,24,0.1538,7.7244,116.5,2.1696,9.5128,1.9775,0.0192,12.2645,7.2975,2.1322,69,21
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Closed,Cover 3,17,183,Yes,No,Yes,629,145,No,12,No,119,0.8207,7,0.2305,104,5,,0.7172,917,758,174,575,6,3,9,21,0.2019,0.2207,0.2759,0.2414,0.2621,102,0.7034,36,0.2483,3.9655,93.4,1.4579,6.3241,-0.3954,0.0621,8.8173,7.2885,1.6731,44,16
14,Indianapolis,Colts,,HST,AFC,AFC South,Closed,Closed,Cover 1,17,182,Yes,No,Yes,648,155,No,20,Yes,127,0.8194,13,0.2392,105,11,1,0.6774,1089,546,193,1185,7,6,10,15,0.1429,0.1419,0.2129,0.2258,0.4194,102,0.6581,17,0.1097,7.6452,92.1,1.6806,7.0258,-0.5877,0.0645,10.3714,5.2,1.8381,60,27
