Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,TouchdownsTotal,PressuredTotal,PressuredPercentage,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,AverageTimeToPressure,playerStatsFirstDownsPassing,InterceptionsTotal,TowThrowPercentage
Jake Haener,NO,QB,4,3,3,1,3,1,1,0.0624,3,11,3.6667,1.6364,3.6667,-7,No,No,0.4097,-0.1366,No,1,0.6667,1.3667,-2.3333,81.9,No,Yes,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,8,,,,,,,,,,,
Josh Allen,BUF,QB,31,30,30,0.9667,27,0.9,0.9667,0.0263,30,253,8.4333,1.3953,9.7667,-113,No,No,2.7683,-0.0589,No,1,0.8667,1.11,-3.7667,124,No,No,18.12,18.12,18.12,18.12,18.12,18.12,18.12,18.12,18.12,18.12,18.12,20.65,20.65,17,-7,0.0667,2,1,0.0333,0.0333,0.0333,2.3,9,,
Deshaun Watson,CLV,QB,17,17,17,1,16,0.9412,1,0.0639,17,105,6.1765,1.4952,6.1765,-55,No,No,4.2993,-0.0764,No,1,0.5882,2.0412,-3.2353,92.4,No,No,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,5.25,5.25,7,-3,0.0588,,3,0.1765,,,1.8,5,,
Skylar Thompson,MIA,QB,3,3,3,1,1,0.3333,1,0.0653,3,8,2.6667,1.75,2.6667,-13,No,No,0.4786,-0.1595,No,1,0.3333,1.5,-4.3333,42.4,No,No,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,3,-7,0.6667,,,,,,,,,
Spencer Rattler,NO,QB,13,13,13,0.8462,11,0.8462,0.8462,-0.094,13,83,6.3846,1.4819,6.3846,-48,No,No,2.3847,-0.1834,No,1,0.6154,1.6385,-3.6923,93.3,No,Yes,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,4.15,4.15,7,,,,,,,0.1538,,2,,
Carson Wentz,KC,QB,1,1,1,1,1,1,1,0.0628,1,1,1,6,1,-5,Yes,No,0.3321,-0.3321,No,1,1,2.5,-5,79.2,No,Yes,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,3,,,,,,,,,,,
Tyrod Taylor,NYJ,QB,3,3,3,1,3,1,1,0.0602,3,13,4.3333,1.6923,4.3333,-9,No,No,0.6512,-0.217,No,1,1,1.8333,-3,84.7,No,Yes,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.65,0.65,2,,,,,,,,,1,,
Michael Penix,ATL,QB,5,5,5,1,5,1,1,0.0618,5,24,4.8,1.9583,4.8,-23,No,No,0.6943,-0.1389,No,1,0.6,1.38,-4.6,86.7,No,Yes,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.2,1.2,5,,,,,,0.4,,,1,,
Drew Lock,NYG,QB,15,15,15,0.9333,13,0.8667,0.9333,-0.0005,15,83,5.5333,1.5181,3.8667,-56,Yes,No,2.8245,-0.1883,Yes,1,0.8667,1.6667,-3.7333,84.2,No,Yes,6.32,6.32,6.32,6.32,6.32,6.32,6.32,5.32,5.32,5.32,5.32,7.15,6.15,7,-4,0.0667,1,,,,0.0667,,3,1,0.0667
Clayton Tune,ARZ,QB,1,1,1,1,1,1,1,0.0587,1,1,1,4,1,-3,No,No,0.0906,-0.0906,No,1,1,1.1,-3,79.2,No,No,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,6,,,,,,,,,,,
Joe Milton,NE,QB,2,2,2,1,2,1,1,0.0582,2,4,2,2.75,2,-7,Yes,No,0.4053,-0.2027,No,1,1,1.75,-3.5,79.2,No,Yes,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.2,0.2,1,,,,,,0.5,,,1,,
Jameis Winston,CLV,QB,12,12,12,0.8333,9,0.75,0.75,-0.1842,12,89,7.4167,1.2472,3.6667,-28,No,No,2.3458,-0.0288,Yes,1,0.6667,1.7083,-2.3333,60.8,No,Yes,2.56,2.56,2.56,2.56,2.56,2.56,2.56,1.56,1.56,1.56,1.56,3.45,2.45,12,,,,2,0.1667,0.0833,0.1667,1.85,5,1,0.0833
Sam Howell,SEA,QB,1,1,1,1,1,1,1,0.0587,1,-2,-2,-0.5,-2,-3,Yes,No,0.0906,-0.0906,No,1,1,1.1,-3,79.2,No,Yes,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.1,-0.1,2,,,,,,1,,,,,
Kyle Trask,TB,QB,1,1,1,1,1,1,1,0.0587,1,5,5,1.6,5,-3,No,No,0.0388,-0.0388,No,1,1,0.8,-3,87.5,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,4,,,,,,,,,,,
Will Levis,TEN,QB,28,28,28,0.9643,25,0.8929,0.9286,-0.0062,28,127,4.5357,1.748,4.5357,-103,No,No,6.7961,-0.207,No,1,0.8214,1.9821,-3.6786,85.6,No,Yes,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,6.35,6.35,12,-6,0.0357,,1,0.0357,0.2143,0.0357,2.4,5,,
Desmond Ridder,LV,QB,3,3,3,1,2,0.6667,1,0.0722,3,,,,,-4,No,No,0.3751,-0.125,No,1,0.6667,1.3,-1.3333,70.1,No,No,,,,,,,,,,,,,,5,-1,0.3333,,,,0.6667,,,,,
Trey Lance,DAL,QB,4,4,4,1,4,1,1,0.0653,4,9,2.25,2.5556,2.25,-14,No,No,0.8279,0.043,No,1,1,1.775,-3.5,79.2,No,Yes,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.45,0.45,4,,,,1,0.25,,,1.8,1,,
Cooper Rush,DAL,QB,23,23,23,0.9565,19,0.8261,0.9565,0.0215,23,139,6.0435,1.3813,6.0435,-68,No,No,3.1349,-0.1363,No,1,0.7391,1.3652,-2.9565,91.8,No,Yes,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,6.95,6.95,12,-11,0.1304,,,,0.1739,0.0435,,8,,
Jalen Hurts,PHI,QB,12,12,12,0.8333,10,0.8333,0.8333,-0.0988,12,58,4.8333,1.4828,4.8333,-37,No,No,2.6046,-0.1337,No,1,0.6667,1.8333,-3.0833,86.8,No,No,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.9,2.9,15,,,,1,0.0833,0.0833,0.1667,2.3,2,,
Davis Mills,HST,QB,2,2,2,0.5,1,0.5,0.5,-0.4418,2,25,12.5,1.12,12.5,-7,No,No,0.4226,-0.2113,No,1,0.5,1.8,-3.5,95.8,No,No,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,4,,,,,,,0.5,,1,,
Malik Willis,GB,QB,11,11,11,0.9091,9,0.8182,0.9091,-0.0289,11,55,5,1.7636,6.8182,-48,No,No,2.2035,-0.2003,No,1,0.5455,1.7364,-4.3636,117.8,No,Yes,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.75,6.75,7,-2,0.0909,1,,,0.0909,0.0909,,1,,
Dorian Thompson-Robinson,CLV,QB,7,7,7,1,7,1,1,0.0658,7,56,8,1.2857,8,-16,No,No,1.3583,-0.1941,No,1,0.7143,1.7,-2.2857,100,No,No,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.8,2.8,7,,,,,,,,,2,,
Lamar Jackson,BLT,QB,44,44,44,0.9318,40,0.9091,0.9318,-0.0041,44,370,8.4091,1.3892,8.8636,-153,No,No,8.3484,-0.167,No,1,0.75,1.675,-3.4773,109.3,No,No,18.8,18.8,18.8,18.8,18.8,21.8,21.8,18.8,18.8,18.8,18.8,22.5,22.5,17,-2,0.0227,1,1,0.0227,0.1818,0.0455,1.9,15,,
Mike White,BUF,QB,2,1,1,1,1,1,1,0.0576,1,14,14,1.2857,14,-4,No,No,0.0733,-0.0733,No,1,1,1,-4,118.8,No,Yes,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.7,0.7,1,,,,,,,,,,,
Joshua Dobbs,SF,QB,2,2,2,1,2,1,1,0.0669,2,3,1.5,2.6667,1.5,-5,No,No,0.2156,-0.1078,No,1,1,1.2,-2.5,79.2,No,Yes,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,2,,,,,,,,,,,
Kirk Cousins,ATL,QB,33,33,33,0.9697,30,0.9091,0.9697,0.0384,33,177,5.3636,1.6328,5.3636,-120,No,No,5.2996,-0.1303,No,1,0.8485,1.5061,-3.6364,89,No,No,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,8.85,8.85,14,-4,0.0606,,1,0.0303,0.0303,0.0303,2.4,6,,
Mac Jones,JAX,QB,18,18,18,0.8889,16,0.8889,0.8889,-0.0471,18,110,6.1111,1.4727,6.1111,-58,Yes,No,3.7862,-0.2103,No,1,0.7778,1.7944,-3.2222,92.1,No,No,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,5.5,5.5,10,,,,,,,0.1111,,5,,0.0556
Anthony Richardson,IND,QB,20,20,20,0.95,19,0.95,0.95,0.0175,20,181,9.05,1.2928,10.05,-57,Yes,No,3.5533,-0.1777,No,1,0.8,1.605,-2.85,121,No,Yes,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,11.24,13.05,13.05,11,,,1,,,0.2,0.05,,6,,
