Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage,TargetedReadCheckdownPercentage,playerStatsFirstDownsPassing,DropsYardsLost,DropsPercentage,OffTargetThrowAttemptsPercentage,TowThrowPercentage,TouchdownsTotal,InterceptionsTotal
Skylar Thompson,MIA,QB,1,1,1,1,1,1,1,0.0576,1,5,5,1.8,5,-4,No,No,1,1,0.2803,0.7197,No,1,1,2.2,2,-4,87.5,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,3,,,,,,,,,
Josh Allen,BUF,QB,22,22,22,1,22,1,1,0.0667,22,111,5.0455,1.9459,5.0455,-105,No,No,1,0.0455,6.6669,-0.2576,No,0.3182,0.9545,2.3318,1.4,-4.7727,87.7,No,No,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,5.55,5.55,17,0.0455,0.4545,5,,,,,,
Michael Penix,ATL,QB,5,5,5,1,4,0.8,1,0.0664,5,15,3,1.7333,3,-12,No,No,1,0.2,2.2468,-0.2494,No,0.2,0.4,3.18,2.5,-2.4,79.2,No,Yes,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,5,,0.4,1,-1,0.2,,,,
Tyrod Taylor,NYJ,QB,1,1,1,1,1,1,1,0.0628,1,8,8,1.625,8,-5,No,No,,,0.1595,-0.1595,No,1,,1.5,,-5,100,No,Yes,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,2,,,,,,,,,
Carson Wentz,KC,QB,1,1,1,1,1,1,1,0.0762,1,13,13,1.0769,13,-1,No,No,,,0.0906,-0.0906,No,1,,1.1,,-1,118.8,No,Yes,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.65,0.65,3,,,1,,,,,,
Drew Lock,NYG,QB,4,4,4,1,3,0.75,1,0.0609,4,21,5.25,1.4762,5.25,-12,No,No,1,0.25,1.5525,-0.1381,No,0.25,0.75,2.825,2.5,-3,86.5,No,No,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,7,,,1,-2,0.25,,,,
Jameis Winston,CLV,QB,4,4,4,0.75,3,0.75,0.75,-0.1857,4,5,1.25,4.2,1.25,-21,No,No,1,0.25,1.0522,-0.0131,No,0.25,0.5,2.1,3,-5.25,77.1,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,12,,0.25,,,,0.25,,,
Desmond Ridder,LV,QB,4,4,4,0.75,3,0.75,0.75,-0.1905,4,5,1.25,3.2,1.25,-13,No,No,1,0.25,1.1729,-0.0432,No,0.25,0.5,2.275,1.9,-3.25,77.1,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,5,,0.75,1,,,0.25,,,
Trey Lance,DAL,QB,1,1,1,1,1,1,1,0.0638,1,12,12,1.6667,12,-8,No,No,,,0.3148,-0.3148,No,,1,2.4,,-8,116.7,No,Yes,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.6,0.6,4,,1,1,,,,,,
Will Levis,TEN,QB,9,9,9,0.8889,7,0.7778,0.8889,-0.0506,9,23,2.5556,2.4348,2.5556,-40,No,No,3,0.3333,2.3329,0.0741,No,0.3333,0.7778,2.0778,2.1667,-4.4444,79.2,No,No,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.15,1.15,12,,0.5556,2,-4,0.1111,0.1111,,,
Jalen Hurts,PHI,QB,10,10,10,1,9,0.9,0.9,-0.0045,10,56,5.6,1.4286,5.6,-26,No,No,3,0.3,4.459,-0.1459,No,0.2,1,3.16,3.2,-2.6,90,No,No,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.8,2.8,15,0.2,0.5,3,,,,0.1,,
Cooper Rush,DAL,QB,12,12,12,0.9167,11,0.9167,0.9167,-0.0182,12,46,3.8333,2.2174,3.8333,-60,No,No,1,0.0833,2.7599,-0.1467,No,0.4167,0.75,1.9083,1.8,-5,82.6,No,Yes,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,2.3,2.3,12,,0.25,3,,,0.0833,,,
Malik Willis,GB,QB,3,3,3,0.6667,2,0.6667,0.6667,-0.268,3,8,2.6667,1.875,9.3333,-13,No,No,,,0.5821,-0.194,No,1,0.3333,1.7,,-4.3333,109.7,No,No,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.4,4.4,7,0.3333,,1,,,0.3333,,1,
Davis Mills,HST,QB,1,1,1,1,1,1,1,0.173,1,16,16,0.8125,16,3,No,No,,,0.1768,-0.1768,Yes,1,1,1.6,,3,118.8,No,Yes,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,4,,,1,,,,,,
Lamar Jackson,BLT,QB,13,13,13,0.8462,11,0.8462,0.8462,-0.0882,13,69,5.3077,1.7971,5.3077,-61,No,No,3,0.2308,4.3511,-0.1039,No,0.4615,0.6923,2.5154,2.4667,-4.6923,88.8,No,No,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,3.45,3.45,17,,0.2308,1,,,0.1538,,,
Dorian Thompson-Robinson,CLV,QB,8,8,8,1,6,0.75,1,0.0639,8,17,2.125,2.9412,2.125,-45,No,No,,,1.7594,-0.2199,No,0.625,0.875,1.85,,-5.625,77.1,No,No,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.85,0.85,7,0.25,0.25,1,-12,0.25,,,,
Kenny Pickett,PHI,QB,2,2,2,1,2,1,1,0.0602,2,,,,,-9,No,Yes,1,0.5,0.3191,0.3405,Yes,0.5,0.5,1.5,1.6,-4.5,79.2,No,Yes,,,,,,,,,,,,,,5,,0.5,,,,,,,
Kirk Cousins,ATL,QB,28,28,28,1,28,1,1,0.0641,28,158,5.6429,1.6835,5.6429,-108,No,No,9,0.3214,6.9859,0.0719,No,0.4643,0.8571,2.0214,2.3667,-3.8571,90.2,No,No,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,6.32,7.9,7.9,14,0.1429,0.3929,6,,,,,,
Mac Jones,JAX,QB,11,11,11,1,10,0.9091,1,0.0656,11,98,8.9091,1.3061,8.9091,-36,No,Yes,4,0.3636,3.549,0.041,No,0.1818,0.9091,2.4455,2.075,-3.2727,103.8,No,Yes,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,4.9,4.9,10,,0.6364,5,-6,0.0909,,,,
Joshua Dobbs,SF,QB,2,2,2,0.5,1,0.5,0.5,-0.4393,2,6,3,1.5,3,-8,No,No,,,0.4053,-0.2027,No,0.5,,1.75,,-4,56.3,No,No,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,2,0.5,,,,,0.5,,,
Jimmy Garoppolo,LA,QB,1,1,1,1,1,1,1,0.0689,1,9,9,1.6667,9,-6,Yes,Yes,1,1,0.2975,0.7025,No,,,2.3,2.1,-6,104.2,No,Yes,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.45,0.45,1,,1,,,,,,,
Joe Burrow,CIN,QB,24,24,24,1,22,0.9167,1,0.0647,24,100,4.1667,1.86,5.8333,-93,No,Yes,6,0.25,7.1757,-0.049,No,0.25,0.75,2.3083,2.3167,-3.875,111.8,No,Yes,12,12,12,12,12,12,12,12,12,12,12,13,13,17,,0.4167,6,-7,0.0833,,,2,
Russell Wilson,PIT,QB,15,15,15,0.8667,11,0.7333,0.8667,-0.0596,15,37,2.4667,2.4865,2.4667,-55,No,Yes,6,0.4,5.136,0.0576,No,0.3333,0.4,2.56,2.5833,-3.6667,75.7,Yes,Yes,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.85,1.85,11,,0.5333,2,-3,0.1333,0.1333,,,
