Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,RunPassOptionPercentage
Russell Wilson,PIT,QB,18,18,18,0.6667,2,11,0.6111,0.6111,0.2203,18,356,19.7778,0.1404,20.6111,541,3,1,No,No,3,0.1667,5.7872,-0.1548,No,0.3333,16,0.8889,0.1111,0.5,1,0.4444,2.4389,1.8333,30.0556,121.5,No,No,11,25.24,25.24,25.24,25.24,25.24,28.24,28.24,24.24,24.24,24.24,24.24,28.8,27.8,11,,,
Daniel Jones,NYG,QB,9,9,9,0.2222,2,,,0.2222,-0.2075,9,,,,,245,,,Yes,No,3,0.3333,3.4024,-0.0447,Yes,0.7778,7,0.7778,0.1111,,0.8889,,2.7667,2.4333,27.2222,39.6,No,No,,,,,,,,,,,,,,,10,44,0.2222,
Jacoby Brissett,NE,QB,5,5,5,0.2,2,,,,-0.3933,5,,,,,150,,,No,No,2,0.4,2.0398,-0.008,No,0.8,5,1,,,0.8,0.2,2.94,2.45,30,39.6,No,No,,,,,,,,,,,,,,,8,,,
Joe Flacco,IND,QB,15,15,15,0.4,5,6,0.4,0.4,-0.0065,15,207,13.8,0.087,13.4667,442,2,1,Yes,No,4,0.2667,5.205,-0.0803,No,0.5333,12,0.8,0.0667,0.2,1,0.2,2.5867,2.1,29.4667,99.3,Yes,Yes,6,15.28,15.28,15.28,15.28,15.28,15.28,15.28,14.28,14.28,14.28,14.28,17.35,16.35,8,,,
C.J. Stroud,HST,QB,11,11,11,0.6364,1,6,0.5455,0.6364,0.2772,11,238,21.6364,0.2269,23.4545,354,1,,No,No,3,0.2727,4.8945,-0.1722,No,0.3636,9,0.8182,,0.5455,0.8182,0.3636,3.1545,2.8667,32.1818,129.9,No,No,6,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,13.52,15.9,15.9,17,25,0.0909,
Jared Goff,DET,QB,9,8,8,0.5,2,4,0.5,0.5,0.1164,8,190,23.75,0.2053,25.625,285,3,1,No,No,1,0.125,3.4327,-0.3041,No,0.5,7,0.875,0.25,0.5,0.875,0.5,3.0625,3.1,35.625,95.8,No,No,4,25.3,26.3,25.8,26.3,26.3,26.3,25.8,25.3,25.3,25.3,24.8,28.2,27.2,17,,,
Kyler Murray,ARZ,QB,27,27,27,0.6296,11,12,0.4444,0.4815,0.0192,27,291,10.7778,0.1615,14.2963,645,7,1,Yes,No,6,0.2222,10.9146,-0.182,No,0.3704,18,0.6667,0.037,0.3333,0.7778,0.4815,2.9185,1.85,23.8889,108.2,No,Yes,12,38.64,38.64,38.64,38.64,38.64,38.64,38.64,37.64,37.64,37.64,37.64,41.55,40.55,17,17,0.037,0.037
Tanner McKee,PHI,QB,1,1,1,,,,,,-0.6278,1,,,,,13,,,No,No,,,0.4011,-0.4011,Yes,1,,,,,1,,2.9,,13,39.6,No,No,,,,,,,,,,,,,,,2,,,
Josh Johnson,BLT,QB,1,1,1,1,,,,1,0.651,1,,,,,39,,,No,No,,,0.2631,-0.2631,No,,1,1,,1,1,1,2.1,,39,39.6,No,No,,,,,,,,,,,,,,,6,39,1,
Gardner Minshew,LV,QB,8,8,8,0.5,2,3,0.375,0.375,-0.0563,8,89,11.125,0.1461,13.625,237,1,,No,Yes,2,0.25,2.9152,-0.1144,Yes,0.5,6,0.75,,0.25,0.5,0.375,2.6875,2.45,29.625,119.3,No,Yes,3,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,7.56,8.45,8.45,10,,,
