Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,RunPassOptionPercentage,InterceptionsTotal,TowThrowPercentage
Joe Burrow,CIN,QB,10,10,10,0.6,2,6,0.6,0.6,0.052,10,124,12.4,0.0403,14.4,182,1,No,Yes,3,0.3,3.1307,-0.0131,Yes,0.4,3,0.3,0.4,0.9,0.5,2.39,2.8,18.2,137.1,No,Yes,6,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,10.2,10.2,17,,,,,
Jacoby Brissett,NE,QB,2,2,2,0.5,,1,0.5,0.5,-0.0412,2,21,10.5,0.3333,10.5,35,,No,No,2,1,0.5778,0.7111,No,0.5,1,0.5,0.5,1,0.5,2.25,2.15,17.5,87.5,No,No,1,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,8,,,,,
Daniel Jones,NYG,QB,1,1,1,1,,,,1,0.5339,1,,,,,22,,No,No,,,0.2975,-0.2975,No,,1,1,,1,,2.3,,22,39.6,No,No,,,,,,,,,,,,,,,10,22,1,,,
Joe Flacco,IND,QB,4,4,4,0.75,1,2,0.5,0.5,0.0264,4,37,9.25,0.1622,14.25,85,1,No,No,,,1.1902,-0.2975,Yes,,3,0.75,0.25,1,0.5,2.3,,21.25,121.9,No,No,2,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.85,5.85,8,,,,,
C.J. Stroud,HST,QB,2,2,2,0.5,,1,0.5,0.5,-0.109,2,14,7,,7,29,,No,No,,,0.5261,-0.2631,No,0.5,,,,1,,2.1,,14.5,72.9,No,Yes,1,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.7,0.7,17,,,,,
Kyler Murray,ARZ,QB,15,15,15,0.5333,3,3,0.2,0.2667,-0.314,15,61,4.0667,0.1967,4.0667,238,,No,No,2,0.1333,3.3765,-0.0918,No,0.4667,4,0.2667,0.1333,1,0.4,1.88,2.1,15.8667,44,Yes,Yes,3,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,3.05,3.05,17,6,0.0667,0.1333,,
Jared Goff,DET,QB,4,4,4,,1,,,,-0.5785,4,,,,,65,,No,No,1,0.25,1.0005,-0.0001,No,0.75,1,0.25,,1,,2.025,2.3,16.25,39.6,No,No,,,,,,,,,,,,,,,17,,,,,
Tanner McKee,PHI,QB,1,1,1,1,1,1,1,1,0.6012,1,20,20,,40,23,1,No,No,,,0.2631,-0.2631,No,,1,1,1,1,1,2.1,,23,158.3,No,No,1,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5,5,2,,,,,
Tua Tagovailoa,MIA,QB,1,1,1,1,1,1,1,1,0.181,1,1,1,,21,5,1,No,No,,,0.1078,-0.1078,No,,,,1,1,1,1.2,,5,118.8,No,No,1,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.05,4.05,11,,,,,
Gardner Minshew,LV,QB,5,5,5,0.8,1,3,0.6,0.6,0.0892,5,56,11.2,0.0714,15.2,97,1,No,No,3,0.6,1.6085,0.2783,Yes,0.2,2,0.4,,0.8,0.2,2.44,2.0667,19.4,138.3,No,No,3,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.8,6.8,10,,,,,
