teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingIncompletionsBatted,opponentStatsPassingRunPassOptionPercentage
20,Miami,Dolphins,NE,AFC,AFC East,Closed,Closed,Cover 1,17,80,80,0.6375,9,45,0.5625,0.7575757575757576,0.0713343960606061,14,50,0.0625,573,7.1625,0.47643979057591623,8.85,717,9,1,21,Yes,No,50,0.625,-0.02854687499999997,Yes,0.1875,16,0.2,0.025,0.0875,0.325,0.025,0.5,4.3637500000000005,2.69,10.863636363636363,111.1,No,Yes,30,,,
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Closed,Cover 3,17,73,73,0.6712328767123288,8,41,0.5616438356164384,0.6984126984126984,-0.006105496444444469,9,14,0.0410958904109589,508,6.958904109589041,0.32677165354330706,7.36986301369863,639,6,2,16,Yes,No,42,0.5753424657534246,-0.062008904109588994,Yes,0.1780821917808219,7,0.0958904109589041,0.0273972602739726,0.0410958904109589,0.2602739726027397,0.0821917808219178,0.547945205479452,4.26986301369863,2.8095238095238093,10.142857142857142,93.9,No,Yes,27,True,1,
3,Baltimore,Ravens,PIT,AFC,AFC North,Closed,Closed,Cover 1,17,98,98,0.6326530612244898,8,59,0.6020408163265306,0.7283950617283951,0.03133389114814822,16,,,772,7.877551020408164,0.3329015544041451,8.183673469387756,859,6,2,13,No,Yes,65,0.6632653061224489,0.037437244897959174,Yes,0.19387755102040816,15,0.15306122448979592,0.04081632653061224,0.08163265306122448,0.336734693877551,0.07142857142857142,0.46938775510204084,4.203061224489796,2.852307692307692,10.475609756097562,97,No,No,36,,1,
12,Green Bay,Packers,MIN,NFC,NFC North,Open,Open,Red Zone,17,90,90,0.5777777777777777,4,46,0.5111111111111111,0.7313432835820896,0.0004855618955222907,23,-2,0.03333333333333333,517,5.7444444444444445,0.2978723404255319,5.411111111111111,578,3,2,11,Yes,Yes,69,0.7666666666666667,0.12219999999999998,Yes,0.16666666666666666,9,0.1,0.05555555555555555,0.07777777777777778,0.2222222222222222,0.05555555555555555,0.4,4.311111111111111,2.7420289855072464,8.626865671641792,70.5,No,No,26,,,0.022222222222222223
31,Tennessee,Titans,JAX,AFC,AFC South,Closed,Open,Cover 4,17,93,93,0.7311827956989247,5,58,0.6236559139784946,0.7564102564102564,0.023913022500000047,13,24,0.010752688172043012,741,7.967741935483871,0.46153846153846156,7.161290322580645,648,3,3,9,No,Yes,51,0.5483870967741935,-0.0077274193548387505,No,0.10752688172043011,10,0.10752688172043011,0.043010752688172046,0.053763440860215055,0.3870967741935484,0.07526881720430108,0.6129032258064516,3.7989247311827956,2.868627450980392,8.1,84.6,No,No,35,,,
25,New York,Jets,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,88,88,0.7159090909090909,7,54,0.6136363636363636,0.8356164383561644,0.09515101426027395,14,67,0.07954545454545454,643,7.306818181818182,0.48367029548989116,9.352272727272727,557,9,,6,Yes,No,42,0.4772727272727273,-0.021592613636363677,No,0.11363636363636363,6,0.06818181818181818,,0.011363636363636364,0.5113636363636364,0.045454545454545456,0.5568181818181818,3.4670454545454548,2.7285714285714286,7.63013698630137,117.8,No,Yes,33,,1,0.022727272727272728
18,Los Angeles,Chargers,DEN,AFC,AFC West,Open,Open,Red Zone,17,75,75,0.56,3,36,0.48,0.7142857142857143,-0.014275417732142803,15,37,0.05333333333333334,435,5.8,0.5655172413793104,5.4,483,3,2,10,No,Yes,47,0.6266666666666667,0.051736666666666625,No,0.18666666666666668,6,0.08,0.02666666666666667,0.013333333333333334,0.3466666666666667,0.06666666666666667,0.44,3.9080000000000004,2.4,8.186440677966102,68.5,No,No,21,,1,0.02666666666666667
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Closed,Open,Cover 4,17,82,82,0.5853658536585366,3,38,0.4634146341463415,0.6417910447761194,-0.030826770626865785,14,41,0.06097560975609756,556,6.780487804878049,0.3273381294964029,5.378048780487805,770,1,3,19,No,Yes,50,0.6097560975609756,0.018956097560975622,No,0.24390243902439024,16,0.1951219512195122,0.08536585365853659,0.036585365853658534,0.3780487804878049,0.07317073170731707,0.3170731707317073,4,2.718,11.294117647058824,57.8,No,No,26,True,,
13,Houston,Texans,IND,AFC,AFC South,Closed,Closed,Cover 1,17,84,84,0.5952380952380952,7,40,0.47619047619047616,0.676923076923077,-0.029790455276923034,18,77,0.047619047619047616,340,4.0476190476190474,0.4235294117647059,3.869047619047619,680,6,3,7,Yes,Yes,58,0.6904761904761905,0.12781011904761902,No,0.17857142857142858,11,0.13095238095238096,0.07142857142857142,0.047619047619047616,0.34523809523809523,0.09523809523809523,0.42857142857142855,3.836904761904762,2.6017241379310345,10.303030303030303,67.6,No,Yes,19,True,,0.023809523809523808
11,Detroit,Lions,CHI,NFC,NFC North,Open,Open,Cover 4,17,86,86,0.6046511627906976,8,41,0.47674418604651164,0.6216216216216216,-0.04918057179729729,10,82,0.05813953488372093,542,6.3023255813953485,0.3118081180811808,6.593023255813954,884,8,3,6,No,Yes,48,0.5581395348837209,-0.038276744186046534,No,0.2558139534883721,14,0.16279069767441862,0.06976744186046512,0.06976744186046512,0.43023255813953487,0.08139534883720931,0.37209302325581395,4.032558139534884,2.8395833333333336,11.786666666666667,84.5,No,No,29,,1,0.011627906976744186
23,New Orleans,Saints,ATL,NFC,NFC South,Open,Open,Cover 6,17,83,83,0.5662650602409639,2,38,0.4578313253012048,0.6923076923076923,0.00010674195384607899,18,56,0.08433734939759036,460,5.542168674698795,0.44130434782608696,6.204819277108434,604,5,1,13,No,Yes,50,0.6024096385542169,-0.10664638554216867,Yes,0.21686746987951808,11,0.13253012048192772,0.060240963855421686,0.03614457831325301,0.3493975903614458,0.060240963855421686,0.42168674698795183,4.685542168674698,2.84,9.292307692307693,78.4,No,Yes,25,,,
21,Minnesota,Vikings,GB,NFC,NFC North,Open,Open,Red Zone,17,65,65,0.5384615384615384,4,33,0.5076923076923077,0.723404255319149,-0.0011892332765957025,16,-6,0.015384615384615385,338,5.2,0.40236686390532544,4.430769230769231,389,2,2,8,Yes,Yes,47,0.7230769230769231,0.0879576923076923,Yes,0.18461538461538463,6,0.09230769230769231,0.046153846153846156,0.03076923076923077,0.24615384615384617,0.09230769230769231,0.4153846153846154,4.256923076923076,2.548936170212766,8.27659574468085,63.5,No,No,16,True,2,
9,Dallas,Cowboys,NYG,NFC,NFC East,Open,Open,Cover 4,17,90,90,0.6,8,50,0.5555555555555556,0.7428571428571429,0.02640928045714286,19,10,0.022222222222222223,629,6.988888888888889,0.49920508744038156,7.822222222222222,614,6,1,13,No,Yes,63,0.7,0.13622499999999998,No,0.17777777777777778,8,0.08888888888888889,0.011111111111111112,0.044444444444444446,0.34444444444444444,0.06666666666666667,0.4888888888888889,3.8433333333333333,2.5174603174603174,8.771428571428572,95.1,No,No,34,,1,0.022222222222222223
19,Las Vegas,Raiders,KC,AFC,AFC West,Closed,Closed,Cover 3,17,85,85,0.611764705882353,8,41,0.4823529411764706,0.6901408450704225,-0.012003649140845063,11,55,0.09411764705882353,510,6,0.40980392156862744,5.647058823529412,725,3,2,15,Yes,Yes,60,0.7058823529411765,0.10270294117647062,Yes,0.2,10,0.11764705882352941,0.047058823529411764,0.023529411764705882,0.32941176470588235,0.07058823529411765,0.4588235294117647,4.071764705882353,2.546666666666667,9.863013698630137,69.2,No,No,24,True,1,0.011764705882352941
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 6,17,78,78,0.6153846153846154,5,44,0.5641025641025641,0.7540983606557377,0.04760431863934422,12,8,0.02564102564102564,471,6.038461538461538,0.3057324840764331,6.166666666666667,580,5,2,17,No,Yes,50,0.6410256410256411,0.02611987179487184,Yes,0.16666666666666666,8,0.10256410256410256,0.038461538461538464,0.02564102564102564,0.3333333333333333,0.07692307692307693,0.44871794871794873,4.139743589743589,2.66,9.206349206349206,84.9,No,Yes,27,True,3,0.01282051282051282
32,Washington,Commanders,PHI,NFC,NFC East,Open,Open,Cover 4,17,103,103,0.5631067961165048,9,49,0.47572815533980584,0.7012987012987013,-0.025187886974025964,22,30,0.04854368932038835,607,5.893203883495145,0.4876441515650741,7.203883495145631,681,9,1,14,No,Yes,66,0.6407766990291263,0.07961990291262139,No,0.1941747572815534,8,0.07766990291262135,0.02912621359223301,0.009708737864077669,0.3883495145631068,0.06796116504854369,0.3883495145631068,3.8281553398058255,2.715151515151515,8.756410256410257,91.4,No,No,35,,3,0.02912621359223301
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Open,Bracket,17,91,91,0.6593406593406593,14,46,0.5054945054945055,0.68,-0.0031764862399998872,15,62,0.054945054945054944,647,7.1098901098901095,0.49149922720247297,7.43956043956044,839,6,2,17,No,Yes,62,0.6813186813186813,-0.008621428571428605,No,0.16483516483516483,13,0.14285714285714285,0.02197802197802198,0.04395604395604396,0.2857142857142857,0.08791208791208792,0.5054945054945055,4.5747252747252745,2.9064516129032256,11.186666666666667,86.7,No,No,31,True,1,0.01098901098901099
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Open,Bracket,17,79,79,0.6582278481012658,9,44,0.5569620253164557,0.7936507936507936,0.04595881722222217,15,26,0.0759493670886076,580,7.341772151898734,0.5137931034482759,9.367088607594937,468,8,,9,No,Yes,47,0.5949367088607594,0.032304430379746854,No,0.13924050632911392,5,0.06329113924050633,0.02531645569620253,0.0379746835443038,0.45569620253164556,0.0379746835443038,0.4050632911392405,3.836708860759494,2.6702127659574466,7.3125,112.8,No,No,33,,,0.012658227848101266
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Open,Cover 4,17,70,70,0.5857142857142857,5,35,0.5,0.6,-0.07359481909999999,8,,0.014285714285714285,475,6.785714285714286,0.5031578947368421,7.214285714285714,701,6,2,8,No,Yes,46,0.6571428571428571,0.04638214285714284,No,0.2714285714285714,15,0.21428571428571427,0.02857142857142857,0.08571428571428572,0.3142857142857143,0.02857142857142857,0.4714285714285714,4.115714285714286,2.6869565217391305,11.491803278688524,88.7,No,No,20,True,1,
16,Kansas City,Chiefs,LV,AFC,AFC West,Closed,Closed,Cover 3,17,82,82,0.7560975609756098,3,52,0.6341463414634146,0.7432432432432432,0.009372380486486476,8,35,0.036585365853658534,649,7.914634146341464,0.4637904468412943,7.548780487804878,620,3,2,11,Yes,Yes,44,0.5365853658536586,-0.021187195121951212,Yes,0.12195121951219512,9,0.10975609756097561,0.036585365853658534,0.04878048780487805,0.4146341463414634,0.0975609756097561,0.5487804878048781,3.8085365853658537,2.734090909090909,8.378378378378379,89.9,No,No,28,,,0.012195121951219513
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,66,66,0.5757575757575758,5,34,0.5151515151515151,0.782608695652174,0.06896477852173921,16,21,0.030303030303030304,475,7.196969696969697,0.4147368421052632,6.363636363636363,439,4,3,9,No,Yes,45,0.6818181818181818,0.07612045454545453,Yes,0.12121212121212122,7,0.10606060606060606,0.045454545454545456,0.06060606060606061,0.24242424242424243,0.07575757575757576,0.5,4.086363636363636,2.611111111111111,9.340425531914894,76.3,No,No,20,True,3,
29,San Francisco,49ers,SEA,NFC,NFC West,Open,Open,Cover 2,17,77,77,0.6493506493506493,6,41,0.5324675324675324,0.6923076923076923,-0.040948285861538425,10,34,0.05194805194805195,339,4.402597402597403,0.3834808259587021,4.532467532467533,531,5,2,9,No,Yes,39,0.5064935064935064,-0.10245259740259738,No,0.19480519480519481,6,0.07792207792207792,0.05194805194805195,0.03896103896103896,0.33766233766233766,0.1038961038961039,0.4025974025974026,4.105194805194805,3.0564102564102567,8.045454545454545,75.6,No,Yes,19,True,1,0.012987012987012988
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,80,80,0.55,8,31,0.3875,0.6610169491525424,-0.020361241237288108,18,34,0.1,428,5.35,0.2733644859813084,5.225,637,4,2,13,Yes,No,47,0.5875,-0.0024375000000000035,No,0.1875,9,0.1125,0.0125,0.05,0.35,0.025,0.3875,3.995,2.6936170212765957,10.796610169491526,62.9,No,Yes,26,True,3,
1,Arizona,Cardinals,LA,NFC,NFC West,Closed,Closed,Cover 3,17,79,79,0.569620253164557,8,40,0.5063291139240507,0.711864406779661,-0.01647882069491524,19,19,0.02531645569620253,512,6.481012658227848,0.5,6.291139240506329,515,6,3,4,Yes,No,46,0.5822784810126582,0.0037063291139240472,Yes,0.17721518987341772,7,0.08860759493670886,0.06329113924050633,0.02531645569620253,0.3670886075949367,0.06329113924050633,0.45569620253164556,3.9291139240506325,2.7086956521739127,8.728813559322035,80.8,No,Yes,25,,1,
6,Chicago,Bears,DET,NFC,NFC North,Open,Open,Cover 4,17,75,75,0.6533333333333333,6,43,0.5733333333333334,0.7301587301587301,-0.01598676546031752,11,10,0.04,467,6.226666666666667,0.5974304068522484,3.6933333333333334,498,4,6,1,No,Yes,36,0.48,-0.053759999999999954,No,0.18666666666666668,9,0.12,0.10666666666666667,0.04,0.52,0.05333333333333334,0.49333333333333335,3.6693333333333333,2.8333333333333335,7.904761904761905,60.3,No,No,22,True,1,0.04
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Closed,Cover 3,17,74,74,0.6756756756756757,9,38,0.5135135135135135,0.671875,-0.03961085446875001,8,80,0.06756756756756757,508,6.864864864864865,0.5354330708661418,7.337837837837838,574,4,1,13,Yes,No,36,0.4864864864864865,-0.13601621621621618,Yes,0.1891891891891892,7,0.0945945945945946,0.02702702702702703,0.04054054054054054,0.35135135135135137,0.04054054054054054,0.5405405405405406,4.183783783783784,2.713888888888889,8.830769230769231,85.9,No,Yes,24,,1,0.04054054054054054
10,Denver,Broncos,LAC,AFC,AFC West,Open,Open,Red Zone,17,93,93,0.5591397849462365,7,42,0.45161290322580644,0.647887323943662,-0.0719223872957746,18,28,0.043010752688172046,407,4.376344086021505,0.3488943488943489,4.32258064516129,630,2,1,17,No,Yes,61,0.6559139784946236,0.046751075268817215,No,0.20430107526881722,13,0.13978494623655913,0.03225806451612903,0.06451612903225806,0.3010752688172043,0.07526881720430108,0.3978494623655914,4.106451612903226,2.554098360655738,8.63013698630137,60.6,No,No,24,True,2,0.07526881720430108
24,New York,Giants,DAL,NFC,NFC East,Open,Open,Cover 4,17,83,83,0.6385542168674698,7,41,0.4939759036144578,0.696969696969697,-0.0002923044393938756,14,55,0.060240963855421686,507,6.108433734939759,0.3826429980276134,7.313253012048193,697,5,,9,No,Yes,57,0.6867469879518072,0.08181445783132528,No,0.1566265060240964,10,0.12048192771084337,0.012048192771084338,0.07228915662650602,0.39759036144578314,0.07228915662650602,0.4939759036144578,4.081927710843374,2.73859649122807,10.25,88.8,No,No,29,True,1,0.060240963855421686
14,Indianapolis,Colts,HST,AFC,AFC South,Closed,Closed,Cover 1,17,104,104,0.7307692307692307,13,58,0.5576923076923077,0.7252747252747253,0.044851182527472555,12,45,0.07692307692307693,684,6.576923076923077,0.347953216374269,7.875,985,9,1,9,Yes,Yes,64,0.6153846153846154,0.01496442307692308,No,0.14423076923076922,14,0.1346153846153846,0.009615384615384616,0.07692307692307693,0.3269230769230769,0.07692307692307693,0.5384615384615384,4.055769230769231,2.8171875,10.824175824175825,100.8,No,Yes,34,,1,0.009615384615384616
28,Seattle,Seahawks,SF,NFC,NFC West,Open,Open,Cover 2,17,94,94,0.6914893617021277,8,52,0.5531914893617021,0.7848101265822784,0.0472865280126582,14,107,0.10638297872340426,615,6.542553191489362,0.6016260162601627,6.170212765957447,632,5,3,10,No,Yes,67,0.7127659574468085,0.14288617021276595,No,0.14893617021276595,7,0.07446808510638298,0.031914893617021274,0.031914893617021274,0.2872340425531915,0.13829787234042554,0.5106382978723404,3.8787234042553194,2.476119402985075,7.9,79.9,No,Yes,31,,,
17,Los Angeles,Rams,ARZ,NFC,NFC West,Closed,Closed,Cover 3,17,80,80,0.5875,5,41,0.5125,0.6825396825396826,-0.0036855346349206064,16,3,0.025,468,5.85,0.4444444444444444,6.2875,633,4,1,13,Yes,No,52,0.65,0.04195000000000002,Yes,0.1875,11,0.1375,0.025,0.0375,0.2875,0.0875,0.4375,4.1,2.555769230769231,10.047619047619047,80.6,No,Yes,25,True,1,0.0125
