teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero
20,Miami,Dolphins,NE,AFC,AFC East,Open,Closed,Cover 3,17,97,Yes,No,Yes,312,97,No,1,Yes,93,0.9588,0.3109,89,0.9175,558,832,181,-293,3,4,17,0.191,0.4227,0.1237,0.2165,0.2165,66,0.6804,49,0.5052,-3.0206,100.9,1.7885,5.7526,0.3875,0.0412,6.2697,9.3483,2.0337,27,15,,,
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Closed,Cover 3,17,95,No,No,Yes,300,95,No,2,Yes,93,0.9789,0.3167,90,0.9474,719,946,248,-232,5,3,28,0.3111,0.4,0.1579,0.2842,0.1474,64,0.6737,45,0.4737,-2.4421,115.7,2.3967,7.5684,2.0629,0.0316,7.9889,10.5111,2.7556,28,7,1,2,
3,Baltimore,Ravens,PIT,AFC,AFC North,Closed,Closed,Cover 1,17,112,No,No,No,350,112,No,3,Yes,108,0.9643,0.32,99,0.8839,640,935,261,-329,3,7,24,0.2424,0.4911,0.0804,0.2321,0.1607,72,0.6429,57,0.5089,-2.9375,99.4,1.8286,5.7143,0.2234,0.0625,6.4646,9.4444,2.6364,26,18,,1,1
12,Green Bay,Packers,MIN,NFC,NFC North,Closed,Closed,Cover 3,17,109,Yes,No,Yes,382,109,No,5,Yes,101,0.9266,0.2853,93,0.8532,480,763,259,-322,2,7,20,0.2151,0.4954,0.1468,0.2294,0.1284,63,0.578,48,0.4404,-2.9541,91.1,1.2565,4.4037,-0.9445,0.0642,5.1613,8.2043,2.7849,21,17,,3,
31,Tennessee,Titans,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,103,No,No,No,335,103,No,1,Yes,98,0.9515,0.3075,95,0.9223,668,909,234,-258,2,1,23,0.2421,0.3883,0.2039,0.2427,0.165,70,0.6796,44,0.4272,-2.5049,100.2,1.994,6.4854,1.1771,0.0097,7.0316,9.5684,2.4632,24,14,,,
25,New York,Jets,BUF,AFC,AFC East,Closed,Closed,Cover 3,17,111,Yes,No,No,327,111,No,7,Yes,106,0.955,0.3394,99,0.8919,704,991,245,-331,8,4,25,0.2525,0.3514,0.1982,0.2523,0.1982,85,0.7658,61,0.5495,-2.982,117.1,2.1529,6.3423,1.0373,0.036,7.1111,10.0101,2.4747,31,18,,2,
18,Los Angeles,Chargers,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,111,Yes,No,No,357,111,No,3,Yes,101,0.9099,0.3109,93,0.8378,510,824,294,-374,2,7,23,0.2473,0.4505,0.1081,0.2523,0.1802,80,0.7207,61,0.5495,-3.3694,91.8,1.4286,4.5946,-0.7425,0.0631,5.4839,8.8602,3.1613,19,16,,2,
15,Jacksonville,Jaguars,TEN,AFC,AFC South,Closed,Closed,Cover 3,17,115,No,No,No,359,115,No,6,Yes,104,0.9043,0.3203,98,0.8522,457,732,165,-327,3,5,19,0.1939,0.4261,0.113,0.2435,0.2087,77,0.6696,61,0.5304,-2.8435,88.3,1.273,3.9739,-1.4409,0.0435,4.6633,7.4694,1.6837,25,9,1,4,
13,Houston,Texans,IND,AFC,AFC South,Closed,Closed,Cover 1,17,101,Yes,Yes,No,310,101,No,2,Yes,98,0.9703,0.3258,93,0.9208,499,806,264,-320,1,4,24,0.2581,0.4554,0.1683,0.2178,0.1485,67,0.6634,52,0.5149,-3.1683,90.6,1.6097,4.9406,-0.3775,0.0396,5.3656,8.6667,2.8387,24,12,1,,
11,Detroit,Lions,CHI,NFC,NFC North,Closed,Open,Cover 2,17,74,No,No,No,220,74,No,3,No,72,0.973,0.3364,68,0.9189,293,490,109,-211,3,3,11,0.1618,0.3919,0.1351,0.2703,0.2027,52,0.7027,43,0.5811,-2.8514,91,1.3318,3.9595,-1.5382,0.0405,4.3088,7.2059,1.6029,12,13,,1,
