teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage
28,Seattle,Seahawks,1,MIN,NFC,NFC North,Open,Open,Cover 2 Man,11,4,No,No,No,16,4,Yes,2,Yes,3,0.75,1,0.25,1,1,0.25,25,3,2,61,0.25,0.75,3,0.75,15.25,53.1,1.5625,6.25,-3.7955,25,3,2,1,2,,,,,,,,,
30,Tampa Bay,Buccaneers,,CAR,NFC,NFC South,Closed,Closed,Cover 1,8,6,No,No,Yes,24,6,No,1,No,5,0.8333,1,0.25,4,,0.6667,76,6,1,105,,1,6,1,17.5,149.3,3.1667,12.6667,2.4329,19,1.5,0.25,4,1,1,1,1,1,0.1667,,,,
31,Tennessee,Titans,1,HST,AFC,AFC South,Open,Closed,Cover 3,13,8,No,No,Yes,40,8,Yes,3,Yes,5,0.625,2,0.2,2,,0.25,29,1,1,112,0.125,0.875,8,1,14,42.2,0.725,3.625,-5.8498,14.5,0.5,0.5,2,3,,,,1,0.125,,,,
17,Los Angeles,Rams,1,ARZ,NFC,NFC West,Open,Open,Cover 4,5,8,Yes,No,No,31,8,Yes,2,Yes,5,0.625,3,0.2581,5,1,0.625,105,16,6,118,,1,8,1,14.75,106.3,3.3871,13.125,3.338,21,3.2,1.2,5,3,2,,,,,,,,
22,New England,Patriots,1,BUF,AFC,AFC East,Closed,Closed,Cover 1,9,8,No,No,No,35,8,Yes,2,No,6,0.75,,0.2286,1,,0.125,18,4,3,141,0.375,0.5,7,0.875,17.625,39.6,0.5143,2.25,-8.0379,18,4,3,1,,1,,,2,0.25,0.125,,,
14,Indianapolis,Colts,1,JAX,AFC,AFC South,Closed,Open,Cover 2,9,5,No,No,No,21,5,No,2,Yes,3,0.6,,0.2381,2,,0.4,45,5,1,89,0.2,0.8,4,0.8,17.8,72.9,2.1429,9,-2.2599,22.5,2.5,0.5,1,1,,,,,,,,,
10,Denver,Broncos,1,KC,AFC,AFC West,Open,Open,Cover 0,12,12,No,No,Yes,56,12,No,7,No,10,0.8333,4,0.2143,9,1,0.75,98,4,2,165,,0.9167,12,1,13.75,138.2,1.75,8.1667,-1.1819,10.8889,0.4444,0.2222,9,4,6,4,4,,,0.0833,1,0.1111,
27,Pittsburgh,Steelers,1,CIN,AFC,AFC North,Closed,Closed,Cover 1,10,6,No,Yes,Yes,29,6,No,1,Yes,3,0.5,,0.2069,3,1,0.5,59,7,2,99,,1,6,1,16.5,84.7,2.0345,9.8333,-0.6614,19.6667,2.3333,0.6667,3,1,1,,,,,,,,
29,San Francisco,49ers,,ARZ,NFC,NFC West,Closed,Closed,Cover 1,6,6,No,No,No,29,6,Yes,2,Yes,4,0.6667,,0.2069,3,,0.5,69,13,3,114,0.5,0.5,6,1,19,91.7,2.3793,11.5,0.3771,23,4.3333,1,3,,1,,,,,,,,
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Open,Open,Cover 0,8,6,No,No,Yes,24,6,No,3,No,3,0.5,4,0.25,2,1,0.3333,26,4,3,94,0.1667,0.8333,5,0.8333,15.6667,87.5,1.0833,4.3333,-6.1449,13,2,1.5,2,4,2,1,1,,,,,,
