teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingReceptionsContested
8,Cleveland,Browns,BLT,AFC,AFC North,Open,Open,Cover 2,17,38,No,No,No,105,38,No,No,34,0.8947,0.3619,33,0.8684,257,375,76,-140,,1,4,0.1212,0.2895,0.1842,0.1579,0.3684,38,1,38,1,-3.6842,94.8,2.4476,6.7632,1.3655,0.0263,7.7879,11.3636,2.303,8,4,,,
32,Washington,Commanders,DAL,NFC,NFC East,Open,Open,Cover 2,17,35,No,No,No,73,35,No,Yes,31,0.8857,0.4795,29,0.8286,193,303,72,-142,,1,3,0.1034,0.4286,0.0857,0.3143,0.1714,35,1,35,1,-4.0571,77.7,2.6438,5.5143,0.1161,0.0286,6.6552,10.4483,2.4828,8,2,,1,
28,Seattle,Seahawks,LA,NFC,NFC West,Closed,Closed,Cover 3,17,42,Yes,No,Yes,104,42,No,Yes,38,0.9048,0.4038,36,0.8571,346,499,113,-170,1,2,8,0.2222,0.4762,0.119,0.3333,0.0714,42,1,42,1,-4.0476,108.9,3.3269,8.2381,3.3938,0.0476,9.6111,13.8611,3.1389,13,3,,,
17,Los Angeles,Rams,SEA,NFC,NFC West,Closed,Closed,Cover 3,17,46,Yes,No,Yes,97,46,No,Yes,44,0.9565,0.4742,44,0.9565,359,499,132,-144,3,,11,0.25,0.5,0.1522,0.1957,0.1522,46,1,46,1,-3.1304,120.9,3.701,7.8043,2.2147,,8.1591,11.3409,3,13,8,1,,
31,Tennessee,Titans,HST,AFC,AFC South,Open,Closed,Cover 1,17,52,No,No,No,106,52,No,No,49,0.9423,0.4906,47,0.9038,315,481,152,-179,3,2,12,0.2553,0.3077,0.1154,0.3654,0.2115,52,1,52,1,-3.4423,111.1,2.9717,6.0577,0.6883,0.0385,6.7021,10.234,3.234,10,9,1,,
22,New England,Patriots,BUF,AFC,AFC East,Open,Closed,Cover 3,17,33,Yes,No,No,71,33,No,Yes,33,1,0.4648,30,0.9091,194,296,92,-109,1,2,4,0.1333,0.1515,0.0606,0.3333,0.4545,33,1,33,1,-3.303,101.3,2.7324,5.8788,0.6804,0.0606,6.4667,9.8667,3.0667,8,5,1,1,
10,Denver,Broncos,KC,AFC,AFC West,Closed,Closed,Cover 3,17,36,Yes,No,No,91,36,No,Yes,35,0.9722,0.3956,35,0.9722,261,383,110,-126,,,12,0.3429,0.3333,0.1111,0.1944,0.3611,36,1,36,1,-3.5,96.9,2.8681,7.25,1.9331,,7.4571,10.9429,3.1429,10,2,1,,
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Open,Closed,Cover 3,17,42,Yes,No,Yes,89,42,Yes,Yes,40,0.9524,0.4719,37,0.881,182,321,74,-155,1,2,10,0.2703,0.3095,0.0952,0.1429,0.4524,42,1,42,1,-3.6905,92.7,2.0449,4.3333,-1.025,0.0476,4.9189,8.6757,2,3,9,1,1,
14,Indianapolis,Colts,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,48,Yes,No,No,99,48,No,No,44,0.9167,0.4848,41,0.8542,335,474,133,-168,2,3,9,0.2195,0.4167,0.1042,0.2083,0.25,48,1,48,1,-3.5,109.6,3.3838,6.9792,1.5326,0.0625,8.1707,11.561,3.2439,13,2,1,,
18,Los Angeles,Chargers,LV,AFC,AFC West,Open,Open,Cover 0,17,39,Yes,No,Yes,82,39,No,Yes,36,0.9231,0.4756,34,0.8718,189,319,86,-150,1,1,8,0.2353,0.4615,0.0513,0.1795,0.3077,39,1,39,1,-3.8462,95.4,2.3049,4.8462,-0.5351,0.0256,5.5588,9.3824,2.5294,7,3,,1,
