teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsHero,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsReceivingReceptionsContested,opponentStatsReceivingAlignmentInlineTargetsPercentage
3,Baltimore,Ravens,,HST,AFC,AFC South,Open,Open,Cover 4,15,18,Yes,No,No,76,18,No,4,Yes,12,0.6667,6,0.2368,8,0.4444,227,20,527,3,3,1,0.4444,0.5,16,0.8889,29.2778,130.8,2.9868,12.6111,0.4193,0.0556,28.375,2.5,8,2,1,7,,,0.0556,0.875,1,
12,Green Bay,Packers,,MIN,NFC,NFC North,Open,Closed,Cover 1,13,16,No,No,No,75,16,No,4,No,7,0.4375,8,0.2133,4,0.25,108,4,480,3,3,1,0.5625,0.4375,15,0.9375,30,55.2,1.44,6.75,-6.0138,0.0625,27,1,4,4,1,2,,,,0.5,,
25,New York,Jets,,BUF,AFC,AFC East,Closed,Closed,Cover 1,15,30,No,Yes,No,132,30,No,7,No,16,0.5333,5,0.2273,13,0.4333,368,72,825,2,1,2,0.3333,0.5333,25,0.8333,27.5,71.9,2.7879,12.2667,0.6718,0.0667,28.3077,5.5385,13,4,4,32,,,0.0667,2.4615,5,0.0667
18,Los Angeles,Chargers,,LV,AFC,AFC West,Open,Open,Red Zone,11,12,No,No,No,56,12,No,1,No,7,0.5833,5,0.2143,6,0.5,188,21,381,5,4,1,0.4167,0.5,12,1,31.75,135.4,3.3571,15.6667,2.9126,0.0833,31.3333,3.5,6,2,2,7,,,,1.1667,1,0.0833
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Open,Open,Cover 4,14,22,Yes,No,No,88,22,Yes,3,Yes,13,0.5909,7,0.25,10,0.4545,279,54,576,5,4,2,0.3182,0.5455,19,0.8636,26.1818,131.6,3.1705,12.6818,1.2203,0.0909,27.9,5.4,10,5,4,15,,,0.0909,1.5,2,0.0455
13,Houston,Texans,,TEN,AFC,AFC South,Open,Closed,Cover 3,15,28,No,No,Yes,130,28,Yes,3,Yes,11,0.3929,3,0.2154,6,0.2143,239,22,960,4,,2,0.4286,0.5714,25,0.8929,34.2857,62.6,1.8385,8.5357,-4.3883,0.0714,39.8333,3.6667,6,1,,6,,,,1,,
11,Detroit,Lions,1,MIN,NFC,NFC North,Open,Open,Bracket,15,22,No,No,Yes,95,22,No,5,No,9,0.4091,4,0.2316,5,0.2273,180,48,530,,,1,0.4091,0.4091,18,0.8182,24.0909,42.2,1.8947,8.1818,-3.8845,0.0455,36,9.6,5,4,1,20,,,0.0455,4,2,0.1364
23,New Orleans,Saints,,TB,NFC,NFC South,Closed,Closed,Cover 1,15,28,No,No,Yes,125,28,Yes,4,Yes,10,0.3571,4,0.224,4,0.1429,113,17,801,,,1,0.3929,0.5714,27,0.9643,28.6071,29,0.904,4.0357,-8.4359,0.0357,28.25,4.25,4,2,,12,,,0.0357,3,,
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Bracket,11,16,No,No,Yes,73,16,No,2,No,5,0.3125,6,0.2192,4,0.25,177,77,398,2,1,,0.1875,0.6875,14,0.875,24.875,112.8,2.4247,11.0625,-0.0761,,44.25,19.25,4,4,,6,,,0.0625,1.5,1,0.0625
9,Dallas,Cowboys,1,WAS,NFC,NFC East,Open,Closed,Cover 1,15,23,No,No,No,100,23,Yes,6,Yes,13,0.5652,5,0.23,5,0.2174,185,26,725,1,,4,0.2174,0.6087,22,0.9565,31.5217,75.1,1.85,8.0435,-4.3638,0.1739,37,5.2,5,2,,56,,,0.0435,11.2,1,0.1304
