teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,teamIsHomeTeam,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage
19,Las Vegas,Raiders,LAC,AFC,AFC West,Open,Open,Cover 2,11,9,No,No,No,19,9,No,Yes,9,1,0.4737,9,,1,68,93,37,-25,,0.4444,0.5556,9,1,8,0.8889,-2.7778,98.1,3.5789,7.5556,2.4668,7.5556,10.3333,4.1111,2,,3,0.3333,1,,,,
9,Dallas,Cowboys,WAS,NFC,NFC East,Open,Closed,Cover 3,10,6,Yes,No,No,7,6,No,Yes,6,1,0.8571,6,,1,29,46,16,-17,,0.5,0.5,6,1,6,1,-2.8333,86.8,4.1429,4.8333,-0.4327,4.8333,7.6667,2.6667,1,2,1,0.1667,1,,,,
26,Philadelphia,Eagles,NYG,NFC,NFC East,Open,Open,Cover 6,14,11,Yes,No,No,14,11,No,Yes,11,1,0.7857,9,,0.8182,30,61,12,-38,,0.6364,0.3636,11,1,11,1,-3.4545,79.2,2.1429,2.7273,-2.4594,3.3333,6.7778,1.3333,3,1,1,0.1111,1,,2,0.1818,
7,Cincinnati,Bengals,DEN,AFC,AFC West,Closed,Open,Cover 6,13,12,Yes,No,No,17,12,No,Yes,12,1,0.7059,10,,0.8333,87,119,64,-37,,0.9167,0.0833,12,1,12,1,-3.0833,96.9,5.1176,7.25,1.9966,8.7,11.9,6.4,3,1,3,0.3,1,,2,0.1667,
8,Cleveland,Browns,MIA,AFC,AFC East,Open,Closed,Cover 3,6,4,Yes,No,No,7,4,No,Yes,3,0.75,0.5714,3,,0.75,45,54,30,-9,,0.5,0.5,4,1,3,0.75,-2.25,111.5,6.4286,11.25,5.9509,15,18,10,2,,2,0.6667,1,,,,
2,Atlanta,Falcons,WAS,NFC,NFC East,Open,Open,Cover 6,9,14,No,No,No,17,14,No,Yes,14,1,0.8235,14,,1,70,113,30,-43,,0.5,0.5,14,1,14,1,-3.0714,87.5,4.1176,5,-0.1886,5,8.0714,2.1429,5,4,5,0.3571,,,,,
1,Arizona,Cardinals,SF,NFC,NFC West,Open,Open,Cover 4,9,7,Yes,No,No,8,7,No,Yes,7,1,0.875,6,,0.8571,36,58,17,-26,,0.4286,0.4286,7,1,7,1,-3.7143,88.1,4.5,5.1429,0.2967,6,9.6667,2.8333,1,1,1,0.1667,1,,1,0.1429,0.1429
4,Buffalo,Bills,NE,AFC,AFC East,Open,Open,Cover 2,12,10,Yes,No,No,14,10,No,Yes,10,1,0.7143,10,,1,53,85,22,-32,,0.9,0.1,10,1,10,1,-3.2,88.8,3.7857,5.3,0.143,5.3,8.5,2.2,2,3,,,,,,,
24,New York,Giants,PHI,NFC,NFC East,Open,Open,Cover 6,10,5,Yes,No,No,8,5,No,Yes,5,1,0.625,5,,1,1,12,7,-11,,0.8,0.2,5,1,5,1,-2.2,79.2,0.125,0.2,-5.0925,0.2,2.4,1.4,,,,,,,,,
5,Carolina,Panthers,PHI,NFC,NFC East,Closed,Closed,Cover 1,7,6,Yes,No,Yes,9,6,No,Yes,6,1,0.6667,6,,1,37,50,23,-13,,0.5,0.5,6,1,6,1,-2.1667,92.4,4.1111,6.1667,0.7419,6.1667,8.3333,3.8333,3,2,2,0.3333,,,,,
16,Kansas City,Chiefs,PIT,AFC,AFC North,Open,Closed,Cover 3,9,9,Yes,No,Yes,13,9,No,Yes,9,1,0.6923,9,,1,25,55,29,-30,,0.7778,0.2222,9,1,9,1,-3.3333,79.2,1.9231,2.7778,-2.408,2.7778,6.1111,3.2222,1,,2,0.2222,,,,,
6,Chicago,Bears,SEA,NFC,NFC West,Open,Closed,Cover 3,10,6,Yes,No,Yes,8,6,No,Yes,6,1,0.75,6,,1,33,47,10,-14,,0.6667,0.3333,6,1,6,1,-2.3333,89.6,4.125,5.5,0.187,5.5,7.8333,1.6667,1,,2,0.3333,1,,,,
32,Washington,Commanders,DAL,NFC,NFC East,Open,Closed,Cover 3,9,3,Yes,No,No,3,3,No,Yes,3,1,1,3,,1,4,10,,-6,,0.6667,0.3333,3,1,3,1,-2,79.2,1.3333,1.3333,-3.9873,1.3333,3.3333,,1,1,,,,,,,
29,San Francisco,49ers,ARZ,NFC,NFC West,Open,Open,Cover 4,6,4,Yes,No,No,4,4,No,Yes,4,1,1,4,,1,33,41,15,-8,,0.75,0.25,4,1,4,1,-2,101,8.25,8.25,2.4917,8.25,10.25,3.75,2,1,1,0.25,,,,,
27,Pittsburgh,Steelers,KC,AFC,AFC West,Open,Closed,Cover 3,6,9,Yes,No,Yes,15,9,No,Yes,9,1,0.6,9,,1,49,73,17,-24,,0.6667,0.3333,9,1,9,1,-2.6667,89.4,3.2667,5.4444,0.3542,5.4444,8.1111,1.8889,2,1,1,0.1111,1,,,,
10,Denver,Broncos,CIN,AFC,AFC North,Closed,Open,Cover 6,10,7,Yes,No,No,16,7,No,Yes,7,1,0.4375,7,,1,18,39,14,-21,0.2857,0.4286,0.2857,7,1,7,1,-3,79.2,1.125,2.5714,-3.0418,2.5714,5.5714,2,1,2,1,0.1429,,,,,
14,Indianapolis,Colts,DEN,AFC,AFC West,Open,Open,Cover 0,7,8,Yes,No,Yes,9,8,No,Yes,8,1,0.8889,7,,0.875,29,43,22,-16,,0.5,0.5,8,1,8,1,-2,81.8,3.2222,3.625,-1.9022,4.1429,6.1429,3.1429,2,5,1,0.1429,,,1,0.125,
17,Los Angeles,Rams,SEA,NFC,NFC West,Open,Closed,Cover 1,12,5,Yes,No,No,5,5,No,Yes,5,1,1,5,,1,31,46,5,-15,,0.8,0.2,5,1,5,1,-3,92.5,6.2,6.2,1.3683,6.2,9.2,1,2,,1,0.2,1,,,,
31,Tennessee,Titans,HST,AFC,AFC South,Open,Closed,Cover 1,10,6,Yes,No,No,7,6,No,Yes,6,1,0.8571,5,,0.8333,1,16,5,-16,,0.8333,0.1667,6,1,6,1,-2.6667,79.2,0.1429,0.1667,-5.3046,0.2,3.2,1,,2,,,1,,1,0.1667,
22,New England,Patriots,BUF,AFC,AFC East,Open,Open,Cover 2,11,13,Yes,No,No,17,13,No,Yes,13,1,0.7647,13,,1,59,102,33,-43,0.1538,0.6154,0.1538,13,1,13,1,-3.3077,111.2,3.4706,4.5385,-0.7147,4.5385,7.8462,2.5385,3,2,4,0.3077,1,1,,,0.0769
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Open,Open,Cover 4,7,2,Yes,No,No,2,2,No,Yes,2,1,1,1,,0.5,2,4,,-4,,0.5,0.5,2,1,2,1,-2,56.3,1,1,-4.4991,2,4,,,1,,,1,,1,0.5,
28,Seattle,Seahawks,LA,NFC,NFC West,Open,Closed,Cover 1,11,12,Yes,No,No,16,12,No,Yes,11,0.9167,0.75,11,,0.9167,40,66,29,-30,,0.8333,0.1667,12,1,12,1,-2.5,80.6,2.5,3.3333,-1.9072,3.6364,6,2.6364,,2,3,0.2727,,,,,
