teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsSpiked,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing
26,Philadelphia,Eagles,True,NYG,NFC,NFC East,Open,Open,Cover 6,17,504,472,0.7521186440677966,25,300,0.635593220338983,0.7399103139013453,-0.0026145906704034827,9,2,13,215,0.0635593220338983,2804,5.940677966101695,0.4946504992867332,4.714285714285714,3445,18,12,32,5,4,-248,0.06349206349206349,No,No,118,0.23412698412698413,-0.03240466269841271,No,0.02976190476190476,0.18008474576271186,53,0.11228813559322035,0.036016949152542374,0.036016949152542374,0.7288135593220338,0.07415254237288135,0.5211864406779662,2.224194915254237,3.159375,2.3550847457627118,7.689732142857143,81.9,No,No,142
8,Cleveland,Browns,,BLT,AFC,AFC North,Open,Open,Cover 4,17,443,410,0.7585365853658537,25,266,0.6487804878048781,0.7473958333333334,0.021722110265624983,11,5,6,162,0.05121951219512195,3159,7.704878048780488,0.5020576131687243,7.221218961625282,3444,22,4,33,10,7,-220,0.0744920993227991,No,No,132,0.2979683972911964,0.044496275395033855,Yes,0.020316027088036117,0.16341463414634147,60,0.14634146341463414,0.02926829268292683,0.04878048780487805,0.7658536585365854,0.06097560975609756,0.5536585365853659,2.1595121951219514,2.896969696969697,2.2765151515151514,8.876288659793815,102.1,No,No,141
9,Dallas,Cowboys,True,WAS,NFC,NFC East,Open,Open,Cover 0,17,460,433,0.8198614318706697,22,307,0.7090069284064665,0.8110047846889952,0.07001799989712909,4,2,5,339,0.07390300230946882,3619,8.35796766743649,0.549875656258635,7.121739130434783,3364,23,13,27,3,6,-218,0.058695652173913045,No,No,110,0.2391304347826087,-0.03741097826086957,Yes,0.041304347826086954,0.14318706697459585,49,0.11316397228637413,0.02771362586605081,0.050808314087759814,0.792147806004619,0.05542725173210162,0.5773672055427251,2.2773672055427254,3.1037037037037036,2.289090909090909,7.971563981042654,101.2,Yes,Yes,154
19,Las Vegas,Raiders,True,LAC,AFC,AFC West,Closed,Closed,Cover 1,17,529,500,0.778,29,333,0.666,0.7843137254901961,0.03381558875381263,11,7,21,292,0.054,3537,7.074,0.5332202431439073,6.102079395085066,3281,20,10,29,9,3,-259,0.054820415879017016,No,No,107,0.20226843100189035,-0.06235089792060489,No,0.04158790170132325,0.136,43,0.086,0.024,0.038,0.652,0.084,0.54,2.19562,3.1413793103448273,2.2196261682242993,7.140997830802603,92.1,No,Yes,170
13,Houston,Texans,,TEN,AFC,AFC South,Open,Closed,Cover 3,17,512,481,0.7172557172557172,22,300,0.6237006237006237,0.7098901098901099,-0.018679088410988975,8,1,7,234,0.04781704781704782,3343,6.9501039501039505,0.5411307209093629,5.61328125,4016,27,17,31,1,,-244,0.060546875,No,Yes,129,0.251953125,-0.022687500000000027,No,0.041015625,0.21413721413721415,64,0.13305613305613306,0.05197505197505198,0.0498960498960499,0.7796257796257796,0.06860706860706861,0.48232848232848236,2.2694386694386695,2.929032258064516,2.3387596899224805,8.731182795698924,87,No,Yes,155
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Cover 2,17,604,571,0.7705779334500875,27,381,0.6672504378283712,0.762962962962963,0.02449408435,5,3,19,173,0.0542907180385289,4030,7.057793345008757,0.47518610421836227,5.301324503311259,4306,21,22,33,7,5,-258,0.054635761589403975,No,No,148,0.24503311258278146,-0.04247177152317882,No,0.026490066225165563,0.15761821366024517,64,0.11208406304728546,0.04903677758318739,0.047285464098073555,0.723292469352014,0.09106830122591944,0.5096322241681261,2.3373029772329246,2.9393939393939394,2.3574324324324323,7.926470588235294,83.3,No,Yes,198
11,Detroit,Lions,True,MIN,NFC,NFC North,Open,Open,Cover 2,17,544,515,0.7126213592233009,33,320,0.6213592233009708,0.6973415132924335,-0.01644959055623718,14,2,4,157,0.040776699029126215,3707,7.1980582524271846,0.44186673860264364,5.797794117647059,4548,12,13,29,1,7,-208,0.05330882352941176,No,No,127,0.23345588235294118,-0.06210666360294117,No,0.025735294117647058,0.229126213592233,73,0.141747572815534,0.040776699029126215,0.04466019417475728,0.7223300970873786,0.04271844660194175,0.45436893203883494,2.383747572815534,3.0379310344827584,2.530708661417323,9.185858585858586,81.1,No,Yes,162
23,New Orleans,Saints,,TB,NFC,NFC South,Closed,Closed,Cover 1,17,528,499,0.749498997995992,29,316,0.6332665330661322,0.721627408993576,-0.004631943546038464,7,3,16,197,0.04208416833667335,3613,7.240480961923848,0.5106559645723775,6.005681818181818,4048,13,11,29,7,4,-207,0.054924242424242424,No,No,123,0.23295454545454544,-0.07860369318181816,Yes,0.03977272727272727,0.17635270541082165,68,0.13627254509018036,0.03206412825651302,0.03807615230460922,0.6693386773547094,0.09619238476953908,0.5230460921843687,2.484569138276553,3.3517241379310345,2.592682926829268,8.568710359408033,84.5,No,Yes,161
18,Los Angeles,Chargers,,LV,AFC,AFC West,Closed,Closed,Cover 1,17,522,491,0.7678207739307535,28,329,0.670061099796334,0.7613882863340564,0.009677794850325494,8,,16,168,0.04480651731160896,3149,6.413441955193482,0.47316608447126074,5.145593869731801,3374,20,15,31,6,3,-188,0.05938697318007663,No,No,101,0.19348659003831417,-0.07699454022988504,No,0.032567049808429116,0.15885947046843177,44,0.08961303462321792,0.028513238289205704,0.038696537678207736,0.7209775967413442,0.09572301425661914,0.5682281059063137,2.2420773930753564,2.9645161290322584,2.3306930693069305,7.265524625267666,85.5,No,Yes,143
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Closed,Closed,Prevent,17,509,489,0.7852760736196319,30,334,0.6830265848670757,0.7611940298507462,0.02648115348400859,10,,8,140,0.04703476482617587,3931,8.038854805725972,0.514627321292292,7.860510805500982,3771,24,6,20,6,3,-140,0.03929273084479371,No,No,97,0.1905697445972495,-0.1247222003929273,No,0.025540275049115914,0.16768916155419222,64,0.130879345603272,0.024539877300613498,0.044989775051124746,0.7055214723926381,0.1083844580777096,0.558282208588957,2.477300613496933,3.085,2.605154639175258,8.006369426751592,103.7,Yes,Yes,185
