teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedPercentage,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingAverageTimeToSack,opponentStatsPassingSackedYardsLost,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingSackedFaultTotal,opponentStatsPassingIncompletionsBatted
14,Indianapolis,Colts,NYG,NFC,NFC East,Closed,Closed,Cover 1,11,9,8,0.75,2,6,0.75,0.75,-0.02436254874999999,42,5.25,0.21428571428571427,10.25,50,2,Yes,No,1,0.1111111111111111,-0.18021111111111113,No,0.25,0.875,0.625,2.475,5.2,2.5,6.25,126,No,No,5,,,,,,,,,,,,,,,,,,
10,Denver,Broncos,KC,AFC,AFC West,Open,Open,Cover 4,14,10,9,0.5555555555555556,3,4,0.4444444444444444,0.5555555555555556,-0.20027469999999992,57,6.333333333333333,0.2807017543859649,-3.3,61,,Yes,No,4,0.4,0.07700499999999999,No,0.4444444444444444,1,0.1111111111111111,2.6555555555555554,,2.675,6.777777777777778,25.9,No,Yes,3,True,3,0.1111111111111111,2,1,1,0.1,0.1,1,0.1111111111111111,0.2222222222222222,4.4,,,,,,
22,New England,Patriots,BUF,AFC,AFC East,Open,Closed,Cover 1,14,12,10,0.8,1,7,0.7,0.8,0.05083160640000006,73,7.3,0.5342465753424658,7.909090909090909,74,1,Yes,Yes,2,0.16666666666666666,-0.22791666666666668,No,0.2,0.7,0.3,3.3200000000000003,5.4,3,7.4,124.2,No,Yes,4,True,11,0.1,,1,,0.08333333333333333,,1,0.1,,2.9,-6,0.1,0.2,,,
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Closed,Open,Cover 0,7,8,8,0.75,,6,0.75,0.8571428571428571,0.13925984214285714,112,14,0.5714285714285714,14,61,,Yes,No,2,0.25,-0.18770625000000002,Yes,0.125,0.625,0.375,3.1125,,3.4,8.714285714285714,116.7,No,No,4,True,,,,,,,,1,0.125,,,,,,1,,
17,Los Angeles,Rams,SEA,NFC,NFC West,Open,Open,Cover 2,15,11,10,0.9,,9,0.9,1,0.24409676199999997,108,10.8,0.39814814814814814,10.8,65,,Yes,No,2,0.18181818181818182,-0.22824999999999998,No,,0.6,0.7,3.19,4.9,2.15,7.222222222222222,111.7,No,Yes,8,True,,,,,,,,2,0.2,,,,0.1,,1,,
31,Tennessee,Titans,HST,AFC,AFC South,Open,Open,Cover 0,13,11,11,0.5454545454545454,1,5,0.45454545454545453,0.5454545454545454,-0.2095034050000001,65,5.909090909090909,0.5384615384615384,5.909090909090909,72,,Yes,No,2,0.18181818181818182,-0.23177727272727272,No,0.45454545454545453,0.7272727272727273,0.2727272727272727,2.972727272727273,,2.9000000000000004,6.545454545454546,64.6,No,No,4,True,10,0.09090909090909091,,,,,,,,,,,,,,,
28,Seattle,Seahawks,LA,NFC,NFC West,Open,Open,Cover 2,12,16,15,0.8666666666666667,1,13,0.8666666666666667,0.9285714285714286,0.0959302447142858,117,7.8,0.5299145299145299,10.466666666666667,58,2,Yes,No,5,0.3125,-0.05593750000000003,No,0.06666666666666667,0.8,0.8,2.853333333333333,4.6,2.4799999999999995,4.142857142857143,138.8,No,Yes,4,,,,,,,,,1,0.06666666666666667,,,,0.06666666666666667,0.06666666666666667,1,,
7,Cincinnati,Bengals,TEN,AFC,AFC South,Open,Open,Cover 4,11,9,9,0.6666666666666666,2,6,0.6666666666666666,0.6666666666666666,-0.17629206388888885,43,4.777777777777778,0.6744186046511628,9.222222222222221,24,2,Yes,Yes,2,0.2222222222222222,-0.16541111111111112,No,0.3333333333333333,0.8888888888888888,0.6666666666666666,2.822222222222222,,2.95,2.6666666666666665,117.1,Yes,Yes,4,,,,,,,,,,,,,,,0.1111111111111111,,,
8,Cleveland,Browns,MIA,AFC,AFC East,Open,Open,Red Zone,13,8,8,1,,8,1,1,0.181251069125,129,16.125,0.7906976744186046,18.625,27,1,Yes,No,3,0.375,-0.03251875000000004,No,,0.625,0.625,2.9375,,2.3000000000000003,3.375,158.3,No,No,5,True,,,,,,,,,,,,,,0.125,,,
2,Atlanta,Falcons,CAR,NFC,NFC South,Closed,Open,Cover 4,9,18,17,0.7058823529411765,2,12,0.7058823529411765,0.7058823529411765,0.002744106882353048,218,12.823529411764707,0.5504587155963303,15.176470588235293,180,2,Yes,No,1,0.05555555555555555,-0.37304722222222225,No,0.29411764705882354,0.7647058823529411,0.5882352941176471,3.2058823529411766,4.3,3.6,10.588235294117647,152.2,No,Yes,9,True,,,,,,,0.05555555555555555,2,0.11764705882352941,,,,,,,,
