gameGameId,gameSeason,gameSeasonTypeSeasonTypeId,gameWeek,teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,teamStatsGamesPlayed,opponentStatsRushingAttemptsTotal,opponentStatsRushingAttemptsStuffsPercentage,opponentStatsRushingAttemptsSuccessPercentage,opponentStatsRushingYardsTotal,opponentStatsRushingYardsPerAttempt,opponentStatsRushingYardsBeforeContactPerAttempt,opponentStatsRushingYardsAfterContactTotal,opponentStatsRushingYardsAfterContactPerAttempt,opponentStatsRushingYardsAfterContactPercentage,opponentStatsRushingYardsExplosiveTotal,opponentStatsRushingYardsExplosivePercentage,opponentStatsRushingTouchdownsTotal,opponentStatsRushingTouchdownsPercentage,opponentStatsRushingMissedTacklesForcedTotal,opponentStatsRushingMissedTacklesForcedPerAttempt,opponentStatsRushingFumblesTotal,opponentStatsRushingRunsExplosivePercentage,opponentStatsRushingConceptZoneAttemptsTotal,opponentStatsRushingConceptZoneAttemptsPercentage,opponentStatsRushingConceptZoneAttemptsSuccessPercentage,opponentStatsRushingConceptZoneYardsTotal,opponentStatsRushingConceptZoneYardsPerAttempt,opponentStatsRushingConceptZoneTouchdownsTotal,opponentStatsRushingConceptManAttemptsTotal,opponentStatsRushingConceptManAttemptsPercentage,opponentStatsRushingConceptManAttemptsSuccessPercentage,opponentStatsRushingConceptManYardsTotal,opponentStatsRushingConceptManYardsPerAttempt,opponentStatsRushingConceptManTouchdownsTotal,opponentStatsFirstDownsRushing,opponentStatsInside5RushingAttemptsTotal
2024319,2024,1,18,19,Las Vegas,Raiders,True,LAC,AFC,AFC West,17,454,0.4781609195402299,0.45594713656387664,1987,4.3766519823788546,1.6872246696035242,1034,2.2775330396475773,0.5203824861600402,625,0.3145445395067942,14,0.030837004405286344,68,0.14977973568281938,5,0.048458149779735685,221,0.486784140969163,0.49321266968325794,976,4.416289592760181,5,166,0.3656387665198238,0.42771084337349397,745,4.4879518072289155,7,102,31
2024308,2024,1,18,2,Atlanta,Falcons,True,CAR,NFC,NFC South,17,458,0.3837471783295711,0.5240174672489083,2051,4.478165938864628,1.6877729257641922,977,2.1331877729257642,0.4763529985372989,495,0.24134568503169185,11,0.024017467248908297,73,0.15938864628820962,9,0.05458515283842795,189,0.4126637554585153,0.49206349206349204,739,3.9100529100529102,3,170,0.37117903930131,0.5588235294117647,812,4.776470588235294,5,131,20
2024309,2024,1,18,32,Washington,Commanders,,DAL,NFC,NFC East,17,490,0.40332640332640335,0.5183673469387755,2337,4.7693877551020405,2.3714285714285714,1021,2.083673469387755,0.4368848951647411,616,0.2635857937526744,18,0.036734693877551024,87,0.17755102040816326,11,0.05102040816326531,211,0.4306122448979592,0.5260663507109005,892,4.2274881516587675,10,214,0.43673469387755104,0.5420560747663551,1210,5.654205607476635,7,122,27
2024307,2024,1,18,7,Cincinnati,Bengals,,PIT,AFC,AFC North,17,479,0.41541755888650966,0.5281837160751566,2122,4.430062630480167,1.697286012526096,1052,2.1962421711899793,0.4957587181903864,527,0.24835061262959474,20,0.04175365344467641,71,0.14822546972860126,9,0.04384133611691023,230,0.4801670146137787,0.5173913043478261,949,4.126086956521739,8,159,0.33194154488517746,0.5031446540880503,780,4.90566037735849,10,137,42
2024313,2024,1,18,26,Philadelphia,Eagles,True,NYG,NFC,NFC East,17,416,0.42053789731051344,0.5096153846153846,1771,4.257211538461538,1.4807692307692308,923,2.21875,0.5211744776962168,448,0.25296442687747034,9,0.021634615384615384,60,0.14423076923076922,15,0.052884615384615384,197,0.4735576923076923,0.5532994923857868,863,4.380710659898477,5,156,0.375,0.4166666666666667,587,3.7628205128205128,3,108,23
2024306,2024,1,18,8,Cleveland,Browns,,BLT,AFC,AFC North,17,488,0.4794816414686825,0.4405737704918033,2205,4.51844262295082,1.9672131147540983,979,2.0061475409836067,0.4439909297052154,937,0.4249433106575964,22,0.045081967213114756,89,0.18237704918032788,7,0.07581967213114754,208,0.4262295081967213,0.47115384615384615,915,4.399038461538462,9,184,0.3770491803278688,0.358695652173913,809,4.396739130434782,8,108,28
2024317,2024,1,18,16,Kansas City,Chiefs,,DEN,AFC,AFC West,17,418,0.44660194174757284,0.47607655502392343,1731,4.141148325358851,1.514354066985646,782,1.8708133971291867,0.4517619872905835,292,0.1686886192952051,13,0.03110047846889952,54,0.1291866028708134,5,0.028708133971291867,203,0.48564593301435405,0.4039408866995074,732,3.605911330049261,4,129,0.30861244019138756,0.4883720930232558,545,4.224806201550388,5,112,25
2024307,2024,1,18,27,Pittsburgh,Steelers,True,CIN,AFC,AFC North,17,412,0.4466501240694789,0.48058252427184467,1678,4.072815533980583,1.9004854368932038,849,2.0606796116504853,0.5059594755661502,369,0.2199046483909416,14,0.03398058252427184,54,0.13106796116504854,8,0.03398058252427184,239,0.5800970873786407,0.5230125523012552,1191,4.98326359832636,6,130,0.3155339805825243,0.3923076923076923,369,2.8384615384615386,6,108,27
2024316,2024,1,18,29,San Francisco,49ers,,ARZ,NFC,NFC West,17,476,0.43817787418655096,0.4957983193277311,2118,4.449579831932773,1.9663865546218486,1038,2.180672268907563,0.49008498583569404,537,0.2535410764872521,24,0.05042016806722689,85,0.17857142857142858,9,0.04201680672268908,196,0.4117647058823529,0.4846938775510204,845,4.311224489795919,4,214,0.4495798319327731,0.4953271028037383,963,4.5,15,118,30
2024312,2024,1,18,4,Buffalo,Bills,,NE,AFC,AFC East,17,435,0.4801864801864802,0.4689655172413793,1963,4.512643678160919,1.9586206896551723,961,2.2091954022988505,0.48955680081507896,579,0.29495669893020887,13,0.029885057471264367,74,0.17011494252873563,13,0.05057471264367816,174,0.4,0.41954022988505746,685,3.9367816091954024,5,199,0.4574712643678161,0.4723618090452261,976,4.9045226130653266,7,109,27
