Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,SackedTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsSpiked,IncompletionsBatted,TouchdownsTotal,SackedFaultTotal,InterceptionsTotal,HeroThrowPercentage
Tommy DeVito,NYG,QB,43,43,39,0.7949,2,28,0.7179,0.7632,-0.0126,43,1,2,0.0256,236,6.0513,0.5042,4.8372,213,4,0.3077,-28,0.093,Yes,No,13,0.3023,10.535,0.0573,Yes,0.0465,0.1795,2,0.0513,0.0256,0.8205,0.1282,0.5385,2.141,2.325,2.4154,5.6053,87.1,Yes,Yes,13,9.44,9.44,9.44,9.44,9.44,9.44,9.44,9.44,9.44,9.44,9.44,11.8,11.8,3,,,,,,
Tim Boyle,NYG,QB,45,45,44,0.6591,4,25,0.5682,0.6923,-0.0722,45,2,13,0.0455,254,5.7727,0.5551,5.8889,241,1,0.1667,-9,0.0222,No,No,6,0.1333,9.1722,-0.0705,No,0.0444,0.2045,3,0.0682,0.0227,0.7273,,0.3409,1.7795,3.5,2.5333,6.025,81.1,No,No,10,14.16,14.16,14.16,14.16,14.16,14.16,14.16,14.16,14.16,14.16,14.16,16.7,16.7,3,1,1,1,1,,
Jordan Love,GB,QB,381,381,373,0.7668,29,247,0.6622,0.7626,0.0345,381,5,256,0.0697,2889,7.7453,0.5341,7.5906,3120,8,0.0899,-72,0.021,No,Yes,89,0.2336,116.3509,-0.0718,No,0.0604,0.1796,59,0.1582,0.0322,0.7265,0.0912,0.4826,2.3834,2.9125,2.5169,8.6667,100.9,No,Yes,134,202.56,202.56,202.56,202.56,202.56,205.56,205.56,193.56,193.56,193.56,193.56,231.45,222.45,15,,8,24,2,9,0.0429
Mitchell Trubisky,BUF,QB,23,23,23,0.8261,,17,0.7391,0.7391,-0.0169,23,,,,173,7.5217,0.8555,8.3913,148,,,,,No,No,3,0.1304,6.3262,-0.1446,No,0.0435,0.1739,4,0.1739,0.0435,0.7826,,0.7391,2.1696,,2.4,6.4348,109.5,No,No,6,10.92,10.92,10.92,10.92,10.92,10.92,10.92,10.92,10.92,10.92,10.92,12.65,12.65,9,,,1,,,0.0435
Aaron Rodgers,NYJ,QB,536,535,503,0.7614,26,328,0.6521,0.7376,-0.0267,535,10,146,0.0577,3368,6.6958,0.5834,5.7645,3238,32,0.2783,-249,0.0598,Yes,Yes,115,0.215,140.6977,-0.048,No,0.0654,0.1889,49,0.0974,0.0199,0.7356,0.0974,0.5686,2.1966,3.0312,2.4052,6.6763,90.5,No,Yes,162,214.72,214.72,214.72,214.72,214.72,217.72,216.72,202.72,202.72,202.72,202.72,248.4,236.4,17,,8,23,7,11,0.0497
Baker Mayfield,TB,QB,551,550,522,0.8218,37,374,0.7165,0.798,0.0451,550,4,271,0.0556,4063,7.7835,0.5732,7.0764,3431,28,0.3373,-196,0.0509,No,No,83,0.1509,158.6797,-0.1376,Yes,0.0309,0.1398,44,0.0843,0.0326,0.728,0.09,0.5862,2.3366,3.4821,2.4518,6.7673,104.6,No,Yes,202,286.52,286.52,286.52,286.52,286.52,289.52,288.52,270.52,270.52,270.52,270.52,327.15,311.15,17,1,10,35,6,15,0.0287
Bryce Young,CAR,QB,337,337,320,0.7656,22,208,0.65,0.7517,0.0268,337,15,270,0.0594,2068,6.4625,0.4115,5.6528,2573,17,0.2208,-128,0.0504,No,No,77,0.2285,89.8513,-0.0381,No,0.0208,0.1688,43,0.1344,0.025,0.75,0.0656,0.55,2.2028,2.9882,2.2831,8.4917,88.6,No,Yes,100,130.72,130.72,130.72,130.72,130.72,133.72,132.72,122.72,122.72,122.72,122.72,151.4,143.4,14,,2,14,3,7,0.0688
Mason Rudolph,TEN,QB,214,214,206,0.7233,7,131,0.6359,0.754,0.0067,214,8,65,0.0485,1349,6.5485,0.4292,4.8178,1389,8,0.1176,-53,0.0374,No,Yes,68,0.3178,69.8039,-0.0084,No,0.028,0.1893,17,0.0825,0.0291,0.6505,0.0922,0.4709,2.5369,3.1125,2.4529,7.4531,75.5,No,No,67,72.96,72.96,72.96,72.96,72.96,75.96,75.96,63.96,63.96,63.96,63.96,86.45,77.45,8,3,3,7,3,9,0.034
Derek Carr,NO,QB,242,241,236,0.7797,11,164,0.6949,0.7818,0.0491,241,11,131,0.0339,1826,7.7373,0.477,7.4979,1949,5,0.0909,-34,0.0207,Yes,No,55,0.2282,71.895,-0.0701,Yes,0.0166,0.1483,37,0.1568,0.0254,0.6864,0.1271,0.5424,2.3411,2.74,2.2855,8.819,100.4,No,No,79,116.04,116.04,116.04,116.04,116.04,119.04,119.04,111.04,111.04,111.04,111.04,134.3,129.3,10,,4,12,1,5,0.0466
Deshaun Watson,CLV,QB,197,197,178,0.7921,8,117,0.6573,0.7471,-0.0066,197,,121,0.073,997,5.6011,0.5717,4.1015,1268,19,0.3065,-134,0.0964,Yes,No,62,0.3147,53.8264,0.0415,No,0.0051,0.1854,19,0.1067,0.0281,0.8146,0.0843,0.4607,2.3281,3.2895,2.3226,7.2457,80.7,No,Yes,43,50.88,50.88,50.88,50.88,50.88,53.88,51.88,45.88,45.88,45.88,45.88,60.85,55.85,7,,3,4,3,3,0.0169
Dak Prescott,DAL,QB,263,262,245,0.751,14,161,0.6571,0.7155,-0.0223,262,2,62,0.0204,1741,7.1061,0.4785,5.7557,1857,17,0.2576,-98,0.0649,No,No,66,0.2519,74.3574,-0.0319,No,0.0153,0.1837,26,0.1061,0.049,0.7469,0.0776,0.4816,2.3322,3.2824,2.4197,7.9021,86.8,No,No,76,98.64,98.64,98.64,98.64,98.64,101.64,101.64,91.64,91.64,91.64,91.64,116.05,109.05,8,2,6,9,2,7,0.049
Hendon Hooker,DET,QB,6,6,5,1,,4,0.8,1,0.2321,6,,6,0.2,34,6.8,0.2353,4.1667,32,1,1,-9,0.1667,Yes,No,1,0.1667,1.229,-0.0382,No,,,1,0.2,,1,,0.8,2,2.4,2.1,6.4,95,No,Yes,2,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.7,1.7,3,,,,,,
Spencer Rattler,NO,QB,206,204,189,0.7407,6,113,0.5979,0.7356,-0.0184,204,5,92,0.0794,1053,5.5714,0.4919,4.0392,1241,15,0.2679,-109,0.0735,No,Yes,56,0.2745,54.6801,0.0065,Yes,0.0098,0.164,17,0.0899,0.037,0.6772,0.1111,0.5026,2.2508,2.98,2.3107,7.1067,71.6,No,Yes,52,47.12,47.12,47.12,47.12,47.12,50.12,47.12,40.12,40.12,40.12,40.12,57.65,50.65,7,1,5,3,6,4,0.037
Marcus Mariota,WAS,QB,37,37,36,0.9167,1,31,0.8611,0.8857,0.1527,37,,,,322,8.9444,0.3665,10.0541,276,1,0.5,-10,0.027,No,No,2,0.0541,9.6725,-0.2074,Yes,0.1081,0.0556,3,0.0833,,0.8611,,0.5,2.1278,3.2,3.7,7.8857,131.7,Yes,Yes,19,24.88,24.88,24.88,24.88,24.88,27.88,27.88,24.88,24.88,24.88,24.88,28.1,28.1,3,1,,3,1,,0.0556
Carson Wentz,KC,QB,20,20,17,0.7059,,11,0.6471,0.7059,-0.0804,20,,12,0.0588,95,5.5882,0.7158,3.85,91,3,0.75,-18,0.15,No,Yes,4,0.2,2.9711,0.0514,No,0.1,0.2941,1,0.0588,,0.8235,0.0588,0.4706,1.5882,2.8667,1.6,5.3529,79.3,No,No,4,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,4.75,4.75,3,,,,1,,
Tyler Huntley,MIA,QB,120,120,108,0.7778,5,75,0.6944,0.8039,0.0493,120,1,51,0.0648,701,6.4907,0.4765,4.5833,724,12,0.4,-76,0.1,No,Yes,30,0.25,27.9566,0.017,No,0.0083,0.1481,6,0.0556,0.037,0.7963,0.0556,0.5648,2.0741,2.7917,2.2133,6.9615,84.7,No,No,38,36.04,36.04,36.04,36.04,36.04,39.04,38.04,32.04,32.04,32.04,32.04,43.05,39.05,5,1,2,3,7,3,0.0093
Joe Milton,NE,QB,22,22,22,0.9091,,19,0.8636,0.9048,0.157,22,1,,,166,7.5455,0.2771,7.5455,152,,,,,No,Yes,4,0.1818,7.7191,-0.1691,Yes,0.1364,0.0455,1,0.0455,,0.8182,0.0909,0.7273,2.6091,,2.725,7.2381,98.1,No,No,11,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,8.3,8.3,1,,,,,,
Geno Smith,SEA,QB,553,553,511,0.7906,31,363,0.7104,0.7979,0.0485,553,15,191,0.0313,3903,7.638,0.5183,6.2043,3540,42,0.3088,-292,0.0759,No,No,136,0.2459,156.2278,-0.0366,Yes,0.0235,0.1252,57,0.1115,0.0333,0.6595,0.0802,0.5421,2.3462,3.1571,2.4199,7.4635,95.1,Yes,Yes,184,216.12,216.12,216.12,216.12,216.12,219.12,219.12,204.12,204.12,204.12,204.12,255.15,243.15,17,2,15,18,10,12,0.045
Drake Maye,NE,QB,322,321,296,0.7703,13,207,0.6993,0.7878,0.0287,321,6,95,0.0405,2076,7.0135,0.5462,5.3832,1890,25,0.2874,-183,0.0779,No,No,87,0.271,83.0853,0.0122,No,0.0343,0.1588,25,0.0845,0.0338,0.7534,0.0946,0.5642,2.2017,3.048,2.2609,6.7314,90.4,No,No,101,118.04,118.04,118.04,118.04,118.04,121.04,117.04,105.04,105.04,105.04,105.04,138.8,125.8,13,1,6,12,7,9,0.0338
Justin Herbert,LAC,QB,486,486,454,0.7775,22,307,0.6762,0.7849,0.0592,486,16,196,0.0551,3622,7.978,0.4475,7.6255,3684,32,0.3019,-206,0.0658,No,No,106,0.2181,146.1855,-0.0827,No,0.0226,0.1432,56,0.1233,0.0132,0.6608,0.0793,0.5705,2.4406,3.2437,2.4764,8.6479,103.8,No,Yes,162,217.88,217.88,217.88,217.88,217.88,220.88,219.88,214.88,214.88,214.88,214.88,254.1,251.1,17,3,9,19,6,2,0.0551
Patrick Mahomes,KC,QB,497,497,471,0.7771,27,329,0.6985,0.7904,0.0146,497,12,129,0.0382,3249,6.8981,0.6451,6.0966,2719,26,0.2407,-194,0.0523,No,No,108,0.2173,132.0515,-0.0484,No,0.0905,0.1401,39,0.0828,0.0234,0.69,0.0828,0.5244,2.1989,3.2846,2.5509,6.1371,94.5,No,Yes,172,196.96,196.96,196.96,196.96,196.96,199.96,199.96,187.96,187.96,187.96,187.96,229.45,220.45,16,2,12,19,10,9,0.0297
Aidan O'Connell,LV,QB,215,215,206,0.733,11,134,0.6505,0.7296,-0.0122,215,2,40,0.0437,1418,6.8835,0.4725,6.0512,1563,9,0.1957,-77,0.0419,No,No,46,0.214,59.6695,-0.0636,No,0.0279,0.2136,31,0.1505,0.0437,0.6602,0.0631,0.5,2.2534,3.1667,2.4435,7.995,88.2,No,Yes,66,80.72,80.72,80.72,80.72,80.72,83.72,83.72,76.72,76.72,76.72,76.72,94.9,90.9,9,1,4,7,3,4,0.0437
Matthew Stafford,LA,QB,468,468,442,0.733,31,291,0.6584,0.7279,-0.0027,468,7,90,0.0317,3308,7.4842,0.4586,6.4209,3475,26,0.2342,-203,0.0556,No,No,111,0.2372,138.4473,-0.0586,Yes,0.0192,0.1991,53,0.1199,0.0339,0.6991,0.052,0.5204,2.3903,3.1077,2.4081,8.2212,90.4,No,No,151,174.32,174.32,174.32,174.32,174.32,177.32,175.32,164.32,164.32,164.32,164.32,207.4,197.4,16,1,9,13,2,8,0.0543
Tyson Bagent,CHI,QB,2,2,2,1,,2,1,1,0.1159,2,,,,11,5.5,1,5.5,,,,,,Yes,No,,,0.3191,-0.1595,No,0.5,,,,,1,,1,1.5,,,,89.6,No,Yes,1,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,4,,,,,,
Nick Mullens,MIN,QB,3,2,2,1,,2,1,1,0.2895,2,,,,38,19,0.4737,19,20,,,,,No,No,1,0.5,0.5606,0.2197,No,,,,,,1,,0.5,2.2,,2,10,118.8,No,No,2,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.9,1.9,4,,,,,,
