Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,ScramblesTouchdowns,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage
Jayden Daniels,WAS,QB,88,88,45,0.4828,2,11,0.3793,0.5238,-0.1204,88,8,,,,234,8.069,0.265,3.3953,300,2,2,14,6,0.1944,-38,0.1591,45,342,1,No,Yes,72,0.8182,19.531,0.5962,Yes,0.2414,4,0.1379,0.069,0.069,0.1379,0.0345,0.1724,4.4793,4.0429,4.5467,2.6153,14.2857,61.6,No,No,7,55.56,55.56,55.56,55.56,55.56,58.56,58.56,53.56,53.56,53.56,53.56,57.9,55.9,17,0.0227
Bo Nix,DEN,QB,61,61,21,0.5135,3,16,0.4324,0.6154,-0.0421,61,10,,,,229,6.1892,0.4017,5.325,332,1,,3,1,0.0811,-36,0.0492,21,112,1,No,No,37,0.6066,23.3086,0.2244,Yes,0.1351,4,0.1081,0.027,0.027,0.0541,0.0811,0.3784,4.227,3.7333,4.6095,2.7189,12.2963,72.9,No,Yes,10,30.36,30.36,30.36,30.36,30.36,33.36,33.36,30.36,30.36,30.36,30.36,32.65,32.65,17,0.0328
Bailey Zappe,CLV,QB,2,2,1,,,,,,,2,1,,,,,,,,,,,,,,,,1,3,,No,No,1,0.5,0.4528,0.2736,No,,,,,,,,,3.2,,5.1,3.1,,39.6,No,No,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,
Jimmy Garoppolo,LA,QB,1,1,,,,,,,,1,,,,,,,,-8,,,,1,,1,-8,1,,,,Yes,Yes,1,1,,1,No,,,,,,,,,,3.1,,2,,,No,No,,,,,,,,,,,,,,,1,
Trevor Lawrence,JAX,QB,10,10,3,0.3333,2,1,0.1667,0.25,-0.3803,10,2,,,,20,3.3333,0.75,2.5714,59,,,1,,0.1,-2,0.1,3,24,,No,No,10,1,3.7001,0.63,No,0.3333,1,0.1667,,,,,0.3333,4.15,3.1,4.9667,2.18,14.75,41,No,No,1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.4,3.4,10,
Lamar Jackson,BLT,QB,63,63,24,0.5135,7,16,0.4324,0.5938,-0.0164,63,4,,24,0.0811,325,8.7838,0.3569,11.2821,496,6,,2,1,0.04,-5,0.0317,24,184,,No,No,50,0.7937,30.9849,0.3018,No,0.3514,8,0.2162,,0.1351,0.1081,0.0811,0.3514,5.4297,5.7,5.1833,2.766,15.0303,114.3,No,Yes,14,55.4,55.4,55.4,55.4,55.4,61.4,61.4,55.4,55.4,55.4,55.4,58.65,58.65,17,0.0159
Dorian Thompson-Robinson,CLV,QB,11,11,4,0.2,,,,,-0.5898,11,2,,,,,,,-8,43,,1,2,2,0.2222,-11,0.1818,4,23,,No,Yes,9,0.8182,2.678,0.5747,Yes,0.4,1,0.2,,,0.2,,,3.68,4.85,4.375,2.7111,14.3333,,No,No,,1.3,1.3,1.3,1.3,1.3,1.3,1.3,0.3,0.3,0.3,0.3,1.3,0.3,7,
Chris Oladokun,KC,QB,2,2,1,,,,,,,2,,,,,,,,-5,,,,1,1,0.5,-5,0.5,1,5,,No,Yes,2,1,,1,No,,,,,,,,,,2.2,8.4,1.7,,,No,No,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,
Mike White,BUF,QB,1,1,1,,,,,,-0.6364,1,,,,,,,,,11,,,,,,,,,,,No,Yes,1,1,0.608,0.392,No,1,,,,,,,,4.1,,,3.2,11,39.6,No,No,,,,,,,,,,,,,,,1,
Kenny Pickett,PHI,QB,5,5,2,0.6667,,2,0.6667,1,0.4394,5,1,,,,49,16.3333,0.2857,16.3333,35,,,,,,,,2,9,,No,Yes,4,0.8,1.8241,0.4352,No,,1,0.3333,,,,,,4.1,,4.85,2.75,17.5,109.7,Yes,Yes,2,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,3.35,3.35,5,
Desmond Ridder,LV,QB,11,11,1,0.4,1,2,0.4,0.6667,0.1296,11,2,,,,50,10,0.52,5.1,58,1,,5,2,0.5556,-19,0.4545,1,3,,No,No,9,0.8182,3.9373,0.4602,No,0.2,2,0.4,,0.2,,,0.4,5.14,3.54,3.9,2.4111,19.3333,116.7,No,No,2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.8,6.8,5,
Will Levis,TEN,QB,18,18,11,0.5,,1,0.5,0.5,-0.0867,18,,,,,8,4,0.5,0.1429,43,,,5,5,0.3333,-7,0.2778,11,72,,No,No,15,0.8333,1.1471,0.7696,No,0.5,1,0.5,,,,,0.5,3.9,4.54,4.1909,2.6867,21.5,60.4,No,No,,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.6,7.6,12,
