Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsBatted,InterceptionsTotal,TowThrowPercentage,HeroThrowPercentage,TargetedReadCheckdownPercentage,AttemptsInEndzoneTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,AverageTimeToSack,RunPassOptionPercentage,ScramblesTouchdowns
Jake Haener,NO,QB,2,2,2,0.5,,,,-0.7655,2,,,,,,,,13,,,,No,No,1,0.5,0.7503,0.1248,No,0.5,,,1,,2.75,,2.7,6.5,39.6,No,No,,,,,,,,,,,,,,,8,,,0.5,,,1,,,,,,,,
Michael Penix,ATL,QB,1,1,1,1,1,1,1,0.3163,1,,,,15,15,0.4,15,9,,,,No,No,,,0.4701,-0.4701,No,,,,,1,3.3,,,9,118.8,No,No,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,5,,,,,,,,,,,,,,
Tyrod Taylor,NYJ,QB,1,1,1,1,1,1,1,0.1202,1,,,,6,6,0.8333,6,1,,,,No,No,1,1,0.3493,0.6507,No,,,,1,,2.6,,2.5,1,91.7,No,No,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.3,0.3,2,,,,,,,,,,,,,,
Drew Lock,NYG,QB,10,10,10,0.9,9,0.9,0.9,0.0964,10,,,,101,10.1,0.7327,7.6,47,1,,,Yes,No,3,0.3,4.5625,-0.1562,No,0.1,1,0.1,0.7,0.7,3.22,,2.3667,4.7,102.5,No,Yes,3,7.04,7.04,7.04,7.04,7.04,7.04,7.04,6.04,6.04,6.04,6.04,8.05,7.05,7,,1,0.1,,,,,,,,,,,
Jalen Hurts,PHI,QB,21,21,1,0.75,14,0.7,0.9375,0.162,21,3,,0.05,212,10.6,0.4764,12.6,129,2,1,2,No,No,4,0.1905,9.2112,-0.2482,No,0.05,2,0.1,0.55,0.65,3.245,2.7,2.375,8.0625,137.9,No,No,9,16.68,16.68,16.68,16.68,16.68,16.68,16.68,16.68,16.68,16.68,16.68,18.8,18.8,15,1,,,0.15,0.1,2,,,,,,,0.2381,
Cooper Rush,DAL,QB,30,30,1,0.6786,13,0.4643,0.72,-0.0138,30,2,36,0.1786,162,5.7857,0.5062,6.069,191,1,1,4,Yes,No,6,0.2,10.5566,-0.1519,No,0.1786,3,0.1071,0.6071,0.3929,2.7607,4,3.1,7.64,76.8,No,Yes,8,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,10.88,12.5,12.5,12,1,,,0.0357,0.0357,2,1,1,0.1667,-6,0.0333,3.7,,
Taylor Heinicke,LAC,QB,1,1,1,1,,,1,0.0762,1,,-1,1,,,,,-1,,,,Yes,No,,,0.3838,-0.3838,No,,,,1,,2.8,,,-1,39.6,No,Yes,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
Malik Willis,GB,QB,4,4,4,1,3,0.75,1,0.1671,4,,3,0.25,24,6,0.625,11,12,1,,,No,No,1,0.25,1.5179,-0.1295,No,,,,1,0.75,2.775,,2.3,3,129.2,No,No,2,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,5.2,5.2,7,,,,,,,,,,,,,,
Davis Mills,HST,QB,2,2,2,0.5,1,0.5,0.5,-0.2933,2,,,,25,12.5,1.12,12.5,9,,,,No,No,,,0.6469,-0.3234,No,0.5,,,1,0.5,2.45,,,4.5,95.8,No,No,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,4,,,,,,1,,,,,,,,
Desmond Ridder,LV,QB,3,2,2,1,2,1,1,0.1479,2,,,,19,9.5,0.7368,9.5,5,,,,No,No,,,0.7676,-0.3838,No,,,,1,,2.8,,,2.5,106.3,No,No,1,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.95,0.95,5,,,,,,,,,,,,,,
Trey Lance,DAL,QB,6,6,6,1,6,1,1,0.2026,6,,,,57,9.5,0.4561,9.5,31,,,,Yes,No,1,0.1667,2.4926,-0.2488,No,,,,0.5,0.6667,2.9833,,2.8,5.1667,106.3,No,Yes,4,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.85,2.85,4,,,,,0.1667,,,,,,,,,
Will Levis,TEN,QB,13,12,1,0.5455,6,0.5455,0.75,-0.1051,12,3,,,31,2.8182,0.6774,2.8182,18,,1,2,No,No,3,0.25,4.377,-0.1148,No,0.1818,,,0.6364,0.3636,2.8818,3.7,2.8667,2.25,60,No,No,,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.75,1.75,12,,,,,,1,,,,,,,,
Kenny Pickett,PHI,QB,4,3,2,1,1,0.5,0.5,-0.3217,3,,,,5,2.5,,-1,9,,,,No,No,2,0.6667,0.6296,0.4568,No,,,,1,0.5,2.4,,2.45,4.5,56.3,No,No,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,5,,,,,,,1,1,0.5,-8,0.3333,3.2,0.3333,
Lamar Jackson,BLT,QB,31,31,1,0.8,21,0.7,0.7931,0.0805,31,1,62,0.0667,317,10.5667,0.5331,13.9,286,5,1,4,No,No,10,0.3226,12.7387,-0.0883,Yes,0.1667,4,0.1333,0.7,0.4333,3.0367,5.3,2.95,9.8621,144,No,Yes,14,33.08,33.08,33.08,33.08,33.08,36.08,36.08,33.08,33.08,33.08,33.08,36.25,36.25,17,,,,0.1333,0.0667,3,,,,,,,,
Dorian Thompson-Robinson,CLV,QB,7,7,7,0.5714,2,0.2857,0.4286,-0.3579,7,,17,0.1429,7,1,0.7143,1,40,,,,No,No,2,0.2857,3.0316,-0.1474,No,0.4286,,,0.7143,0.5714,3.0857,,2.85,5.7143,39.6,No,No,,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,7,,,,,0.1429,,,,,,,,,
Bo Nix,DEN,QB,51,51,5,0.7333,30,0.6667,0.8049,0.069,51,4,19,0.0667,406,9.0222,0.4754,8.4783,388,4,5,45,Yes,No,13,0.2549,20.3415,-0.144,No,0.1778,7,0.1556,0.5556,0.4444,3.1956,4.36,2.9462,9.4634,106.3,No,Yes,17,40.74,40.74,40.74,40.74,40.74,43.74,43.74,38.74,38.74,38.74,38.74,44.8,42.8,17,,2,0.0222,0.0444,0.1778,3,1,1,0.0769,-6,0.0196,5.4,0.0196,1
Trevor Lawrence,JAX,QB,8,8,1,0.2857,2,0.2857,0.5,-0.3778,8,3,,,8,1.1429,0.75,1.1429,4,,1,6,Yes,Yes,4,0.5,2.2036,0.2246,Yes,0.2857,,,0.4286,0.2857,2.4,5.2,2.475,1,39.6,No,No,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1,1,10,,,,,0.1429,,,,,,,,,
Bailey Zappe,CLV,QB,1,1,1,1,1,1,1,0.1052,1,,,,1,1,1,1,,,,,Yes,No,,,0.3493,-0.3493,No,,,,1,1,2.6,,,,79.2,No,Yes,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,1,,,,,,,,,,,,,,
Andy Dalton,CAR,QB,7,7,7,0.5714,2,0.2857,0.5,-0.0904,7,,6,0.1429,34,4.8571,0.2941,-1.5714,36,,,,Yes,Yes,3,0.4286,2.4623,0.0768,No,0.2857,1,0.1429,0.7143,0.4286,2.6143,,2.3667,6,7.7,No,Yes,1,0.36,0.36,0.36,0.36,0.36,0.36,0.36,-0.64,-0.64,-0.64,-0.64,0.7,-0.3,6,1,1,0.1429,,0.1429,,,,,,,,,
Sam Darnold,MIN,QB,30,29,27,0.8148,21,0.7778,0.9167,0.0953,29,2,-5,0.037,175,6.4815,0.7029,6.7241,79,2,,,No,No,5,0.1724,11.5701,-0.2266,No,0.0741,,,0.5926,0.4074,3.0593,,2.66,3.2917,118.4,No,No,12,15,15,15,15,15,15,15,15,15,15,15,16.75,16.75,17,1,,0.037,,0.0741,1,2,1,0.4,-20,0.069,3.15,,
Jayden Daniels,WAS,QB,30,30,5,0.8636,19,0.8636,0.9048,0.16,30,1,,,299,13.5909,0.5619,11.6,150,,5,27,No,No,9,0.3,7.9261,0.0358,No,0.0909,3,0.1364,0.7727,0.5455,2.6636,3.92,2.9,7.1429,118.8,No,No,14,14.66,14.66,14.66,14.66,14.66,14.66,14.66,14.66,14.66,14.66,14.66,17.65,17.65,17,,,,,0.0909,,3,,0.3333,-9,0.1,4.5667,0.0667,
Brandon Allen,SF,QB,1,1,1,,,,,,1,1,,,,,,,,,,,No,No,,,0.2803,-0.2803,No,,,,,,2.2,,,,39.6,No,No,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Kirk Cousins,ATL,QB,8,7,7,0.8571,6,0.8571,1,0.1374,7,1,,,39,5.5714,0.6923,5.5714,12,,,,No,No,3,0.4286,3.1179,-0.0168,No,,,,0.4286,0.5714,3.1571,,3.3667,2,89.9,No,No,3,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.95,1.95,14,,,,,0.2857,,,,,,,,,
Mac Jones,JAX,QB,10,10,10,0.5,4,0.4,0.625,-0.0774,10,2,30,0.1,65,6.5,0.8615,2,74,,,,No,Yes,5,0.5,4.7523,0.0248,Yes,0.3,2,0.2,0.6,0.4,3.33,,1.98,9.25,22.9,No,No,2,1.6,1.6,1.6,1.6,1.6,1.6,1.6,0.6,0.6,0.6,0.6,2.25,1.25,10,,1,0.1,,0.1,,,,,,,,,
Joshua Dobbs,SF,QB,1,1,1,1,1,1,1,0.1052,1,,,,2,2,1,2,,,,,Yes,No,,,0.3148,-0.3148,No,,,,1,1,2.4,,,,79.2,No,Yes,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.1,2,,,,,,,,,,,,,,
Jimmy Garoppolo,LA,QB,2,2,2,1,2,1,1,0.2679,2,,,,10,5,0.1,25,17,2,,,Yes,No,,,0.8883,-0.4442,No,,,,0.5,1,3.15,,,8.5,127.1,Yes,Yes,2,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.5,8.5,1,,,,,,1,,,,,,,,
Joe Burrow,CIN,QB,13,13,12,0.8333,9,0.75,0.9,0.1213,13,1,,,72,6,0.4861,5.5385,55,1,,,No,No,2,0.1538,5.1749,-0.2442,No,,,,0.5,0.4167,3.075,,1.55,5.5,117.4,No,No,5,5.88,5.88,5.88,5.88,5.88,5.88,4.88,4.88,4.88,4.88,4.88,6.6,5.6,17,1,,,,,2,1,,0.5,-20,0.0769,2.6,,
Russell Wilson,PIT,QB,19,19,1,0.7222,12,0.6667,0.8667,0.0545,19,3,14,0.0556,114,6.3333,0.6842,4.9444,60,1,1,3,No,No,6,0.3158,7.1672,-0.0614,No,0.1111,,,0.5556,0.4444,2.8833,3.9,3.0167,4,79.4,No,No,5,7.86,7.86,7.86,7.86,7.86,7.86,7.86,6.86,6.86,6.86,6.86,9,8.0,11,,1,0.0556,,0.1111,,,,,,,,,
