Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,AttemptsInEndzoneTotal,InterceptionsTotal,SackedTotal,SackedPressuredPercentage,SackedPercentage,TowThrowPercentage,HeroThrowPercentage,AverageTimeToSack,SackedYardsLost,SackedFaultTotal,TargetedReadCheckdownPercentage,DropsYardsLost,DropsPercentage,RunPassOptionPercentage,IncompletionsBatted
Derek Carr,NO,QB,10,10,1,0.7778,6,0.6667,0.75,-0.0692,10,1,146,16.2222,0.8767,18.4444,30,1,1,8,Yes,No,3,0.3,4.2995,-0.1299,Yes,0.1111,0.5556,0.4444,3.3444,5.7,3.6667,3.75,146.8,No,Yes,4,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,10.64,12.1,12.1,10,,,,,,,,,,,,,,,,,
Jordan Love,GB,QB,9,9,2,0.5714,4,0.5714,0.8,0.0456,9,2,93,13.2857,0.5269,13.2857,48,,2,7,No,No,3,0.3333,3.2386,-0.0265,No,0.1429,0.5714,0.4286,3.2571,4.65,3.3667,9.6,101.8,No,No,4,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,5.35,5.35,15,1,0.1429,,,,,,,,,,,,,,,
Jameis Winston,CLV,QB,10,10,9,0.5556,5,0.5556,0.5556,-0.2299,10,,52,5.7778,0.4423,0.7,49,,,,Yes,No,3,0.3,2.7642,0.0236,No,0.4444,0.8889,0.3333,2.3556,,2.3667,5.4444,32.9,No,Yes,1,1.08,1.08,1.08,1.08,1.08,1.08,1.08,0.08,0.08,0.08,0.08,1.6,0.6,12,1,0.1111,2,1,1,0.3333,0.1,0.1111,0.1111,4.4,,,,,,,
Josh Allen,BUF,QB,2,2,1,,,,,,2,,,,,-4,,,1,6,No,No,2,1,,1,No,,,,,7.3,2.6,,,No,No,,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-1.4,-1.4,-1.4,-1.4,-1.4,-0.4,-1.4,17,,,,,1,0.5,0.5,,,3.9,-4,,,,,,
Jake Haener,NO,QB,1,1,,,,,,,1,,,,,-10,,,,,No,No,1,1,,1,No,,,,,,3.8,,,No,No,,,,,,,,,,,,,,,8,,,,,1,1,1,,,3.9,-10,1,,,,,
Skylar Thompson,MIA,QB,2,2,2,1,2,1,1,0.0814,2,,11,5.5,1.3636,5.5,-4,,,,No,No,1,0.5,0.6123,0.1938,No,,1,1,2.35,,2,-2,89.6,No,No,,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,3,,,,,,,,,,,,,,,,,
Drew Lock,NYG,QB,2,2,2,0.5,1,0.5,0.5,-0.2424,2,,2,1,0.5,1,16,,,,No,No,,,0.9228,-0.4614,No,0.5,0.5,0.5,3.25,,,8,56.3,No,Yes,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.1,7,,,,,,,,,,,,,0.5,,,,
Michael Penix,ATL,QB,3,3,3,0.6667,1,0.3333,1,0.2576,3,1,13,4.3333,0.9231,4.3333,16,,,,Yes,Yes,2,0.6667,1.2031,0.2656,No,,0.6667,0.6667,2.9,,3.25,8,47.9,No,No,1,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.65,0.65,5,,,,,,,,,,,,,,15,0.3333,,
Jalen Hurts,PHI,QB,5,5,4,0.75,3,0.75,1,0.1898,5,1,32,8,0.5625,4.8,14,,,,No,No,2,0.4,1.9492,0.0102,No,,0.5,0.75,3.4,,2.25,4.6667,97.9,No,No,1,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.6,1.6,15,,,,,1,0.5,0.2,,,2.6,-8,,,,,,
Cooper Rush,DAL,QB,4,4,4,0.5,1,0.25,0.5,-0.2691,4,,8,2,,2,25,,,,No,No,1,0.25,1.1039,-0.026,No,0.5,1,0.25,2.175,,2.8,6.25,39.6,No,No,,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,12,,,,,,,,,,,,,,15,0.25,,
