teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingSackedAvoidedTotal,teamIsHomeTeam,opponentStatsPassingInterceptionsTotal,opponentStatsPassingTowThrowPercentage
15,Jacksonville,Jaguars,IND,AFC,AFC South,Closed,Closed,Cover 3,17,29,29,1,21,0.7241379310344828,0.896551724137931,0.10212769165517244,34,0.1724137931034483,153,5.275862068965517,0.5490196078431373,5.275862068965517,135,No,No,5,0.1724137931034483,-0.16915344827586207,No,0.034482758620689655,1,0.034482758620689655,0.06896551724137931,0.7586206896551724,0.10344827586206896,2.555172413793103,2.94,4.655172413793103,84.4,No,Yes,7,,,,,,
18,Los Angeles,Chargers,LV,AFC,AFC West,Open,Open,Cover 0,15,20,20,1,9,0.45,0.7,-0.0394955575,66,0.25,54,2.7,0.25925925925925924,3.7,178,Yes,No,5,0.25,-0.05013749999999999,Yes,,3,0.15,,0.8,0.1,2.315,2.44,8.9,68.8,Yes,Yes,2,1,1,1,,,
25,New York,Jets,MIA,AFC,AFC East,Open,Open,Cover 2,17,23,23,1,16,0.6956521739130435,0.8260869565217391,0.049822062956521695,11,0.13043478260869565,135,5.869565217391305,0.3333333333333333,6.739130434782608,132,No,No,7,0.30434782608695654,-0.005202173913043479,Yes,0.043478260869565216,1,0.043478260869565216,0.08695652173913043,0.6956521739130435,0.043478260869565216,2.369565217391304,2.7857142857142856,5.739130434782608,99,No,Yes,7,1,1,,True,,
3,Baltimore,Ravens,CLV,AFC,AFC North,Open,Closed,Cover 1,17,26,26,1,15,0.5769230769230769,0.8076923076923077,0.0716169116538462,22,0.23076923076923078,121,4.653846153846154,0.256198347107438,5.423076923076923,200,No,Yes,4,0.15384615384615385,-0.15697307692307694,Yes,0.038461538461538464,2,0.07692307692307693,0.07692307692307693,0.7307692307692307,0.07692307692307693,2.376923076923077,2.325,7.6923076923076925,82.4,No,Yes,9,3,1,,True,,
12,Green Bay,Packers,CHI,NFC,NFC North,Open,Closed,Cover 3,17,17,17,1,14,0.8235294117647058,0.8823529411764706,0.15444827176470577,18,0.058823529411764705,140,8.235294117647058,0.42142857142857143,5.588235294117647,148,No,Yes,5,0.29411764705882354,-0.06431470588235294,No,,1,0.058823529411764705,0.058823529411764705,0.6470588235294118,0.11764705882352941,2.652941176470588,2.1,8.705882352941176,76.5,No,Yes,7,1,,,True,1,0.058823529411764705
20,Miami,Dolphins,NYJ,AFC,AFC East,Open,Open,Cover 2,17,24,24,1,13,0.5416666666666666,0.875,0.16871419249999997,35,0.3333333333333333,182,7.583333333333333,0.31868131868131866,8.416666666666666,218,No,No,10,0.4166666666666667,0.09108541666666665,Yes,0.125,5,0.20833333333333334,0.20833333333333334,0.75,0.08333333333333333,2.4625,2.1100000000000003,9.083333333333334,92.7,No,Yes,7,2,1,,,,
19,Las Vegas,Raiders,LAC,AFC,AFC West,Open,Open,Cover 0,15,17,17,1,11,0.6470588235294118,0.8235294117647058,0.0630904323529411,8,0.17647058823529413,147,8.647058823529411,0.4013605442176871,8.647058823529411,117,Yes,No,1,0.058823529411764705,-0.21559117647058823,Yes,,1,0.058823529411764705,0.058823529411764705,0.8235294117647058,0.058823529411764705,2.1658823529411766,2.6,6.882352941176471,92,Yes,Yes,7,,,,True,,
9,Dallas,Cowboys,WAS,NFC,NFC East,Closed,Closed,Cover 1,16,22,22,1,8,0.36363636363636365,0.7727272727272727,0.08020110636363631,134,0.4090909090909091,60,2.727272727272727,0.43333333333333335,0.6818181818181818,233,No,No,4,0.18181818181818182,-0.10867500000000002,Yes,0.09090909090909091,4,0.18181818181818182,0.09090909090909091,0.8181818181818182,0.045454545454545456,2.2590909090909093,2.85,10.590909090909092,25.9,Yes,Yes,3,,,,True,1,
21,Minnesota,Vikings,DET,NFC,NFC North,Open,Closed,Cover 1,17,17,17,1,12,0.7058823529411765,0.8823529411764706,0.1280285835294117,18,0.17647058823529413,116,6.823529411764706,0.3017241379310345,9.176470588235293,114,No,Yes,7,0.4117647058823529,0.08783235294117647,No,0.058823529411764705,2,0.11764705882352941,0.058823529411764705,0.7647058823529411,0.11764705882352941,2.4529411764705884,1.9857142857142858,6.705882352941177,128.6,No,Yes,6,,2,,,,
23,New Orleans,Saints,TB,NFC,NFC South,Open,Open,Cover 4,17,30,30,1,23,0.7666666666666667,0.8333333333333334,0.0786349920666668,4,0.06666666666666667,221,7.366666666666666,0.49321266968325794,8.7,203,No,No,5,0.16666666666666666,-0.17961500000000002,No,0.03333333333333333,1,0.03333333333333333,,0.6333333333333333,0.1,2.58,2.7600000000000002,6.766666666666667,118.9,No,Yes,11,2,2,,,,
11,Detroit,Lions,MIN,NFC,NFC North,Open,Closed,Cover 1,16,25,25,1,16,0.64,0.8,0.10737163396000005,34,0.16,162,6.48,0.30246913580246915,6.28,257,No,Yes,6,0.24,-0.10585000000000001,No,0.04,3,0.12,,0.8,,2.58,2.5,10.28,92.4,No,Yes,11,5,2,1,True,1,0.04
13,Houston,Texans,TEN,AFC,AFC South,Closed,Closed,Cover 1,17,24,24,1,15,0.625,0.8695652173913043,0.14671790852173916,71,0.20833333333333334,194,8.083333333333334,0.5927835051546392,10.583333333333334,202,No,No,7,0.2916666666666667,-0.04900833333333332,Yes,0.08333333333333333,5,0.20833333333333334,0.08333333333333333,0.75,0.125,2.5500000000000003,2.757142857142857,8.333333333333334,127.4,No,Yes,6,2,3,1,,,
5,Carolina,Panthers,ATL,NFC,NFC South,Closed,Closed,Cover 3,16,19,19,1,14,0.7368421052631579,0.8421052631578947,0.09619279526315783,4,0.10526315789473684,151,7.947368421052632,0.41721854304635764,10.052631578947368,142,No,No,2,0.10526315789473684,-0.18230000000000002,No,0.15789473684210525,3,0.15789473684210525,0.05263157894736842,0.631578947368421,0.10526315789473684,2.2421052631578946,2.45,7.473684210526316,131.7,Yes,Yes,6,1,2,,,,
6,Chicago,Bears,GB,NFC,NFC North,Open,Closed,Cover 3,17,18,18,1,14,0.7777777777777778,0.8888888888888888,0.1465091977777777,1,0.1111111111111111,245,13.61111111111111,0.42448979591836733,13.61111111111111,152,No,Yes,9,0.5,0.15549166666666667,No,,2,0.1111111111111111,0.05555555555555555,0.6666666666666666,0.1111111111111111,2.572222222222222,2.433333333333333,8.444444444444445,118.8,No,Yes,10,,,,,,
1,Arizona,Cardinals,SF,NFC,NFC West,Open,Open,Cover 0,17,13,13,1,9,0.6923076923076923,0.8461538461538461,0.1299729289999999,29,0.15384615384615385,88,6.769230769230769,0.42045454545454547,6.769230769230769,117,Yes,No,1,0.07692307692307693,-0.18480000000000002,No,0.07692307692307693,1,0.07692307692307693,0.07692307692307693,0.7692307692307693,0.15384615384615385,2.0923076923076924,1.5,9,88,No,Yes,6,1,,,True,,
4,Buffalo,Bills,NE,AFC,AFC East,Open,Closed,Cover 1,16,18,18,1,13,0.7222222222222222,0.8888888888888888,0.12465061311111114,33,0.16666666666666666,171,9.5,0.39766081871345027,10.61111111111111,143,No,No,6,0.3333333333333333,-0.035133333333333315,No,,1,0.05555555555555555,0.05555555555555555,0.6666666666666666,0.05555555555555555,2.711111111111111,2.6666666666666665,7.944444444444445,120.4,No,Yes,7,,1,,,,
24,New York,Giants,PHI,NFC,NFC East,Closed,Closed,Cover 1,16,19,19,1,15,0.7894736842105263,0.9473684210526315,0.1635737326842105,10,0.15789473684210525,156,8.210526315789474,0.5576923076923077,9.263157894736842,90,No,No,4,0.21052631578947367,-0.043444736842105265,No,,,,,0.7894736842105263,0.05263157894736842,2.0473684210526315,2.225,4.7368421052631575,118.4,Yes,Yes,11,1,1,,,,
27,Pittsburgh,Steelers,CIN,AFC,AFC North,Open,Closed,Cover 1,15,21,21,1,15,0.7142857142857143,0.9047619047619048,0.0854085126666666,8,0.19047619047619047,105,5,0.49523809523809526,5.9523809523809526,81,No,No,7,0.3333333333333333,0.012783333333333317,No,,,,,0.6666666666666666,0.14285714285714285,2.4333333333333336,2.5142857142857147,3.857142857142857,98.3,Yes,Yes,5,,1,1,True,,
16,Kansas City,Chiefs,DEN,AFC,AFC West,Closed,Open,Cover 4,17,21,21,1,11,0.5238095238095238,0.6666666666666666,-0.10838474733333336,11,0.14285714285714285,67,3.1904761904761907,0.44776119402985076,4.142857142857143,118,No,No,4,0.19047619047619047,-0.16621666666666665,No,0.19047619047619047,1,0.047619047619047616,,0.7142857142857143,0.047619047619047616,2.642857142857143,2.475,5.619047619047619,74.9,No,Yes,5,1,1,,,,
29,San Francisco,49ers,ARZ,NFC,NFC West,Open,Open,Cover 0,17,26,26,1,13,0.5,0.6153846153846154,-0.12423558265384604,27,0.11538461538461539,91,3.5,0.4835164835164835,4.269230769230769,208,Yes,No,6,0.23076923076923078,-0.08602115384615382,No,0.07692307692307693,3,0.11538461538461539,,0.8461538461538461,0.038461538461538464,2.411538461538462,2.3666666666666667,8,71.2,No,Yes,4,1,1,,,,
26,Philadelphia,Eagles,NYG,NFC,NFC East,Closed,Closed,Cover 1,15,18,18,1,12,0.6666666666666666,1,0.21573767816666667,57,0.3333333333333333,97,5.388888888888889,0.6907216494845361,5.388888888888889,87,No,No,3,0.16666666666666666,-0.10117500000000001,No,0.16666666666666666,1,0.05555555555555555,0.05555555555555555,0.8888888888888888,0.05555555555555555,2.1277777777777778,2.533333333333333,4.833333333333333,80.1,Yes,Yes,6,,,,True,,
7,Cincinnati,Bengals,PIT,AFC,AFC North,Open,Closed,Cover 1,17,25,25,1,16,0.64,0.84,0.12578974111999996,49,0.2,182,7.28,0.3076923076923077,6.28,220,No,No,8,0.32,-0.00445999999999998,No,0.04,3,0.12,0.08,0.8,,2.456,2.4625,8.8,82.4,Yes,Yes,9,3,1,,,1,
8,Cleveland,Browns,BLT,AFC,AFC North,Open,Closed,Cover 1,16,10,10,1,4,0.4,0.8,0.03825876120000005,36,0.4,24,2.4,0.8333333333333334,2.4,60,No,Yes,3,0.3,0.0007249999999999979,Yes,,,,,0.9,,2.31,2.433333333333333,6,47.9,No,Yes,2,,,,,,
2,Atlanta,Falcons,CAR,NFC,NFC South,Closed,Closed,Cover 3,15,23,23,1,14,0.6086956521739131,0.6956521739130435,0.06202931134782608,50,0.08695652173913043,155,6.739130434782608,0.21935483870967742,6.521739130434782,325,No,No,3,0.13043478260869565,-0.18361521739130438,No,,6,0.2608695652173913,,0.8695652173913043,,2.3956521739130436,2.1,14.130434782608695,91.8,Yes,Yes,11,4,2,1,True,1,0.08695652173913043
32,Washington,Commanders,DAL,NFC,NFC East,Closed,Closed,Cover 1,17,20,20,1,9,0.45,0.65,-0.06847759360000005,42,0.2,86,4.3,0.22093023255813954,7.3,170,No,No,1,0.05,-0.22943750000000002,Yes,0.1,2,0.1,,0.9,0.05,2.195,5.1,8.5,97.1,Yes,Yes,4,4,3,,,,
31,Tennessee,Titans,HST,AFC,AFC South,Closed,Closed,Cover 1,16,19,19,1,13,0.6842105263157895,0.9473684210526315,0.13568058699999996,30,0.2631578947368421,111,5.842105263157895,0.6216216216216216,5.842105263157895,79,No,No,4,0.21052631578947367,-0.07612894736842107,Yes,0.10526315789473684,,,0.05263157894736842,0.6842105263157895,0.05263157894736842,2.236842105263158,2.425,4.157894736842105,83.4,No,Yes,5,1,,1,True,,
22,New England,Patriots,BUF,AFC,AFC East,Open,Closed,Cover 1,16,36,36,1,25,0.6944444444444444,0.8611111111111112,0.15659086366666664,65,0.16666666666666666,274,7.611111111111111,0.40145985401459855,9.277777777777779,362,No,No,8,0.2222222222222222,-0.07149444444444446,No,0.027777777777777776,6,0.16666666666666666,0.05555555555555555,0.75,0.05555555555555555,2.2777777777777777,2.2125,10.055555555555555,119.4,No,Yes,16,5,3,,True,,0.027777777777777776
30,Tampa Bay,Buccaneers,NO,NFC,NFC South,Open,Open,Cover 4,16,19,19,1,9,0.47368421052631576,0.6842105263157895,-0.07019491484210527,35,0.21052631578947367,71,3.736842105263158,0.4647887323943662,3.736842105263158,131,No,No,5,0.2631578947368421,-0.04074736842105266,No,0.05263157894736842,,,,0.7894736842105263,,2.3368421052631576,2.16,6.894736842105263,57.1,No,Yes,4,1,,1,True,,0.05263157894736842
17,Los Angeles,Rams,SEA,NFC,NFC West,Open,Open,Cover 6,17,16,16,1,10,0.625,0.6875,-0.06764510349999997,9,0.0625,115,7.1875,0.4782608695652174,8.4375,110,Yes,Yes,3,0.1875,-0.25451875,No,,2,0.125,0.0625,0.5,0.1875,3.1375,2.6333333333333333,6.875,104.9,No,Yes,4,1,1,2,True,,
28,Seattle,Seahawks,LA,NFC,NFC West,Open,Open,Cover 6,16,24,24,1,17,0.7083333333333334,0.9166666666666666,0.16087168070833324,56,0.20833333333333334,168,7,0.4642857142857143,7.833333333333333,163,Yes,Yes,5,0.20833333333333334,-0.11149791666666668,No,0.041666666666666664,3,0.125,0.08333333333333333,0.7916666666666666,0.041666666666666664,2.4291666666666667,2.9,6.791666666666667,104.2,No,Yes,6,1,1,2,,,
14,Indianapolis,Colts,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,23,23,1,16,0.6956521739130435,0.8695652173913043,0.1594920569565217,48,0.17391304347826086,179,7.782608695652174,0.3016759776536313,8.652173913043478,245,No,No,3,0.13043478260869565,-0.15286521739130435,No,0.043478260869565216,3,0.13043478260869565,0.043478260869565216,0.8695652173913043,,2.217391304347826,2.1999999999999997,10.652173913043478,107,No,Yes,7,3,1,,True,,
10,Denver,Broncos,KC,AFC,AFC West,Closed,Open,Cover 4,15,26,26,1,16,0.6153846153846154,0.8076923076923077,0.0549440016153846,23,0.19230769230769232,203,7.8076923076923075,0.43842364532019706,7.615384615384615,176,No,No,8,0.3076923076923077,0.011469230769230787,No,0.07692307692307693,1,0.038461538461538464,0.11538461538461539,0.7692307692307693,0.038461538461538464,2.292307692307692,2.525,6.769230769230769,95.5,No,Yes,10,1,2,,True,1,
