teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,teamIsHomeTeam,opponentStatsPassingInterceptionsTotal,opponentStatsPassingTowThrowPercentage
16,Kansas City,Chiefs,DEN,AFC,AFC West,Closed,Closed,Cover 1,17,64,64,1,5,61,0.953125,0.984375,0.22779388271875,19,0.03125,629,9.828125,0.3942766295707472,11.703125,457,6,1,No,No,11,0.171875,-0.09791328124999998,No,0.015625,6,0.09375,0.0625,0.796875,0.09375,2.1390625,1.9272727272727272,7.140625,138.9,No,Yes,35,,,
27,Pittsburgh,Steelers,CIN,AFC,AFC North,Open,Open,Cover 6,16,49,49,1,3,39,0.7959183673469388,0.8775510204081632,0.11731587259183673,40,0.08163265306122448,366,7.469387755102041,0.4672131147540984,7.36734693877551,315,2,,No,Yes,6,0.12244897959183673,-0.1754530612244898,No,0.08163265306122448,2,0.04081632653061224,,0.6530612244897959,0.12244897959183673,2.3020408163265307,2.516666666666667,6.428571428571429,102.9,Yes,Yes,17,True,1,
29,San Francisco,49ers,ARZ,NFC,NFC West,Open,Open,Cover 2,16,33,33,1,2,24,0.7272727272727273,0.8484848484848485,0.14276064466666671,36,0.12121212121212122,332,10.06060606060606,0.39457831325301207,9.909090909090908,323,2,,No,No,3,0.09090909090909091,-0.1893909090909091,No,0.030303030303030304,3,0.09090909090909091,0.030303030303030304,0.8181818181818182,,2.1999999999999997,2.1666666666666665,9.787878787878787,112.2,Yes,Yes,17,,1,
4,Buffalo,Bills,NE,AFC,AFC East,Open,Open,Bracket,14,20,20,1,1,17,0.85,0.95,0.17138910364999993,-3,0.1,203,10.15,0.5024630541871922,13.15,112,3,,No,No,3,0.15,-0.1794625,No,0.1,3,0.15,0.05,0.6,0.2,2.4850000000000003,2.566666666666667,5.6,148.5,No,Yes,10,,,
1,Arizona,Cardinals,SF,NFC,NFC West,Open,Open,Cover 2,13,44,44,1,2,38,0.8636363636363636,0.8863636363636364,0.16260262890909083,6,0.022727272727272728,506,11.5,0.35177865612648224,13.318181818181818,391,4,,No,No,7,0.1590909090909091,-0.16433409090909093,No,,5,0.11363636363636363,,0.6818181818181818,0.09090909090909091,2.4499999999999997,2.6,8.886363636363637,144.9,Yes,Yes,24,True,,
5,Carolina,Panthers,ATL,NFC,NFC South,Open,Open,Cover 4,16,41,41,1,3,29,0.7073170731707317,0.8780487804878049,0.16767265717073165,47,0.17073170731707318,408,9.951219512195122,0.32598039215686275,10.317073170731707,404,3,,No,No,3,0.07317073170731707,-0.26308658536585366,No,0.024390243902439025,4,0.0975609756097561,,0.7560975609756098,0.07317073170731707,2.524390243902439,2.6,9.853658536585366,116.7,No,Yes,19,,1,
6,Chicago,Bears,GB,NFC,NFC North,Open,Closed,Cover 1,16,39,39,1,2,31,0.7948717948717948,0.8205128205128205,0.08933382164102566,16,0.02564102564102564,341,8.743589743589743,0.4046920821114369,9.76923076923077,321,2,,No,No,9,0.23076923076923078,-0.09730000000000001,Yes,0.02564102564102564,3,0.07692307692307693,0.02564102564102564,0.7948717948717948,0.02564102564102564,2.4769230769230766,2.4000000000000004,8.23076923076923,120.2,No,Yes,18,,,
24,New York,Giants,PHI,NFC,NFC East,Open,Open,Cover 6,17,48,48,1,2,35,0.7291666666666666,0.8333333333333334,0.11755411497916668,39,0.10416666666666667,452,9.416666666666666,0.3495575221238938,9.729166666666666,463,3,,No,Yes,9,0.1875,-0.12298749999999999,No,0.041666666666666664,7,0.14583333333333334,,0.7083333333333334,0.020833333333333332,2.375,2.1666666666666665,9.645833333333334,114.2,No,Yes,23,,1,
2,Atlanta,Falcons,CAR,NFC,NFC South,Open,Open,Cover 4,17,52,52,1,3,43,0.8269230769230769,0.8846153846153846,0.1102471322884615,18,0.057692307692307696,385,7.403846153846154,0.43116883116883115,8.557692307692308,297,3,,No,No,8,0.15384615384615385,-0.18019423076923077,No,0.038461538461538464,1,0.019230769230769232,0.019230769230769232,0.5576923076923077,0.19230769230769232,2.5115384615384615,2.7,5.711538461538462,116.7,No,Yes,23,True,,
32,Washington,Commanders,DAL,NFC,NFC East,Open,Open,Cover 0,17,50,50,1,2,36,0.72,0.86,0.12838233747999994,54,0.14,538,10.76,0.42379182156133827,11.56,443,2,1,No,No,9,0.18,-0.150325,Yes,0.02,4,0.08,0.02,0.62,0.1,2.49,2.2222222222222223,8.86,120.2,Yes,Yes,19,,,
