teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingTowThrowPercentage,opponentStatsPassingInterceptionsTotal
2,Atlanta,Falcons,True,CAR,NFC,NFC South,Open,Open,Red Zone,17,110,110,1,9,100,0.9090909090909091,0.9545454545454546,0.21595369881818183,60,0.045454545454545456,1272,11.563636363636364,0.41509433962264153,14.290909090909091,885,15,No,Yes,18,0.16363636363636364,-0.2113818181818182,No,0.01818181818181818,11,0.1,0.10909090909090909,0.7363636363636363,0.045454545454545456,1,2.749090909090909,2.7944444444444443,8.045454545454545,154.4,No,Yes,63,,,
32,Washington,Commanders,,DAL,NFC,NFC East,Closed,Closed,Cover 1,16,96,96,1,7,89,0.9270833333333334,0.96875,0.2448504335729167,42,0.041666666666666664,1251,13.03125,0.4212629896083134,15.322916666666666,828,11,No,No,21,0.21875,-0.09852083333333332,Yes,,13,0.13541666666666666,0.10416666666666667,0.8333333333333334,0.0625,1,2.4125,2.6809523809523808,8.625,156.9,Yes,Yes,65,4,,
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Open,Cover 6,17,81,81,1,10,73,0.9012345679012346,0.9259259259259259,0.22446158050617293,13,0.024691358024691357,1073,13.246913580246913,0.3560111835973905,16.703703703703702,873,14,No,No,14,0.1728395061728395,-0.1711364197530864,No,0.024691358024691357,16,0.19753086419753085,0.19753086419753085,0.6666666666666666,0.08641975308641975,1,2.5691358024691358,2.3214285714285716,10.777777777777779,158.3,No,Yes,46,1,0.012345679012345678,
8,Cleveland,Browns,,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,109,109,1,12,101,0.926605504587156,0.9724770642201835,0.24829851406422032,83,0.045871559633027525,1553,14.247706422018348,0.42949130714745654,17,1029,15,Yes,No,26,0.23853211009174313,-0.06297431192660548,Yes,0.027522935779816515,16,0.14678899082568808,0.11926605504587157,0.7798165137614679,0.09174311926605505,1,2.322935779816514,2.3461538461538463,9.440366972477063,158.3,No,Yes,64,3,,
26,Philadelphia,Eagles,True,NYG,NFC,NFC East,Open,Open,Cover 6,17,105,105,1,5,92,0.8761904761904762,0.9523809523809523,0.20720104266666672,119,0.0761904761904762,1069,10.18095238095238,0.47801683816651075,11.895238095238096,790,9,Yes,Yes,19,0.18095238095238095,-0.12103333333333334,No,0.009523809523809525,11,0.10476190476190476,0.0761904761904762,0.8095238095238095,0.047619047619047616,1,2.3257142857142856,2.2473684210526317,7.523809523809524,137.7,No,Yes,55,,0.009523809523809525,
27,Pittsburgh,Steelers,True,CIN,AFC,AFC North,Open,Open,Cover 6,17,99,99,1,10,94,0.9494949494949495,0.9797979797979798,0.24343860936363637,49,0.030303030303030304,1253,12.656565656565656,0.45251396648044695,14.171717171717171,807,12,No,No,12,0.12121212121212122,-0.1822621212121212,No,0.030303030303030304,6,0.06060606060606061,0.09090909090909091,0.7777777777777778,0.030303030303030304,1,2.334343434343434,2.5166666666666666,8.151515151515152,149.9,No,Yes,58,1,,2
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Closed,Cover 3,17,103,103,1,9,95,0.9223300970873787,0.9514563106796117,0.20203315806796118,61,0.02912621359223301,1217,11.815533980582524,0.47576006573541496,14.145631067961165,798,12,No,No,15,0.14563106796116504,-0.13383155339805825,No,0.019417475728155338,10,0.0970873786407767,0.13592233009708737,0.7378640776699029,0.1262135922330097,1,2.195145631067961,2.4066666666666667,7.747572815533981,154.7,No,Yes,61,,,
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,87,87,1,6,78,0.896551724137931,0.9540229885057471,0.2607600752528735,106,0.05747126436781609,1205,13.850574712643677,0.37427385892116183,15.689655172413794,932,8,Yes,No,17,0.19540229885057472,-0.12336321839080462,No,0.04597701149425287,15,0.1724137931034483,0.21839080459770116,0.7586206896551724,0.08045977011494253,1,2.4229885057471265,2.4058823529411764,10.71264367816092,149.4,No,Yes,55,,,
6,Chicago,Bears,,GB,NFC,NFC North,Closed,Closed,Cover 3,17,91,91,1,6,83,0.9120879120879121,0.967032967032967,0.24555034263736253,89,0.054945054945054944,1274,14,0.4631083202511774,15.31868131868132,835,6,Yes,No,13,0.14285714285714285,-0.2056846153846154,No,0.01098901098901099,14,0.15384615384615385,0.13186813186813187,0.7362637362637363,0.13186813186813187,1,2.5956043956043953,2.4153846153846152,9.175824175824175,140.7,No,Yes,55,,,
4,Buffalo,Bills,,NE,AFC,AFC East,Closed,Closed,Cover 1,17,96,96,1,7,87,0.90625,0.9583333333333334,0.23582375146875,31,0.052083333333333336,1190,12.395833333333334,0.40336134453781514,14.479166666666666,853,10,No,No,14,0.14583333333333334,-0.17184166666666667,No,0.020833333333333332,9,0.09375,0.14583333333333334,0.8333333333333334,0.0625,1,2.4166666666666665,2.557142857142857,8.885416666666666,153,No,Yes,66,,0.010416666666666666,
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Red Zone,17,91,91,1,12,82,0.9010989010989011,0.967032967032967,0.25314065945054953,93,0.06593406593406594,1060,11.648351648351648,0.3613207547169811,14.945054945054945,875,15,No,Yes,12,0.13186813186813187,-0.2286159340659341,No,0.054945054945054944,14,0.15384615384615385,0.13186813186813187,0.6593406593406593,0.07692307692307693,1,2.6648351648351647,2.8166666666666664,9.615384615384615,154.8,No,Yes,52,,,
1,Arizona,Cardinals,True,SF,NFC,NFC West,Open,Closed,Cover 3,16,87,87,1,5,80,0.9195402298850575,0.9540229885057471,0.1909931012758619,49,0.034482758620689655,871,10.011494252873563,0.46383467278989665,11.620689655172415,601,7,No,No,13,0.14942528735632185,-0.17806436781609195,No,,10,0.11494252873563218,0.14942528735632185,0.6781609195402298,0.11494252873563218,1,2.4735632183908045,2.5999999999999996,6.908045977011494,135.2,No,Yes,42,2,,
14,Indianapolis,Colts,True,JAX,AFC,AFC South,Open,Open,Cover 2,17,116,116,1,9,112,0.9655172413793104,0.9741379310344828,0.22033355911206898,23,0.008620689655172414,1302,11.224137931034482,0.49385560675883255,13.982758620689655,750,16,No,Yes,15,0.12931034482758622,-0.17969008620689658,No,0.02586206896551724,11,0.09482758620689655,0.07758620689655173,0.6724137931034483,0.13793103448275862,1,2.3663793103448274,2.4733333333333336,6.4655172413793105,153,No,Yes,70,5,,
24,New York,Giants,,PHI,NFC,NFC East,Open,Open,Cover 6,17,96,96,1,7,88,0.9166666666666666,0.96875,0.25877511624999994,32,0.052083333333333336,1346,14.020833333333334,0.3885586924219911,16.104166666666668,908,10,Yes,Yes,14,0.14583333333333334,-0.19304479166666666,No,0.03125,14,0.14583333333333334,0.09375,0.75,0.052083333333333336,1,2.5395833333333333,2.642857142857143,9.458333333333334,153.5,No,Yes,57,,,
10,Denver,Broncos,True,KC,AFC,AFC West,Closed,Closed,Cover 3,16,129,129,1,6,122,0.9457364341085271,0.9767441860465116,0.22943683363565892,64,0.031007751937984496,1365,10.581395348837209,0.38974358974358975,11.666666666666666,966,7,Yes,No,21,0.16279069767441862,-0.13275348837209303,No,0.03875968992248062,11,0.08527131782945736,0.11627906976744186,0.7441860465116279,0.06201550387596899,1,2.2883720930232556,2.157142857142857,7.488372093023256,128.8,No,Yes,68,3,,
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 2 Man,16,105,105,1,10,97,0.9238095238095239,0.9523809523809523,0.20576911007619036,40,0.02857142857142857,1333,12.695238095238095,0.47561890472618157,15.552380952380952,795,15,No,No,11,0.10476190476190476,-0.2216038095238095,No,0.009523809523809525,11,0.10476190476190476,0.1523809523809524,0.6571428571428571,0.0761904761904762,1,2.4670476190476194,2.4181818181818184,7.571428571428571,158.3,Yes,Yes,67,,,
22,New England,Patriots,True,BUF,AFC,AFC East,Closed,Closed,Cover 1,17,114,114,1,10,98,0.8596491228070176,0.9298245614035088,0.23086435190350874,127,0.07017543859649122,1375,12.06140350877193,0.37236363636363634,15.394736842105264,1194,19,No,No,15,0.13157894736842105,-0.17701710526315786,No,0.02631578947368421,21,0.18421052631578946,0.14035087719298245,0.8508771929824561,0.017543859649122806,1,2.3640350877192984,2.3400000000000003,10.473684210526315,156.5,No,Yes,72,,,
30,Tampa Bay,Buccaneers,True,NO,NFC,NFC South,Closed,Closed,Cover 1,17,119,119,1,9,111,0.9327731092436975,0.9663865546218487,0.25906138620168073,68,0.03361344537815126,1702,14.302521008403362,0.391304347826087,16.48739495798319,1212,13,No,No,29,0.24369747899159663,-0.07748067226890755,Yes,0.04201680672268908,17,0.14285714285714285,0.15966386554621848,0.7815126050420168,0.09243697478991597,1,2.436974789915966,2.403448275862069,10.184873949579831,155.2,No,Yes,72,1,,
17,Los Angeles,Rams,True,SEA,NFC,NFC West,Open,Open,Cover 2 Man,17,132,132,1,5,117,0.8863636363636364,0.946969696969697,0.19803570027272732,125,0.06060606060606061,1599,12.113636363636363,0.5084427767354597,12.946969696969697,1049,10,No,No,19,0.14393939393939395,-0.19787916666666666,No,,13,0.09848484848484848,0.09848484848484848,0.7272727272727273,0.06060606060606061,1,2.55530303030303,2.610526315789474,7.946969696969697,136.1,Yes,Yes,67,1,0.015151515151515152,2
