teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsHero,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage
2,Atlanta,Falcons,1,CAR,NFC,NFC South,Open,Open,Cover 6,16,18,No,No,No,84,17,No,1,Yes,7,0.4118,3,0.2024,6,1,0.3529,143,13,6,399,1,1,1,0.0588,0.5882,0.3529,13,0.7647,23.4706,86.2,1.7024,8.4118,-3.9702,0.0588,23.8333,2.1667,1,6,1,,,,
32,Washington,Commanders,,DAL,NFC,NFC East,Closed,Closed,Cover 3,14,19,Yes,No,No,87,19,No,5,Yes,13,0.6842,2,0.2184,10,3,0.5263,254,48,5,417,3,2,1,,0.4737,0.5263,16,0.8421,21.9474,137.6,2.9195,13.3684,1.4384,0.0526,25.4,4.8,0.5,10,1,,,,
26,Philadelphia,Eagles,1,DAL,NFC,NFC East,Open,Closed,Cover 3,12,20,Yes,No,No,93,20,No,2,Yes,11,0.55,,0.2151,5,,0.25,130,34,28,396,1,,1,,0.45,0.55,16,0.8,19.8,31.3,1.3978,6.5,-4.7546,0.05,26,6.8,5.6,5,1,1,1,0.2,
7,Cincinnati,Bengals,1,DEN,AFC,AFC West,Open,Open,Cover 4,14,15,Yes,Yes,No,65,16,Yes,2,Yes,8,0.5,5,0.2462,6,,0.375,181,7,3,383,4,4,,0.0625,0.5,0.375,14,0.875,23.9375,80.5,2.7846,11.3125,0.1317,,30.1667,1.1667,0.5,6,1,,,,
8,Cleveland,Browns,,BLT,AFC,AFC North,Closed,Closed,Cover 3,16,27,No,No,Yes,119,26,No,4,No,11,0.4231,3,0.2185,9,2,0.3462,336,92,18,865,2,1,1,,0.5385,0.4615,20,0.7692,33.2692,76.6,2.8235,12.9231,0.2061,0.0385,37.3333,10.2222,2,9,,,,,
27,Pittsburgh,Steelers,1,KC,AFC,AFC West,Open,Open,Cover 4,14,20,No,No,No,90,20,No,1,No,13,0.65,1,0.2222,12,,0.6,342,63,30,461,1,,,,0.45,0.55,12,0.6,23.05,81.3,3.8,17.1,5.6599,,28.5,5.25,2.5,12,,1,1,0.0833,
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Open,Cover 6,16,14,Yes,No,No,64,14,No,2,Yes,10,0.7143,,0.2188,10,2,0.7143,341,90,16,365,2,,,0.0714,0.4286,0.5,8,0.5714,26.0714,123.5,5.3281,24.3571,12.9617,,34.1,9,1.6,10,1,,3,0.3,
16,Kansas City,Chiefs,,PIT,AFC,AFC North,Open,Open,Cover 4,15,19,No,No,No,85,19,No,2,No,8,0.4211,4,0.2235,7,2,0.3684,188,23,10,519,1,,1,,0.6316,0.3684,18,0.9474,27.3158,52,2.2118,9.8947,-2.2003,0.0526,26.8571,3.2857,1.4286,7,1,,,,
24,New York,Giants,1,IND,AFC,AFC South,Open,Open,Cover 4,13,10,Yes,No,No,40,9,No,,Yes,6,0.6667,,0.225,6,,0.6667,180,36,11,248,,,,0.1111,,0.8889,7,0.7778,27.5556,109.7,4.5,20,7.2421,,30,6,1.8333,6,,,,,
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Cover 6,15,21,No,No,No,95,21,No,2,Yes,15,0.7143,,0.2211,15,2,0.7143,417,75,33,494,2,,,0.0476,0.1905,0.7619,14,0.6667,23.5238,125.6,4.3895,19.8571,7.9303,,27.8,5,2.2,15,,,,,
