teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingTouchdownsInEndzone
1,Arizona,Cardinals,1,SF,NFC,NFC West,Closed,Closed,Cover 1,17,37,No,Yes,No,163,35,No,7,No,20,0.5714,7,0.2147,14,4,2,0.4,347,48,23,819,2,2,1,0.0714,0.0286,0.0571,0.2857,0.6286,27,0.7714,23.4,83.9,2.1288,9.9143,-1.9512,0.0571,24.7857,3.4286,1.6429,14,4,1
4,Buffalo,Bills,,NE,AFC,AFC East,Closed,Closed,Cover 1,17,31,No,No,No,143,30,No,6,No,15,0.5,2,0.2098,11,3,,0.3667,274,44,26,625,3,1,1,0.0909,0.0333,0.1,0.4,0.4667,21,0.7,20.8333,64.4,1.9161,9.1333,-2.054,0.0333,24.9091,4,2.3636,11,3,1
24,New York,Giants,,PHI,NFC,NFC East,Open,Open,Cover 6,17,31,Yes,Yes,No,133,30,No,2,Yes,18,0.6,2,0.2256,16,1,1,0.5333,394,44,23,676,3,1,3,0.1875,,0.0667,0.2333,0.7,26,0.8667,22.5333,118.1,2.9624,13.1333,1.589,0.0333,24.625,2.75,1.4375,16,,2
14,Indianapolis,Colts,1,JAX,AFC,AFC South,Closed,Closed,Prevent,17,36,No,No,No,160,34,Yes,6,Yes,22,0.6471,5,0.2125,16,3,4,0.4706,545,114,19,863,3,3,,,0.0294,,0.2647,0.7059,21,0.6176,25.3824,86,3.4062,16.0294,4.2194,0.0882,34.0625,7.125,1.1875,15,1,1
10,Denver,Broncos,1,KC,AFC,AFC West,Open,Open,Cover 2,16,43,No,No,No,195,39,Yes,6,Yes,15,0.3846,1,0.2,12,5,1,0.3077,278,43,13,833,2,1,,,0.1026,0.0256,0.2051,0.6667,31,0.7949,21.359,34.9,1.4256,7.1282,-4.2393,0.0256,23.1667,3.5833,1.0833,12,1,
28,Seattle,Seahawks,,LA,NFC,NFC West,Closed,Closed,Cover 1,17,39,Yes,Yes,Yes,167,35,No,3,Yes,13,0.3714,3,0.2096,9,1,,0.2571,241,34,21,818,1,3,2,0.2222,,0.0571,0.3429,0.6,28,0.8,23.3714,41.5,1.4431,6.8857,-4.7802,0.0857,26.7778,3.7778,2.3333,9,2,
31,Tennessee,Titans,1,HST,AFC,AFC South,Closed,Closed,Cover 3,17,35,Yes,No,No,157,35,No,4,No,18,0.5143,7,0.2229,15,3,2,0.4286,402,66,21,912,4,1,,,,0.0571,0.2286,0.7143,26,0.7429,26.0571,99.9,2.5605,11.4857,-0.75,0.0286,26.8,4.4,1.4,15,2,3
22,New England,Patriots,1,BUF,AFC,AFC East,Closed,Closed,Cover 1,17,45,No,No,No,198,42,No,5,No,20,0.4762,8,0.2121,14,2,1,0.3333,348,61,14,961,1,3,,,0.0476,0.1429,0.4286,0.381,30,0.7143,22.881,72.3,1.7576,8.2857,-3.2218,0.0714,24.8571,4.3571,1,14,2,
30,Tampa Bay,Buccaneers,1,NO,NFC,NFC South,Closed,Closed,Cover 3,17,56,No,Yes,Yes,240,50,No,7,No,30,0.6,6,0.2083,20,2,,0.4,595,137,42,1202,3,4,3,0.15,0.04,0.06,0.3,0.6,38,0.76,24.04,88.3,2.4792,11.9,-0.3316,0.08,29.75,6.85,2.1,20,1,1
17,Los Angeles,Rams,1,SEA,NFC,NFC West,Closed,Closed,Cover 1,17,37,Yes,Yes,Yes,170,34,No,5,Yes,21,0.6176,6,0.2,14,1,,0.4118,380,66,11,866,4,4,1,0.0714,,0.0882,0.2353,0.6765,26,0.7647,25.4706,97.7,2.2353,11.1765,-0.6269,0.1176,27.1429,4.7143,0.7857,13,2,1
12,Green Bay,Packers,1,CHI,NFC,NFC North,Open,Closed,Cover 3,17,33,No,Yes,No,147,30,No,4,Yes,17,0.5667,5,0.2041,14,1,1,0.4667,362,95,35,713,3,1,2,0.1429,0.0333,0.0667,0.3667,0.5333,23,0.7667,23.7667,85,2.4626,12.0667,0.4434,0.0333,25.8571,6.7857,2.5,13,1,2
3,Baltimore,Ravens,1,CLV,AFC,AFC North,Closed,Closed,Cover 3,16,45,No,No,No,202,39,Yes,5,Yes,18,0.4615,3,0.1931,15,3,2,0.3846,427,45,12,891,4,2,,,,0.0769,0.4103,0.5128,25,0.641,22.8462,81.9,2.1139,10.9487,-0.722,0.0513,28.4667,3,0.8,15,1,1
20,Miami,Dolphins,,NYJ,AFC,AFC East,Open,Closed,Cover 1,17,37,No,Yes,Yes,166,35,No,6,Yes,23,0.6571,2,0.2108,19,3,4,0.5429,519,75,11,831,2,1,,,0.0286,0.0286,0.2571,0.6857,25,0.7143,23.7429,118.5,3.1265,14.8286,2.6539,0.0286,27.3158,3.9474,0.5789,19,,1
25,New York,Jets,1,MIA,AFC,AFC East,Open,Closed,Cover 1,17,52,No,Yes,Yes,230,49,No,10,Yes,27,0.551,5,0.213,19,6,6,0.3878,530,74,34,1248,2,4,2,0.1053,0.0408,0.0204,0.3265,0.6122,38,0.7755,25.4694,76.1,2.3043,10.8163,-1.5259,0.0816,27.8947,3.8947,1.7895,19,1,1
18,Los Angeles,Chargers,,LV,AFC,AFC West,Closed,Closed,Cover 3,17,24,No,No,No,109,22,No,4,No,11,0.5,1,0.2018,7,,1,0.3182,194,58,14,548,,1,,,,0.0909,0.1364,0.7727,16,0.7273,24.9091,46.4,1.7798,8.8182,-3.0182,0.0455,27.7143,8.2857,2,7,1,
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Closed,Closed,Prevent,17,49,No,No,No,219,45,Yes,9,Yes,26,0.5778,8,0.2055,18,3,3,0.4,529,118,20,1028,5,1,1,0.0556,0.0444,0.0444,0.2,0.7111,37,0.8222,22.8444,112.2,2.4155,11.7556,0.1588,0.0222,29.3889,6.5556,1.1111,18,6,2
13,Houston,Texans,,TEN,AFC,AFC South,Closed,Closed,Cover 3,17,54,Yes,No,No,238,52,No,5,No,23,0.4423,6,0.2185,15,,1,0.2885,524,162,73,1403,6,3,3,0.2,,0.0385,0.4231,0.5385,43,0.8269,26.9808,83.5,2.2017,10.0769,-2.2438,0.0577,34.9333,10.8,4.8667,15,3,1
21,Minnesota,Vikings,,DET,NFC,NFC North,Closed,Closed,Cover 1,17,56,No,Yes,Yes,246,54,No,7,Yes,27,0.5,8,0.2195,25,3,2,0.463,675,135,21,1197,4,1,,,0.0185,0.0185,0.2222,0.7407,39,0.7222,22.1667,77.9,2.7439,12.5,0.9244,0.0185,27,5.4,0.84,24,5,1
23,New Orleans,Saints,,TB,NFC,NFC South,Closed,Closed,Cover 3,17,61,No,Yes,Yes,267,59,No,17,No,39,0.661,7,0.221,24,7,4,0.4068,693,117,40,1429,3,4,2,0.0833,0.0169,0.0169,0.2712,0.6949,52,0.8814,24.2203,87.7,2.5955,11.7458,0.161,0.0678,28.875,4.875,1.6667,23,5,2
11,Detroit,Lions,1,MIN,NFC,NFC North,Closed,Closed,Cover 1,17,65,No,Yes,Yes,284,59,No,16,Yes,33,0.5593,4,0.2077,27,9,4,0.4576,809,166,53,1491,1,1,1,0.037,0.0339,0.0847,0.3729,0.5085,44,0.7458,25.2712,83.8,2.8486,13.7119,2.1721,0.0169,29.963,6.1481,1.963,27,1,
19,Las Vegas,Raiders,1,LAC,AFC,AFC West,Closed,Closed,Cover 3,17,40,No,No,No,168,37,No,6,No,20,0.5405,5,0.2202,13,1,2,0.3514,331,30,5,869,4,2,,,,0.0811,0.2162,0.7027,27,0.7297,23.4865,82.2,1.9702,8.9459,-2.5346,0.0541,25.4615,2.3077,0.3846,13,2,3
9,Dallas,Cowboys,1,WAS,NFC,NFC East,Open,Open,Cover 2,17,44,Yes,Yes,No,189,43,No,10,No,25,0.5814,3,0.2275,17,4,4,0.3953,627,218,36,1123,4,5,1,0.0588,,0.0465,0.3256,0.6279,31,0.7209,26.1163,89.1,3.3175,14.5814,2.6416,0.1163,36.8824,12.8235,2.1176,17,4,
