teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsSpiked,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel
19,Las Vegas,Raiders,True,LAC,AFC,AFC West,Closed,Open,Cover 0,17,181,181,0.3314917127071823,17,0.1893939393939394,-0.4594705927575758,21,7,19,269,0.13812154696132597,1675,6,No,No,56,0.30939226519337015,-0.02746629834254145,Yes,0.03314917127071823,0.3812154696132597,30,0.16574585635359115,0.03867403314917127,0.022099447513812154,0.5082872928176796,0.022099447513812154,0.14917127071823205,2.5211049723756904,2.3964285714285714,12.582089552238806,39.6,No,No
2,Atlanta,Falcons,True,CAR,NFC,NFC South,Open,Open,Cover 6,17,162,162,0.29012345679012347,20,0.14516129032258066,-0.4882431335806452,26,3,6,188,0.1111111111111111,1739,7,No,No,59,0.36419753086419754,-0.04646265432098765,No,0.012345679012345678,0.4691358024691358,34,0.20987654320987653,0.05555555555555555,0.006172839506172839,0.5061728395061729,0.04938271604938271,0.09876543209876543,2.9530864197530864,2.4983050847457626,13.73228346456693,39.6,Yes,Yes
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Open,Miscellaneous,17,182,182,0.2967032967032967,23,0.18055555555555555,-0.44419403063888885,24,1,9,214,0.14285714285714285,2013,8,No,No,51,0.2802197802197802,-0.09644807692307693,No,0.02197802197802198,0.4725274725274725,35,0.19230769230769232,0.02197802197802198,0.005494505494505495,0.6043956043956044,,0.08241758241758242,2.757142857142857,2.5098039215686274,13.60135135135135,39.6,No,No
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Open,Cover 6,17,186,186,0.23118279569892472,12,0.1357142857142857,-0.5235989048785715,26,4,13,122,0.10215053763440861,1735,8,No,No,65,0.34946236559139787,-0.02916747311827958,No,0.03763440860215054,0.5,35,0.1881720430107527,0.04838709677419355,0.010752688172043012,0.5860215053763441,0.03763440860215054,0.06989247311827956,2.767204301075269,2.4876923076923076,12.202797202797203,39.6,No,Yes
26,Philadelphia,Eagles,True,NYG,NFC,NFC East,Closed,Closed,Cover 3,17,192,192,0.3020833333333333,12,0.2064516129032258,-0.4543471097161291,19,2,14,232,0.16666666666666666,1935,2,No,Yes,61,0.3177083333333333,-0.03632656249999999,No,0.010416666666666666,0.4739583333333333,38,0.19791666666666666,0.041666666666666664,0.015625,0.5833333333333334,0.03125,0.140625,2.625625,2.418032786885246,12.32484076433121,39.6,No,No
8,Cleveland,Browns,,BLT,AFC,AFC North,Open,Closed,Cover 1,17,191,191,0.2879581151832461,18,0.1891891891891892,-0.4177016897770271,27,5,6,253,0.14659685863874344,2409,8,No,No,88,0.4607329842931937,0.06033743455497383,Yes,0.015706806282722512,0.45549738219895286,48,0.2513089005235602,0.06282722513089005,0.015706806282722512,0.5706806282722513,0.03664921465968586,0.1256544502617801,2.890575916230367,2.5102272727272728,15.745098039215685,39.6,No,No
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Open,Cover 4,17,181,181,0.23756906077348067,24,0.13333333333333333,-0.48397220902222216,22,3,15,211,0.09944751381215469,2066,7,No,No,72,0.39779005524861877,0.004912154696132592,No,0.03314917127071823,0.4861878453038674,41,0.2265193370165746,0.027624309392265192,0.03314917127071823,0.48066298342541436,0.04419889502762431,0.09392265193370165,2.849723756906077,2.3666666666666667,14.73758865248227,39.6,No,Yes
27,Pittsburgh,Steelers,True,CIN,AFC,AFC North,Open,Open,Cover 6,17,183,183,0.2185792349726776,21,0.15555555555555556,-0.5007621880444444,20,1,20,167,0.11475409836065574,1695,11,No,No,73,0.3989071038251366,-0.0005169398907103814,No,0.02185792349726776,0.48633879781420764,28,0.15300546448087432,0.0546448087431694,0.00546448087431694,0.5300546448087432,0.0273224043715847,0.04918032786885246,2.8896174863387976,2.452054794520548,12.204225352112676,39.6,No,Yes
29,San Francisco,49ers,,ARZ,NFC,NFC West,Closed,Closed,Cover 1,17,167,167,0.3473053892215569,20,0.15789473684210525,-0.46645897052631574,25,2,3,275,0.12574850299401197,1946,8,No,Yes,58,0.3473053892215569,-0.04480988023952095,No,0.005988023952095809,0.437125748502994,36,0.2155688622754491,0.04790419161676647,0.029940119760479042,0.6047904191616766,0.03592814371257485,0.12574850299401197,2.844311377245509,2.5396551724137932,14.204379562043796,39.6,No,No
4,Buffalo,Bills,,NE,AFC,AFC East,Open,Closed,Cover 1,17,165,165,0.28484848484848485,18,0.1968503937007874,-0.47220435960629914,24,4,6,162,0.15151515151515152,1471,7,No,Yes,66,0.4,0.00553606060606059,No,0.012121212121212121,0.45454545454545453,21,0.12727272727272726,0.06666666666666667,0.024242424242424242,0.5636363636363636,0.05454545454545454,0.1393939393939394,2.8575757575757574,2.504545454545455,11.557251908396946,39.6,No,No
1,Arizona,Cardinals,True,SF,NFC,NFC West,Closed,Closed,Cover 1,17,160,160,0.225,28,0.13333333333333333,-0.5157889701250001,25,2,12,170,0.1,1577,5,No,Yes,46,0.2875,-0.12578687500000002,No,0.0125,0.49375,27,0.16875,0.04375,0.0375,0.525,0.01875,0.1,2.96875,2.61304347826087,13.03305785123967,39.6,No,No
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Cover 6,17,161,161,0.3167701863354037,18,0.18548387096774194,-0.4626003741532257,23,2,11,205,0.14285714285714285,1606,6,No,No,43,0.2670807453416149,-0.1403444099378882,No,0.012422360248447204,0.4161490683229814,22,0.13664596273291926,0.043478260869565216,0.012422360248447204,0.5714285714285714,0.024844720496894408,0.15527950310559005,2.9341614906832296,2.827906976744186,12.96,39.6,Yes,Yes
6,Chicago,Bears,,GB,NFC,NFC North,Open,Open,Miscellaneous,17,167,167,0.23952095808383234,18,0.16260162601626016,-0.48776826537398377,30,,9,152,0.11976047904191617,1605,5,No,No,62,0.3712574850299401,-0.054686227544910156,No,,0.5029940119760479,27,0.16167664670658682,0.0658682634730539,0.023952095808383235,0.5209580838323353,0.05389221556886228,0.10778443113772455,3.044311377245509,2.6919354838709677,12.6484375,39.6,No,No
24,New York,Giants,,PHI,NFC,NFC East,Closed,Closed,Cover 3,17,149,149,0.2751677852348993,13,0.1864406779661017,-0.49405784334745767,17,1,9,140,0.1476510067114094,1337,4,No,Yes,64,0.42953020134228187,0.04506442953020132,No,0.006711409395973154,0.5033557046979866,17,0.11409395973154363,0.03355704697986577,,0.610738255033557,0.03355704697986577,0.09395973154362416,2.8026845637583895,2.5296875,11.254098360655737,39.6,No,No
10,Denver,Broncos,True,KC,AFC,AFC West,Closed,Open,Cover 4,17,198,198,0.24242424242424243,15,0.16883116883116883,-0.5081033966688311,30,2,10,181,0.13131313131313133,1762,11,No,No,70,0.35353535353535354,-0.012470202020202006,No,0.005050505050505051,0.5,27,0.13636363636363635,0.020202020202020204,0.005050505050505051,0.5555555555555556,0.05555555555555555,0.1111111111111111,2.6959595959595957,2.4914285714285715,11.294871794871796,39.6,No,Yes
14,Indianapolis,Colts,True,JAX,AFC,AFC South,Open,Closed,Cover 1,17,151,151,0.2185430463576159,14,0.13157894736842105,-0.5392268324298246,24,3,6,108,0.09933774834437085,1331,5,No,Yes,50,0.33112582781456956,-0.047105298013245055,No,0.006622516556291391,0.5033112582781457,22,0.1456953642384106,0.039735099337748346,0.013245033112582781,0.543046357615894,0.07947019867549669,0.07947019867549669,2.7635761589403973,2.612,11.5,39.6,Yes,Yes
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 2 Man,17,185,185,0.23783783783783785,25,0.14285714285714285,-0.531599888197279,21,,13,173,0.11351351351351352,1672,7,No,No,73,0.3945945945945946,-0.009718918918918929,No,0.016216216216216217,0.5135135135135135,29,0.15675675675675677,0.02702702702702703,0.010810810810810811,0.5135135135135135,0.02702702702702703,0.0918918918918919,2.918918918918919,2.4575342465753427,11.125827814569536,39.6,No,No
