teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingTowThrowPercentage
14,Indianapolis,Colts,True,JAX,AFC,AFC South,Closed,Closed,Prevent,17,378,378,1,13,378,1,1,0.21999736483333332,4142,10.957671957671957,0.5007242877836794,12.386243386243386,2130,27,6,No,No,49,0.12962962962962962,-0.17116044973544975,No,0.05026455026455026,24,0.06349206349206349,0.05291005291005291,0.6957671957671958,0.10317460317460317,0.7301587301587301,2.318783068783069,2.510204081632653,5.634920634920635,136.1,Yes,Yes,191,
10,Denver,Broncos,True,KC,AFC,AFC West,Closed,Closed,Cover 3,17,393,393,1,13,393,1,1,0.22001095483460553,4112,10.463104325699746,0.49562256809338523,11.582697201017812,2123,22,4,Yes,No,57,0.1450381679389313,-0.1353057251908397,No,0.04071246819338423,22,0.05597964376590331,0.061068702290076333,0.72264631043257,0.10432569974554708,0.732824427480916,2.2002544529262087,2.275438596491228,5.402035623409669,128.9,No,Yes,203,
22,New England,Patriots,True,BUF,AFC,AFC East,Closed,Closed,Cover 1,17,346,346,1,13,346,1,1,0.2247109980115607,3749,10.835260115606937,0.46385702854094424,12.395953757225433,2075,27,1,No,No,59,0.17052023121387283,-0.1390947976878613,No,0.057803468208092484,21,0.06069364161849711,0.04335260115606936,0.7167630057803468,0.0838150289017341,0.7254335260115607,2.3699421965317917,2.442372881355932,5.997109826589595,137.8,No,Yes,189,
30,Tampa Bay,Buccaneers,True,NO,NFC,NFC South,Closed,Closed,Cover 1,17,418,418,1,13,418,1,1,0.22107053782057406,4464,10.679425837320574,0.47087813620071683,11.971291866028707,2421,27,4,No,No,86,0.20574162679425836,-0.10018576555023924,Yes,0.03827751196172249,21,0.050239234449760764,0.04784688995215311,0.7248803827751196,0.10526315789473684,0.7894736842105263,2.3485645933014356,2.380232558139535,5.791866028708134,132.7,No,Yes,212,
17,Los Angeles,Rams,True,SEA,NFC,NFC West,Open,Open,Cover 2 Man,17,354,354,1,15,354,1,1,0.22051210272598876,4101,11.584745762711865,0.5193855157278713,13.22316384180791,2046,29,9,No,No,62,0.1751412429378531,-0.15626313559322033,No,0.025423728813559324,23,0.06497175141242938,0.06779661016949153,0.7033898305084746,0.08757062146892655,0.7853107344632768,2.4957627118644066,2.520967741935484,5.779661016949152,142.2,Yes,Yes,196,
31,Tennessee,Titans,True,HST,AFC,AFC South,Open,Closed,Cover 3,17,314,314,1,17,314,1,1,0.20657869404777074,3216,10.242038216560509,0.5537935323383084,11.961783439490446,1511,27,6,No,Yes,43,0.13694267515923567,-0.1625713375796178,No,0.050955414012738856,15,0.04777070063694268,0.050955414012738856,0.7547770700636943,0.07961783439490445,0.732484076433121,2.3111464968152866,2.5674418604651166,4.812101910828026,138,No,Yes,157,
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 2 Man,17,371,371,1,12,371,1,1,0.202937554393531,3930,10.59299191374663,0.5684478371501273,11.994609164420485,1736,26,3,No,No,67,0.18059299191374664,-0.13085929919137465,No,0.05390835579514825,21,0.05660377358490566,0.05929919137466307,0.6981132075471698,0.0862533692722372,0.6900269541778976,2.3805929919137467,2.5134328358208955,4.679245283018868,134.2,Yes,Yes,193,
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Open,Cover 6,17,372,372,1,21,372,1,1,0.22102424355645167,4016,10.795698924731182,0.5059760956175299,12.408602150537634,2100,30,6,No,No,60,0.16129032258064516,-0.1643489247311828,No,0.04032258064516129,19,0.051075268817204304,0.06451612903225806,0.6478494623655914,0.12096774193548387,0.7446236559139785,2.4626344086021508,2.453333333333333,5.645161290322581,138.5,No,Yes,192,
26,Philadelphia,Eagles,True,NYG,NFC,NFC East,Open,Closed,Cover 3,17,337,337,1,15,337,1,1,0.21057381878635018,3266,9.691394658753708,0.5009185548071035,10.997032640949556,1702,22,3,No,Yes,51,0.1513353115727003,-0.14565163204747772,No,0.04154302670623145,18,0.05341246290801187,0.04747774480712166,0.7270029673590505,0.11572700296735905,0.7270029673590505,2.2967359050445104,2.4568627450980394,5.050445103857567,128.8,No,Yes,160,
8,Cleveland,Browns,,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,316,316,1,15,316,1,1,0.23158095335126583,3878,12.272151898734178,0.4981949458483754,13.917721518987342,2017,26,7,No,No,72,0.22784810126582278,-0.06891044303797468,No,0.022151898734177215,29,0.09177215189873418,0.06962025316455696,0.7468354430379747,0.08227848101265822,0.7658227848101266,2.294620253164557,2.308333333333333,6.382911392405063,145.2,No,Yes,176,0.0031645569620253164
