Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage
Mike Gesicki,CIN,TE,111,No,No,No,106,17,No,Yes,8,0.4706,0.1604,206,5,,0.717,0.1792,9,,,12.1176,39.6,-9.247,0.2941,39.8276,39.8276,0.1868,5,17,5,4,2,0.1038
Nikko Remigio,KC,WR,6,No,No,No,6,4,No,Yes,1,0.25,0.6667,31,1,,1,,3,,,7.75,39.6,-7.2363,0.25,5.631,5.631,0.6667,,5,1,,,
Hayden Hurst,LAC,TE,26,No,No,Yes,25,5,No,No,1,0.2,0.2,23,1,0.04,0.56,0.2,4,1,0.2,4.6,39.6,-7.1089,0.2,16.1543,16.1543,0.2174,3,9,,2,,0.2
Clyde Edwards-Helaire,NO,RB,9,No,Yes,Yes,8,2,No,Yes,2,1,0.25,7,1,0.75,0.25,,1,,,3.5,39.6,-6.5956,0.5,2.8136,2.8136,0.25,,2,1,,,
Dalvin Cook,DAL,RB,3,Yes,No,No,3,,No,No,,,,,,0.3333,0.6667,,,,,,,,,,,,,2,,,,
Tyreek Hill,MIA,WR,135,No,Yes,No,123,35,No,No,11,0.3143,0.2846,665,3,0.0081,0.2927,0.6992,28,1,0.0286,19,39.6,-10.2738,0.0857,78.4247,78.4247,0.3211,8,17,7,9,12,
Demarcus Robinson,LA,WR,155,No,No,No,148,26,No,No,8,0.3077,0.1757,477,2,,0.4257,0.5743,20,,,18.3462,39.6,-10.0929,0.0769,65.1325,65.1325,0.2016,6,17,3,5,12,
Travis Kelce,KC,TE,159,No,Yes,No,146,28,No,No,8,0.2857,0.1918,325,5,0.0068,0.4521,0.2397,16,,,11.6071,39.6,-8.5855,0.1786,53.5972,53.5972,0.2435,6,16,4,3,4,0.3014
Cole Kmet,CHI,TE,184,No,No,No,138,7,No,No,1,0.1429,0.0507,66,1,0.0217,0.6449,0.1014,6,,,9.4286,39.6,-8.4239,0.1429,12.3951,12.3951,0.0534,,17,,,,0.2319
Zack Moss,CIN,RB,48,No,No,No,36,4,No,Yes,3,0.75,0.1111,3,2,0.8889,,0.0278,1,,,0.75,39.6,-6.1421,0.5,6.2411,6.2411,0.1026,1,8,1,,,0.0833
