Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage
Mason Kinsey,TEN,WR,11,No,Yes,No,10,,No,No,,,,,,,0.9,0.1,,,,,,,,1.8943,1.8943,,,6,,,,
Charlie Woerner,ATL,TE,43,No,No,No,24,3,Yes,Yes,1,0.3333,0.125,5,,0.0417,0.25,0.125,1,,,1.6667,39.6,-6.1718,,4.7674,4.7674,0.0938,,16,1,,,0.5833
Jeff Wilson,MIA,RB,16,No,Yes,No,11,,No,No,,,,,,0.7273,0.1818,0.0909,,,,,,,,,,,,9,,,,
Kenny McIntosh,SEA,RB,11,No,No,No,7,,No,No,,,,,,1,,,,,,,,,,,,,,11,,,,
Deuce Vaughn,DAL,RB,10,No,No,No,7,1,No,No,,,0.1429,-4,,0.8571,,0.1429,,,,-4,39.6,-5.5699,,1.6316,1.6316,0.1429,,6,,,,
Kameron Johnson,TB,WR,4,No,Yes,No,4,1,No,No,1,1,0.25,5,1,,,1,1,,,5,39.6,-6.3628,1,3.65,3.65,0.3333,1,4,,1,,
Dyami Brown,WAS,WR,62,No,No,No,58,9,No,No,5,0.5556,0.1552,212,2,,0.2586,0.7414,7,,,23.5556,39.6,-11.1752,0.2222,24.2512,24.2512,0.1875,3,16,3,3,4,
Garrett Wilson,NYJ,WR,204,No,Yes,No,197,47,No,No,14,0.2979,0.2386,712,4,0.0051,0.3249,0.6701,42,,,15.1489,39.6,-9.4728,0.0851,115.182,115.182,0.267,11,17,8,7,12,
Blake Whiteheart,CLV,TE,34,No,No,Yes,25,1,No,No,,,0.04,6,,0.04,0.2,0.24,,,,6,39.6,-7.093,,1.5408,1.5408,0.0435,,11,,,,0.52
Chris Manhertz,NYG,TE,41,No,Yes,No,12,1,No,No,,,0.0833,5,,,0.1667,,,,,5,39.6,-6.48,,1.6494,1.6494,0.0323,,17,,,,0.8333
Johnny Wilson,PHI,WR,41,No,Yes,No,36,10,No,No,4,0.4,0.2778,127,2,0.0278,0.2778,0.6944,6,,,12.7,39.6,-8.5981,0.2,20.565,20.565,0.2857,2,16,3,2,1,
Erik Ezukanma,MIA,WR,3,No,Yes,Yes,3,2,No,No,,,0.6667,63,,,0.3333,0.6667,1,,,31.5,39.6,-12.5476,,3.969,3.969,0.6667,,2,,1,1,
Emanuel Wilson,GB,RB,39,No,No,No,29,2,No,No,1,0.5,0.069,-5,,0.8276,0.0345,0.1379,1,1,0.5,-2.5,39.6,-6.1586,,2.8924,2.8924,0.0571,,17,1,,,
Quentin Johnston,LAC,WR,117,No,No,Yes,111,31,No,No,15,0.4839,0.2793,533,7,,0.0991,0.9009,23,,,17.1935,39.6,-9.5132,0.2258,60.5924,60.5924,0.3263,3,15,9,3,11,
Xavier Worthy,KC,WR,139,No,No,No,132,35,No,Yes,12,0.3429,0.2652,638,5,0.0227,0.3712,0.6061,27,1,0.0286,18.2286,39.6,-9.8345,0.1429,72.2315,72.2315,0.3431,6,17,4,6,12,
Cam Grandy,CIN,TE,7,No,No,No,7,,No,Yes,,,,,,0.2857,,0.2857,,,,,,,,,,,,8,,,,0.4286
Malachi Corley,NYJ,WR,16,No,Yes,No,14,3,No,No,,,0.2143,43,,,0.3571,0.6429,1,,,14.3333,39.6,-9.2464,,9.2162,9.2162,0.2,2,7,,1,1,
Elijah Moore,CLV,WR,198,No,No,Yes,191,30,No,No,8,0.2667,0.1571,431,4,0.0105,0.5445,0.445,25,1,0.0333,14.3667,39.6,-9.104,0.1333,56.6743,56.6743,0.1875,3,17,4,3,10,
Rachaad White,TB,RB,81,No,Yes,Yes,60,5,No,Yes,1,0.2,0.0833,12,,0.8,0.15,0.05,3,1,0.2,2.4,39.6,-5.6846,,7.0263,7.0263,0.0735,,16,,,,
AJ Barner,SEA,TE,55,No,No,No,44,6,No,No,4,0.6667,0.1364,54,3,0.0227,0.5682,0.0909,3,,,9,39.6,-8.2347,0.5,9.2126,9.2126,0.1622,,17,2,,1,0.3182
Zach Charbonnet,SEA,RB,92,No,No,No,63,3,No,No,,,0.0476,-3,,0.8413,0.0317,0.127,3,1,0.3333,-1,39.6,-5.8629,,6.0882,6.0882,0.0484,,17,,,,
Chuba Hubbard,CAR,RB,128,Yes,No,No,91,9,No,No,4,0.4444,0.0989,,2,0.7802,0.044,0.1758,4,1,0.1111,,39.6,-6.2089,0.2222,17.3545,17.3545,0.0865,2,15,2,,,
Jared Wayne,HST,WR,8,Yes,No,No,8,,No,Yes,,,,,,,0.25,0.75,,,,,,,,,,,,3,,,,
Derrick Henry,BLT,RB,59,No,No,Yes,42,2,No,No,,,0.0476,3,,1,,,2,,,1.5,39.6,-7.1919,,3.1787,3.1787,0.0408,1,17,,,,
Kareem Hunt,KC,RB,67,No,Yes,No,52,5,No,No,,,0.0962,-1,,0.8462,0.0385,0.1154,1,1,0.2,-0.2,39.6,-6.081,,8.8034,8.8034,0.1,3,13,,1,,
Brandon Powell,MIN,WR,34,No,Yes,Yes,30,3,No,No,1,0.3333,0.1,44,,,0.4667,0.5333,3,,,14.6667,39.6,-9.5335,,4.9857,4.9857,0.125,,17,1,,1,
Ty Johnson,BUF,RB,77,No,Yes,No,65,7,No,No,,,0.1077,85,,0.7846,0.0308,0.1538,1,,,12.1429,39.6,-8.719,,11.6009,11.6009,0.1094,2,17,,1,2,0.0308
Nick Muse,MIN,TE,1,No,Yes,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,2,,,,1
Van Jefferson,PIT,WR,115,No,No,No,107,16,No,Yes,2,0.125,0.1495,255,2,,0.2523,0.7477,10,,,15.9375,39.6,-9.3607,0.125,33.0696,33.0696,0.2025,3,17,1,2,7,
Geoff Swaim,CLV,TE,19,No,No,No,7,,No,No,,,,,,0.1429,0.1429,,,,,,,,,,,,,8,,,,0.7143
Jalen Virgil,BUF,WR,3,No,No,Yes,2,,Yes,Yes,,,,,,,0.5,0.5,,,,,,,,,,,,7,,,,
Bijan Robinson,ATL,RB,147,No,No,No,97,9,Yes,Yes,3,0.3333,0.0928,59,2,0.9278,0.0515,0.0206,4,1,0.1111,6.5556,39.6,-6.57,0.2222,13.9279,13.9279,0.0789,,17,1,,1,
Jaleel McLaughlin,DEN,RB,34,No,No,No,28,1,No,Yes,,,0.0357,-7,,0.5714,0.0714,0.3214,1,1,1,-7,39.6,-4.5287,,0.96,0.96,0.0385,,16,,,,0.0357
Calvin Austin,PIT,WR,117,No,No,No,113,19,No,Yes,5,0.2632,0.1681,288,1,,0.6637,0.3363,15,2,0.1053,15.1579,39.6,-9.2628,0.0526,42.8541,42.8541,0.2405,2,17,3,2,7,
Ronnie Bell,SF,WR,15,No,No,No,15,2,No,Yes,2,1,0.1333,35,2,,0.3333,0.6667,1,,,17.5,39.6,-7.7081,1,4.8445,4.8445,0.1538,,8,,,1,
Jacob Cowing,SF,WR,19,No,Yes,No,17,1,No,No,,,0.0588,13,,,0.5294,0.4706,1,,,13,39.6,-8.9145,,6.2026,6.2026,0.0588,1,15,,1,,
Cordarrelle Patterson,PIT,RB,14,No,No,No,12,1,No,Yes,1,1,0.0833,10,,0.75,0.0833,0.1667,1,,,10,39.6,-7.1731,,1.5319,1.5319,0.1,,13,1,,,
Isiah Pacheco,KC,RB,25,No,Yes,No,17,4,No,No,2,0.5,0.2353,16,1,0.8235,0.0588,0.1176,2,,,4,39.6,-6.7123,0.25,5.8789,5.8789,0.1739,,7,1,,,
Pat Freiermuth,PIT,TE,135,No,No,No,117,8,No,Yes,4,0.5,0.0684,69,4,,0.547,0.1624,6,,,8.625,39.6,-7.7458,0.5,14.9157,14.9157,0.0889,1,17,,,,0.2906
Jack Westover,NE,TE,1,No,Yes,No,1,,No,No,,,,,,,1,,,,,,,,,,,,,1,,,,
Stefon Diggs,HST,WR,80,No,No,No,75,14,No,No,4,0.2857,0.1867,196,1,,0.56,0.44,9,,,14,39.6,-9.2905,0.0714,24.9487,24.9487,0.2258,,8,3,1,2,
Ben Sinnott,WAS,TE,26,No,No,No,21,,No,No,,,,,,,0.2381,0.0476,,,,,,,,,,,,17,,,,0.7143
Zay Jones,ARZ,WR,44,No,Yes,No,40,2,No,No,1,0.5,0.05,29,,,0.3,0.7,2,,,14.5,39.6,-9.6071,,12.1824,12.1824,0.0769,,11,1,,,
Irv Smith,HST,TE,7,No,Yes,No,3,,No,No,,,,,,,,,,,,,,,,,,,,5,,,,1
Kaden Davis,CLV,WR,4,No,No,Yes,4,,No,No,,,,,,,0.5,0.5,,,,,,,,1.5878,1.5878,,,1,,,,
Andrei Iosivas,CIN,WR,148,No,No,No,144,23,No,Yes,13,0.5652,0.1597,260,8,,0.5278,0.4722,19,,,11.3043,39.6,-8.1339,0.3478,50.9468,50.9468,0.1901,3,17,7,3,4,
Brandon Aiyuk,SF,WR,61,No,No,No,60,17,No,No,5,0.2941,0.2833,240,3,,0.2667,0.7333,10,,,14.1176,39.6,-9.3849,0.1765,37.7058,37.7058,0.34,2,7,3,3,3,
Allen Lazard,NYJ,WR,126,No,Yes,No,116,22,No,No,11,0.5,0.1897,262,5,,0.4397,0.5259,15,2,0.0909,11.9091,39.6,-8.8165,0.2273,46.6365,46.6365,0.2,6,12,5,2,4,0.0345
Darnell Mooney,ATL,WR,152,No,Yes,Yes,143,35,No,No,13,0.3714,0.2448,547,5,0.021,0.3776,0.6014,32,,,15.6286,39.6,-9.6695,0.1429,82.8798,82.8798,0.3043,3,16,9,1,6,
Jeremy Ruckert,NYJ,TE,64,No,Yes,No,50,10,No,No,5,0.5,0.2,86,3,0.02,0.38,0.12,5,,,8.6,39.6,-8.7181,0.3,16.2092,16.2092,0.1852,1,17,3,1,,0.48
Kalif Raymond,DET,WR,32,No,Yes,Yes,31,5,No,No,2,0.4,0.1613,96,,,0.4516,0.5484,4,,,19.2,39.6,-10.5427,,12.3594,12.3594,0.1786,,12,1,,2,
Tanner Hudson,CIN,TE,22,No,No,No,15,4,No,Yes,2,0.5,0.2667,35,1,0.1333,0.4667,0.1333,3,,,8.75,39.6,-7.247,0.25,5.7137,5.7137,0.2222,,11,,,1,0.2667
Curtis Samuel,BUF,WR,77,No,Yes,No,73,13,No,No,2,0.1538,0.1781,119,,0.0274,0.589,0.3699,7,,,9.1538,39.6,-7.8382,,25.4618,25.4618,0.2131,3,14,2,3,2,0.0137
Tyreik McAllister,LV,WR,1,No,No,No,1,,No,No,,,,,,,,1,,,,,,,,,,,,2,,,,
Chase Brown,CIN,RB,107,No,No,Yes,80,9,No,No,7,0.7778,0.1125,33,3,0.7875,0.1625,0.05,4,1,0.1111,3.6667,39.6,-7.599,0.3333,21.6153,21.6153,0.1023,3,16,3,1,1,
Najee Harris,PIT,RB,74,No,No,No,53,10,No,Yes,6,0.6,0.1887,-15,6,0.8679,,0.0755,4,2,0.2,-1.5,39.6,-6.0486,0.6,14.9707,14.9707,0.1695,,17,1,,,0.0566
Daniel Bellinger,NYG,TE,63,No,Yes,No,53,,No,No,,,,,,0.0189,0.4151,0.1509,,,,,,,,1.9354,1.9354,,,17,,,,0.4151
Drew Sample,CIN,TE,90,No,No,No,52,2,No,Yes,,,0.0385,6,,0.1731,0.0962,0.1154,2,,,3,39.6,-6.2184,,2.6714,2.6714,0.027,,17,,,,0.6154
Devontez Walker,BLT,WR,6,No,No,Yes,5,2,No,No,1,0.5,0.4,68,1,,,1,1,,,34,39.6,-13.1651,0.5,4.1724,4.1724,0.4,,7,,,2,
Austin Ekeler,WAS,RB,72,No,No,No,59,6,No,No,3,0.5,0.1017,4,3,0.5763,0.3559,0.0339,1,,,0.6667,39.6,-6.0788,0.5,8.6059,8.6059,0.1053,1,12,,,,0.0339
Jaheim Bell,NE,TE,9,No,Yes,No,9,1,No,No,1,1,0.1111,7,1,,0.4444,0.1111,1,,,7,39.6,-7.3078,1,1.7115,1.7115,0.1429,,13,1,,,0.4444
Dawson Knox,BUF,TE,91,No,Yes,No,80,8,No,Yes,3,0.375,0.1,101,1,0.0125,0.4625,0.15,4,,,12.625,39.6,-7.8058,0.125,16.9403,16.9403,0.1143,2,16,2,1,1,0.375
Noah Brown,WAS,WR,70,No,Yes,No,65,18,No,No,7,0.3889,0.2769,249,3,,0.2,0.8,15,,,13.8333,39.6,-9.0826,0.1667,43.3115,43.3115,0.3462,1,11,5,,5,
Marcedes Lewis,CHI,TE,16,No,No,No,2,,No,No,,,,,,,1,,,,,,,,,1.3995,1.3995,,,17,,,,
Dontayvion Wicks,GB,WR,96,No,No,No,88,33,No,No,14,0.4242,0.375,570,9,,0.375,0.625,25,,,17.2727,39.6,-9.7943,0.2727,66.8692,66.8692,0.4286,3,17,6,4,11,
Trey McBride,ARZ,TE,136,No,Yes,No,130,26,No,No,8,0.3077,0.2,274,4,,0.5538,0.0692,21,1,0.0385,10.5385,39.6,-8.0659,0.1538,62.7831,62.7831,0.2524,8,16,4,7,4,0.3769
Patrick Taylor,SF,RB,31,No,Yes,No,21,8,No,No,2,0.25,0.381,15,2,1,,,3,,,1.875,39.6,-6.5189,0.25,11.9434,11.9434,0.3333,1,9,,,,
John Bates,WAS,TE,48,No,No,No,25,5,No,No,1,0.2,0.2,28,,,0.08,,2,2,0.4,5.6,39.6,-7.2592,,8.3334,8.3334,0.1282,,17,1,,1,0.92
Carson Steele,KC,RB,26,No,No,No,23,3,No,Yes,,,0.1304,6,,0.8696,0.0435,0.0435,,,,2,39.6,-6.787,,4.0795,4.0795,0.1579,1,16,,,,0.0435
Jalen Reagor,LAC,WR,27,No,Yes,Yes,26,3,Yes,Yes,1,0.3333,0.1154,37,,,0.4615,0.5385,2,,,12.3333,39.6,-8.5421,,5.3445,5.3445,0.15,,8,1,,1,
Alex Erickson,NE,WR,3,No,Yes,No,3,,No,No,,,,,,,0.6667,0.3333,,,,,,,,,,,,3,,,,
Will Shipley,PHI,RB,11,No,Yes,No,9,,No,No,,,,,,0.6667,,0.3333,,,,,,,,,,,,13,,,,
Payne Durham,TB,TE,35,No,Yes,Yes,19,3,No,Yes,1,0.3333,0.1579,31,,,0.3158,0.1053,1,,,10.3333,39.6,-8.3756,,5.204,5.204,0.1034,,16,,,,0.5789
Trey Palmer,TB,WR,39,No,Yes,Yes,38,9,No,Yes,1,0.1111,0.2368,138,1,,0.1053,0.8947,7,,,15.3333,39.6,-8.9221,0.1111,21.3444,21.3444,0.2727,,15,,1,3,
Kyren Williams,LA,RB,154,Yes,No,No,113,4,No,No,1,0.25,0.0354,-9,1,0.8319,0.0796,0.0796,2,2,0.5,-2.25,39.6,-5.5953,0.25,8.3576,8.3576,0.0317,2,16,,,,0.0088
Tucker Kraft,GB,TE,142,No,No,No,116,14,No,No,5,0.3571,0.1207,73,3,,0.3362,0.1552,10,2,0.1429,5.2143,39.6,-7.1153,0.2143,25.8985,25.8985,0.1239,2,17,2,1,1,0.5086
Baylor Cupp,KC,TE,1,No,Yes,Yes,1,1,Yes,Yes,1,1,1,-1,1,,,,,,,-1,39.6,-4.9014,1,1.349,1.349,1,,1,,,,1
Raheem Mostert,MIA,RB,40,No,Yes,No,29,2,No,No,2,1,0.069,8,1,0.5862,0.2759,0.1379,1,,,4,39.6,-7.0516,0.5,5.0071,5.0071,0.0606,1,13,,,,
Jalen Coker,CAR,WR,75,No,No,No,70,12,Yes,Yes,4,0.3333,0.1714,194,1,,0.6143,0.3857,11,,,16.1667,39.6,-9.7701,0.0833,33.5315,33.5315,0.2069,2,11,2,2,2,
Marvin Mims,DEN,WR,44,No,No,No,41,9,No,Yes,3,0.3333,0.2195,254,2,0.122,0.3171,0.561,7,1,0.1111,28.2222,39.6,-11.6588,0.2222,18.8048,18.8048,0.2571,,17,1,,5,
Dallas Goedert,PHI,TE,61,No,Yes,No,53,9,No,No,4,0.4444,0.1698,107,3,,0.5094,0.1321,7,,,11.8889,39.6,-8.8676,0.3333,19.8347,19.8347,0.2368,3,10,1,2,1,0.3585
Roschon Johnson,CHI,RB,60,No,No,No,39,2,No,No,1,0.5,0.0513,-3,,0.9744,0.0256,,,,,-1.5,39.6,-5.9731,,3.2644,3.2644,0.0465,1,13,1,,,
Cedric Tillman,CLV,WR,83,No,Yes,Yes,74,15,Yes,No,3,0.2,0.2027,293,2,,0.2973,0.7027,14,,,19.5333,39.6,-10.5482,0.1333,32.9211,32.9211,0.2344,3,11,2,4,7,
Calvin Ridley,TEN,WR,162,No,Yes,No,147,49,No,No,15,0.3061,0.3333,912,8,,0.2109,0.7891,44,,,18.6122,39.6,-10.0874,0.1633,101.5304,101.5304,0.3769,4,17,7,3,15,
Terry McLaurin,WAS,WR,124,No,No,No,118,31,No,No,12,0.3871,0.2627,687,4,,0.1695,0.8305,25,1,0.0323,22.1613,39.6,-10.7064,0.129,66.3112,66.3112,0.3196,1,17,7,3,15,
Ainias Smith,PHI,WR,13,No,Yes,No,13,2,No,No,1,0.5,0.1538,19,1,,0.8462,0.1538,2,,,9.5,39.6,-8.0553,0.5,3.206,3.206,0.2,,7,1,,,
Chris Godwin,TB,WR,56,No,No,No,49,10,No,No,5,0.5,0.2041,90,2,,0.7143,0.2857,9,,,9,39.6,-7.6167,0.2,20.7872,20.7872,0.2,,7,3,,1,
Brevin Jordan,HST,TE,7,No,No,No,4,1,No,No,,,0.25,-4,,,,,1,1,1,-4,39.6,-6.3364,,1.5014,1.5014,0.1667,,2,,,,1
Jayden Reed,GB,WR,119,No,No,No,113,20,No,No,12,0.6,0.177,177,11,0.0265,0.8053,0.1681,16,6,0.3,8.85,39.6,-7.5306,0.55,44.6378,44.6378,0.2062,2,17,2,,3,
Brayden Willis,SF,TE,4,No,Yes,No,4,2,No,No,2,1,0.5,11,1,,1,,2,,,5.5,39.6,-6.7865,0.5,3.0076,3.0076,0.5,,9,2,,,
Kyle Pitts,ATL,TE,134,No,No,No,117,20,Yes,Yes,11,0.55,0.1709,229,3,,0.4103,0.265,14,,,11.45,39.6,-8.4258,0.15,38.3671,38.3671,0.1942,6,17,9,4,3,0.3248
