Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,DropsTotal,TargetedReadFirstTotal,AveragesPerTargetDropsTotal,TargetsInEndzone,AlignmentBackfieldRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Bijan Robinson,ATL,RB,15,No,Yes,Yes,12,,No,Yes,,,0.0833,,,,,,,17,,0.1667,,,,,,,,0.75,,,,,,,,,,,,,,,,
Jaleel McLaughlin,DEN,RB,2,No,No,No,2,,No,No,,,,,,,,,,16,,,,,,,,,,1,,,,,,,,,,,,,,,,
Calvin Austin,PIT,WR,5,No,No,No,5,,Yes,Yes,,,0.6,,,,,,,17,,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Ronnie Bell,SF,WR,3,No,No,Yes,3,1,Yes,Yes,0.3333,10,0.6667,10,,-7.5,1.4516,1.4516,0.3333,8,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Cowing,SF,WR,3,No,No,Yes,3,1,No,No,0.3333,25,0.3333,25,1,-11.4887,2.4731,2.4731,0.3333,15,,0.6667,,,,,1,,,,,,,,,,,,,,,,,,,
Isiah Pacheco,KC,RB,3,No,No,No,2,,No,No,,,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,,,,,,,
Cordarrelle Patterson,PIT,RB,1,No,No,No,1,1,Yes,Yes,1,5,,5,,-7.233,1.4608,1.4608,1,13,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,
Pat Freiermuth,PIT,TE,5,No,No,No,5,1,Yes,Yes,0.2,22,0.6,22,1,-10.5749,3.8261,3.8261,0.2,17,0.2,0.2,,,,,1,,1,,1,,,,,,,,,,,,,,,
Stefon Diggs,HST,WR,3,No,No,No,3,1,No,No,0.3333,20,0.3333,20,1,-10.8652,2.4056,2.4056,0.5,8,,0.6667,,,,,1,,,,,,,,,,,,,,,,,,,
Ben Sinnott,WAS,TE,2,No,No,No,2,,No,No,,,0.5,,,,,,,17,,,,,,,,,,0.5,,,,,,,,,,,,,,,,
Zay Jones,ARZ,WR,5,No,No,Yes,5,1,No,No,0.2,26,0.2,26,1,-13.0114,1.8877,1.8877,0.25,11,,0.8,,,,,1,,,,,,,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,7,No,No,No,6,1,Yes,Yes,0.1667,10,0.6667,10,,-7.5,5.4947,5.4947,0.1667,17,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Aiyuk,SF,WR,5,No,Yes,Yes,5,1,No,No,0.2,26,,26,1,-13.0114,1.8944,1.8944,0.3333,7,,1,,,,,,,1,,,,,,,,,,,,,,,,,
Allen Lazard,NYJ,WR,10,No,Yes,Yes,8,2,No,No,0.25,40,0.5,20,1,-11.5857,3.875,3.875,0.2222,12,,0.5,,,,,2,,,,,,,,,,,,,,,,,,,
Darnell Mooney,ATL,WR,16,No,No,Yes,16,3,No,No,0.1875,42,0.4375,14,1,-9.6515,6.6383,6.6383,0.2,16,,0.5625,,,,,2,,1,,1,,,,,,,,,,,,,,,
Jeremy Ruckert,NYJ,TE,1,No,Yes,Yes,1,,No,No,,,,,,,,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,
Kalif Raymond,DET,WR,1,Yes,No,Yes,1,,No,No,,,,,,,,,,12,,1,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Samuel,BUF,WR,3,No,No,No,3,1,No,No,0.3333,4,,4,,-6.0498,1.2939,1.2939,0.3333,14,,1,,,,,1,,,,,,,,,,,,,,,,,,,
Tanner Hudson,CIN,TE,1,No,No,No,1,,Yes,Yes,,,,,,,,,,11,,,,,,,,,,1,,,,,,,,,,,,,,,,
Najee Harris,PIT,RB,2,No,No,No,2,,Yes,Yes,,,,,,,,,,17,,,,,,,,,,1,,,,,,,,,,,,,,,,
Chase Brown,CIN,RB,5,No,Yes,Yes,4,,No,No,,,,,,,,,,16,,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,,
Daniel Bellinger,NYG,TE,6,No,No,No,3,,No,No,,,0.6667,,,,,,,17,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,
Drew Sample,CIN,TE,6,No,No,No,3,,Yes,Yes,,,,,,,,,,17,0.3333,0.3333,,,,,,,,0.3333,,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,1,No,No,No,1,,No,No,,,,,,,,,,12,,,,,,,,,,1,,,,,,,,,,,,,,,,
Marcedes Lewis,CHI,TE,2,Yes,No,No,1,,No,No,,,,,,,,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,
Dawson Knox,BUF,TE,5,No,No,No,4,1,No,No,0.25,3,0.75,3,,-6.3218,1.2858,1.2858,0.2,16,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Brown,WAS,WR,3,Yes,Yes,No,2,1,No,No,0.5,19,0.5,19,,-11.9321,2.3146,2.3146,0.3333,11,,0.5,,,,,1,,,,,,,,,,,,,,,,,,,
Dontayvion Wicks,GB,WR,5,Yes,No,No,5,2,No,No,0.4,42,0.4,21,1,-10.5917,4.8004,4.8004,0.5,17,,0.6,,,,,2,,1,,,,,,,,,,,,,,,,,
Patrick Taylor,SF,RB,2,No,No,Yes,2,,No,No,,,,,,,,,,9,,,,,,,,,,1,,,,,,,,,,,,,,,,
Carson Steele,KC,RB,3,No,No,No,2,,No,No,,,,,,,,,,16,,,,,,,,,,1,,,,,,,,,,,,,,,,
Trey McBride,ARZ,TE,11,No,No,Yes,10,1,No,No,0.1,5,0.6,5,,-6.48,3.5551,3.5551,0.1,16,0.4,,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,
Trey Palmer,TB,WR,6,No,No,No,6,,No,No,,,0.5,,,,,,,15,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Kyren Williams,LA,RB,8,No,No,Yes,6,,Yes,Yes,,,0.1667,,,,,,,16,,,,,,,,,,0.8333,,,,,,,,,,,,,,,,
Tucker Kraft,GB,TE,10,Yes,No,No,10,1,No,No,0.1,6,0.4,6,,-7.093,5.2823,5.2823,0.1111,17,0.5,0.1,,,,,1,,,,1,,,,,,,,,,,,,,,
Payne Durham,TB,TE,2,No,No,No,1,,No,No,,,,,,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Coker,CAR,WR,11,No,Yes,Yes,10,1,No,Yes,0.1,18,0.6,18,,-10.8991,3.183,3.183,0.1,11,,0.4,,,,,1,,1,,1,,,,,,,,,,,,,,,
Dallas Goedert,PHI,TE,5,No,No,No,5,1,No,No,0.2,18,0.6,18,,-12.9732,3.69,3.69,0.2,10,0.2,,,,,,1,,1,0.2,1,,,,,,,,,,,,,,,
Roschon Johnson,CHI,RB,3,Yes,No,No,1,,No,No,,,,,,,,,,13,,,,,,,,,,1,,,,,,,,,,,,,,,,
Cedric Tillman,CLV,WR,6,No,No,No,6,2,No,No,0.3333,22,0.3333,11,,-8.4744,3.4559,3.4559,0.3333,11,,0.6667,,1,0.5,1,1,0.5,,,,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,6,No,No,No,6,2,No,No,0.3333,68,0.1667,34,1,-12.9495,3.3078,3.3078,0.3333,17,,0.6667,1,,,,2,,,0.1667,,,,,,,,,,,,,,,,
Calvin Ridley,TEN,WR,19,No,No,No,19,4,No,No,0.2105,145,0.2105,36.25,4,-14.2528,9.2088,9.2088,0.2353,17,,0.7895,,,,,4,,,,,,,,,,,,,,,,,,,
Chris Godwin,TB,WR,7,No,Yes,Yes,7,1,No,No,0.1429,18,0.4286,18,,-10.8991,1.1406,1.1406,0.1667,7,,0.5714,,,,,1,,,,,,,,,,,,,,,,,,,
Terry McLaurin,WAS,WR,9,No,No,No,9,1,No,No,0.1111,30,0.1111,30,1,-9.194,2.1781,2.1781,0.1111,17,,0.8889,,,,,1,,,,,,,,,,,,,,,,,,,
Jayden Reed,GB,WR,6,Yes,No,No,6,,No,No,,,0.8333,,,,,,,17,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Pitts,ATL,TE,15,No,Yes,Yes,14,3,No,Yes,0.2143,47,0.5714,15.6667,2,-9.1572,5.6268,5.6268,0.2143,17,0.2143,0.2143,,1,0.3333,1,3,0.3333,,,1,,,,,,,,,,,,,,,
Dante Pettis,NO,WR,1,No,No,No,1,,No,No,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,
Will Mallory,IND,TE,2,No,No,No,2,1,No,No,0.5,14,1,14,,-10.2817,3.8724,3.8724,0.5,10,,,,,,,1,,,,,,,,,,,,,,,,,,,
Olamide Zaccheaus,WAS,WR,4,No,No,No,4,,No,No,,,0.5,,,,,,,17,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Tolbert,DAL,WR,13,No,No,No,13,2,No,No,0.1538,73,0.4615,36.5,2,-12.4831,3.2186,3.2186,0.1538,17,,0.5385,,,,,2,,,,,,,,,,,,,,,,,,,
Bub Means,NO,WR,1,No,Yes,No,1,,No,No,,,,,,,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,
Alec Pierce,IND,WR,15,No,No,Yes,15,5,No,No,0.3333,132,0.3333,26.4,3,-12.1241,12.6735,12.6735,0.3333,16,,0.6667,1,2,0.4,1,5,0.2,,,,,,,,,,,,,,,,,,
Drake London,ATL,WR,19,No,Yes,Yes,19,7,No,Yes,0.3684,106,0.4737,15.1429,,-10.3375,10.5957,10.5957,0.3889,17,,0.5263,,,,,3,,,,,,,,,,,,,,,,,,,
Bo Melton,GB,WR,2,Yes,No,No,2,1,No,No,0.5,5,0.5,5,,-6.3628,1.3673,1.3673,1,17,,0.5,,,,,1,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,SF,RB,2,No,Yes,No,2,1,No,No,0.5,3,,3,,-6.5094,1.3707,1.3707,0.5,4,,0.5,,,,,1,,,0.5,,,,,,,,,,,,,,,,
Sterling Shepard,TB,WR,8,No,No,No,7,,No,No,,,0.4286,,,,,,,14,,0.5714,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Shakir,BUF,WR,4,No,No,No,4,1,No,No,0.25,23,0.75,23,1,-10.2174,2.2417,2.2417,0.25,15,,0.25,,,,,1,,,,,,,,,,,,,,,,,,,
Chris Blair,ATL,WR,1,No,Yes,Yes,1,1,No,Yes,1,20,1,20,1,-10.8652,2.1383,2.1383,1,3,,,,,,,1,,,,,,,,,,,,,,,,,,,
Brycen Tremayne,WAS,WR,1,No,No,Yes,1,,No,No,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Robert Woods,HST,WR,3,No,No,No,3,,No,No,,,0.6667,,,,,,,15,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,14,No,No,Yes,14,4,No,No,0.2857,54,0.7857,13.5,1,-8.5099,8.9151,8.9151,0.3333,17,,0.2143,,1,0.25,1,1,0.25,2,,2,,,,,,,,,,,,,,,
Jalen Moreno-Cropper,DAL,WR,1,No,Yes,Yes,1,,No,No,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam LaPorta,DET,TE,10,Yes,No,Yes,10,1,No,No,0.1,15,0.2,15,,-10.6391,2.04,2.04,0.1429,16,0.3,0.5,,,,,1,,,,1,,,,,,,,,,,,,,,
Ross Dwelley,ATL,TE,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,14,,1,,,,,,,,,,,,,,,,,,,,,,,,
Rashod Bateman,BLT,WR,4,No,No,Yes,4,2,No,No,0.5,8,,4,,-5.9064,3.0763,3.0763,0.5,17,,1,1,1,0.5,1,2,0.5,,,1,,,,,,,,,,,,,,,
Grant Calcaterra,PHI,TE,2,No,No,No,2,,No,No,,,,,,,,,,17,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Josh Jacobs,GB,RB,10,Yes,No,No,7,1,No,No,0.1429,-8,,-8,,-4.5287,1.1825,1.1825,0.1111,17,0.1429,0.1429,,,,,,,,0.7143,,,,,,,,,,,,,,,,
Cade Stover,HST,TE,3,No,No,No,2,,No,No,,,,,,,,,,15,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,,,
Jaylen Waddle,MIA,WR,5,No,Yes,Yes,5,2,No,No,0.4,39,0.4,19.5,1,-10.963,3.7949,3.7949,0.6667,15,,0.6,,,,,2,,,,,,,,,,,,,,,,,,,
Tee Higgins,CIN,WR,7,No,No,No,7,,Yes,Yes,,,0.4286,,,,,,,12,,0.5714,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy McNichols,WAS,RB,4,No,No,No,3,,No,No,,,0.6667,,,,,,,17,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,
Jerome Ford,CLV,RB,12,No,No,Yes,11,,Yes,No,,,,,,,,,,14,0.3636,0.3636,,,,,,,,0.2727,,,,,,,,,,,,,,,,
George Pickens,PIT,WR,5,No,No,No,4,2,Yes,Yes,0.5,55,,27.5,1,-10.6814,4.4448,4.4448,0.4,14,,1,,,,,2,,,,,,,,,,,,,,,,,,,
Jermaine Burton,CIN,WR,1,No,Yes,Yes,1,,No,No,,,,,,,,,,14,,1,,,,,,,,,,,,,,,,,,,,,,,,
Pharaoh Brown,SEA,TE,3,No,No,Yes,2,,No,No,,,,,,,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Dowdle,DAL,RB,5,No,No,No,4,,No,No,,,0.25,,,,,,,16,,,,,,,,,,0.75,,,,,,,,,,,,,,,,
Chris Olave,NO,WR,4,Yes,No,No,4,1,Yes,Yes,0.25,17,0.5,17,,-11.6653,1.5826,1.5826,0.3333,8,,0.5,,,,,1,,,,,,,,,,,,,,,,,,,
Ricky Pearsall,SF,WR,9,No,No,Yes,8,3,No,No,0.375,31,0.5,10.3333,,-8.3032,4.8836,4.8836,0.3333,11,,0.5,,,,,3,,,,,,,,,,,,,,,,,,,
Jordan Matthews,CAR,TE,1,Yes,No,No,1,,Yes,Yes,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Chestnut,TEN,RB,1,No,No,No,1,,No,No,,,,,,,,,,14,,,,,,,,,,1,,,,,,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,11,No,No,No,10,2,No,No,0.2,-2,0.7,-1,,-4.8048,5.2285,5.2285,0.2222,17,,0.3,,,,,2,,,,,1,0.5,,,,,,,,,,,,,
Ryan Flournoy,DAL,WR,2,No,No,No,2,,No,No,,,,,,,,,,11,,1,,,,,,,,,,,,,,,,,,,,,,,,
Mike Gesicki,CIN,TE,4,No,No,No,4,,Yes,Yes,,,0.5,,,,,,,17,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
D'Onta Foreman,CLV,RB,2,No,No,Yes,1,,No,No,,,,,,,,,,11,,,,,,,,,,1,,,,,,,,,,,,,,,,
Deebo Samuel,SF,WR,9,Yes,No,No,9,1,No,No,0.1111,14,0.5556,14,,-9.8134,1.7271,1.7271,0.1429,15,,0.2222,1,1,1,1,1,1,,0.2222,,,,,,,,,,,,,,,,
Devin Duvernay,JAX,WR,5,No,No,Yes,5,1,No,No,0.2,42,0.2,42,1,-15,2.768,2.768,0.2,13,,0.8,,,,,1,,,,,,,,,,,,,,,,,,,
Clyde Edwards-Helaire,NO,RB,2,No,No,No,2,,No,No,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,
Dalvin Cook,DAL,RB,2,No,No,No,1,,No,No,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,
Travis Kelce,KC,TE,10,No,No,No,10,3,No,No,0.3,68,0.6,22.6667,1,-12.9437,4.7849,4.7849,0.375,16,0.1,0.3,,,,,3,,,,,,,,,,,,,,,,,,,
Cole Kmet,CHI,TE,5,Yes,No,No,2,1,No,No,0.5,24,1,24,1,-15.442,1.931,1.931,0.25,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Demarcus Robinson,LA,WR,9,No,No,Yes,9,3,No,No,0.3333,58,0.4444,19.3333,1,-11.6955,6.326,6.326,0.375,17,,0.5556,,,,,2,,,,,,,,,,,,,,,,,,,
Tyreek Hill,MIA,WR,7,No,Yes,Yes,7,3,No,No,0.4286,53,0.4286,17.6667,1,-10.8214,5.025,5.025,0.6,17,,0.5714,1,,,,3,,,,1,,,,,,,,,,,,,,,
Zack Moss,CIN,RB,2,No,No,Yes,2,,No,No,,,,,,,,,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,6,No,No,No,5,,No,No,,,0.2,,,,,,,15,,,,,,,,,,0.8,,,,,,,,,,,,,,,,
Brenton Strange,JAX,TE,6,No,No,Yes,5,,No,No,,,0.6,,,,,,,17,,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Derius Davis,LAC,WR,1,No,No,No,1,,No,No,,,1,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Williams,PIT,WR,4,No,No,No,4,2,Yes,Yes,0.5,59,,29.5,1,-12.5476,4.0007,4.0007,0.5,18,,1,,,,,2,,,,,,,,,,,,,,,,,,,
Kylen Granson,IND,TE,9,No,No,Yes,8,2,No,No,0.25,14,0.375,7,,-6.8698,2.8237,2.8237,0.25,17,0.375,0.125,,,,,1,,,0.125,1,,,,,,,,,,,,,,,
Mason Tipton,NO,WR,2,Yes,No,No,2,,No,No,,,0.5,,,,,,,11,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Terrace Marshall,LV,WR,1,No,No,No,1,,No,No,,,,,,,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,
David Njoku,CLV,TE,14,No,Yes,No,14,3,Yes,Yes,0.2143,39,0.4286,13,1,-8.7556,8.3284,8.3284,0.2308,11,0.5,0.0714,1,1,0.3333,,2,,2,,2,,,,,,,,,,,,,,,
Brock Bowers,LV,TE,14,No,No,No,13,5,No,No,0.3846,51,0.4615,10.2,1,-8.4246,11.0946,11.0946,0.3846,17,0.2308,0.3077,2,1,0.2,,3,,1,,2,,,,,,,,,,,,,,,
Jalin Hyatt,NYG,WR,4,No,No,No,4,2,No,No,0.5,84,,42,2,-13.7986,4.4057,4.4057,0.6667,16,,1,,,,,2,,,,,,,,,,,,,,,,,,,
Isaac Guerendo,SF,RB,1,No,No,Yes,1,,No,No,,,,,,,,,,16,,,,,,,,,,1,,,,,,,,,,,,,,,,
Brock Wright,DET,TE,6,Yes,No,Yes,4,1,No,No,0.25,7,,7,,-7.3078,1.5941,1.5941,0.25,17,1,,,,,,1,,,,,,,,,,,,,,,,,,,
A.J. Brown,PHI,WR,4,No,No,No,4,2,No,No,0.5,26,0.25,13,,-9.4983,3.4565,3.4565,0.5,13,,0.75,,,,,1,,1,,1,,,,,,,,,,,,,,,
Luke McCaffrey,WAS,WR,5,No,No,No,4,2,No,No,0.5,29,0.75,14.5,,-10.1116,3.5357,3.5357,0.4,17,,0.25,,,,,1,,,,,,,,,,,,,,,,,,,
Jamaal Williams,NO,RB,4,No,No,No,3,,No,No,,,0.6667,,,,2.3299,2.3299,,14,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,
Ke'Shawn Vaughn,SF,RB,1,No,No,Yes,1,,No,No,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
Brandin Cooks,DAL,WR,4,No,No,No,4,2,No,No,0.5,45,0.75,22.5,1,-10.6814,4.4465,4.4465,0.5,10,,0.25,,,,,2,,,,,,,,,,,,,,,,,,,
Rashid Shaheed,NO,WR,6,No,No,No,5,4,No,No,0.8,81,0.4,20.25,3,-10.4455,7.6352,7.6352,0.8,6,,0.6,1,,,,4,,,,,,,,,,,,,,,,,,,
Justin Jefferson,MIN,WR,12,Yes,No,Yes,12,5,No,No,0.4167,64,0.0833,12.8,1,-8.9376,11.0275,11.0275,0.4545,17,,0.9167,1,,,,4,,2,,2,,,,,,,,,,,,,,,
Ryan Miller,TB,WR,2,No,No,No,2,1,No,No,0.5,27,0.5,27,1,-11.9133,2.0262,2.0262,0.5,11,,0.5,1,1,1,,1,,,,,,,,,,,,,,,,,,,
Greg Dulcich,NYG,TE,2,No,No,No,1,,No,No,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Reynolds,DET,RB,1,Yes,No,Yes,1,,No,No,,,,,,,,,,14,,,,,,,,,,1,,,,,,,,,,,,,,,,
Johnny Mundt,MIN,TE,5,Yes,No,Yes,5,,No,No,,,0.6,,,,,,,17,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
