Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,DropsTotal,TargetedReadFirstTotal,AveragesPerTargetDropsTotal,TargetsInEndzone,AlignmentBackfieldRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Harrison Bryant,LV,TE,4,No,No,No,3,1,No,No,0.3333,21,1,21,1,-12.9635,1.7778,1.7778,0.25,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Tylan Wallace,BLT,WR,1,No,No,Yes,1,,No,No,,,1,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonnu Smith,MIA,TE,6,No,Yes,Yes,5,,No,No,,,0.4,,,,1.5238,1.5238,,17,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Adam Thielen,CAR,WR,6,No,Yes,Yes,6,4,No,Yes,0.6667,88,0.8333,22,3,-9.9529,7.274,7.274,0.6667,10,,0.1667,1,1,0.25,1,3,0.25,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,11,Yes,No,Yes,11,1,No,No,0.0909,10,0.6364,10,,-7.5,1.46,1.46,0.1111,17,,0.3636,1,1,1,,1,,,,,,,,,,,,,,,,,,,
David Moore,CAR,WR,7,No,Yes,Yes,6,,No,Yes,,,0.1667,,,,,,,17,,0.8333,,,,,,,,,,,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,4,No,No,Yes,4,2,No,No,0.5,33,0.5,16.5,1,-8.7441,4.3629,4.3629,0.5,17,,0.5,,,,,2,,,,,,,,,,,,,,,,,,,
Josh Palmer,LAC,WR,2,No,No,No,2,1,No,No,0.5,26,,26,1,-13.0114,2.5905,2.5905,0.5,15,,1,,,,,1,,1,,,,,,,,,,,,,,,,,
Antonio Gibson,NE,RB,4,No,No,No,4,1,No,No,0.25,,,,,-5.8271,1.3082,1.3082,0.3333,17,,,,,,,,,,1,,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,5,No,Yes,Yes,3,1,No,Yes,0.3333,11,1,11,,-8.7402,1.572,1.572,0.2,16,,,,,,,1,,,,,,,,,,,,,,,,,,,
Mason Kinsey,TEN,WR,1,No,No,No,1,,No,No,,,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Wilson,MIA,RB,1,No,Yes,Yes,1,,No,No,,,,,,,,,,9,,,,,,,,,,1,,,,,,,,,,,,,,,,
Dyami Brown,WAS,WR,3,No,No,No,3,,No,No,,,0.3333,,,,,,,16,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,11,No,Yes,Yes,11,5,No,No,0.4545,56,0.3636,11.2,1,-8.4886,8.8652,8.8652,0.5,17,,0.6364,1,2,0.4,1,5,0.2,,,1,,,,,,,,,,,,,,,
Blake Whiteheart,CLV,TE,5,No,No,Yes,4,1,No,No,0.25,16,0.25,16,,-10.191,1.935,1.935,0.2,11,0.5,,,,,,1,,,0.25,,,,,,,,,,,,,,,,
Johnny Wilson,PHI,WR,1,No,No,No,1,,No,No,,,1,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Johnston,LAC,WR,2,No,No,No,2,1,No,No,0.5,32,,32,1,-9.9663,1.8616,1.8616,0.5,15,,1,,,,,1,,,,,,,,,,,,,,,,,,,
Xavier Worthy,KC,WR,9,No,No,No,9,2,No,No,0.2222,44,0.3333,22,2,-11.9241,3.3385,3.3385,0.2857,17,,0.6667,1,1,0.5,,2,,,,,,,,,,,,,,,,,,,
Rachaad White,TB,RB,10,No,No,No,7,,No,No,,,0.1429,,,,,,,16,,0.1429,,,,,,,,0.7143,,,,,,,,,,,,,,,,
Cam Grandy,CIN,TE,1,No,No,No,1,,Yes,Yes,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Moore,CLV,WR,18,No,No,Yes,18,7,No,No,0.3889,98,0.6111,14,1,-9.1553,11.9249,11.9249,0.4118,17,,0.3889,,1,0.1429,1,7,0.1429,1,,,,,,,,,,,,,,,,,
AJ Barner,SEA,TE,4,No,No,Yes,3,1,No,No,0.3333,-1,,-1,,-4.9014,3.5281,3.5281,0.25,17,0.6667,0.3333,,,,,1,,,,1,,,,,,,,,,,,,,,
Zach Charbonnet,SEA,RB,8,No,No,Yes,5,1,No,No,0.2,,,,,-5.8271,1.3899,1.3899,0.1429,17,0.2,,,,,,,,,0.8,,,,,,,,,,,,,,,,
Chuba Hubbard,CAR,RB,12,No,Yes,No,9,,No,No,,,0.1111,,,,,,,15,,0.2222,,,,,,,,0.6667,,,,,,,,,,,,,,,,
Derrick Henry,BLT,RB,2,No,No,Yes,1,,No,No,,,,,,,,,,17,,,,,,,,,,1,,,,,,,,,,,,,,,,
Brandon Powell,MIN,WR,4,Yes,No,Yes,4,,No,No,,,0.5,,,,,,,17,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,3,No,No,No,2,,No,No,,,,,,,,,,13,,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,,
Ty Johnson,BUF,RB,3,No,No,No,3,,No,No,,,,,,,,,,17,,,,,,,,,,1,,,,,,,,,,,,,,,,
Van Jefferson,PIT,WR,4,No,No,No,4,,Yes,Yes,,,0.25,,,,,,,17,,0.75,,,,,,,,,,,,,,,,,,,,,,,,
