Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentBackfieldRoutesPercentage,playerStatsXfpPprTotal,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Xavier Legette,CAR,WR,24,Yes,Yes,Yes,23,No,No,0.3478,0.6522,16,,,,,,,,,,,,,,,,
J.J. Taylor,HST,RB,1,Yes,Yes,No,1,No,No,,,4,,1,,,,,,,,,,,,,,
Craig Reynolds,DET,RB,1,No,Yes,No,1,No,No,,,14,,1,,,,,,,,,,,,,,
Johnny Mundt,MIN,TE,10,No,Yes,No,7,No,No,0.4286,0.2857,17,0.2857,,,,,,,,,,,,,,,
Durham Smythe,MIA,TE,6,No,Yes,Yes,3,No,No,0.6667,,17,0.3333,,,,,,,,,,,,,,,
Greg Dulcich,NYG,TE,7,No,No,No,6,No,No,0.5,0.3333,9,0.1667,,,,,,,,,,,,,,,
Justin Jefferson,MIN,WR,29,No,Yes,No,28,No,No,0.2143,0.7857,17,,,0.5335,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Rashid Shaheed,NO,WR,6,Yes,Yes,No,6,No,No,,1,6,,,,,,,,,,,,,,,,
Brenton Strange,JAX,TE,15,No,Yes,Yes,14,No,No,0.5714,0.1429,17,0.2857,,,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,34,Yes,Yes,No,30,No,No,,,15,,1,,,,,,,,,,,,,,
Zack Moss,CIN,RB,9,Yes,Yes,No,5,No,No,,,8,,1,,,,,,,,,,,,,,
Tyreek Hill,MIA,WR,18,No,Yes,Yes,17,No,No,0.3529,0.6471,17,,,,,,,,,,,,,,,,
Demarcus Robinson,LA,WR,4,Yes,Yes,No,4,No,No,0.75,0.25,17,,,,,,,,,,,,,,,,
Travis Kelce,KC,TE,36,No,Yes,No,31,No,No,0.5484,0.2581,16,0.1935,,,,,,,,,,,,,,,
Cole Kmet,CHI,TE,41,No,Yes,No,33,No,No,0.6667,0.1515,17,0.1818,,,,,,,,,,,,,,,
Kimani Vidal,LAC,RB,6,Yes,No,No,5,No,No,,,10,,1,,,,,,,,,,,,,,
Mason Tipton,NO,WR,10,No,No,Yes,10,No,No,0.5,0.5,11,,,,,,,,,,,,,,,,
Kylen Granson,IND,TE,9,No,Yes,Yes,8,No,No,0.625,0.125,17,0.25,,,,,,,,,,,,,,,
Devin Thompkins,CAR,WR,1,No,Yes,No,1,No,No,1,,7,,,,,,,,,,,,,,,,
Terrace Marshall,LV,WR,1,Yes,No,No,1,No,No,,1,7,,,,,,,,,,,,,,,,
Mike Williams,PIT,WR,13,No,Yes,No,13,No,No,0.2308,0.7692,18,,,,,,,,,,,,,,,,
Derius Davis,LAC,WR,4,Yes,No,No,4,No,No,0.5,0.5,15,,,,,,,,,,,,,,,,
Dalton Schultz,HST,TE,33,No,Yes,No,28,No,No,0.25,0.0357,17,0.6786,0.0357,,,,,,,,,,,,,,
George Kittle,SF,TE,33,No,No,No,28,No,No,0.2857,0.1071,15,0.6071,,,,,,,,,,,,,,,
Keenan Allen,CHI,WR,43,No,Yes,No,43,No,No,0.5116,0.4884,15,,,,,,,,,,,,,,,,
Isaiah Likely,BLT,TE,27,No,Yes,No,24,No,No,0.5,0.0417,16,0.4583,,,,,,,,,,,,,,,
Ja'Lynn Polk,NE,WR,18,Yes,Yes,No,18,No,No,0.1667,0.8333,15,,,,,,,,,,,,,,,,
Jared Wiley,KC,TE,2,No,No,No,1,No,No,1,,7,,,,,,,,,,,,,,,,
James Cook,BUF,RB,17,No,Yes,No,15,No,No,0.2,,16,,0.8,,,,,,,,,,,,,,
Treylon Burks,TEN,WR,3,No,Yes,No,3,No,No,0.3333,0.6667,5,,,,,,,,,,,,,,,,
Jordan Akins,CLV,TE,18,No,Yes,No,15,No,No,0.3333,0.1333,17,0.5333,,,,,,,,,,,,,,,
Nick Vannett,TEN,TE,9,No,Yes,No,5,No,No,,,17,1,,,,,,,,,,,,,,,
Noah Fant,SEA,TE,16,Yes,Yes,No,16,No,No,0.6875,0.125,14,0.1875,,,,,,,,,,,,,,,
CeeDee Lamb,DAL,WR,10,No,Yes,No,9,No,No,0.6667,0.3333,16,,,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,17,No,Yes,No,14,No,No,0.1429,0.1429,16,,0.7143,,,,,,,,,,,,,,
Romeo Doubs,GB,WR,15,No,Yes,Yes,14,No,No,0.0714,0.9286,13,,,,,,,,,,,,,,,,
Ray Davis,BUF,RB,9,No,Yes,No,8,No,No,,,17,,1,,,,,,,,,,,,,,
DeeJay Dallas,ARZ,RB,3,No,No,No,3,No,No,,,16,,1,,,,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,17,Yes,No,No,16,No,No,0.5,0.5,14,,,,,,,,,,,,,,,,
Ladd McConkey,LAC,WR,26,Yes,No,No,25,No,No,0.76,0.24,16,,,,,,,,,,,,,,,,
Kendric Pryor,CIN,WR,1,No,Yes,No,1,No,No,,1,2,,,,,,,,,,,,,,,,
C.J. Uzomah,PHI,TE,2,No,Yes,No,1,No,No,1,,7,,,,,,,,,,,,,,,,
Chig Okonkwo,TEN,TE,20,No,Yes,No,20,No,No,0.4,0.3,17,0.3,,,,,,,,,,,,,,,
Gerald Everett,CHI,TE,11,No,Yes,No,10,No,No,0.6,0.1,17,0.3,,,,,,,,,,,,,,,
Lucas Krull,DEN,TE,21,Yes,No,No,21,No,No,0.4286,0.2381,13,0.3333,,,,,,,,,,,,,,,
Tyler Johnson,LA,WR,2,Yes,Yes,No,2,No,No,,1,15,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,7,No,No,No,6,No,No,,,15,,1,,,,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,2,Yes,No,Yes,2,No,No,0.5,0.5,3,,,,,,,,,,,,,,,,
Zamir White,LV,RB,2,No,Yes,No,1,No,No,,,8,,1,,,,,,,,,,,,,,
Ameer Abdullah,LV,RB,4,No,Yes,No,4,No,No,,,16,,1,,,,,,,,,,,,,,
Devaughn Vele,DEN,WR,25,Yes,No,No,24,No,No,0.75,0.25,13,,,,,,,,,,,,,,,,
Khalil Herbert,CIN,RB,2,No,Yes,No,2,No,No,,,13,,1,,,,,,,,,,,,,,
Trey Sermon,IND,RB,7,No,Yes,Yes,3,No,No,0.3333,,17,,0.6667,,,,,,,,,,,,,,
Josh Downs,IND,WR,18,No,Yes,Yes,17,No,No,0.8824,0.1176,14,,,,,,,,,,,,,,,,
Foster Moreau,NO,TE,19,No,Yes,No,16,No,No,0.3125,0.125,17,0.5625,,,,,,,,,,,,,,,
Tyler Allgeier,ATL,RB,1,Yes,Yes,Yes,1,No,No,,,17,,1,,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,3,No,Yes,Yes,3,No,No,,0.3333,13,,0.6667,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,46,No,Yes,No,45,No,No,0.4444,0.5556,17,,,,,,,,,,,,,,,,
Bucky Irving,TB,RB,13,No,Yes,No,11,No,No,0.0909,,17,,0.9091,,,,,,,,,,,,,,
D.J. Moore,CHI,WR,49,No,Yes,No,49,No,No,0.3469,0.6531,17,,,,,,,,,,,,,,,,
Keaton Mitchell,BLT,RB,3,No,Yes,No,3,No,No,0.3333,0.3333,4,,0.3333,,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,11,No,Yes,No,10,No,No,,0.1,12,,0.9,,,,,,,,,,,,,,
Josh Oliver,MIN,TE,14,No,Yes,No,10,No,No,0.2,,15,0.8,,,,,,,,,,,,,,,
Michael Carter,ARZ,RB,4,No,No,No,3,No,No,,,3,,1,,,,,,,,,,,,,,
Marquise Brown,KC,WR,1,No,Yes,No,1,No,No,1,,2,,,,,,,,,,,,,,,,
Jalen Nailor,MIN,WR,14,No,Yes,No,14,No,No,0.3571,0.6429,17,,,,,,,,,,,,,,,,
John Metchie,HST,WR,10,No,Yes,No,10,No,No,0.8,0.2,13,,,,,,,,,,,,,,,,
Jamison Crowder,WAS,WR,9,No,Yes,Yes,8,No,No,1,,6,,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,2,No,Yes,Yes,2,No,No,1,,17,,,,,,,,,,,,,,,,
Tyler Badie,DEN,RB,1,No,Yes,No,1,No,No,,,3,,1,,,,,,,,,,,,,,
Jordan Mims,NO,RB,2,No,Yes,No,2,No,No,,0.5,9,,0.5,,,,,,,,,,,,,,
Jalen Brooks,DAL,WR,4,No,Yes,Yes,4,No,No,,1,14,,,,,,,,,,,,,,,,
Kevin Austin,NO,WR,7,No,Yes,No,6,No,No,0.5,0.5,8,,,,,,,,,,,,,,,,
Kenneth Gainwell,PHI,RB,15,No,No,No,13,No,No,,0.2308,17,,0.7692,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,15,No,Yes,No,14,No,No,0.7857,0.0714,17,0.1429,,,,,,,,,,,,,,,
David Montgomery,DET,RB,4,No,Yes,No,3,No,No,,,14,,1,,,,,,,,,,,,,,
Mack Hollins,BUF,WR,33,No,Yes,No,32,No,No,0.25,0.7188,17,0.0312,,,,,,,,,,,,,,,
Tyler Boyd,TEN,WR,23,No,Yes,No,23,No,No,0.8696,0.1304,16,,,,,,,,,,,,,,,,
Hassan Haskins,LAC,RB,9,Yes,No,No,8,No,No,0.125,,15,,0.875,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,7,No,Yes,Yes,5,No,No,0.6,0.2,17,0.2,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,14,No,Yes,No,11,No,No,,0.1818,15,0.0909,0.7273,,,,,,,,,,,,,,
Kendrick Bourne,NE,WR,27,No,Yes,No,25,No,No,0.16,0.84,12,,,,,,,,,,,,,,,,
Teagan Quitoriano,HST,TE,2,No,Yes,No,1,No,No,,,7,1,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,2,No,Yes,Yes,2,No,No,,1,15,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,30,No,No,No,30,No,No,0.5333,0.4667,15,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,25,Yes,Yes,Yes,22,No,No,0.4545,0.1818,16,0.3182,0.0455,,,,,,,,,,,,,,
Quintin Morris,BUF,TE,3,No,Yes,No,3,No,No,0.3333,0.3333,16,0.3333,,,,,,,,,,,,,,,
Jake Bobo,SEA,WR,9,Yes,Yes,No,8,No,No,0.375,0.625,17,,,,,,,,,,,,,,,,
Connor Heyward,PIT,TE,8,No,Yes,No,6,No,No,0.5,0.1667,16,0.1667,0.1667,,,,,,,,,,,,,,
Parris Campbell,PHI,WR,3,No,Yes,No,3,No,No,0.3333,0.6667,5,,,,,,,,,,,,,,,,
Adonai Mitchell,IND,WR,10,No,Yes,Yes,10,No,No,0.3,0.7,17,,,,,,,,,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,20,No,Yes,No,19,No,No,0.3158,0.6842,17,,,,,,,,,,,,,,,,
Marquez Valdes-Scantling,NO,WR,14,No,Yes,No,14,No,No,0.1429,0.8571,14,,,,,,,,,,,,,,,,
Miles Sanders,CAR,RB,8,Yes,Yes,Yes,7,No,No,0.1429,,11,,0.8571,,,,,,,,,,,,,,
Charlie Jones,CIN,WR,1,Yes,Yes,No,1,No,No,1,,8,,,,,,,,,,,,,,,,
Rasheen Ali,BLT,RB,2,No,Yes,No,2,No,No,0.5,,5,,0.5,,,,,,,,,,,,,,
Will Dissly,LAC,TE,18,Yes,No,No,16,No,No,0.375,0.0625,15,0.5625,,,,,,,,,,,,,,,
KhaDarel Hodge,ATL,WR,1,Yes,Yes,Yes,1,No,No,,1,16,,,,,,,,,,,,,,,,
Jamari Thrash,CLV,WR,4,No,Yes,No,4,No,No,0.5,0.5,9,,,,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,26,No,Yes,No,14,No,No,0.1429,0.0714,16,,0.7857,,,,,,,,,,,,,,
Evan Engram,JAX,TE,14,No,Yes,No,13,No,No,0.6923,0.0769,9,0.2308,,,,,,,,,,,,,,,
Samaje Perine,KC,RB,19,Yes,No,No,17,No,No,,,17,,1,,,,,,,,,,,,,,
Jordan Whittington,LA,WR,1,Yes,Yes,No,1,No,No,,1,15,,,,,,,,,,,,,,,,
Josh Whyle,TEN,TE,12,No,Yes,No,11,No,No,0.5455,,17,0.4545,,,,,,,,,,,,,,,
Travis Etienne,JAX,RB,16,No,Yes,Yes,12,No,No,,0.25,15,,0.75,,,,,,,,,,,,,,
J.K. Dobbins,LAC,RB,14,Yes,No,No,9,No,No,,,13,,1,,,,,,,,,,,,,,
Emari Demercado,ARZ,RB,9,No,Yes,No,9,No,No,,,13,,1,,,,,,,,,,,,,,
Equanimeous St. Brown,NO,WR,2,No,Yes,No,2,No,No,1,,2,,,,,,,,,,,,,,,,
Jake Ferguson,DAL,TE,7,No,Yes,Yes,7,No,No,0.8571,,14,0.1429,,,,,,,,,,,,,,,
Davante Adams,NYJ,WR,14,No,Yes,Yes,14,No,No,0.2857,0.7143,14,,,,,,,,,,,,,,,,
Dare Ogunbowale,HST,RB,13,No,Yes,No,12,No,No,,0.0833,17,,0.9167,,,,,,,,,,,,,,
Nico Collins,HST,WR,19,No,Yes,No,19,No,No,0.0526,0.9474,12,,,,,,,,,,,,,,,,
Jerry Jeudy,CLV,WR,31,No,Yes,No,30,No,No,0.2667,0.7333,17,,,,,,,,,,,,,,,,
Ronnie Rivers,LA,RB,1,Yes,Yes,No,1,No,No,,,6,,1,,,,,,,,,,,,,,
Amari Cooper,BUF,WR,32,Yes,Yes,No,31,No,No,0.3548,0.6452,14,,,,,,,,,,,,,,,,
Darius Slayton,NYG,WR,23,No,No,No,23,No,No,0.2174,0.7826,16,,,,,,,,,,,,,,,,
Jonathon Brooks,CAR,RB,1,No,Yes,Yes,1,No,No,,,3,,1,,,,,,,,,,,,,,
Blake Watson,DEN,RB,1,No,No,No,1,No,No,,,2,,1,,,,,,,,,,,,,,
Chris Brooks,GB,RB,4,No,Yes,No,4,No,No,0.25,,13,,0.75,,,,,,,,,,,,,,
Dallin Holker,NO,TE,3,No,Yes,No,3,No,No,0.3333,0.3333,12,0.3333,,,,,,,,,,,,,,,
Christian Watson,GB,WR,12,No,Yes,No,12,No,No,0.1667,0.8333,15,,,,,,,,,,,,,,,,
James Conner,ARZ,RB,19,No,Yes,No,12,No,No,,0.1667,16,,0.8333,,,,,,,,,,,,,,
Sincere McCormick,LV,RB,3,No,No,No,2,No,No,,,4,,1,,,,,,,,,,,,,,
K.J. Osborn,WAS,WR,11,No,Yes,No,11,No,No,0.0909,0.9091,9,,,,,,,,,,,,,,,,
Tyler Conklin,NYJ,TE,13,No,Yes,Yes,13,No,No,0.8462,0.0769,16,0.0769,,,,,,,,,,,,,,,
Justice Hill,BLT,RB,25,Yes,Yes,No,21,No,No,0.1905,,16,,0.8095,,,,,,,,,,,,,,
Adam Trautman,DEN,TE,23,Yes,No,No,10,No,No,0.2,0.1,17,0.7,,,,,,,,,,,,,,,
D'Andre Swift,CHI,RB,36,No,Yes,No,27,No,No,0.037,0.2963,17,,0.6667,,,,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,22,No,Yes,No,22,No,No,0.3636,0.6364,17,,,,,,,,,,,,,,,,
Tommy Tremble,CAR,TE,20,Yes,Yes,Yes,17,No,No,0.2941,0.2353,12,0.4706,,,,,,,,,,,,,,,
Jonathan Mingo,DAL,WR,13,No,Yes,Yes,12,No,No,0.25,0.75,17,,,,,,,,,,,,,,,,
Cooper Kupp,LA,WR,3,No,Yes,No,3,No,No,1,,12,,,,,,,,,,,,,,,,
Hunter Long,LA,TE,1,Yes,Yes,No,1,No,No,,1,17,,,,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,44,No,Yes,No,43,No,No,0.0698,0.907,15,0.0233,,,,,,,,,,,,,,,
Ben Sims,GB,TE,2,No,Yes,No,2,No,No,,,16,1,,,,,,,,,,,,,,,
DeAndre Carter,CHI,WR,5,No,No,Yes,5,No,No,0.8,0.2,13,,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,33,No,Yes,No,29,No,No,0.4483,0.5517,16,,,,,,,,,,,,,,,,
Ian Thomas,CAR,TE,1,Yes,No,Yes,1,No,No,,,5,1,,,,,,,,,,,,,,,
Zay Flowers,BLT,WR,39,No,Yes,No,36,No,No,0.3056,0.6944,17,,,,,,,,,,,,,,,,
Jahmyr Gibbs,DET,RB,10,No,Yes,No,7,No,No,,0.2857,17,,0.7143,,,,,,,,,,,,,,
Odell Beckham,MIA,WR,4,Yes,Yes,No,4,No,No,1,,9,,,,,,,,,,,,,,,,
Cody White,SEA,WR,1,No,Yes,No,1,No,No,,1,4,,,,,,,,,,,,,,,,
D.J. Turner,LV,WR,3,No,No,No,3,No,No,1,,12,,,,,,,,,,,,,,,,
Dalton Kincaid,BUF,TE,16,Yes,Yes,No,14,No,No,0.7143,,13,0.2143,0.0714,,,,,,,,,,,,,,
Jakobi Meyers,LV,WR,17,Yes,No,No,17,No,No,0.4706,0.5294,15,,,,,,,,,,,,,,,,
Hunter Henry,NE,TE,45,Yes,Yes,No,42,No,No,0.3571,0.0238,16,0.619,,,,,,,,,,,,,,,
Nelson Agholor,BLT,WR,10,No,No,No,8,No,No,0.25,0.625,14,0.125,,,,,,,,,,,,,,,
Josh Reynolds,JAX,WR,13,No,Yes,Yes,13,No,No,0.1538,0.8462,9,,,,,,,,,,,,,,,,
Noah Gray,KC,TE,16,Yes,No,No,14,No,No,0.5714,0.0714,17,0.3571,,,,,,,,,,,,,,,
Gabe Davis,JAX,WR,13,Yes,Yes,No,12,No,No,0.25,0.75,10,,,,,,,,,,,,,,,,
Brian Thomas,JAX,WR,24,No,Yes,Yes,24,No,No,0.25,0.75,17,,,,,,,,,,,,,,,,
DeAndre Hopkins,KC,WR,22,No,Yes,No,21,No,No,0.1905,0.8095,16,,,,,,,,,,,,,,,,
Tim Patrick,DET,WR,7,No,Yes,No,7,No,No,0.1429,0.8571,16,,,,,,,,,,,,,,,,
Ezekiel Elliott,DAL,RB,3,No,Yes,No,3,No,No,0.3333,,15,,0.6667,,,,,,,,,,,,,,
Stone Smartt,LAC,TE,8,Yes,No,No,7,No,No,0.2857,0.2857,14,0.4286,,,,,,,,,,,,,,,
Eric Tomlinson,LAC,TE,2,No,Yes,No,2,No,No,,,9,1,,,,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,11,No,Yes,No,11,No,No,0.2727,,10,0.7273,,,,,,,,,,,,,,,
Simi Fehoko,LAC,WR,4,No,Yes,No,4,No,No,,1,8,,,,,,,,,,,,,,,,
Xavier Hutchinson,HST,WR,15,No,Yes,No,15,No,No,0.2,0.8,16,,,,,,,,,,,,,,,,
Michael Pittman,IND,WR,23,No,Yes,Yes,21,No,No,0.2381,0.7619,16,,,,,,,,,,,,,,,,
Malik Washington,MIA,WR,12,No,Yes,Yes,11,No,No,0.5455,0.4545,14,,,,,,,,,,,,,,,,
Tyler Goodson,IND,RB,4,No,Yes,Yes,2,No,No,,,16,,1,,,,,,,,,,,,,,
Jordan Mason,SF,RB,15,No,Yes,No,12,No,No,,,12,,1,,,,,,,,,,,,,,
Feleipe Franks,CAR,TE,1,Yes,Yes,Yes,1,No,No,,,15,1,,,,,,,,,,,,,,,
Tre Tucker,LV,WR,17,Yes,No,No,17,No,No,0.2353,0.7647,17,,,,,,,,,,,,,,,,
Grant DuBose,MIA,WR,1,Yes,Yes,No,1,No,No,,1,3,,,,,,,,,,,,,,,,
Tim Jones,JAX,WR,3,No,Yes,Yes,1,No,No,,1,16,,,,,,,,,,,,,,,,
Jonathan Taylor,IND,RB,13,No,Yes,Yes,11,No,No,,0.0909,14,,0.9091,,,,,,,,,,,,,,
Troy Franklin,DEN,WR,21,Yes,No,No,21,No,No,0.381,0.619,16,,,,,,,,,,,,,,,,
Javon Baker,NE,WR,4,No,Yes,No,4,No,No,,1,10,,,,,,,,,,,,,,,,
Audric Estime,DEN,RB,4,Yes,No,No,2,No,No,,,13,,1,,,,,,,,,,,,,,
Charlie Kolar,BLT,TE,4,No,Yes,No,4,No,No,,,13,1,,,,,,,,,,,,,,,
Darnell Washington,PIT,TE,18,No,Yes,No,15,No,No,0.2,0.1333,17,0.6667,,,,,,,,,,,,,,,
Zach Ertz,WAS,TE,57,No,Yes,Yes,56,No,No,0.5357,0.0714,17,0.375,0.0179,,,,,,,,,,,,,,
Davis Allen,LA,TE,2,Yes,Yes,No,1,No,No,,,14,1,,,,,,,,,,,,,,,
John Samuel Shenker,LV,TE,1,No,Yes,No,1,No,No,1,,7,,,,,,,,,,,,,,,,
Javonte Williams,DEN,RB,27,Yes,No,No,22,No,No,,,17,0.0455,0.9545,,,,,,,,,,,,,,
River Cracraft,MIA,WR,4,No,Yes,Yes,4,No,No,,1,8,,,,,,,,,,,,,,,,
Cam Akers,MIN,RB,9,No,Yes,No,8,No,No,0.125,,16,,0.875,,,,,,,,,,,,,,
JaMycal Hasty,NE,RB,7,Yes,Yes,No,5,No,No,,,13,,1,,,,,,,,,,,,,,
Greg Dortch,ARZ,WR,18,No,No,No,17,No,No,0.5882,0.3529,17,,0.0588,,,,,,,,,,,,,,
Terrell Jennings,NE,RB,1,No,Yes,No,1,No,No,,1,2,,,,,,,,,,,,,,,,
Tip Reiman,ARZ,TE,16,No,No,No,13,No,No,,0.0769,17,0.9231,,,,,,,,,,,,,,,
Courtland Sutton,DEN,WR,48,Yes,No,No,46,No,No,0.2174,0.7826,17,,,,,,,,,,,,,,,,
Kenneth Walker,SEA,RB,10,No,Yes,No,6,No,No,0.1667,0.3333,11,,0.5,,,,,,,,,,,,,,
Tyrell Shavers,BUF,WR,1,Yes,Yes,No,1,No,No,,1,3,,,,,,,,,,,,,,,,
DJ Chark,LAC,WR,3,Yes,No,No,3,No,No,,1,7,,,,,,,,,,,,,,,,
De'Von Achane,MIA,RB,12,No,Yes,Yes,8,No,No,0.125,0.25,17,,0.625,,,,,,,,,,,,,,
Mike Evans,TB,WR,29,No,Yes,No,29,No,No,0.4138,0.5862,14,,,,,,,,,,,,,,,,
Jordan Addison,MIN,WR,24,No,Yes,No,23,No,No,0.2609,0.7391,15,,,,,,,,,,,,,,,,
Tyler Lockett,SEA,WR,22,Yes,Yes,No,22,No,No,0.2273,0.7727,17,,,,,,,,,,,,,,,,
Keon Coleman,BUF,WR,21,No,Yes,No,21,No,No,0.0952,0.9048,13,,,,,,,,,,,,,,,,
Lil'Jordan Humphrey,DEN,WR,24,Yes,No,No,22,No,No,0.5455,0.4545,17,,,,,,,,,,,,,,,,
Xavier Gipson,NYJ,WR,2,No,Yes,Yes,2,No,No,1,,17,,,,,,,,,,,,,,,,
Cedrick Wilson,NO,WR,15,No,Yes,No,14,No,No,0.2857,0.7143,15,,,,,,,,,,,,,,,,
Tank Bigsby,JAX,RB,8,No,Yes,Yes,6,No,No,,,16,,1,,,,,,,,,,,,,,
Mike Woods,CLV,WR,7,No,Yes,No,6,No,No,0.3333,0.6667,5,,,,,,,,,,,,,,,,
Joseph Fortson,KC,TE,2,No,No,No,2,No,No,1,,3,,,,,,,,,,,,,,,,
Sean Tucker,TB,RB,3,No,Yes,No,3,No,No,,0.3333,17,,0.6667,,,,,,,,,,,,,,
Ramel Keyton,LV,WR,2,Yes,No,No,2,No,No,,1,8,,,,,,,,,,,,,,,,
Bryce Oliver,TEN,WR,3,No,Yes,No,3,No,No,0.3333,0.6667,10,,,,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,6,No,Yes,Yes,5,No,No,0.4,,17,0.6,,,,,,,,,,,,,,,
Devin Culp,TB,TE,3,No,Yes,No,3,No,No,0.6667,,5,0.3333,,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,15,No,No,No,11,No,No,0.2727,0.0909,17,,0.6364,,,,,,,,,,,,,,
Michael Mayer,LV,TE,11,Yes,No,No,10,No,No,0.2,0.3,11,0.5,,,,,,,,,,,,,,,
Marvin Harrison,ARZ,WR,33,No,No,No,32,No,No,0.2188,0.7812,17,,,,,,,,,,,,,,,,
Collin Johnson,CHI,WR,1,No,Yes,No,1,No,No,1,,9,,,,,,,,,,,,,,,,
Jaylen Wright,MIA,RB,3,No,Yes,Yes,2,No,No,0.5,,15,,0.5,,,,,,,,,,,,,,
Rashee Rice,KC,WR,7,No,Yes,No,6,No,No,0.3333,0.6667,4,,,,,,,,,,,,,,,,
Ty Chandler,MIN,RB,3,No,Yes,Yes,3,No,No,,,15,0.3333,0.6667,,,,,,,,,,,,,,
Austin Hooper,NE,TE,31,No,Yes,No,26,No,No,0.0769,0.0769,17,0.8462,,,,,,,,,,,,,,,
Britain Covey,PHI,WR,5,No,Yes,No,5,No,No,0.8,0.2,5,,,,,,,,,,,,,,,,
Justin Watson,KC,WR,26,Yes,No,No,26,No,No,0.3462,0.6538,17,,,,,,,,,,,,,,,,
Aaron Jones,MIN,RB,21,No,Yes,No,17,No,No,,0.1176,17,,0.8824,,,,,,,,,,,,,,
Luke Farrell,JAX,TE,3,No,Yes,Yes,3,No,No,,,17,1,,,,,,,,,,,,,,,
Luke Musgrave,GB,TE,3,No,Yes,No,3,No,No,0.3333,0.3333,7,0.3333,,,,,,,,,,,,,,,
Christian Kirk,JAX,WR,7,Yes,Yes,No,7,No,No,1,,8,,,,,,,,,,,,,,,,
Puka Nacua,LA,WR,2,No,Yes,No,2,No,No,,1,11,,,,,,,,,,,,,,,,
Joe Mixon,HST,RB,17,No,Yes,No,13,No,No,,,14,,1,,,,,,,,,,,,,,
