Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AlignmentInlineRoutesPercentage
Sterling Shepard,TB,WR,17,Yes,Yes,Yes,17,No,No,,14,0.4706,0.5294,
Christian McCaffrey,SF,RB,6,No,No,No,4,No,No,1,4,,,
Ross Dwelley,ATL,TE,2,No,Yes,No,2,No,No,,14,0.5,,0.5
Parker Hesse,DET,TE,2,No,Yes,Yes,2,No,No,,5,0.5,0.5,
D'Wayne Eskridge,MIA,WR,1,Yes,Yes,No,1,No,No,,6,,1,
Sam LaPorta,DET,TE,31,Yes,Yes,No,29,No,No,0.0345,16,0.4828,0.2069,0.2759
Jaxon Smith-Njigba,SEA,WR,53,No,Yes,No,53,No,No,,17,0.8868,0.1132,
Jalen Moreno-Cropper,DAL,WR,1,No,Yes,No,1,No,No,,1,1,,
Will Mallory,IND,TE,5,No,Yes,No,5,No,No,,10,0.4,0.6,
Bo Melton,GB,WR,4,No,Yes,No,4,No,No,,17,,1,
Alec Pierce,IND,WR,28,No,Yes,Yes,28,No,No,,16,0.1429,0.8571,
Drake London,ATL,WR,27,No,Yes,No,27,No,No,,17,0.4815,0.5185,
Jalen Tolbert,DAL,WR,36,No,Yes,Yes,35,No,No,,17,0.4571,0.5429,
Bub Means,NO,WR,11,No,Yes,Yes,11,No,No,,7,0.2727,0.7273,
Olamide Zaccheaus,WAS,WR,25,No,Yes,Yes,24,No,No,,17,0.625,0.375,
Chris Rodriguez Jr.,WAS,RB,1,No,Yes,Yes,1,No,No,1,7,,,
