Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AlignmentInlineRoutesPercentage
Tim Patrick,DET,WR,19,Yes,Yes,No,19,No,No,,16,0.1053,0.8947,
Ezekiel Elliott,DAL,RB,12,Yes,Yes,Yes,11,No,No,0.8182,15,0.0909,0.0909,
Stone Smartt,LAC,TE,6,Yes,Yes,No,5,No,No,,14,0.6,,0.4
Eric Tomlinson,LAC,TE,4,No,Yes,Yes,3,No,No,0.3333,9,,0.3333,0.3333
T.J. Hockenson,MIN,TE,20,Yes,Yes,No,19,No,No,,10,0.2632,0.2105,0.5263
Simi Fehoko,LAC,WR,12,No,Yes,No,12,No,No,,8,0.3333,0.6667,
Xavier Hutchinson,HST,WR,27,No,Yes,No,27,No,No,,16,0.3333,0.6667,
Michael Pittman,IND,WR,26,No,Yes,Yes,26,No,No,,16,0.2308,0.7692,
Malik Washington,MIA,WR,11,No,Yes,No,11,No,No,,14,0.6364,0.3636,
Tyler Goodson,IND,RB,3,No,Yes,Yes,3,No,No,1,16,,,
Jordan Mason,SF,RB,11,No,No,No,7,No,No,0.7143,12,,0.2857,
Feleipe Franks,CAR,TE,2,No,Yes,No,1,No,No,,15,,,1
Tre Tucker,LV,WR,45,Yes,Yes,No,44,No,No,,17,0.3636,0.6364,
Tim Jones,JAX,WR,3,No,Yes,Yes,3,No,No,,16,,1,
Jonathan Taylor,IND,RB,20,No,Yes,Yes,16,No,No,0.8125,14,0.0625,0.125,
Troy Franklin,DEN,WR,12,No,Yes,No,12,No,No,,16,0.5,0.5,
Audric Estime,DEN,RB,1,No,Yes,No,1,No,No,1,13,,,
Darnell Washington,PIT,TE,23,No,Yes,No,11,No,No,,17,0.0909,0.0909,0.8182
Zach Ertz,WAS,TE,34,No,Yes,Yes,33,No,No,,17,0.697,0.0909,0.2121
Davis Allen,LA,TE,10,No,Yes,No,9,No,No,,14,0.4444,0.1111,0.4444
John Samuel Shenker,LV,TE,3,No,Yes,No,2,No,No,,7,0.5,,0.5
Javonte Williams,DEN,RB,17,No,Yes,No,12,No,No,0.9167,17,,0.0833,
River Cracraft,MIA,WR,5,No,Yes,No,5,No,No,,8,0.4,0.6,
Cam Akers,MIN,RB,11,Yes,Yes,No,8,No,No,1,16,,,
JaMycal Hasty,NE,RB,11,No,Yes,Yes,10,No,No,0.9,13,0.1,,
Greg Dortch,ARZ,WR,14,Yes,Yes,No,14,No,No,0.0714,17,0.7857,0.1429,
Tip Reiman,ARZ,TE,6,Yes,Yes,No,4,No,No,,17,,0.25,0.75
Courtland Sutton,DEN,WR,22,No,Yes,No,22,No,No,0.0455,17,0.3182,0.6364,
Tyrell Shavers,BUF,WR,1,No,Yes,No,1,No,No,,3,,1,
Marvin Mims,DEN,WR,1,No,Yes,No,1,No,No,,17,,1,
Dallas Goedert,PHI,TE,15,No,Yes,Yes,14,No,No,,10,0.5714,0.0714,0.3571
Roschon Johnson,CHI,RB,21,No,Yes,No,8,No,No,1,13,,,
Cedric Tillman,CLV,WR,26,Yes,Yes,No,24,No,No,,11,0.25,0.75,
Calvin Ridley,TEN,WR,49,No,Yes,No,48,No,No,,17,0.0833,0.9167,
DJ Chark,LAC,WR,4,Yes,Yes,No,4,No,No,,7,0.25,0.75,
Raheem Mostert,MIA,RB,13,No,Yes,No,11,No,No,0.7273,13,0.0909,0.1818,
Jalen Coker,CAR,WR,19,No,Yes,No,19,No,No,,11,0.4211,0.5789,
Kyle Pitts,ATL,TE,27,No,Yes,No,25,No,No,,17,0.2,0.2,0.6
Trishton Jackson,MIN,WR,1,No,Yes,No,1,No,No,,2,,1,
Dante Pettis,NO,WR,4,Yes,Yes,Yes,4,No,No,,8,0.5,0.5,
Brevin Jordan,HST,TE,2,No,Yes,Yes,2,No,No,,2,,,1
Jayden Reed,GB,WR,19,No,Yes,No,19,No,No,,17,0.7895,0.2105,
Terry McLaurin,WAS,WR,42,No,Yes,Yes,39,No,No,,17,0.2051,0.7949,
Ainias Smith,PHI,WR,3,No,Yes,Yes,3,No,No,,7,0.6667,0.3333,
Chris Godwin,TB,WR,20,No,No,Yes,20,No,No,,7,0.8,0.2,
Jalen Reagor,LAC,WR,6,No,Yes,No,6,No,No,,8,0.1667,0.8333,
Trey McBride,ARZ,TE,23,Yes,Yes,No,23,No,No,,16,0.7826,,0.2174
Patrick Taylor,SF,RB,6,Yes,Yes,No,3,No,No,1,9,,,
Carson Steele,KC,RB,4,No,Yes,No,4,No,No,0.75,16,,0.25,
John Bates,WAS,TE,15,No,Yes,Yes,3,No,No,,17,0.3333,,0.6667
Dontayvion Wicks,GB,WR,15,No,Yes,No,14,No,No,,17,0.5,0.5,
Dawson Knox,BUF,TE,5,No,Yes,No,3,No,No,,16,0.3333,0.6667,
Noah Brown,WAS,WR,15,No,Yes,No,15,No,No,,11,0.1333,0.8667,
Marcedes Lewis,CHI,TE,4,No,Yes,No,1,No,No,,17,,,1
Kyren Williams,LA,RB,26,No,Yes,Yes,18,No,No,0.7778,16,0.1667,,0.0556
Tucker Kraft,GB,TE,21,No,Yes,No,20,No,No,,17,0.45,0.1,0.45
Payne Durham,TB,TE,12,Yes,Yes,Yes,10,No,No,,16,0.2,0.2,0.6
Trey Palmer,TB,WR,8,Yes,Yes,Yes,8,No,No,,15,0.25,0.75,
Will Shipley,PHI,RB,3,No,Yes,Yes,1,No,No,1,13,,,
Chase Brown,CIN,RB,19,No,Yes,No,18,No,No,0.8333,16,0.1111,0.0556,
Najee Harris,PIT,RB,22,No,Yes,No,19,No,No,0.8947,17,,0.0526,0.0526
Tanner Hudson,CIN,TE,10,No,Yes,No,9,No,No,0.1111,11,0.4444,0.2222,0.2222
Curtis Samuel,BUF,WR,7,No,No,No,6,No,No,,14,0.6667,0.3333,
Devontez Walker,BLT,WR,2,No,Yes,Yes,1,No,No,,7,,1,
Austin Ekeler,WAS,RB,20,No,Yes,Yes,14,No,No,0.5,12,0.5,,
Jaheim Bell,NE,TE,2,No,No,No,2,No,No,0.5,13,0.5,,
Drew Sample,CIN,TE,28,No,Yes,No,21,No,No,0.2857,17,0.0476,0.0476,0.619
Daniel Bellinger,NYG,TE,13,No,Yes,Yes,11,No,No,,17,0.3636,0.1818,0.4545
Zay Jones,ARZ,WR,10,Yes,Yes,No,10,No,No,,11,0.1,0.9,
Ben Sinnott,WAS,TE,12,No,Yes,Yes,8,No,No,0.125,17,0.125,0.125,0.625
Stefon Diggs,HST,WR,21,No,Yes,No,21,No,No,0.0476,8,0.619,0.3333,
Jeremy Ruckert,NYJ,TE,7,No,Yes,No,4,No,No,0.25,17,0.25,0.25,0.25
Kalif Raymond,DET,WR,10,Yes,Yes,No,10,No,No,,12,0.5,0.5,
Darnell Mooney,ATL,WR,27,No,Yes,No,26,No,No,,16,0.5,0.5,
Brandon Aiyuk,SF,WR,13,Yes,Yes,Yes,13,No,No,,7,0.1538,0.8462,
Allen Lazard,NYJ,WR,27,No,Yes,No,27,No,No,,12,0.2222,0.7778,
Andrei Iosivas,CIN,WR,38,No,Yes,No,38,No,No,,17,0.5789,0.4211,
Jacob Cowing,SF,WR,1,Yes,Yes,No,1,No,No,,15,,1,
Calvin Austin,PIT,WR,31,No,Yes,No,30,No,No,,17,0.5333,0.4667,
Ronnie Bell,SF,WR,2,Yes,Yes,No,2,No,No,,8,,1,
Bijan Robinson,ATL,RB,28,No,Yes,No,21,No,No,0.8571,17,0.0476,0.0952,
Jaleel McLaughlin,DEN,RB,5,No,Yes,No,5,No,No,0.2,16,,0.8,
Geoff Swaim,CLV,TE,5,No,Yes,No,2,No,No,0.5,8,,,0.5
Pat Freiermuth,PIT,TE,41,No,Yes,No,38,No,No,,17,0.5263,0.2368,0.2368
Cordarrelle Patterson,PIT,RB,3,No,Yes,No,3,No,No,0.3333,13,,0.6667,
Isiah Pacheco,KC,RB,4,Yes,Yes,No,3,No,No,1,7,,,
Zach Charbonnet,SEA,RB,37,No,Yes,No,23,No,No,0.6522,17,,0.3478,
Chuba Hubbard,CAR,RB,24,No,Yes,Yes,16,No,No,0.875,15,,0.125,
Jared Wayne,HST,WR,1,No,Yes,No,1,No,No,,3,1,,
AJ Barner,SEA,TE,20,No,Yes,No,18,No,No,0.0556,17,0.3889,0.2222,0.3333
Cam Grandy,CIN,TE,5,No,Yes,No,5,No,No,,8,0.2,0.4,0.4
Malachi Corley,NYJ,WR,3,No,Yes,No,3,No,No,,7,0.6667,0.3333,
Elijah Moore,CLV,WR,57,No,Yes,Yes,56,No,No,0.0179,17,0.5,0.4821,
Rachaad White,TB,RB,21,Yes,Yes,Yes,12,No,No,0.5833,16,0.4167,,
Xavier Worthy,KC,WR,27,No,Yes,No,26,No,No,,17,0.3846,0.6154,
Ty Johnson,BUF,RB,5,No,No,No,4,No,No,,17,1,,
Kareem Hunt,KC,RB,9,Yes,Yes,No,7,No,No,0.7143,13,,0.2857,
Van Jefferson,PIT,WR,28,No,Yes,No,28,No,No,,17,0.3214,0.6786,
Brandon Powell,MIN,WR,12,Yes,Yes,No,11,No,No,,17,0.5455,0.4545,
Derrick Henry,BLT,RB,9,No,Yes,Yes,8,No,No,0.875,17,,,0.125
Garrett Wilson,NYJ,WR,39,No,Yes,No,39,No,No,,17,0.3846,0.6154,
Jeff Wilson,MIA,RB,2,No,Yes,No,2,No,No,0.5,9,0.5,,
Kenny McIntosh,SEA,RB,3,No,Yes,No,2,No,No,1,11,,,
Dyami Brown,WAS,WR,28,No,Yes,Yes,26,No,No,,16,0.3077,0.6923,
Erik Ezukanma,MIA,WR,1,No,Yes,No,1,No,No,,2,,1,
Emanuel Wilson,GB,RB,7,No,Yes,No,6,No,No,1,17,,,
Quentin Johnston,LAC,WR,29,Yes,Yes,No,28,No,No,,15,0.1786,0.8214,
Johnny Wilson,PHI,WR,10,No,Yes,Yes,10,No,No,,16,0.4,0.6,
Blake Whiteheart,CLV,TE,3,No,Yes,Yes,3,No,No,0.3333,11,,0.3333,0.3333
Josiah Deguara,JAX,TE,2,No,Yes,Yes,2,No,No,,13,0.5,,0.5
Braelon Allen,NYJ,RB,3,No,Yes,No,2,No,No,0.5,17,,0.5,
Elijah Higgins,ARZ,TE,13,Yes,Yes,No,12,No,No,,17,0.3333,0.1667,0.5
Adam Thielen,CAR,WR,20,No,Yes,No,20,No,No,,10,0.75,0.25,
Jonnu Smith,MIA,TE,28,No,Yes,No,25,No,No,,17,0.36,0.44,0.2
Harrison Bryant,LV,TE,3,Yes,Yes,No,2,No,No,,13,0.5,,0.5
Tylan Wallace,BLT,WR,4,No,Yes,Yes,2,No,No,,17,,1,
Mason Kinsey,TEN,WR,3,No,Yes,No,3,No,No,,6,1,,
Charlie Woerner,ATL,TE,5,No,Yes,No,4,No,No,,16,0.5,,0.5
Josh Palmer,LAC,WR,30,No,Yes,Yes,30,No,No,,15,0.3333,0.6667,
Antonio Gibson,NE,RB,17,No,No,No,7,No,No,0.8571,17,,0.1429,
Tutu Atwell,LA,WR,16,No,Yes,No,16,No,No,,17,0.3125,0.6875,
David Moore,CAR,WR,19,No,Yes,No,19,No,No,,17,0.2632,0.6842,0.0526
Justin Shorter,LV,TE,2,No,Yes,No,1,No,No,,7,,1,
Amon-Ra St. Brown,DET,WR,32,Yes,Yes,No,32,No,No,,17,0.7188,0.2812,
Anthony Gould,IND,WR,1,No,Yes,Yes,1,No,No,,8,,1,
George Kittle,SF,TE,28,Yes,Yes,No,24,No,No,,15,0.4583,0.0833,0.4583
Keenan Allen,CHI,WR,55,No,Yes,No,53,No,No,0.0189,15,0.6415,0.3396,
Isaiah Likely,BLT,TE,12,No,Yes,Yes,11,No,No,,16,0.3636,0.3636,0.2727
Dalton Schultz,HST,TE,49,No,Yes,No,47,No,No,0.0638,17,0.234,0.234,0.4681
Ja'Lynn Polk,NE,WR,25,No,Yes,Yes,25,No,No,,15,0.16,0.84,
Jared Wiley,KC,TE,1,No,Yes,Yes,1,No,No,,7,1,,
James Cook,BUF,RB,2,No,No,No,2,No,No,1,16,,,
Treylon Burks,TEN,WR,5,No,No,No,5,No,No,,5,0.2,0.8,
Peyton Hendershot,KC,TE,5,No,Yes,No,5,No,No,,7,0.6,0.2,0.2
Jordan Akins,CLV,TE,27,No,Yes,Yes,23,No,No,0.087,17,0.2609,0.1304,0.5217
Nick Vannett,TEN,TE,8,No,Yes,No,5,No,No,,17,,,1
Noah Fant,SEA,TE,33,No,Yes,No,31,No,No,,14,0.6129,0.1613,0.2258
CeeDee Lamb,DAL,WR,32,Yes,Yes,Yes,32,No,No,,16,0.4688,0.5312,
Tony Pollard,TEN,RB,30,No,Yes,No,25,No,No,0.88,16,0.08,0.04,
Romeo Doubs,GB,WR,14,No,Yes,Yes,14,No,No,,13,,1,
Ray Davis,BUF,RB,4,No,No,No,4,No,No,0.75,17,,0.25,
JuJu Smith-Schuster,KC,WR,21,No,Yes,No,21,No,No,,14,0.2381,0.7619,
DeeJay Dallas,ARZ,RB,4,Yes,Yes,No,4,No,No,0.75,16,,0.25,
Ladd McConkey,LAC,WR,35,Yes,Yes,No,34,No,No,,16,0.7059,0.2941,
Alex Bachman,LV,WR,2,No,Yes,Yes,2,No,No,,5,0.5,0.5,
Austin Trammell,JAX,WR,2,No,Yes,No,2,No,No,,1,,1,
Chig Okonkwo,TEN,TE,37,No,Yes,No,34,No,No,,17,0.4118,0.1765,0.4118
Gerald Everett,CHI,TE,18,No,Yes,No,15,No,No,0.3333,17,0.2,0.0667,0.4
Lucas Krull,DEN,TE,7,No,Yes,No,7,No,No,,13,0.4286,0.1429,0.4286
