Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage
Dan Chisena,CAR,WR,4,No,No,No,4,No,Yes,,5,,0.5,0.5,2.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,1,,1,1,,0.25,1,1,23,9,2,14,,1,14,118.8,5.75,23,13.1866,,23,9,2,1,1.5528,1.5528,0.25,,,,,,,,,
Braelon Allen,NYJ,RB,24,No,No,No,16,No,Yes,0.875,17,,0.0625,0.0625,,,,,,,,,,,,,,1,,,,,0.0625,,,,,,12,,1,12,39.6,,,-9.3774,,,,,,1.8039,1.8039,0.0417,,,,,,,,,
Josiah Deguara,JAX,TE,7,No,Yes,No,6,Yes,Yes,,13,0.1667,0.3333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Shorter,LV,TE,2,No,No,No,2,No,No,,7,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,108,No,Yes,Yes,107,No,No,,17,,0.4112,0.5888,66.9,99.9,83.4,99.9,99.9,102.9,85.4,98.9,98.9,98.9,82.4,99.9,98.9,45,9,39,0.8667,6,0.4206,33,0.7333,559,80,22,655,1,39,14.5556,120.5,5.2243,12.4222,2.5979,0.0222,16.9394,2.4242,0.6667,30,85.8921,85.8921,0.4167,8,4,3,2,2,2,0.0606,,
David Moore,CAR,WR,77,No,No,No,76,No,Yes,,17,,0.2105,0.7895,19,32,25.5,32,32,35,28.5,32,32,32,25.5,32,32,23,7,17,0.7391,1,0.3026,13,0.5652,190,12,14,329,2,20,14.3043,83.6,2.5,8.2609,-1.5277,0.087,14.6154,0.9231,1.0769,12,44.9906,44.9906,0.2987,3,4,1,,,,,,
Tutu Atwell,LA,WR,59,Yes,Yes,Yes,59,No,No,,17,,0.4237,0.5763,23.9,37.9,30.9,37.9,37.9,40.9,33.9,37.9,37.9,37.9,30.9,37.9,37.9,22,4,20,0.9091,,0.3729,14,0.6364,239,32,4,314,4,18,14.2727,100.4,4.0508,10.8636,1.0381,0.1818,17.0714,2.2857,0.2857,14,38.24,38.24,0.3729,,1,,,,,,,
Isaiah Williams,CIN,WR,1,No,No,No,1,No,Yes,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Palmer,LAC,WR,77,No,No,No,77,No,No,,15,,0.3636,0.6364,23.6,39.6,31.6,39.6,39.6,42.6,34.6,39.6,39.6,39.6,31.6,39.6,39.6,24,5,20,0.8333,1,0.3117,16,0.6667,236,35,4,317,1,16,13.2083,98.6,3.0649,9.8333,0.4603,0.0417,14.75,2.1875,0.25,16,47.9661,47.9661,0.3117,1,2,,,,,,,
Antonio Gibson,NE,RB,25,No,No,No,19,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,27,No,No,No,12,No,Yes,0.0833,16,0.3333,0.4167,0.1667,1.1,2.1,1.6,2.1,2.6,2.1,1.6,2.1,2.1,2.1,1.6,2.6,2.1,2,,1,0.5,,0.1667,1,0.5,11,,,22,,1,11,27.1,0.9167,5.5,-3.2402,,11,,,1,3.2046,3.2046,0.0741,,,,,,,,,
Mason Kinsey,TEN,WR,9,No,No,Yes,9,No,Yes,,6,,1,,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,1,,1,1,,0.1111,1,1,11,,,11,,1,11,112.5,1.2222,11,2.6848,,11,,,1,1.5038,1.5038,0.1111,,,,,,,,,
Jalen Virgil,BUF,WR,1,No,No,No,1,Yes,Yes,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoff Swaim,CLV,TE,16,Yes,No,Yes,10,No,Yes,0.1,8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,117,No,No,No,78,No,Yes,0.8718,17,,0.0897,0.0385,1.5,2.5,2,3,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,1,1,1,1,,0.0128,1,1,15,4,1,11,,1,11,118.8,0.1923,15,7.7442,,15,4,1,1,1.6409,1.6409,0.0085,,1,,,,,,,
Jaleel McLaughlin,DEN,RB,14,Yes,No,No,9,No,Yes,0.7778,16,,,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Austin,PIT,WR,48,No,No,No,48,No,Yes,,17,,0.625,0.375,24.7,32.7,28.7,32.7,32.7,35.7,31.7,32.7,32.7,32.7,28.7,32.7,32.7,11,1,9,0.8182,,0.2292,8,0.7273,187,69,8,162,,8,14.7273,145.1,3.8958,17,7.1037,,23.375,8.625,1,7,18.7008,18.7008,0.2292,,1,,1,,,,,
Ronnie Bell,SF,WR,19,No,No,No,19,No,Yes,,8,,0.4737,0.5263,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2,,1,0.5,,0.1053,1,0.5,12,19,,25,,1,12.5,29.2,0.6316,6,-2.9548,,12,19,,1,4.62,4.62,0.1053,,,,,,,,,
Jacob Cowing,SF,WR,14,No,Yes,Yes,14,Yes,No,,15,,0.5714,0.4286,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2,,1,0.5,1,0.1429,1,0.5,14,2,,25,,2,12.5,72.9,1,7,-1.9803,,14,2,,1,8.0404,8.0404,0.1429,2,,,,,,,,
Isiah Pacheco,KC,RB,17,No,Yes,No,13,No,Yes,0.8462,7,,0.0769,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordarrelle Patterson,PIT,RB,9,No,No,No,9,No,Yes,0.3333,13,,0.2222,0.4444,9.2,11.2,10.2,12.2,11.2,11.2,10.2,11.2,11.2,11.2,10.2,11.2,11.2,3,1,3,1,1,0.3333,2,0.6667,32,5,1,37,,2,12.3333,141.7,3.5556,10.6667,2.2268,,16,2.5,0.5,2,5.9663,5.9663,0.3333,1,,,1,1,,,,
Pat Freiermuth,PIT,TE,55,No,No,No,54,No,Yes,,17,0.2593,0.6111,0.1296,47.9,60.9,54.4,60.9,67.4,63.9,57.4,60.9,60.9,60.9,54.4,67.4,60.9,18,3,15,0.8333,1,0.3333,13,0.7222,239,61,30,240,2,12,13.3333,153.9,4.4259,13.2778,3.5272,0.1111,18.3846,4.6923,2.3077,13,34.0134,34.0134,0.3273,6,3,2,4,1,1,0.0769,,
Xavier Worthy,KC,WR,78,Yes,No,No,78,No,Yes,,17,,0.4359,0.5641,4.9,7.9,6.4,7.9,7.9,7.9,6.4,7.9,7.9,7.9,6.4,7.9,7.9,14,3,7,0.5,3,0.1795,3,0.2143,49,-2,,219,1,9,15.6429,41.7,0.6282,3.5,-6.9188,0.0714,16.3333,-0.6667,,3,28.8646,28.8646,0.1795,3,1,,,,,,,
Rachaad White,TB,RB,84,No,Yes,Yes,64,No,Yes,0.8281,16,,0.0781,0.0938,,,,,,,,,,,,,,1,,1,1,,0.0156,,,,,,17,,1,17,39.6,,,-5.186,,,,,,1.4423,1.4423,0.0119,,,,,,,,,
Cam Grandy,CIN,TE,9,No,No,No,8,No,Yes,0.125,8,0.5,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Moore,CLV,WR,113,No,No,No,112,No,No,0.0089,17,,0.4821,0.5089,21.9,35.9,28.9,35.9,35.9,38.9,31.9,35.9,35.9,35.9,28.9,35.9,35.9,24,1,16,0.6667,1,0.2143,14,0.5833,219,31,6,327,1,18,13.625,49.1,1.9554,9.125,-0.3468,0.0417,15.6429,2.2143,0.4286,13,44.3264,44.3264,0.2124,1,,1,,,,,,
Malachi Corley,NYJ,WR,6,No,No,No,6,No,Yes,,7,,0.3333,0.6667,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,3,,1,0.3333,1,0.5,1,0.3333,10,,,31,,,10.3333,43.8,1.6667,3.3333,-4.4384,,10,,,,9.2801,9.2801,0.5,2,,,,,,,,
