Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage
Irv Smith,HST,TE,6,No,No,Yes,4,No,Yes,,5,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,126,No,No,No,126,No,Yes,,17,,0.5635,0.4365,38.7,54.7,46.7,54.7,54.7,57.7,49.7,54.7,54.7,54.7,46.7,54.7,54.7,26,4,22,0.8462,4,0.2063,16,0.6154,207,17,7,332,5,16,12.7692,109,1.6429,7.9615,-1.0725,0.1923,12.9375,1.0625,0.4375,16,52.3029,52.3029,0.2063,4,3,,3,3,,,,
Kaden Davis,CLV,WR,2,No,No,No,2,No,No,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Aiyuk,SF,WR,61,No,No,No,61,No,Yes,,7,,0.1803,0.8197,28,44,36,44,44,47,39,44,44,44,36,44,44,26,4,18,0.6923,1,0.4262,16,0.6154,280,58,51,361,1,18,13.8846,98.2,4.5902,10.7692,0.7525,0.0385,17.5,3.625,3.1875,14,51.3558,51.3558,0.4262,3,3,,,,2,0.125,,
Allen Lazard,NYJ,WR,84,No,No,No,83,No,Yes,,12,0.0361,0.3976,0.5663,15,23,19,23,23,26,22,23,23,23,19,23,23,16,4,13,0.8125,1,0.1928,8,0.5,150,39,12,237,1,13,14.8125,56.8,1.8072,9.375,-0.7302,0.0625,18.75,4.875,1.5,8,31.3332,31.3332,0.1905,1,1,,,,,,,
Darnell Mooney,ATL,WR,129,No,Yes,Yes,129,No,No,0.0155,16,,0.3798,0.6047,53.2,73.2,63.2,73.2,73.2,76.2,66.2,73.2,73.2,73.2,63.2,73.2,73.2,42,6,28,0.6667,,0.3256,20,0.4762,412,114,39,628,3,36,14.9524,88.6,3.1938,9.8095,-0.1889,0.0714,20.6,5.7,1.95,19,84.4216,84.4216,0.3256,1,2,,2,,4,0.2,,
Jeremy Ruckert,NYJ,TE,35,No,No,No,29,No,Yes,,17,0.5172,0.3793,0.1034,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,6,1,3,0.5,1,0.2069,1,0.1667,12,2,2,91,1,4,15.1667,39.6,0.4138,2,-8.8045,0.1667,12,2,2,1,10.3129,10.3129,0.1714,2,,,,,,,,
Kalif Raymond,DET,WR,26,No,Yes,Yes,26,No,No,,12,,0.5385,0.4615,6.9,9.9,8.4,9.9,9.9,9.9,8.4,9.9,9.9,9.9,8.4,9.9,9.9,5,1,4,0.8,,0.1923,3,0.6,69,20,2,82,,3,16.4,104.2,2.6538,13.8,2.9455,,23,6.6667,0.6667,3,9.6763,9.6763,0.1923,,,,,,,,,
Raheem Mostert,MIA,RB,34,No,No,No,29,No,Yes,0.5862,13,,0.2414,0.1724,1.4,2.4,1.9,2.9,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,1,1,1,1,,0.0345,1,1,14,1,,13,,1,13,118.8,0.4828,14,6.9524,,14,1,,1,1.4737,1.4737,0.0294,,1,,,,,,,
Jalen Coker,CAR,WR,58,No,No,No,56,No,Yes,,11,,0.6607,0.3393,24.36,34.36,29.36,34.36,34.36,37.36,32.36,34.36,34.36,34.36,29.36,34.55,34.55,19,5,13,0.6842,4,0.3393,10,0.5263,176,33,25,278,1,17,14.6316,80.2,3.1429,9.2632,-0.6967,0.0526,17.6,3.3,2.5,10,47.2728,47.2728,0.3276,4,3,,1,1,1,0.1,,
Dallas Goedert,PHI,TE,40,Yes,No,No,39,No,Yes,,10,0.4615,0.3846,0.1538,17.6,24.6,21.1,24.6,28.1,27.6,24.1,24.6,24.6,24.6,21.1,28.1,24.6,12,1,9,0.75,3,0.3077,7,0.5833,116,21,6,171,2,11,14.25,84,2.9744,9.6667,-0.3544,0.1667,16.5714,3,0.8571,6,22.3759,22.3759,0.3,3,1,,1,1,,,,
Roschon Johnson,CHI,RB,31,No,No,No,20,No,Yes,0.95,13,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric Tillman,CLV,WR,53,No,No,No,52,No,Yes,,11,,0.25,0.75,9.1,15.1,12.1,15.1,15.1,18.1,14.1,14.1,14.1,14.1,11.1,15.1,14.1,12,2,8,0.6667,1,0.2308,6,0.5,101,21,8,174,1,9,14.5,44.1,1.9423,8.4167,-1.5101,0.0833,16.8333,3.5,1.3333,5,24.5055,24.5055,0.2264,1,,,,,1,0.1667,,
Marvin Mims,DEN,WR,31,Yes,No,No,31,No,Yes,0.0968,17,,0.2258,0.6774,3.9,4.9,4.4,4.9,4.9,4.9,4.4,4.9,4.9,4.9,4.4,4.9,4.9,5,,3,0.6,,0.1613,1,0.2,39,27,3,74,1,3,14.8,20,1.2581,7.8,-4.3479,0.2,39,27,3,1,8.4179,8.4179,0.1613,,,,,,,,,
Calvin Ridley,TEN,WR,105,No,No,Yes,105,No,Yes,,17,,0.2476,0.7524,48.5,72.5,60.5,72.5,72.5,75.5,63.5,72.5,72.5,72.5,60.5,72.5,72.5,46,8,33,0.7174,2,0.4381,24,0.5217,425,55,31,686,4,43,14.913,91.3,4.0476,9.2391,-0.7915,0.087,17.7083,2.2917,1.2917,22,86.4125,86.4125,0.4381,4,3,2,1,1,6,0.25,,
Ainias Smith,PHI,WR,10,Yes,No,No,10,No,Yes,,7,,0.7,0.3,7.5,8.5,8,8.5,8.5,8.5,8,8.5,8.5,8.5,8,8.5,8.5,2,,1,0.5,,0.2,1,0.5,15,2,1,25,,2,12.5,114.6,1.5,7.5,-1.4803,,15,2,1,1,4.4019,4.4019,0.2,1,,,1,,,,,
Chris Godwin,TB,WR,34,No,No,No,32,Yes,Yes,,7,,0.625,0.375,18.8,24.8,21.8,24.8,24.8,27.8,24.8,24.8,24.8,24.8,21.8,24.8,24.8,9,1,7,0.7778,,0.2812,6,0.6667,128,42,8,127,,7,14.1111,107.2,4,14.2222,4.8175,,21.3333,7,1.3333,6,19.0034,19.0034,0.2647,1,1,,1,,,,,
Terry McLaurin,WAS,WR,100,No,No,Yes,99,Yes,Yes,,17,,0.1414,0.8586,66.2,90.2,78.2,90.2,90.2,93.2,81.2,90.2,90.2,90.2,78.2,90.2,90.2,33,6,28,0.8485,6,0.3333,24,0.7273,362,63,48,477,1,27,14.4545,148,3.6566,10.9697,1.1372,0.0303,15.0833,2.625,2,22,73.0466,73.0466,0.33,6,4,2,5,5,1,0.0417,,
Brevin Jordan,HST,TE,5,No,No,No,3,No,Yes,,2,0.6667,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Reed,GB,WR,53,No,No,No,53,No,Yes,0.0377,17,,0.7736,0.1887,22.5,28.5,25.5,28.5,28.5,31.5,28.5,28.5,28.5,28.5,25.5,28.5,28.5,10,1,7,0.7,1,0.1887,6,0.6,105,17,5,147,1,9,14.7,135.4,1.9811,10.5,0.5147,0.1,17.5,2.8333,0.8333,5,22.8898,22.8898,0.1887,2,1,,2,1,1,0.1667,,
Kyle Pitts,ATL,TE,119,No,No,No,115,No,Yes,,17,0.3913,0.3826,0.2261,30,35,32.5,35,37.5,38,35.5,35,35,35,32.5,37.5,35,13,4,9,0.6923,5,0.113,5,0.3846,120,52,31,183,1,10,14.0769,112.2,1.0435,9.2308,-0.7595,0.0769,24,10.4,6.2,5,28.3874,28.3874,0.1092,6,1,,3,2,2,0.4,,
Dante Pettis,NO,WR,19,No,Yes,Yes,19,No,Yes,,8,,0.4737,0.5263,12.7,17.7,15.2,17.7,17.7,17.7,15.2,17.7,17.7,17.7,15.2,17.7,17.7,7,,5,0.7143,2,0.3684,5,0.7143,67,1,3,98,,4,14,141.1,3.5263,9.5714,-0.0337,,13.4,0.2,0.6,5,15.6916,15.6916,0.3684,2,,,1,1,1,0.2,,
Dawson Knox,BUF,TE,61,No,Yes,No,51,No,Yes,,16,0.3725,0.4706,0.1569,20.6,27.6,24.1,27.6,31.1,30.6,27.1,27.6,27.6,27.6,24.1,31.1,27.6,11,3,9,0.8182,2,0.2157,7,0.6364,146,40,20,167,,6,15.1818,137.5,2.8627,13.2727,2.9891,,20.8571,5.7143,2.8571,6,23.5751,23.5751,0.1803,3,1,1,1,1,,,,
Noah Brown,WAS,WR,56,No,No,No,55,No,No,,11,,0.2182,0.7818,22.9,37.9,30.4,37.9,37.9,40.9,33.4,37.9,37.9,37.9,30.4,37.9,37.9,23,2,18,0.7826,,0.4182,15,0.6522,229,29,13,305,1,20,13.2609,79.8,4.1636,9.9565,0.6715,0.0435,15.2667,1.9333,0.8667,14,40.8781,40.8781,0.4107,,,1,,,,,,
Dontayvion Wicks,GB,WR,42,No,No,No,42,No,Yes,,17,,0.381,0.619,10.8,16.8,13.8,16.8,16.8,19.8,16.8,16.8,16.8,16.8,13.8,16.8,16.8,21,3,12,0.5714,2,0.5,6,0.2857,108,29,18,289,3,17,13.7619,48.5,2.5714,5.1429,-4.4501,0.1429,18,4.8333,3,5,42.3257,42.3257,0.5,3,1,,,,1,0.1667,,
Patrick Taylor,SF,RB,22,No,Yes,Yes,10,Yes,No,0.9,9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson Steele,KC,RB,12,Yes,No,No,10,No,Yes,0.9,16,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey McBride,ARZ,TE,98,No,Yes,Yes,94,Yes,No,0.0106,16,0.3936,0.5106,0.0851,41.1,60.1,50.6,60.1,69.6,63.1,53.6,60.1,60.1,60.1,50.6,69.6,60.1,27,4,21,0.7778,5,0.2872,19,0.7037,351,87,20,372,1,22,13.7778,125.2,3.734,13,3.349,0.037,18.4737,4.5789,1.0526,19,58.0176,58.0176,0.2755,6,2,1,1,1,2,0.1053,,
John Bates,WAS,TE,41,No,No,Yes,16,Yes,Yes,,17,0.875,0.125,,0.3,1.3,0.8,1.3,1.8,1.3,-0.2,0.3,0.3,0.3,-0.2,1.8,0.3,1,,1,1,,0.0625,1,1,13,3,,10,,1,10,118.8,0.8125,13,5.2315,,13,3,,,1.4216,1.4216,0.0244,,,,,,,,,
Jalen Reagor,LAC,WR,19,No,No,Yes,19,No,Yes,,8,,0.5263,0.4737,2,4,3,4,4,4,3,4,4,4,3,4,4,2,1,2,1,,0.1053,2,1,20,-1,,21,,1,10.5,108.3,1.0526,10,2.0924,,10,-0.5,,1,3.1841,3.1841,0.1053,,1,1,,,,,,
Will Shipley,PHI,RB,8,Yes,No,No,6,No,Yes,0.8333,13,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Palmer,TB,WR,27,No,Yes,Yes,27,No,Yes,,15,,0.2593,0.7407,14.2,19.2,16.7,19.2,19.2,19.2,16.7,19.2,19.2,19.2,16.7,19.2,19.2,7,1,6,0.8571,1,0.2593,5,0.7143,82,3,,102,1,3,14.5714,150,3.037,11.7143,1.7698,0.1429,16.4,0.6,,4,14.565,14.565,0.2593,1,1,,1,1,,,,
Kyren Williams,LA,RB,99,Yes,No,No,68,No,No,0.8382,16,0.0147,0.0735,0.0735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Kraft,GB,TE,64,No,No,No,54,No,Yes,0.0185,17,0.5741,0.2778,0.1296,24.8,28.8,26.8,28.8,30.8,31.8,29.8,28.8,28.8,28.8,26.8,30.8,28.8,5,,4,0.8,1,0.0926,4,0.8,128,70,34,75,,4,15,158.3,2.3704,25.6,15.2015,,32,17.5,8.5,4,14.6366,14.6366,0.0781,1,,,2,1,2,0.5,,
Payne Durham,TB,TE,41,No,Yes,Yes,26,No,Yes,,16,0.5,0.4231,0.0769,16.2,19.2,17.7,19.2,20.7,19.2,17.7,19.2,19.2,19.2,17.7,20.7,19.2,5,,4,0.8,2,0.1923,3,0.6,42,13,4,70,,3,14,126.7,1.6154,8.4,-1.8601,,14,4.3333,1.3333,3,11.2332,11.2332,0.122,2,,,2,2,,,,
Christian McCaffrey,SF,RB,24,No,No,No,23,Yes,Yes,0.8696,4,,0.087,0.0435,3,4,3.5,4.5,4,4,3.5,4,4,4,3.5,4,4,1,,1,1,,0.0435,1,1,30,13,2,17,,1,17,118.8,1.3043,30,24.814,,30,13,2,1,1.6712,1.6712,0.0417,,,,,,,,,
Sterling Shepard,TB,WR,74,No,Yes,Yes,72,No,Yes,,14,,0.5556,0.4444,23.8,35.8,29.8,35.8,35.8,38.8,32.8,35.8,35.8,35.8,29.8,35.8,35.8,20,1,14,0.7,3,0.2778,12,0.6,178,16,1,275,2,15,13.75,105.8,2.4722,8.9,-0.5407,0.1,14.8333,1.3333,0.0833,11,38.3881,38.3881,0.2703,4,1,1,1,1,1,0.0833,,
Khalil Shakir,BUF,WR,59,No,Yes,No,59,No,Yes,0.0169,15,,0.6271,0.3559,6.3,10.3,8.3,10.3,10.3,10.3,8.3,10.3,10.3,10.3,8.3,10.3,10.3,11,3,5,0.4545,1,0.1864,4,0.3636,63,7,2,160,,5,14.5455,56.3,1.0678,5.7273,-4.2812,,15.75,1.75,0.5,4,28.5928,28.5928,0.1864,1,1,,,,,,,
Chris Blair,ATL,WR,1,No,No,No,1,No,Yes,,3,,,1,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,1,,1,1,,1,1,1,17,1,,16,,1,16,118.8,17,17,6.9048,,17,1,,1,1.4909,1.4909,1,,,,,,,,,
Brycen Tremayne,WAS,WR,1,No,Yes,Yes,1,No,No,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Woods,HST,WR,36,No,No,Yes,36,No,Yes,,15,,0.3611,0.6389,4.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,6,2,5,0.8333,,0.1667,3,0.5,43,2,1,83,,,13.8333,73.6,1.1944,7.1667,-2.2923,,14.3333,0.6667,0.3333,3,10.4991,10.4991,0.1667,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,102,Yes,Yes,Yes,102,No,No,,17,,0.8529,0.1471,51,70,60.5,70,70,73,63.5,70,70,70,60.5,70,70,30,5,22,0.7333,5,0.2941,19,0.6333,330,56,21,457,1,22,15.2333,120.1,3.2353,11,0.8413,0.0333,17.3684,2.9474,1.1053,18,60.3661,60.3661,0.2941,6,2,1,3,2,3,0.1579,,
Sam LaPorta,DET,TE,99,No,Yes,Yes,84,No,No,,16,0.5119,0.2381,0.25,42,55,48.5,55,61.5,58,51.5,55,55,55,48.5,61.5,55,22,6,15,0.6818,5,0.2619,13,0.5909,240,72,16,318,1,18,14.4545,117.4,2.8571,10.9091,1.0508,0.0455,18.4615,5.5385,1.2308,12,49.9597,49.9597,0.2222,6,5,,3,2,,,,
D'Wayne Eskridge,MIA,WR,2,No,No,Yes,2,No,No,,6,,,1,3,4,3.5,4,4,4,3.5,4,4,4,3.5,4,4,1,,1,1,,0.5,1,1,30,18,3,12,,1,12,118.8,15,30,20.9539,,30,18,3,1,1.4695,1.4695,0.5,,,,,,,,,
Parker Hesse,DET,TE,4,No,No,No,3,No,No,0.3333,5,0.3333,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Cephus,JAX,WR,1,No,No,No,1,No,No,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Dwelley,ATL,TE,2,No,No,No,2,No,Yes,,14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Boone,CAR,RB,4,No,No,No,4,No,Yes,0.5,5,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velus Jones,CAR,WR,1,No,No,No,1,No,No,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Mallory,IND,TE,16,No,No,No,16,No,Yes,,10,0.3125,0.4375,0.25,,,,,,,,,,,,,,4,1,1,0.25,,0.25,,,,,,57,,2,14.25,,,,-10.5692,,,,,,8.7201,8.7201,0.25,,,,,,,,,
Chris Rodriguez Jr.,WAS,RB,7,No,No,Yes,5,Yes,Yes,0.8,7,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olamide Zaccheaus,WAS,WR,56,No,No,Yes,56,Yes,Yes,,17,,0.4107,0.5893,27.8,36.8,32.3,36.8,36.8,39.8,35.3,36.8,36.8,36.8,32.3,36.8,36.8,14,,12,0.8571,1,0.25,9,0.6429,158,40,5,192,3,9,13.7143,142.3,2.8214,11.2857,1.7859,0.2143,17.5556,4.4444,0.5556,9,28.3124,28.3124,0.25,2,,,2,1,2,0.2222,,
Drake London,ATL,WR,141,No,No,No,139,No,Yes,,17,,0.3885,0.6115,66.5,95.5,81,95.5,95.5,98.5,84,95.5,95.5,95.5,81,95.5,95.5,59,11,35,0.5932,5,0.4245,29,0.4915,485,74,49,867,3,46,14.6949,54.7,3.4892,8.2203,-1.8341,0.0508,16.7241,2.5517,1.6897,26,115.2127,115.2127,0.4184,5,6,,3,2,5,0.1724,,
Jalen Tolbert,DAL,WR,97,No,No,Yes,97,Yes,Yes,,17,,0.3093,0.6907,41.3,52.3,46.8,52.3,52.3,55.3,49.8,52.3,52.3,52.3,46.8,52.3,52.3,19,4,15,0.7895,5,0.1959,11,0.5789,173,39,18,267,2,15,14.0526,127.9,1.7835,9.1053,-0.5177,0.1053,15.7273,3.5455,1.6364,11,42.0921,42.0921,0.1959,6,1,,4,4,1,0.0909,,
Bub Means,NO,WR,10,No,No,No,10,No,No,,7,,0.6,0.4,10.7,14.7,12.7,14.7,14.7,14.7,12.7,14.7,14.7,14.7,12.7,14.7,14.7,5,1,4,0.8,1,0.5,4,0.8,47,-1,-1,65,,4,13,145.4,4.7,9.4,0.1002,,11.75,-0.25,-0.25,4,9.7934,9.7934,0.5,1,1,,1,1,,,,
Alec Pierce,IND,WR,99,No,Yes,No,99,Yes,Yes,,16,,0.1515,0.8485,45.7,61.7,53.7,61.7,61.7,64.7,56.7,61.7,61.7,61.7,53.7,61.7,61.7,26,2,20,0.7692,5,0.2626,16,0.6154,217,10,4,382,3,21,14.6923,95.7,2.1919,8.3462,-1.5799,0.1154,13.5625,0.625,0.25,16,56.4993,56.4993,0.2626,5,1,1,4,4,,,,
Irvin Charles,NYJ,WR,2,No,No,No,2,No,Yes,,10,0.5,,0.5,,,,,,,,,,,,,,1,,,,1,0.5,,,,,,12,,,12,39.6,,,-9.0461,,,,,,3.1286,3.1286,0.5,1,,,,,,,,
Bo Melton,GB,WR,12,No,No,No,12,No,Yes,0.0833,17,,0.5,0.4167,3.2,5.2,4.2,5.2,5.2,5.2,4.2,5.2,5.2,5.2,4.2,5.2,5.2,2,,2,1,,0.1667,2,1,32,1,,31,,1,15.5,118.8,2.6667,16,6.0932,,16,0.5,,2,5.4677,5.4677,0.1667,,,,,,,,,
Jake Tonges,SF,TE,3,No,Yes,Yes,3,Yes,No,,10,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Skowronek,PIT,WR,9,No,No,No,9,No,Yes,,9,0.2222,0.6667,0.1111,4,6,5,6,6,6,5,6,6,6,5,6,6,2,,2,1,,0.2222,2,1,40,16,5,24,,2,12,118.8,4.4444,20,11.3433,,20,8,2.5,2,3.778,3.778,0.2222,,,,,,,,,
Trey Benson,ARZ,RB,14,No,No,No,9,No,Yes,0.7778,13,,,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Chestnut,TEN,RB,14,No,No,Yes,12,No,Yes,0.8333,14,,0.0833,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,86,Yes,No,No,83,No,Yes,,17,,0.8313,0.1687,21.7,30.7,26.2,30.7,30.7,33.7,29.2,30.7,30.7,30.7,26.2,30.7,30.7,18,1,11,0.6111,2,0.2169,9,0.5,157,41,28,246,1,15,13.6667,98.6,1.8916,8.7222,-0.8208,0.0556,17.4444,4.5556,3.1111,8,32.1111,32.1111,0.2093,2,,1,1,1,2,0.2222,,
Zach Davidson,BUF,TE,2,No,Yes,No,2,No,No,,3,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Flournoy,DAL,WR,11,No,No,Yes,11,Yes,Yes,,11,,0.1818,0.8182,4.3,7.3,5.8,7.3,7.3,7.3,4.8,6.3,6.3,6.3,4.8,7.3,6.3,4,,3,0.75,,0.3636,3,0.75,53,9,2,58,,2,14.5,116.7,4.8182,13.25,3.3362,,17.6667,3,0.6667,2,10.2797,10.2797,0.3636,,,,,,1,0.3333,,
Mike Gesicki,CIN,TE,86,No,No,No,83,No,Yes,0.012,17,0.0964,0.6867,0.2048,37.1,51.1,44.1,51.1,58.1,54.1,47.1,51.1,51.1,51.1,44.1,58.1,51.1,25,8,17,0.68,4,0.3012,14,0.56,251,64,8,344,2,14,13.76,117.3,3.0241,10.04,0.2262,0.08,17.9286,4.5714,0.5714,14,51.7252,51.7252,0.2907,4,6,1,2,1,,,,
D'Onta Foreman,CLV,RB,19,No,No,No,15,No,No,0.8667,11,,0.1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deebo Samuel,SF,WR,93,No,No,No,93,No,No,0.0645,15,,0.3871,0.5484,7,11,9,11,11,11,9,11,11,11,9,11,11,14,4,10,0.7143,1,0.1505,4,0.2857,70,3,2,193,3,12,13.7857,18.2,0.7527,5,-4.4642,0.2143,17.5,0.75,0.5,4,25.4605,25.4605,0.1505,1,,1,,,,,,
Devin Duvernay,JAX,WR,21,No,Yes,No,21,Yes,Yes,,13,,0.5238,0.4762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clyde Edwards-Helaire,NO,RB,5,No,Yes,Yes,5,No,Yes,0.8,2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikko Remigio,KC,WR,4,Yes,No,No,4,No,Yes,,5,,1,,4.8,6.8,5.8,6.8,6.8,6.8,5.8,6.8,6.8,6.8,5.8,6.8,6.8,4,,3,0.75,,1,2,0.5,48,16,7,54,1,2,13.5,93.8,12,12,2.6854,0.25,24,8,3.5,2,6.2424,6.2424,1,,,1,,,,,,
Hayden Hurst,LAC,TE,12,No,No,No,12,Yes,Yes,,9,0.1667,0.5833,0.25,,,,,,,,,,,,,,2,,,,2,0.1667,,,,,,25,,1,12.5,39.6,,,-9.2038,,,,,,5.2609,5.2609,0.1667,2,,,,,,,,
Rashod Bateman,BLT,WR,100,No,No,No,100,No,No,,17,,0.07,0.93,41.4,56.4,48.9,56.4,56.4,59.4,51.9,56.4,56.4,56.4,48.9,56.4,56.4,20,1,17,0.85,4,0.2,15,0.75,234,30,3,292,1,13,14.6,152.9,2.34,11.7,1.7199,0.05,15.6,2,0.2,15,44.9848,44.9848,0.2,4,,,3,3,,,,
Grant Calcaterra,PHI,TE,49,Yes,No,No,39,No,Yes,,17,0.3846,0.5385,0.0769,13,19,16,19,22,22,19,19,19,19,16,22,19,6,,6,1,,0.1538,6,1,130,46,12,84,,4,14,118.8,3.3333,21.6667,11.5677,,21.6667,7.6667,2,6,9.2376,9.2376,0.1224,,,,,,,,,
Josh Jacobs,GB,RB,41,No,No,No,28,No,Yes,0.9643,17,,,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cade Stover,HST,TE,39,No,No,Yes,23,No,Yes,0.087,15,0.6087,0.1739,0.1304,2.7,3.7,3.2,3.7,4.2,3.7,3.2,3.7,3.7,3.7,3.2,4.2,3.7,4,1,2,0.5,,0.1739,1,0.25,27,13,4,56,,4,14,55.2,1.1739,6.75,-3.213,,27,13,4,1,6.0631,6.0631,0.1026,,,,,,,,,
Jaylen Waddle,MIA,WR,107,No,No,No,105,No,Yes,0.0095,15,0.0095,0.2286,0.7524,42,65,53.5,65,65,68,56.5,65,65,65,53.5,65,65,35,1,28,0.8,1,0.3333,23,0.6571,360,53,28,476,4,27,13.6,97.3,3.4286,10.2857,0.8309,0.1143,15.6522,2.3043,1.2174,22,61.4538,61.4538,0.3271,2,,1,1,1,2,0.087,,
Scott Miller,PIT,WR,8,No,Yes,No,8,No,Yes,,13,,0.25,0.75,,,,,,,,,,,,,,2,,,,,0.25,,,,,,29,,2,14.5,39.6,,,-9.6071,,,,,,3.3752,3.3752,0.25,,,,,,,,,
Tee Higgins,CIN,WR,93,No,No,No,93,No,Yes,,12,,0.129,0.871,42.7,66.7,54.7,66.7,66.7,69.7,57.7,66.7,66.7,66.7,54.7,66.7,66.7,41,10,30,0.7317,5,0.4409,24,0.5854,367,69,37,515,2,34,12.561,96.3,3.9462,8.9512,0.0012,0.0488,15.2917,2.875,1.5417,22,75.6216,75.6216,0.4409,5,6,1,1,1,2,0.0833,,
Jeremy McNichols,WAS,RB,28,No,No,Yes,19,Yes,Yes,0.5789,17,,0.4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerome Ford,CLV,RB,65,No,No,Yes,54,No,No,0.5741,14,0.3148,0.0556,0.0556,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,1,1,1,1,,0.0185,1,1,12,2,2,10,,,10,116.7,0.2222,12,4.8269,,12,2,2,1,1.5287,1.5287,0.0154,,1,,,,,,,
