Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,AlignmentBackfieldRoutesPercentage,ReceptionsHero,TouchdownsTotal,TargetsInEndzone,TouchdownsInEndzone
Teagan Quitoriano,HST,TE,18,Yes,No,No,13,,No,Yes,,,,,,,,,,0.8462,0.0769,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,18,No,No,No,15,2,No,Yes,2,1,0.1333,1,0.5,13,8,3,14,,0.5333,0.4667,2,7,70.8,0.8667,6.5,-0.4083,13,8,3,4.6019,4.6019,0.1111,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,15,1,,,,,,,,1,,,,,,
Tanner Conner,MIA,TE,6,No,No,Yes,6,3,No,Yes,3,1,0.5,3,1,16,4,2,12,0.3333,0.5,0.1667,1,4,88.9,2.6667,5.3333,-1.05,5.3333,1.3333,0.6667,4.7518,4.7518,0.5,1.6,4.6,3.1,4.6,6.1,4.6,3.1,4.6,4.6,4.6,3.1,6.1,4.6,7,,,,,,,,,1,1,,,,,
Quintin Morris,BUF,TE,28,No,No,Yes,26,5,No,Yes,5,1,0.1923,4,0.8,31,15,3,22,0.5,0.2692,0.2308,2,4.4,132.1,1.1923,6.2,-0.1657,7.75,3.75,0.75,10.8736,10.8736,0.1786,9.1,13.1,11.1,13.1,15.1,13.1,11.1,13.1,13.1,13.1,11.1,15.1,13.1,16,,,1,,,,,0.2,2,1,,,1,1,1
Ja'Tavion Sanders,CAR,TE,106,No,Yes,No,97,19,No,Yes,16,0.8421,0.1959,13,0.6842,131,75,42,76,0.2474,0.5773,0.1753,10,4,87.8,1.3505,6.8947,0.4676,10.0769,5.7692,3.2308,30.6505,30.6505,0.1792,13.1,26.1,19.6,26.1,32.6,29.1,22.6,26.1,26.1,26.1,19.6,32.6,26.1,16,1,1,3,3,0.2308,,,0.1579,3,3,,,,,
Dareke Young,SEA,WR,1,No,No,No,1,1,No,No,,,1,,,,,,9,,,1,1,9,39.6,,,-7.4539,,,,1.5704,1.5704,1,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,170,No,No,Yes,163,33,No,Yes,30,0.9091,0.2025,29,0.8788,226,107,50,155,0.3988,0.4294,0.1718,27,4.697,115.4,1.3865,6.8485,0.3095,7.7931,3.6897,1.7241,52.8923,52.8923,0.1941,34.6,63.6,49.1,63.6,78.1,66.6,52.1,63.6,63.6,63.6,49.1,78.1,63.6,17,3,2,,4,0.1379,,,,12,3,,,2,1,1
David Montgomery,DET,RB,82,No,No,Yes,63,19,No,No,17,0.8947,0.3016,17,0.8947,169,133,67,42,,0.0476,0.0317,2,2.2105,103.7,2.6825,8.8947,2.6188,9.9412,7.8235,3.9412,27.1565,27.1565,0.2317,16.9,33.9,25.4,42.4,33.9,36.9,28.4,33.9,33.9,33.9,25.4,33.9,33.9,14,1,1,,12,0.7059,,,,7,1,0.9206,,,,
Mack Hollins,BUF,WR,125,No,No,Yes,114,21,No,Yes,21,1,0.1842,19,0.9048,196,77,12,133,0.0175,0.2982,0.6842,15,6.3333,121.4,1.7193,9.3333,2.4835,10.3158,4.0526,0.6316,33.2322,33.2322,0.168,25.6,44.6,35.1,44.6,44.6,47.6,38.1,44.6,44.6,44.6,35.1,44.6,44.6,17,2,2,,,,,,,14,1,,,1,1,1
Tyler Boyd,TEN,WR,161,No,Yes,No,158,28,No,Yes,24,0.8571,0.1772,22,0.7857,193,80,32,143,,0.8544,0.1456,22,5.1071,80.5,1.2215,6.8929,0.5167,8.7727,3.6364,1.4545,49.6009,49.6009,0.1739,19.3,41.3,30.3,41.3,41.3,44.3,33.3,41.3,41.3,41.3,30.3,41.3,41.3,16,2,2,2,1,0.0455,,,0.0714,11,3,,,,2,
Andrew Ogletree,IND,TE,37,No,No,No,29,5,No,Yes,5,1,0.1724,4,0.8,34,18,5,25,0.6552,0.2414,0.1034,2,5,134.6,1.1724,6.8,0.265,8.5,4.5,1.25,10.5276,10.5276,0.1351,9.4,13.4,11.4,13.4,15.4,13.4,11.4,13.4,13.4,13.4,11.4,15.4,13.4,17,,,1,,,,,0.2,1,2,,,1,,
Jaylen Warren,PIT,RB,106,No,Yes,No,75,18,No,Yes,16,0.8889,0.24,16,0.8889,144,111,32,40,0.0533,0.0267,0.0267,2,2.2222,100,1.92,8,1.776,9,6.9375,2,28.5376,28.5376,0.1698,14.4,30.4,22.4,38.4,30.4,33.4,25.4,30.4,30.4,30.4,22.4,30.4,30.4,15,,,,4,0.25,,,,7,5,0.8933,,,,
Kendrick Bourne,NE,WR,119,No,No,Yes,115,20,No,Yes,19,0.95,0.1739,17,0.85,158,57,28,127,,0.2261,0.7739,17,6.35,99.6,1.3739,7.9,1.1291,9.2941,3.3529,1.6471,40.6383,40.6383,0.1681,15.8,32.8,24.3,32.8,32.8,35.8,27.3,32.8,32.8,32.8,24.3,32.8,32.8,12,1,1,1,,,,,0.05,6,,,,,,
