Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,AlignmentBackfieldRoutesPercentage,ReceptionsHero,TouchdownsTotal,TargetsInEndzone,TouchdownsInEndzone
Charlie Jones,CIN,WR,8,No,No,No,8,1,No,Yes,1,1,0.125,1,1,5,,,5,,0.875,0.125,1,5,87.5,0.625,5,-1.3628,5,,,1.6126,1.6126,0.125,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,8,,,,,,,,,,,,,,,
Rasheen Ali,BLT,RB,5,No,No,Yes,5,,No,No,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,0.8,,,,
Saquon Barkley,PHI,RB,136,Yes,Yes,No,101,15,No,Yes,15,1,0.1485,14,0.9333,133,85,61,52,,0.099,0.099,4,3.4667,103.6,1.3168,8.8667,2.1836,9.5,6.0714,4.3571,24.2723,24.2723,0.1103,13.3,27.3,20.3,34.3,27.3,30.3,23.3,27.3,27.3,27.3,20.3,27.3,27.3,16,,,1,4,0.2857,,,0.0667,5,3,0.802,,,,
Evan Engram,JAX,TE,87,No,No,No,83,34,No,No,28,0.8235,0.4096,27,0.7941,193,79,29,142,0.3133,0.4699,0.2169,25,4.1765,90.3,2.3253,5.6765,-0.8127,7.1481,2.9259,1.0741,54.4137,54.4137,0.3908,19.3,46.3,32.8,46.3,59.8,49.3,35.8,46.3,46.3,46.3,32.8,59.8,46.3,9,1,,,,,,,,9,1,,,,,
Jamari Thrash,CLV,WR,39,No,No,Yes,39,4,No,No,3,0.75,0.1026,3,0.75,22,13,4,16,,0.6667,0.3333,3,4,87.5,0.5641,5.5,-0.4747,7.3333,4.3333,1.3333,5.6118,5.6118,0.1026,2.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,9,,,,,,,,,2,,,,,,
Connor Heyward,PIT,TE,26,No,No,No,24,6,No,Yes,6,1,0.25,5,0.8333,24,5,-1,24,0.25,0.3333,0.2083,2,4,83.3,1,4,-2.6349,4.8,1,-0.2,8.4682,8.4682,0.2308,2.4,7.4,4.9,7.4,9.9,7.4,4.9,7.4,7.4,7.4,4.9,9.9,7.4,16,1,,,,,,,,2,,0.2083,,,,
Adonai Mitchell,IND,WR,73,No,No,No,71,18,No,Yes,13,0.7222,0.2535,11,0.6111,127,81,18,87,,0.2113,0.7887,18,4.8333,82.4,1.7887,7.0556,0.7405,11.5455,7.3636,1.6364,26.4325,26.4325,0.2466,12.7,23.7,18.2,23.7,23.7,26.7,21.2,23.7,23.7,23.7,18.2,23.7,23.7,17,1,,,,,,,,7,1,,,,,
Nick Westbrook-Ikhine,TEN,WR,154,No,No,No,151,23,No,Yes,15,0.6522,0.1523,14,0.6087,126,53,38,125,,0.1722,0.8278,19,5.4348,50.5,0.8344,5.4783,-1.0928,9,3.7857,2.7143,37.9358,37.9358,0.1494,18.6,32.6,25.6,32.6,32.6,35.6,28.6,32.6,32.6,32.6,25.6,32.6,32.6,17,3,1,1,5,0.3571,,,0.0435,9,4,,,1,2,1
Jake Bobo,SEA,WR,60,No,No,No,57,10,No,No,10,1,0.1754,10,1,70,19,6,54,,0.2982,0.6842,5,5.4,129.2,1.2281,7,0.4826,7,1.9,0.6,17.9662,17.9662,0.1667,13,23,18,23,23,23,18,23,23,23,18,23,23,17,2,2,,1,0.1,,,,5,2,0.0175,,1,1,1
Brevyn Spann-Ford,DAL,TE,50,No,No,Yes,44,9,Yes,Yes,8,0.8889,0.2045,7,0.7778,63,38,14,32,0.4091,0.5,0.0682,6,3.5556,95.8,1.4318,7,0.653,9,5.4286,2,12.7854,12.7854,0.18,6.3,13.3,9.8,13.3,16.8,13.3,9.8,13.3,13.3,13.3,9.8,16.8,13.3,17,1,,,,,,,,4,1,0.0227,,,,
Tyler Higbee,LA,TE,16,No,No,No,14,8,No,No,5,0.625,0.5714,5,0.625,38,17,5,39,0.7143,0.2143,0.0714,6,4.875,113.5,2.7143,4.75,-1.9355,7.6,3.4,1,16.5936,16.5936,0.5,9.8,14.8,12.3,14.8,17.3,14.8,12.3,14.8,14.8,14.8,12.3,17.3,14.8,3,1,1,,,,,,,3,4,,,1,1,
Parris Campbell,PHI,WR,32,Yes,No,No,30,6,No,Yes,5,0.8333,0.2,5,0.8333,25,3,2,36,,0.7667,0.2333,4,6,123.6,0.8333,4.1667,-2.586,5,0.6,0.4,12.76,12.76,0.1875,8.5,13.5,11,13.5,13.5,13.5,11,13.5,13.5,13.5,11,13.5,13.5,5,,,,,,,,,1,1,,,1,1,1
Marquez Valdes-Scantling,NO,WR,109,No,No,Yes,108,12,No,Yes,11,0.9167,0.1111,9,0.75,142,92,6,75,,0.213,0.787,10,6.25,153.5,1.3148,11.8333,5.0349,15.7778,10.2222,0.6667,21.0723,21.0723,0.1101,26.2,35.2,30.7,35.2,35.2,38.2,33.7,35.2,35.2,35.2,30.7,35.2,35.2,14,1,,1,,,,,0.0833,5,1,,,2,1,1
Kayshon Boutte,NE,WR,180,No,No,Yes,174,33,No,Yes,29,0.8788,0.1897,27,0.8182,223,77,21,192,0.0057,0.1609,0.8333,30,5.8182,94.8,1.2816,6.7576,0.0988,8.2593,2.8519,0.7778,56.2655,56.2655,0.1833,22.3,49.3,35.8,49.3,49.3,52.3,38.8,49.3,49.3,49.3,35.8,49.3,49.3,15,,,2,3,0.1111,,,0.0606,10,3,,,,1,
Hunter Long,LA,TE,35,No,No,No,27,7,No,No,6,0.8571,0.2593,6,0.8571,42,23,8,22,0.7037,0.1481,0.1481,5,3.1429,91.7,1.5556,6,-0.2004,7,3.8333,1.3333,9.836,9.836,0.2,4.2,10.2,7.2,10.2,13.2,10.2,7.2,10.2,10.2,10.2,7.2,13.2,10.2,17,,,,,,,,,1,,,,,,
Ben Sims,GB,TE,23,Yes,No,No,14,3,No,Yes,3,1,0.2143,3,1,14,7,2,7,0.6429,0.1429,0.1429,1,2.3333,86.1,1,4.6667,-1.6873,4.6667,2.3333,0.6667,5.3772,5.3772,0.1304,1.4,4.4,2.9,4.4,5.9,4.4,2.9,4.4,4.4,4.4,2.9,5.9,4.4,16,,,,,,,,,,1,0.0714,,,,
DeAndre Carter,CHI,WR,31,No,No,No,31,7,No,Yes,6,0.8571,0.2258,6,0.8571,45,15,12,34,,0.7742,0.2258,6,4.8571,53.9,1.4516,6.4286,0.0201,7.5,2.5,2,14.2885,14.2885,0.2258,4.5,10.5,7.5,10.5,10.5,10.5,7.5,10.5,10.5,10.5,7.5,10.5,10.5,13,,,,1,0.1667,,,,1,2,,,,,
Robbie Chosen,MIA,WR,3,No,No,No,3,1,No,Yes,1,1,0.3333,1,1,5,1,1,4,,0.3333,0.6667,1,4,87.5,1.6667,5,-1.0498,5,1,1,1.5114,1.5114,0.3333,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,2,,,,,,,,,,,,,,,
Adam Trautman,DEN,TE,83,No,No,No,54,16,No,Yes,11,0.6875,0.2963,9,0.5625,102,76,9,55,0.6667,0.2222,0.1111,7,3.4375,75.5,1.8889,6.375,0.016,11.3333,8.4444,1,25.9545,25.9545,0.1928,10.2,19.2,14.7,19.2,23.7,22.2,17.7,19.2,19.2,19.2,14.7,23.7,19.2,17,2,,,,,,,,4,3,,,,,
Ja'Marr Chase,CIN,WR,300,No,Yes,No,297,81,No,Yes,76,0.9383,0.2727,66,0.8148,627,304,122,411,,0.3401,0.6263,73,5.0741,101,2.1111,7.7407,1.3409,9.5,4.6061,1.8485,139.0287,139.0287,0.27,80.7,146.7,113.7,146.7,146.7,149.7,116.7,146.7,146.7,146.7,113.7,146.7,146.7,17,8,5,5,9,0.1364,1,0.0123,0.0617,30,18,0.0337,1,3,5,1
D'Andre Swift,CHI,RB,125,Yes,No,No,96,17,No,Yes,17,1,0.1771,15,0.8824,89,47,13,47,,0.0417,0.1875,3,2.7647,88.5,0.9271,5.2353,-1.1957,5.9333,3.1333,0.8667,23.7628,23.7628,0.136,8.9,23.9,16.4,31.4,23.9,23.9,16.4,23.9,23.9,23.9,16.4,23.9,23.9,17,,,2,1,0.0667,,,0.1176,2,,0.7708,,,,
Jonathan Mingo,DAL,WR,102,No,No,Yes,99,15,Yes,Yes,7,0.4667,0.1515,4,0.2667,33,11,4,88,0.0101,0.3939,0.596,13,5.8667,39.6,0.3333,2.2,-4.5146,8.25,2.75,1,27.6164,27.6164,0.1471,3.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,17,3,1,1,,,,,0.0667,1,1,,,,,
Cooper Kupp,LA,WR,156,No,No,Yes,156,51,Yes,Yes,45,0.8824,0.3269,37,0.7255,264,99,35,227,,0.6026,0.3974,48,4.451,97.2,1.6923,5.1765,-1.01,7.1351,2.6757,0.9459,78.1023,78.1023,0.3269,38.4,75.4,56.9,75.4,75.4,78.4,59.9,75.4,75.4,75.4,56.9,75.4,75.4,12,8,1,2,4,0.1081,,,0.0392,10,3,,,2,1,1
Steven Sims,BLT,WR,1,No,No,Yes,1,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
Tommy Tremble,CAR,TE,91,No,Yes,No,83,19,No,Yes,17,0.8947,0.2289,15,0.7895,122,59,39,83,0.3735,0.4578,0.1566,15,4.3684,111,1.4699,6.4211,0.0443,8.1333,3.9333,2.6,29.147,29.147,0.2088,17.2,32.2,24.7,32.2,39.7,35.2,26.7,31.2,31.2,31.2,23.7,39.7,31.2,12,5,3,,2,0.1333,,,,7,2,0.012,,1,,
James Conner,ARZ,RB,125,No,No,Yes,96,13,Yes,Yes,13,1,0.1354,12,0.9231,83,63,27,22,,0.0417,0.1771,4,1.6923,93.3,0.8646,6.3846,0.2794,6.9167,5.25,2.25,19.0579,19.0579,0.104,8.3,20.3,14.3,26.3,20.3,20.3,14.3,20.3,20.3,20.3,14.3,20.3,20.3,16,,,1,5,0.4167,1,0.0769,0.0769,2,4,0.7812,,,,
Justice Hill,BLT,RB,87,No,No,No,61,9,No,Yes,8,0.8889,0.1475,8,0.8889,88,68,6,24,,0.0656,0.0328,1,2.6667,144.4,1.4426,9.7778,3.4206,11,8.5,0.75,13.4758,13.4758,0.1034,14.8,22.8,18.8,26.8,22.8,22.8,18.8,22.8,22.8,22.8,18.8,22.8,22.8,16,,,,2,0.25,,,,4,,0.9016,,1,,
Anthony Firkser,KC,TE,4,No,No,No,4,,No,Yes,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
Sincere McCormick,LV,RB,12,No,No,No,5,1,No,Yes,1,1,0.2,1,1,2,,,2,,,,,2,79.2,0.4,2,-4.3947,2,,,1.256,1.256,0.0833,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,4,,,,,,,,,,,1,,,,
K.J. Osborn,WAS,WR,53,No,No,Yes,53,13,Yes,Yes,7,0.5385,0.2453,5,0.3846,31,4,5,65,,0.3585,0.6415,10,5,46.6,0.5849,2.3846,-4.0088,6.2,0.8,1,18.5811,18.5811,0.2453,3.1,8.1,5.6,8.1,8.1,8.1,5.6,8.1,8.1,8.1,5.6,8.1,8.1,9,2,1,2,,,,,0.1538,1,2,,1,,,
Tyler Conklin,NYJ,TE,205,No,No,Yes,182,30,No,Yes,25,0.8333,0.1648,23,0.7667,206,122,56,134,0.4341,0.4615,0.0989,21,4.4667,127.9,1.1319,6.8667,0.2977,8.9565,5.3043,2.4348,51.0038,51.0038,0.1463,38.6,61.6,50.1,61.6,73.1,64.6,53.1,61.6,61.6,61.6,50.1,73.1,61.6,16,2,,,2,0.087,,,,15,3,0.0055,,3,3,3
Tom Kennedy,DET,WR,3,No,No,No,3,,No,Yes,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Blake Watson,DEN,RB,2,No,No,No,1,1,No,Yes,1,1,1,,,,,,2,,,,,2,39.6,,,-6.3947,,,,1.4082,1.4082,0.5,,,,,,,,,,,,,,2,1,,,,,,,,,,1,,,,
Chris Brooks,GB,RB,33,Yes,No,No,20,4,No,Yes,4,1,0.2,3,0.75,24,18,5,10,0.1,0.1,0.05,2,2.5,89.6,1.2,6,-0.3238,8,6,1.6667,7.9724,7.9724,0.1212,2.4,5.4,3.9,6.9,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,13,,,1,,,1,0.25,0.25,1,1,0.75,,,,
Dallin Holker,NO,TE,10,No,No,Yes,8,2,No,Yes,2,1,0.25,2,1,11,1,1,10,0.5,0.25,0.25,1,5,89.6,1.375,5.5,-0.98,5.5,0.5,0.5,2.7803,2.7803,0.2,1.1,3.1,2.1,3.1,4.1,3.1,2.1,3.1,3.1,3.1,2.1,4.1,3.1,12,1,1,,,,,,,,,,,,,
Christian Watson,GB,WR,94,Yes,No,No,92,15,No,Yes,13,0.8667,0.163,10,0.6667,79,31,5,77,,0.2717,0.7283,11,5.1333,101.8,0.8587,5.2667,-1.1237,7.9,3.1,0.5,24.1895,24.1895,0.1596,12.9,22.9,17.9,22.9,22.9,22.9,16.9,21.9,21.9,21.9,16.9,22.9,21.9,15,4,3,2,,,,,0.1333,3,4,,,1,1,1
DJ Chark,LAC,WR,23,No,No,No,22,4,No,Yes,3,0.75,0.1818,3,0.75,19,6,4,23,,0.1818,0.8182,3,5.75,124,0.8636,4.75,-1.7545,6.3333,2,1.3333,7.002,7.002,0.1739,7.9,10.9,9.4,10.9,10.9,10.9,9.4,10.9,10.9,10.9,9.4,10.9,10.9,7,,,,,,,,,1,1,,,1,1,1
Audric Estime,DEN,RB,11,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,1,,,,
Charlie Kolar,BLT,TE,23,No,No,Yes,19,7,No,No,6,0.8571,0.3684,5,0.7143,23,5,1,31,0.8421,0.1053,0.0526,4,4.4286,114.9,1.2105,3.2857,-3.0538,4.6,1,0.2,12.5437,12.5437,0.3043,8.3,13.3,10.8,13.3,15.8,13.3,10.8,13.3,13.3,13.3,10.8,15.8,13.3,13,2,1,,,,,,,1,1,,,1,1,1
Darnell Washington,PIT,TE,79,No,Yes,No,65,13,No,Yes,13,1,0.2,12,0.9231,94,59,27,46,0.7846,0.1231,0.0923,10,3.5385,122.4,1.4462,7.2308,0.7881,7.8333,4.9167,2.25,20.8185,20.8185,0.1646,15.4,27.4,21.4,27.4,33.4,27.4,21.4,27.4,27.4,27.4,21.4,33.4,27.4,17,,,,1,0.0833,,,,4,1,,,1,1,1
Zach Ertz,WAS,TE,187,No,No,Yes,181,56,Yes,Yes,47,0.8393,0.3094,44,0.7857,361,144,54,294,0.3425,0.5249,0.1271,40,5.25,109.9,1.9945,6.4464,-0.2668,8.2045,3.2727,1.2273,107.5202,107.5202,0.2995,60.1,104.1,82.1,104.1,126.1,107.1,85.1,104.1,104.1,104.1,82.1,126.1,104.1,17,5,3,2,2,0.0455,,,0.0357,19,13,0.0055,3,4,5,3
Greg Dortch,ARZ,WR,110,No,Yes,No,109,23,No,No,22,0.9565,0.211,20,0.8696,168,80,35,104,,0.7064,0.2936,20,4.5217,126.1,1.5413,7.3043,1.1151,8.4,4,1.75,38.088,38.088,0.2091,27.8,47.8,37.8,47.8,47.8,50.8,39.8,46.8,46.8,46.8,36.8,47.8,46.8,17,3,3,2,3,0.15,,,0.087,11,6,,,2,1,1
Terrell Jennings,NE,RB,7,No,No,Yes,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,
Tip Reiman,ARZ,TE,54,No,Yes,No,38,4,No,No,3,0.75,0.1053,3,0.75,19,8,4,15,0.7105,0.1842,0.1053,1,3.75,84.4,0.5,4.75,-1.4959,6.3333,2.6667,1.3333,5.7997,5.7997,0.0741,1.9,4.9,3.4,4.9,6.4,4.9,3.4,4.9,4.9,4.9,3.4,6.4,4.9,17,,,,1,0.3333,,,,,,,,,,
Davis Allen,LA,TE,59,No,No,No,56,9,No,No,7,0.7778,0.1607,6,0.6667,39,21,5,30,0.6607,0.1429,0.1786,3,3.3333,75.7,0.6964,4.3333,-2.0225,6.5,3.5,0.8333,16.6415,16.6415,0.1525,3.9,9.9,6.9,9.9,12.9,9.9,6.9,9.9,9.9,9.9,6.9,12.9,9.9,14,,,,,,,,,2,4,0.0179,,,1,
Javonte Williams,DEN,RB,132,No,No,No,88,27,No,Yes,22,0.8148,0.3068,20,0.7407,130,64,20,90,0.0227,,0.0795,5,3.3333,83.9,1.4773,4.8148,-1.7327,6.5,3.2,1,44.1407,44.1407,0.2045,13,33,23,43,33,36,26,33,33,33,23,33,33,17,1,1,1,1,0.05,,,0.037,6,4,0.8977,1,,,
Brady Russell,SEA,TE,1,No,No,No,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
Cam Akers,MIN,RB,49,No,No,No,39,4,Yes,Yes,4,1,0.1026,4,1,25,16,4,9,0.0513,0.0256,0.0256,1,2.25,132.3,0.641,6.25,-0.0357,6.25,4,1,6.2925,6.2925,0.0816,8.5,12.5,10.5,14.5,12.5,12.5,10.5,12.5,12.5,12.5,10.5,12.5,12.5,16,,,,1,0.25,,,,1,1,0.8974,,1,,
JaMycal Hasty,NE,RB,23,No,No,No,20,4,No,Yes,3,0.75,0.2,3,0.75,19,16,4,7,,,0.2,1,1.75,84.4,0.95,4.75,-1.2125,6.3333,5.3333,1.3333,5.6731,5.6731,0.1739,1.9,4.9,3.4,6.4,4.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,13,,,,2,0.6667,,,,1,,0.8,,,,
Courtland Sutton,DEN,WR,195,No,No,No,190,48,No,Yes,43,0.8958,0.2526,35,0.7292,251,58,25,275,,0.1789,0.8211,43,5.7292,91.6,1.3211,5.2292,-1.4158,7.1714,1.6571,0.7143,80.1088,80.1088,0.2474,34.18,69.18,51.68,69.18,69.18,72.18,53.68,68.18,68.18,68.18,50.68,69.2,68.2,17,5,2,3,2,0.0571,1,0.0208,0.0625,16,7,,1,1,1,1
John Samuel Shenker,LV,TE,12,No,No,No,8,1,No,Yes,1,1,0.125,1,1,7,3,1,4,0.375,0.375,0.25,1,4,95.8,0.875,7,0.9333,7,3,1,1.5114,1.5114,0.0833,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,7,,,,,,,,,,,,,,,
Tyler Goodson,IND,RB,31,No,No,No,29,6,No,Yes,6,1,0.2069,6,1,23,12,5,14,,0.2069,0.2069,1,2.3333,122.2,0.7931,3.8333,-2.4984,3.8333,2,0.8333,10.5469,10.5469,0.1935,8.3,14.3,11.3,17.3,14.3,14.3,11.3,14.3,14.3,14.3,11.3,14.3,14.3,16,,,,,,,,,1,1,0.5862,,1,1,1
Jordan Mason,SF,RB,69,Yes,No,No,59,11,Yes,Yes,10,0.9091,0.1864,10,0.9091,83,48,25,39,0.0169,0.0847,0.0508,1,3.5455,98.1,1.4068,7.5455,0.8422,8.3,4.8,2.5,17.0348,17.0348,0.1594,8.3,18.3,13.3,23.3,18.3,18.3,13.3,18.3,18.3,18.3,13.3,18.3,18.3,12,1,1,,2,0.2,,,,5,3,0.8475,,,,
Feleipe Franks,CAR,TE,3,No,Yes,No,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,0.5,,,,
Tre Tucker,LV,WR,276,No,No,No,272,28,No,Yes,25,0.8929,0.1029,22,0.7857,193,88,34,146,,0.2279,0.7721,22,5.2143,95.4,0.7096,6.8929,0.4254,8.7727,4,1.5455,42.6719,42.6719,0.1014,19.3,41.3,30.3,41.3,41.3,44.3,33.3,41.3,41.3,41.3,30.3,41.3,41.3,17,5,3,1,1,0.0455,,,0.0357,9,2,,,,,
Grant DuBose,MIA,WR,9,No,No,No,9,,No,Yes,,,,,,,,,,,0.4444,0.5556,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Tim Jones,JAX,WR,22,No,No,No,21,4,No,Yes,2,0.5,0.1905,2,0.5,30,18,,26,0.0476,0.4286,0.5238,3,6.5,75,1.4286,7.5,0.6591,15,9,,5.4876,5.4876,0.1818,3,5,4,5,5,5,4,5,5,5,4,5,5,16,1,1,,,,,,,2,,,,,,
Michael Pittman,IND,WR,156,No,No,No,152,39,No,Yes,34,0.8718,0.2566,30,0.7692,203,65,28,188,,0.2961,0.7039,32,4.8205,96.4,1.3355,5.2051,-1.1316,6.7667,2.1667,0.9333,61.0299,61.0299,0.25,25.3,55.3,40.3,55.3,55.3,58.3,42.3,54.3,54.3,54.3,39.3,55.3,54.3,16,9,7,1,2,0.0667,1,0.0256,0.0256,6,7,,,1,1,1
Jonathan Taylor,IND,RB,106,No,No,No,87,12,No,Yes,8,0.6667,0.1379,7,0.5833,53,34,10,30,,0.046,0.1264,4,2.5,96.9,0.6092,4.4167,-1.9072,7.5714,4.8571,1.4286,19.0171,19.0171,0.1132,11.3,18.3,14.8,21.8,18.3,18.3,14.8,18.3,18.3,18.3,14.8,18.3,18.3,14,,,1,,,,,0.0833,3,2,0.8276,,1,,
Troy Franklin,DEN,WR,77,No,No,No,76,9,No,Yes,7,0.7778,0.1184,7,0.7778,58,21,5,50,,0.3421,0.6579,6,5.5556,93.5,0.7632,6.4444,-0.1456,8.2857,3,0.7143,14.8466,14.8466,0.1169,5.8,12.8,9.3,12.8,12.8,12.8,9.3,12.8,12.8,12.8,9.3,12.8,12.8,16,1,1,,,,,,,2,1,,,,,
Javon Baker,NE,WR,15,No,No,Yes,14,1,No,Yes,,,0.0714,,,,,,6,,0.0714,0.9286,1,6,39.6,,,-6.9491,,,,1.4755,1.4755,0.0667,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
Malik Washington,MIA,WR,88,No,No,Yes,84,19,No,Yes,16,0.8421,0.2262,13,0.6842,97,32,23,94,0.0119,0.5595,0.4286,17,4.9474,80.4,1.1548,5.1053,-1.2583,7.4615,2.4615,1.7692,27.5486,27.5486,0.2159,9.7,22.7,16.2,22.7,22.7,22.7,16.2,22.7,22.7,22.7,16.2,22.7,22.7,14,4,2,2,2,0.1538,,,0.1053,6,,,,,,
Tyrell Shavers,BUF,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Laquon Treadwell,IND,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
River Cracraft,MIA,WR,32,No,No,Yes,31,5,No,Yes,5,1,0.1613,5,1,35,13,4,22,,0.2903,0.6774,4,4.4,95.8,1.129,7,0.8956,7,2.6,0.8,8.2195,8.2195,0.1562,3.5,8.5,6,8.5,8.5,8.5,6,8.5,8.5,8.5,6,8.5,8.5,8,,,,1,0.2,,,,2,1,0.0323,,,,
Tim Patrick,DET,WR,158,No,No,No,155,25,Yes,Yes,23,0.92,0.1613,23,0.92,208,93,50,137,,0.1935,0.8065,17,5.48,124.3,1.3419,8.32,1.8208,9.0435,4.0435,2.1739,44.7517,44.7517,0.1582,38.8,61.8,50.3,61.8,61.8,64.8,53.3,61.8,61.8,61.8,50.3,61.8,61.8,16,,,,5,0.2174,,,,13,6,,,3,3,2
Josh Reynolds,JAX,WR,88,No,No,No,85,10,No,Yes,7,0.7,0.1176,6,0.6,53,21,6,55,,0.2,0.8,8,5.5,74.2,0.6235,5.3,-1.3024,8.8333,3.5,1,15.148,15.148,0.1136,5.3,11.3,8.3,11.3,11.3,11.3,8.3,11.3,11.3,11.3,8.3,11.3,11.3,9,3,2,,1,0.1667,,,,3,1,,,,,
Noah Gray,KC,TE,111,No,No,No,94,22,No,Yes,19,0.8636,0.234,19,0.8636,160,75,19,111,0.3511,0.4468,0.1702,13,5.0455,127.3,1.7021,7.2727,0.6809,8.4211,3.9474,1,39.3507,39.3507,0.1982,28,47,37.5,47,56.5,50,40.5,47,47,47,37.5,56.5,47,17,1,1,,1,0.0526,,,,12,4,0.0319,1,2,2,2
Brian Thomas,JAX,WR,191,No,No,No,189,50,No,Yes,46,0.92,0.2646,40,0.8,361,199,82,229,,0.3122,0.6878,47,4.58,123.4,1.9101,7.22,1.0145,9.025,4.975,2.05,80.4626,80.4626,0.2618,60.1,100.1,80.1,100.1,100.1,103.1,83.1,100.1,100.1,100.1,80.1,100.1,100.1,17,4,,3,5,0.125,,,0.06,18,8,,,4,3,2
DeAndre Hopkins,KC,WR,131,No,No,No,130,41,No,Yes,35,0.8537,0.3154,33,0.8049,234,67,28,228,,0.2615,0.7385,36,5.561,102.6,1.8,5.7073,-0.8633,7.0909,2.0303,0.8485,74.6929,74.6929,0.313,47.4,80.4,63.9,80.4,80.4,83.4,66.9,80.4,80.4,80.4,63.9,80.4,80.4,16,11,9,,7,0.2121,,,,16,6,,1,4,3,2
Eric Tomlinson,LAC,TE,10,No,No,No,5,2,No,Yes,2,1,0.4,,,,,,9,0.8,,0.2,1,4.5,39.6,,,-6.2734,,,,3.6046,3.6046,0.2,,,,,,,,,,,,,,9,1,,1,,,,,0.5,,1,,,,,
Xavier Hutchinson,HST,WR,88,No,No,No,88,10,No,Yes,7,0.7,0.1136,6,0.6,47,14,7,60,,0.3182,0.6818,8,6,71.7,0.5341,4.7,-2.035,7.8333,2.3333,1.1667,18.8793,18.8793,0.1136,4.7,10.7,7.7,10.7,10.7,10.7,7.7,10.7,10.7,10.7,7.7,10.7,10.7,16,1,,,1,0.1667,,,,3,1,,,,1,
Simi Fehoko,LAC,WR,40,No,No,No,39,2,No,Yes,2,1,0.0513,1,0.5,9,2,,12,,0.2308,0.7692,2,6,62.5,0.2308,4.5,-2.2137,9,2,,2.9645,2.9645,0.05,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,8,1,,,,,,,,1,,,,,,
