Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,TargetsInEndzone,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,ReceptionsHero,TouchdownsTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,TouchdownsInEndzone
Zay Jones,ARZ,WR,14,No,No,No,14,3,Yes,1,Yes,2,0.6667,0.2143,2,1,0.6667,44,70,0.0714,0.9286,2,23.3333,3,70.1,3.1429,14.6667,2.7902,22,2,13.6847,13.6847,0.2143,4.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,6.4,5.4,6.4,6.4,11,,,,,,,,,,,,,,,
Irv Smith,HST,TE,6,No,Yes,No,3,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,
Stefon Diggs,HST,WR,18,No,No,No,18,6,No,,No,3,0.5,0.3333,3,,0.5,103,159,0.3889,0.6111,3,26.5,6,56.3,5.7222,17.1667,5.0812,34.3333,3,13.6343,13.6343,0.3333,10.3,13.3,11.8,13.3,13.3,16.3,14.8,13.3,13.3,13.3,11.8,13.3,13.3,8,,1,24,2,8,0.6667,,,,,,,,,
Ben Sinnott,WAS,TE,14,Yes,Yes,No,13,,No,,No,,,,,,,,,0.3077,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.6923,,,,,,,,,,,,,,
Darnell Mooney,ATL,WR,49,No,No,No,49,20,No,7,Yes,17,0.85,0.4082,13,3,0.65,357,529,0.3265,0.6531,17,26.45,20,120.8,7.2857,17.85,5.9147,27.4615,13,48.8498,48.8498,0.4082,47.7,60.7,54.2,60.7,60.7,63.7,57.2,60.7,60.7,60.7,54.2,60.7,60.7,16,,1,33,18,2.5385,1.3846,1,2,2,1,0.0769,0.0204,0.1,1,
Jeremy Ruckert,NYJ,TE,12,No,Yes,Yes,8,,No,,Yes,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.625,,,,,,,,,,,,,,
Kalif Raymond,DET,WR,10,No,No,Yes,10,3,No,,No,2,0.6667,0.3,1,,0.3333,21,81,0.3,0.7,3,27,3,59,2.1,7,-5.2474,21,1,6.141,6.141,0.3,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,12,,,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,43,No,Yes,No,43,10,No,4,No,8,0.8,0.2326,6,2,0.6,182,267,0.4651,0.5349,7,26.7,10,104.2,4.2326,18.2,6.6341,30.3333,6,30.82,30.82,0.2326,18.2,24.2,21.2,24.2,24.2,27.2,24.2,24.2,24.2,24.2,21.2,24.2,24.2,17,,1,14,8,2.3333,1.3333,3,,,,,,,,
Kaden Davis,CLV,WR,1,No,No,Yes,1,,Yes,,Yes,,,,,,,,,1,,,,,,,,,,,1.5878,1.5878,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Brandon Aiyuk,SF,WR,20,No,No,Yes,20,5,No,1,Yes,2,0.4,0.25,1,,0.2,38,121,0.25,0.75,1,24.2,5,19.2,1.9,7.6,-4.2408,38,1,14.0544,14.0544,0.25,3.8,4.8,4.3,4.8,4.8,4.8,4.3,4.8,4.8,4.8,4.3,4.8,4.8,7,,3,18,2,18,2,,,1,,,,0.2,1,
Allen Lazard,NYJ,WR,31,No,Yes,Yes,31,10,No,4,Yes,6,0.6,0.3226,5,3,0.5,170,289,0.6774,0.3226,5,28.9,10,95.8,5.4839,17,4.9299,34,5,22.5899,22.5899,0.3226,35,40,37.5,40,40,43,40.5,40,40,40,37.5,40,40,12,,2,24,4,4.8,0.8,1,3,,,,,,1,2
Curtis Samuel,BUF,WR,31,No,No,No,31,3,Yes,1,No,2,0.6667,0.0968,1,,0.3333,38,86,0.4839,0.4839,1,28.6667,3,81.9,1.2258,12.6667,0.4242,38,1,8.6052,8.6052,0.0968,3.8,4.8,4.3,4.8,4.8,4.8,4.3,4.8,4.8,4.8,4.3,4.8,4.8,14,0.0323,1,2,,2,,,,,,,,,,
Tyreik McAllister,LV,WR,1,No,Yes,Yes,1,,Yes,,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Tanner Hudson,CIN,TE,3,No,Yes,No,3,1,No,,No,,,0.3333,,,,,26,0.3333,,,26,1,39.6,,,-11.1524,,,1.427,1.427,0.3333,,,,,,,,,,,,,,11,0.3333,,,,,,,,,,,0.3333,,,
Najee Harris,PIT,RB,24,No,Yes,No,22,,No,,No,,,,,,,,,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.0909,,,,,,,,,,,0.8636,,,
Chase Brown,CIN,RB,25,No,No,Yes,21,1,No,,Yes,,,0.0476,,,,,26,0.0476,0.1429,1,26,1,39.6,,,-18.8636,,,5.0495,5.0495,0.04,,,,,,,,,,,,,,16,0.0476,1,,,,,,,,,,0.7619,,1,
Austin Ekeler,WAS,RB,22,Yes,Yes,No,19,,No,,No,,,,,,,,,0.4737,0.0526,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.0526,,,,,,,,,,,0.4211,,,
Jaheim Bell,NE,TE,3,No,No,No,3,,Yes,,No,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.3333,,,,,,,,,,,,,,
Devontez Walker,BLT,WR,3,No,No,Yes,3,3,Yes,,Yes,2,0.6667,1,1,,0.3333,21,98,,1,2,32.6667,3,98.6,7,7,-4.8414,21,1,4.9004,4.9004,1,8.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,7,,1,,,,,,1,1,,,,0.3333,,1
Daniel Bellinger,NYG,TE,22,No,No,No,18,,No,,No,,,,,,,,,0.6667,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.2778,,,,,,,,,,,,,,
Drew Sample,CIN,TE,26,No,Yes,No,13,,No,,No,,,,,,,,,0.0769,0.0769,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.3077,,,,,,,,,,,0.5385,,,
Patrick Taylor,SF,RB,4,No,No,No,3,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,1,,,
