Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero,TargetsContestedTotal,ReceptionsContested
Cody Thompson,TB,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
Jordan Whittington,LA,WR,28,Yes,No,No,20,8,No,Yes,8,1,0.4,8,1,81,108,21,-27,2,0.25,0.05,0.45,6,4,0.5,-3.375,108.9,4.05,10.125,5.3736,10.125,13.5,2.625,6,12.2599,12.2599,0.2857,8.1,16.1,12.1,16.1,16.1,16.1,12.1,16.1,16.1,16.1,12.1,16.1,16.1,15,0.5,,,,,,,,
Josh Whyle,TEN,TE,34,No,No,No,19,9,No,No,7,0.7778,0.4737,7,0.7778,47,56,18,-18,1,0.1429,,0.1579,6,2,0.2222,-2,88.4,2.4737,5.2222,-0.2145,6.7143,8,2.5714,3,12.715,12.715,0.2647,4.7,11.7,8.2,11.7,15.2,11.7,8.2,11.7,11.7,11.7,8.2,15.2,11.7,17,0.1579,,,,1,0.6842,,,
Travis Etienne,JAX,RB,55,No,Yes,No,39,32,No,Yes,26,0.8125,0.8205,26,0.8125,153,240,86,-101,9,0.3462,0.9487,0.0513,15,11,0.3438,-3.1562,86.6,3.9231,4.7812,-0.9298,5.8846,9.2308,3.3077,8,49.7548,49.7548,0.5818,15.3,41.3,28.3,54.3,41.3,44.3,31.3,41.3,41.3,41.3,28.3,41.3,41.3,15,,,,,2,,,,
Samaje Perine,KC,RB,35,Yes,No,No,29,24,No,Yes,24,1,0.8276,21,0.875,157,206,63,-56,8,0.381,0.931,0.0345,12,8,0.3333,-2.3333,93.9,5.4138,6.5417,0.7151,7.4762,9.8095,3,9,39.6915,39.6915,0.6857,15.7,36.7,26.2,47.2,36.7,39.7,29.2,36.7,36.7,36.7,26.2,36.7,36.7,17,0.0345,2,0.0833,,1,,,1,1
Myles Gaskin,MIN,RB,1,Yes,No,Yes,1,1,No,Yes,1,1,1,1,1,11,13,2,-2,,,,1,,,,-2,112.5,11,11,4.802,11,13,2,,1.7831,1.7831,1,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,4,,,,,,,,,
Saquon Barkley,PHI,RB,41,No,No,No,23,18,No,Yes,17,0.9444,0.7826,16,0.8889,94,166,76,-75,9,0.5625,0.8696,0.1304,8,7,0.3889,-4.1667,88.4,4.087,5.2222,-0.412,5.875,10.375,4.75,4,28.7713,28.7713,0.439,9.4,25.4,17.4,33.4,25.4,25.4,17.4,25.4,25.4,25.4,17.4,25.4,25.4,16,,1,0.0556,,5,,,,
Evan Engram,JAX,TE,38,Yes,No,No,30,12,No,Yes,12,1,0.4,11,0.9167,27,55,14,-28,1,0.0909,,0.4333,10,8,0.6667,-2.3333,79.2,0.9,2.25,-3.1003,2.4545,5,1.2727,,18.0533,18.0533,0.3158,2.7,13.7,8.2,13.7,19.2,13.7,8.2,13.7,13.7,13.7,8.2,19.2,13.7,9,0.2,1,0.0833,,1,0.3667,,,
Jamari Thrash,CLV,WR,13,No,No,Yes,7,1,No,Yes,1,1,0.1429,,,,,,-2,,,,0.7143,1,1,1,-2,39.6,,,-5.4991,,,,,1.4365,1.4365,0.0833,,,,,,,,,,,,,,9,0.2857,1,1,,,,,,
Will Dissly,LAC,TE,48,No,No,No,29,14,No,Yes,13,0.9286,0.4828,13,0.9286,96,127,34,-31,2,0.1538,,0.1724,10,9,0.6429,-2.2143,95.2,3.3103,6.8571,1.2758,7.3846,9.7692,2.6154,4,21.2698,21.2698,0.2917,9.6,22.6,16.1,22.6,29.1,22.6,16.1,22.6,22.6,22.6,16.1,29.1,22.6,15,,,,,2,0.8276,,,
KhaDarel Hodge,ATL,WR,20,Yes,No,No,10,3,No,Yes,3,1,0.3,3,1,36,41,9,-5,4,1.3333,,0.4,3,3,1,-1.6667,116.7,3.6,12,6.5072,12,13.6667,3,2,5.5258,5.5258,0.15,3.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,16,0.6,,,,,,,,
Miles Sanders,CAR,RB,41,Yes,No,No,28,21,No,Yes,19,0.9048,0.75,19,0.9048,55,135,41,-91,7,0.3684,0.5714,0.25,11,8,0.381,-4.3333,59.3,1.9643,2.619,-2.8864,2.8947,7.1053,2.1579,1,30.6913,30.6913,0.5122,5.5,24.5,15,34,24.5,24.5,15,24.5,24.5,24.5,15,24.5,24.5,11,0.1786,,,,2,,,,
Charlie Jones,CIN,WR,3,No,No,No,2,,No,Yes,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
Rasheen Ali,BLT,RB,2,No,No,Yes,2,2,No,Yes,1,0.5,1,,,,,,-7,,,1,,1,1,0.5,-3.5,39.6,,,-5.1779,,,,,2.6212,2.6212,1,,,,,,,,,,,,,,5,,1,0.5,,,,,,
Marquez Valdes-Scantling,NO,WR,51,No,No,No,35,1,No,Yes,1,1,0.0286,1,1,-1,1,1,-2,1,1,,0.2286,1,1,1,-2,79.2,-0.0286,-1,-6.4991,-1,1,1,,3.4445,3.4445,0.0196,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,14,0.7714,,,,1,,,,
Connor Heyward,PIT,TE,16,No,No,No,8,,No,Yes,,,,,,,,,,,,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,0.375,,,
Adonai Mitchell,IND,WR,28,No,Yes,No,19,3,No,Yes,3,1,0.1579,3,1,11,20,4,-9,,,,0.1579,3,3,1,-3,81.9,0.5789,3.6667,-1.4234,3.6667,6.6667,1.3333,1,4.3309,4.3309,0.1071,2.06,5.06,3.56,5.06,5.06,5.06,3.56,5.06,5.06,5.06,3.56,5.3,5.3,17,0.8421,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,78,No,No,No,49,,No,No,,,,,,,,,,,,,0.1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8367,,,,,,,,
Jake Bobo,SEA,WR,36,Yes,No,No,20,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,
Brevyn Spann-Ford,DAL,TE,25,No,No,No,15,1,No,Yes,1,1,0.0667,1,1,7,9,1,-2,1,1,,0.2667,,,,-2,95.8,0.4667,7,2.1489,7,9,1,1,1.5361,1.5361,0.04,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,17,,,,,,0.7333,,,
Tyler Higbee,LA,TE,7,Yes,No,No,6,4,No,Yes,3,0.75,0.6667,3,0.75,28,33,13,-9,,,,,4,2,0.5,-2.25,133.3,4.6667,7,1.6781,9.3333,11,4.3333,2,7.7508,7.7508,0.5714,8.8,11.8,10.3,11.8,13.3,11.8,10.3,11.8,11.8,11.8,10.3,13.3,11.8,3,0.1667,,,1,2,0.8333,,,
Parris Campbell,PHI,WR,8,No,No,No,5,1,No,Yes,1,1,0.2,1,1,5,5,1,,,,,0.8,1,,,,87.5,1,5,-1.0386,5,5,1,,1.4453,1.4453,0.125,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,5,0.2,,,,,,,,
Ben Sims,GB,TE,17,Yes,No,No,9,,No,Yes,,,,,,,,,,,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,0.8889,,,
DeAndre Carter,CHI,WR,12,Yes,Yes,Yes,7,2,No,No,2,1,0.2857,2,1,13,17,11,-4,1,0.5,,0.7143,2,2,1,-2,93.8,1.8571,6.5,1.0009,6.5,8.5,5.5,1,2.9237,2.9237,0.1667,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,13,0.2857,,,,,,,,
Robbie Chosen,MIA,WR,5,No,No,No,2,,No,Yes,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,,,,,,,,
Kayshon Boutte,NE,WR,64,No,No,No,40,1,No,Yes,1,1,0.025,1,1,3,6,4,-3,1,1,,0.05,1,,,-3,79.2,0.075,3,-1.9408,3,6,4,1,1.5014,1.5014,0.0156,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,15,0.95,,,,,,,,
Hunter Long,LA,TE,22,Yes,No,No,10,1,No,Yes,,,0.1,,,,,,-3,,,,0.1,1,,,-3,39.6,,,-5.8652,,,,,1.6569,1.6569,0.0455,,,,,,,,,,,,,,17,,,,,,0.9,,,
Jonathan Mingo,DAL,WR,58,No,No,No,44,8,No,Yes,8,1,0.1818,8,1,34,45,12,-11,2,0.25,,0.5227,4,2,0.25,-1.375,84.4,0.7727,4.25,-1.5228,4.25,5.625,1.5,1,12.0872,12.0872,0.1379,3.4,11.4,7.4,11.4,11.4,11.4,7.4,11.4,11.4,11.4,7.4,11.4,11.4,17,0.4773,,,,,,,,
Cooper Kupp,LA,WR,57,No,Yes,No,36,13,No,Yes,13,1,0.3611,13,1,54,80,21,-26,3,0.2308,,0.5278,11,5,0.3846,-2,84,1.5,4.1538,-1.2538,4.1538,6.1538,1.6154,1,20.5903,20.5903,0.2281,5.4,18.4,11.9,18.4,18.4,18.4,11.9,18.4,18.4,18.4,11.9,18.4,18.4,12,0.4722,,,,1,,,,
Tommy Tremble,CAR,TE,54,Yes,No,No,34,6,No,Yes,5,0.8333,0.1765,5,0.8333,42,44,22,-2,1,0.2,0.0588,0.1765,4,1,0.1667,-0.3333,95.8,1.2353,7,1.8402,8.4,8.8,4.4,2,8.7314,8.7314,0.1111,4.2,9.2,6.7,9.2,11.7,9.2,6.7,9.2,9.2,9.2,6.7,11.7,9.2,12,0.0882,,,,,0.6765,,,
Adam Trautman,DEN,TE,56,Yes,No,No,19,,No,Yes,,,,,,,,,,,,,0.1579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.1579,,,,,0.6842,,,
Ja'Marr Chase,CIN,WR,101,No,Yes,No,96,25,Yes,Yes,24,0.96,0.2604,23,0.92,176,245,80,-76,8,0.3478,0.0104,0.3021,24,20,0.8,-3.04,92.7,1.8333,7.04,2.0455,7.6522,10.6522,3.4783,8,41.0436,41.0436,0.2475,23.6,46.6,35.1,46.6,46.6,49.6,38.1,46.6,46.6,46.6,35.1,46.6,46.6,17,0.6875,1,0.04,1,3,,,,
D'Andre Swift,CHI,RB,91,Yes,No,No,53,31,No,Yes,28,0.9032,0.5849,26,0.8387,267,359,92,-106,5,0.1923,0.8679,0.0377,23,22,0.7097,-3.4194,102.6,5.0377,8.6129,2.9565,10.2692,13.8077,3.5385,9,47.098,47.098,0.3407,26.7,52.7,39.7,65.7,52.7,55.7,42.7,52.7,52.7,52.7,39.7,52.7,52.7,17,0.0943,2,0.0645,,,,,,
Justice Hill,BLT,RB,50,Yes,No,No,41,36,No,Yes,32,0.8889,0.878,32,0.8889,252,375,87,-127,10,0.3125,0.7561,0.1463,20,18,0.5,-3.5278,105.1,6.1463,7,1.3244,7.875,11.7188,2.7188,11,59.4491,59.4491,0.72,31.2,63.2,47.2,79.2,63.2,66.2,50.2,63.2,63.2,63.2,47.2,63.2,63.2,16,0.0732,,,1,6,0.0244,,,
Anthony Firkser,KC,TE,5,No,Yes,No,2,,No,Yes,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,0.5,,,
Sincere McCormick,LV,RB,5,No,No,No,4,4,No,Yes,4,1,1,4,1,12,27,5,-15,,,1,,4,1,0.25,-3.75,79.2,3,3,-2.7247,3,6.75,1.25,1,7.1249,7.1249,0.8,1.2,5.2,3.2,7.2,5.2,5.2,3.2,5.2,5.2,5.2,3.2,5.2,5.2,4,,,,,1,,,,
K.J. Osborn,WAS,WR,18,Yes,No,No,11,1,No,Yes,1,1,0.0909,1,1,4,10,2,-6,,,,0.3636,1,1,1,-6,83.3,0.3636,4,0.2581,4,10,2,,1.3542,1.3542,0.0556,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,9,0.6364,,,,,,,,
Tyler Conklin,NYJ,TE,114,No,No,No,67,21,No,Yes,20,0.9524,0.3134,20,0.9524,78,109,30,-33,1,0.05,,0.3582,9,6,0.2857,-1.5714,82.1,1.1642,3.7143,-1.5837,3.9,5.45,1.5,1,33.5236,33.5236,0.1842,7.8,27.8,17.8,27.8,37.8,27.8,17.8,27.8,27.8,27.8,17.8,37.8,27.8,16,0.0746,,,,2,0.5672,,,
James Conner,ARZ,RB,62,No,Yes,No,50,39,No,Yes,37,0.9487,0.78,35,0.8974,331,422,163,-106,16,0.4571,0.96,,20,18,0.4615,-2.7179,99.9,6.62,8.4872,2.6265,9.4571,12.0571,4.6571,15,64.7588,64.7588,0.629,38.1,73.1,55.6,90.6,73.1,76.1,57.6,72.1,72.1,72.1,54.6,73.1,72.1,16,0.04,1,0.0256,1,1,,,,
Blake Watson,DEN,RB,3,No,No,No,1,1,No,Yes,1,1,1,1,1,13,18,8,-5,1,1,1,,1,1,1,-5,118.8,13,13,7.1289,13,18,8,,1.6815,1.6815,0.3333,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2,,,,,1,,,,
Dallin Holker,NO,TE,5,No,No,No,2,1,No,Yes,1,1,0.5,1,1,10,13,3,-3,,,,0.5,,,,-3,108.3,5,10,4.1348,10,13,3,1,1.5263,1.5263,0.2,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,12,,,,,,0.5,,,
Chris Brooks,GB,RB,17,Yes,No,No,10,9,No,Yes,8,0.8889,0.9,8,0.8889,45,81,28,-38,3,0.375,0.9,0.1,4,4,0.4444,-4.2222,87.5,4.5,5,-0.5305,5.625,10.125,3.5,1,15.833,15.833,0.5294,4.5,12.5,8.5,16.5,12.5,12.5,8.5,12.5,12.5,12.5,8.5,12.5,12.5,13,,,,,2,,,2,2
George Holani,SEA,RB,1,No,No,No,1,1,No,Yes,1,1,1,1,1,-1,1,,-2,,,1,,,,,-2,79.2,-1,-1,-7.198,-1,1,,,1.4274,1.4274,1,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,3,,,,,,,,,
Jonathon Brooks,CAR,RB,5,Yes,No,No,4,3,No,No,3,1,0.75,3,1,23,34,5,-11,3,1,0.75,0.25,2,,,-3.6667,98.6,5.75,7.6667,2.0708,7.6667,11.3333,1.6667,2,5.5808,5.5808,0.6,2.3,5.3,3.8,6.8,5.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,3,,,,,2,,,,
Christian Watson,GB,WR,57,Yes,No,No,23,2,No,Yes,2,1,0.087,2,1,17,19,1,-2,,,,0.3043,2,,,-1,102.1,0.7391,8.5,2.3301,8.5,9.5,0.5,1,2.848,2.848,0.0351,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,15,0.6957,,,,,,,,
Josh Oliver,MIN,TE,36,No,No,No,14,2,No,Yes,2,1,0.1429,2,1,16,20,5,-4,,,,,1,1,0.5,-2,100,1.1429,8,2.6167,8,10,2.5,,4.4299,4.4299,0.0556,1.6,3.6,2.6,3.6,4.6,3.6,2.6,3.6,3.6,3.6,2.6,4.6,3.6,15,,,,,,1,,,
Nick Chubb,CLV,RB,9,No,Yes,No,6,4,No,Yes,3,0.75,0.6667,2,0.5,15,22,1,-13,,,1,,3,3,0.75,-3.25,19.8,2.5,3.75,-2.3268,7.5,11,0.5,1,5.8385,5.8385,0.4444,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,8,,,,,,,,,
Michael Carter,ARZ,RB,18,No,No,No,12,7,No,Yes,7,1,0.5833,7,1,20,41,12,-21,,,0.9167,,,,,-3,79.2,1.6667,2.8571,-2.8062,2.8571,5.8571,1.7143,,9.8236,9.8236,0.3889,2,9,5.5,12.5,9,9,5.5,9,9,9,5.5,9,9,3,0.0833,,,,1,,,,
Tyjae Spears,TEN,RB,31,No,No,No,26,19,No,Yes,17,0.8947,0.7308,16,0.8421,147,202,73,-69,8,0.5,0.8846,0.0385,7,7,0.3684,-3.6316,98.9,5.6538,7.7368,1.9869,9.1875,12.625,4.5625,6,29.1068,29.1068,0.6129,14.7,30.7,22.7,38.7,30.7,33.7,25.7,30.7,30.7,30.7,22.7,30.7,30.7,12,0.0769,1,0.0526,,,,,,
Laviska Shenault,LAC,WR,9,No,No,No,7,4,No,Yes,4,1,0.5714,4,1,26,39,17,-13,1,0.25,0.2857,0.2857,4,3,0.75,-3.25,93.8,3.7143,6.5,1.5612,6.5,9.75,4.25,1,6.1815,6.1815,0.4444,2.6,6.6,4.6,6.6,6.6,6.6,4.6,6.6,6.6,6.6,4.6,6.6,6.6,12,0.4286,,,,,,,,
D.J. Moore,CHI,WR,118,Yes,No,No,91,45,No,Yes,44,0.9778,0.4945,44,0.9778,259,378,122,-121,9,0.2045,0.022,0.2967,43,38,0.8444,-2.6889,105.5,2.8462,5.7556,0.6209,5.8864,8.5909,2.7727,11,74.4639,74.4639,0.3814,36.9,80.9,58.9,80.9,80.9,83.9,60.9,79.9,79.9,79.9,57.9,80.9,79.9,17,0.6813,,,2,10,,,,
Keaton Mitchell,BLT,RB,1,No,No,Yes,1,1,No,Yes,1,1,1,1,1,28,33,5,-5,,,1,,1,1,1,-5,118.8,28,28,22.1289,28,33,5,1,1.306,1.306,1,2.8,3.8,3.3,4.3,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,4,,,,,,,,,
Bucky Irving,TB,RB,66,No,No,No,56,45,No,Yes,43,0.9556,0.8036,40,0.8889,335,493,160,-181,13,0.325,0.6786,0.2143,29,24,0.5333,-4.0222,97.7,5.9821,7.4444,1.9005,8.375,12.325,4,14,68.8869,68.8869,0.6818,33.5,73.5,53.5,93.5,73.5,76.5,56.5,73.5,73.5,73.5,53.5,73.5,73.5,17,0.1071,2,0.0444,,8,,,2,1
Brenden Bates,CLV,TE,6,No,No,Yes,2,1,No,Yes,,,0.5,,,,,,-2,,,,,,,,-2,39.6,,,-4.8511,,,,,1.6098,1.6098,0.1667,,,,,,,,,,,,,,6,,,,,,1,,,
Rome Odunze,CHI,WR,108,Yes,No,No,40,10,No,Yes,10,1,0.25,10,1,81,105,33,-24,2,0.2,,0.4,8,7,0.7,-2.4,100.4,2.025,8.1,2.8678,8.1,10.5,3.3,4,19.9038,19.9038,0.0926,7.1,17.1,12.1,17.1,17.1,17.1,11.1,16.1,16.1,16.1,11.1,17.1,16.1,17,0.6,,,,2,,,,
Isaiah Davis,NYJ,RB,13,No,No,No,10,5,No,Yes,5,1,0.5,5,1,16,32,7,-16,,,0.8,,3,3,0.6,-3.2,119.6,1.6,3.2,-2.6056,3.2,6.4,1.4,1,9.7321,9.7321,0.3846,7.6,12.6,10.1,15.1,12.6,12.6,10.1,12.6,12.6,12.6,10.1,12.6,12.6,13,0.2,,,1,1,,,,
Colby Parkinson,LA,TE,64,Yes,No,No,36,6,No,Yes,6,1,0.1667,5,0.8333,38,43,7,-11,,,,0.0556,5,2,0.3333,-1.8333,93.1,1.0556,6.3333,0.8923,7.6,8.6,1.4,2,10.1658,10.1658,0.0938,3.8,8.8,6.3,8.8,11.3,8.8,6.3,8.8,8.8,8.8,6.3,11.3,8.8,17,0.0278,1,0.1667,,1,0.9167,,,
Tyler Allgeier,ATL,RB,21,Yes,No,No,16,9,No,Yes,9,1,0.5625,9,1,59,88,26,-29,5,0.5556,0.875,0.0625,2,2,0.2222,-3.2222,94,3.6875,6.5556,0.7781,6.5556,9.7778,2.8889,1,12.5023,12.5023,0.4286,5.9,14.9,10.4,19.4,14.9,14.9,10.4,14.9,14.9,14.9,10.4,14.9,14.9,17,0.0625,,,,,,,,
Jermar Jefferson,DET,RB,1,Yes,No,Yes,1,1,No,Yes,1,1,1,1,1,10,10,3,,,,1,,,,,,108.3,10,10,4.1729,10,10,3,1,1.5297,1.5297,1,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,2,,,,,,,,,
Foster Moreau,NO,TE,65,No,No,No,24,5,No,Yes,5,1,0.2083,5,1,36,42,6,-6,2,0.4,,0.1667,3,2,0.4,-1.2,96.7,1.5,7.2,1.6805,7.2,8.4,1.2,3,9.783,9.783,0.0769,3.6,8.6,6.1,8.6,11.1,8.6,6.1,8.6,8.6,8.6,6.1,11.1,8.6,17,0.125,,,,1,0.7083,,,
