Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero,TargetsContestedTotal,ReceptionsContested
Ronnie Rivers,LA,RB,16,Yes,No,No,10,6,No,Yes,5,0.8333,0.6,5,0.8333,34,57,7,-27,1,0.2,0.9,0.1,1,1,0.1667,-4.5,90.3,3.4,5.6667,0.2961,6.8,11.4,1.4,1,9.1549,9.1549,0.375,3.4,8.4,5.9,10.9,8.4,8.4,5.9,8.4,8.4,8.4,5.9,8.4,8.4,6,,,,,,,,,
Amari Cooper,BUF,WR,66,No,No,Yes,45,1,No,Yes,1,1,0.0222,1,1,2,4,4,-2,,,,0.1111,1,1,1,-2,79.2,0.0444,2,-3.4991,2,4,4,,1.6481,1.6481,0.0152,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,14,0.8889,,,,,,,,
Darius Slayton,NYG,WR,91,No,Yes,No,45,2,No,Yes,1,0.5,0.0444,,,,,,-2,,,,0.3333,,,,-1,39.6,,,-5.7688,,,,,3.4187,3.4187,0.022,,,,,,,,,,,,,,16,0.6667,1,0.5,,,,,,
Dare Ogunbowale,HST,RB,24,No,No,No,19,10,No,No,8,0.8,0.5263,8,0.8,59,77,12,-23,,,0.9474,0.0526,5,4,0.4,-2.3,124.6,3.1053,5.9,-0.1216,7.375,9.625,1.5,2,19.1829,19.1829,0.4167,11.9,19.9,15.9,23.9,19.9,19.9,15.9,19.9,19.9,19.9,15.9,19.9,19.9,17,,,,1,2,,,,
Nico Collins,HST,WR,55,No,No,No,45,19,No,No,19,1,0.4222,18,0.9474,117,174,70,-61,4,0.2222,0.0222,0.3333,19,18,0.9474,-3.2105,92.3,2.6,6.1579,1.2551,6.5,9.6667,3.8889,5,30.8148,30.8148,0.3455,11.7,29.7,20.7,29.7,29.7,32.7,23.7,29.7,29.7,29.7,20.7,29.7,29.7,12,0.6444,1,0.0526,,2,,,,
Jerry Jeudy,CLV,WR,95,No,No,Yes,69,7,No,Yes,7,1,0.1014,6,0.8571,54,67,8,-18,2,0.3333,,0.2609,7,7,1,-2.5714,98.8,0.7826,7.7143,2.4395,9,11.1667,1.3333,2,10.706,10.706,0.0737,5.4,11.4,8.4,11.4,11.4,11.4,8.4,11.4,11.4,11.4,8.4,11.4,11.4,17,0.7101,1,0.1429,,1,0.029,,,
Jake Ferguson,DAL,TE,71,No,No,No,48,26,No,Yes,22,0.8462,0.5417,22,0.8462,117,155,63,-38,11,0.5,0.0208,0.3125,22,6,0.2308,-1.4615,85.4,2.4375,4.5,-0.7536,5.3182,7.0455,2.8636,4,40.3262,40.3262,0.3662,10.7,32.7,21.7,32.7,43.7,35.7,23.7,31.7,31.7,31.7,20.7,43.7,31.7,14,0.1458,,,,4,0.5208,1,,
Davante Adams,NYJ,WR,115,No,No,No,85,19,No,Yes,17,0.8947,0.2235,16,0.8421,91,117,62,-39,7,0.4375,0.0118,0.4353,17,13,0.6842,-2.0526,86.6,1.0706,4.7895,-0.5986,5.6875,7.3125,3.875,4,30.4083,30.4083,0.1652,9.1,25.1,17.1,25.1,25.1,25.1,17.1,25.1,25.1,25.1,17.1,25.1,25.1,14,0.5529,,,,4,,,1,
J.K. Dobbins,LAC,RB,49,No,No,No,36,24,No,Yes,24,1,0.6667,22,0.9167,86,163,33,-85,2,0.0909,0.9444,0.0278,12,8,0.3333,-3.5417,81.6,2.3889,3.5833,-2.0325,3.9091,7.4091,1.5,5,41.204,41.204,0.4898,8.6,30.6,19.6,41.6,30.6,30.6,19.6,30.6,30.6,30.6,19.6,30.6,30.6,13,0.0278,1,0.0417,,4,,,1,
Emari Demercado,ARZ,RB,16,No,No,No,13,9,No,Yes,8,0.8889,0.6923,8,0.8889,53,76,4,-26,1,0.125,0.9231,0.0769,2,2,0.2222,-2.8889,91.2,4.0769,5.8889,0.2814,6.625,9.5,0.5,3,12.8873,12.8873,0.5625,5.3,13.3,9.3,17.3,13.3,13.3,9.3,13.3,13.3,13.3,9.3,13.3,13.3,13,,,,,1,,,,
