teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingInterceptionsTotal,opponentStatsPassingTowThrowPercentage,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted
32,Washington,Commanders,,PHI,NFC,NFC East,Closed,Closed,Cover 1,17,43,43,0.4883720930232558,5,16,0.37209302325581395,0.3902439024390244,-0.07032075704878049,,,402,9.348837209302326,0.08955223880597014,8.186046511627907,1015,2,1,No,No,16,0.37209302325581395,-0.04821279069767446,No,0.4186046511627907,23,0.5348837209302325,0.16279069767441862,0.7674418604651163,0.3023255813953488,3.011627906976744,2.48125,24.75609756097561,68.2,No,No,16,2,0.09302325581395349,2,
27,Pittsburgh,Steelers,True,BLT,AFC,AFC North,Closed,Closed,Cover 3,17,35,35,0.5142857142857142,2,13,0.37142857142857144,0.5454545454545454,0.04586533133333326,101,0.14285714285714285,372,10.628571428571428,0.29838709677419356,8.485714285714286,684,3,,No,Yes,16,0.45714285714285713,0.0018785714285714152,Yes,0.37142857142857144,14,0.4,0.11428571428571428,0.7142857142857143,0.37142857142857144,3.2142857142857144,2.7125,20.727272727272727,70.2,Yes,Yes,13,3,0.17142857142857143,2,
29,San Francisco,49ers,True,SEA,NFC,NFC West,Closed,Closed,Cover 1,17,55,55,0.6181818181818182,4,22,0.4,0.509090909090909,0.0268076869272727,129,0.10909090909090909,594,10.8,0.16161616161616163,11.89090909090909,1241,3,1,No,No,17,0.3090909090909091,-0.13147727272727272,Yes,0.3090909090909091,32,0.5818181818181818,0.21818181818181817,0.7818181818181819,0.32727272727272727,3.129090909090909,2.7470588235294118,22.563636363636363,98.6,Yes,Yes,22,,0.03636363636363636,,
10,Denver,Broncos,True,LAC,AFC,AFC West,Closed,Open,Cover 2,17,38,38,0.42105263157894735,2,11,0.2894736842105263,0.34285714285714286,-0.11440270382857148,15,0.02631578947368421,248,6.526315789473684,0.1774193548387097,7.052631578947368,885,1,2,Yes,No,22,0.5789473684210527,0.06395657894736843,No,0.5,20,0.5263157894736842,0.15789473684210525,0.6842105263157895,0.21052631578947367,3.560526315789474,2.7636363636363637,25.285714285714285,63,No,Yes,11,,0.02631578947368421,3,
14,Indianapolis,Colts,,HST,AFC,AFC South,Closed,Closed,Cover 3,17,42,42,0.6190476190476191,3,19,0.4523809523809524,0.5121951219512195,0.06687808460975614,37,0.047619047619047616,573,13.642857142857142,0.21465968586387435,14.595238095238095,1008,2,1,Yes,No,15,0.35714285714285715,-0.0853892857142857,No,0.35714285714285715,32,0.7619047619047619,0.2857142857142857,0.8095238095238095,0.4523809523809524,3.1404761904761904,2.6933333333333334,24.666666666666668,107.7,No,Yes,19,,,,
17,Los Angeles,Rams,True,ARZ,NFC,NFC West,Open,Open,Cover 4,17,42,42,0.5476190476190477,2,19,0.4523809523809524,0.5,0.030003754599999932,22,0.023809523809523808,500,11.904761904761905,0.184,10.238095238095237,914,1,1,No,No,17,0.40476190476190477,-0.038591666666666684,No,0.3333333333333333,24,0.5714285714285714,0.07142857142857142,0.7380952380952381,0.2619047619047619,3.145238095238095,2.6705882352941175,22.85,77.5,Yes,Yes,18,2,0.047619047619047616,2,
31,Tennessee,Titans,,JAX,AFC,AFC South,Open,Open,Cover 4,17,35,35,0.5142857142857142,3,15,0.42857142857142855,0.47058823529411764,-0.007664212823529359,30,0.02857142857142857,434,12.4,0.3709677419354839,12.257142857142858,746,2,,No,No,11,0.3142857142857143,-0.1173214285714286,No,0.37142857142857144,20,0.5714285714285714,0.17142857142857143,0.8571428571428571,0.37142857142857144,3.0771428571428574,2.6818181818181817,21.314285714285713,96.6,No,Yes,15,1,0.02857142857142857,,
22,New England,Patriots,True,MIA,AFC,AFC East,Closed,Closed,Cover 3,17,41,41,0.4878048780487805,8,15,0.36585365853658536,0.4146341463414634,-0.040603959902439035,71,0.04878048780487805,366,8.926829268292684,0.060109289617486336,6.975609756097561,1037,5,1,Yes,Yes,16,0.3902439024390244,-0.10462926829268292,No,0.4634146341463415,28,0.6829268292682927,0.14634146341463414,0.6585365853658537,0.2682926829268293,3.4439024390243897,2.9375,25.29268292682927,69.8,No,No,15,4,0.12195121951219512,,
30,Tampa Bay,Buccaneers,True,CAR,NFC,NFC South,Closed,Closed,Cover 3,17,39,39,0.5641025641025641,4,13,0.3333333333333333,0.47368421052631576,0.005331154473684152,104,0.1282051282051282,375,9.615384615384615,0.232,9.871794871794872,870,5,3,Yes,Yes,13,0.3333333333333333,-0.11106282051282051,Yes,0.38461538461538464,22,0.5641025641025641,0.1794871794871795,0.7435897435897436,0.41025641025641024,3.1512820512820516,2.623076923076923,22.894736842105264,88.1,No,No,13,2,0.05128205128205128,1,
28,Seattle,Seahawks,,SF,NFC,NFC West,Closed,Closed,Cover 1,17,40,40,0.5,4,15,0.375,0.4594594594594595,-0.022200532945945983,32,0.05,375,9.375,0.12533333333333332,7.625,855,1,,No,No,14,0.35,-0.06700625000000002,Yes,0.375,22,0.55,0.175,0.775,0.3,2.9925,2.492857142857143,22.5,59.9,Yes,Yes,15,2,0.075,2,
