teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingIncompletionsBatted,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage
7,Cincinnati,Bengals,True,CLV,AFC,AFC North,Open,Open,Cover 6,17,162,162,0.8209876543209876,12,119,0.7345679012345679,0.8278145695364238,0.020052863562913914,8,3,57,0.037037037037037035,1229,7.58641975308642,0.7705451586655818,7.864197530864198,581,9,3,11,No,Yes,51,0.3148148148148148,-0.08527685185185181,No,0.06172839506172839,0.10493827160493827,0.018518518518518517,0.012345679012345678,0.5617283950617284,0.13580246913580246,0.654320987654321,2.8944444444444444,2.662745098039216,3.847682119205298,105.7,No,No,65,,
8,Cleveland,Browns,,CIN,AFC,AFC North,Open,Open,Cover 6,17,192,192,0.7760416666666666,12,133,0.6927083333333334,0.863905325443787,0.047712187165680375,19,3,62,0.06770833333333333,1162,6.052083333333333,0.7177280550774526,6.729166666666667,569,11,2,4,No,Yes,65,0.3385416666666667,0.012601041666666682,No,0.041666666666666664,0.09895833333333333,0.010416666666666666,0.010416666666666666,0.7135416666666666,0.06770833333333333,0.59375,2.464583333333333,2.3430769230769233,3.347058823529412,99.8,No,No,63,,
2,Atlanta,Falcons,True,NO,NFC,NFC South,Open,Open,Cover 4,17,170,170,0.7588235294117647,3,113,0.6647058823529411,0.8013245033112583,-0.005609465172185413,11,4,-4,0.047058823529411764,911,5.358823529411764,0.5762897914379802,5.535294117647059,588,6,2,14,No,Yes,51,0.3,-0.06025882352941176,No,0.03529411764705882,0.12352941176470589,0.01764705882352941,0.0058823529411764705,0.6058823529411764,0.08823529411764706,0.5823529411764706,2.663529411764706,2.4176470588235293,3.870967741935484,86.7,No,No,47,1,0.0058823529411764705
26,Philadelphia,Eagles,True,WAS,NFC,NFC East,Open,Open,Cover 6,17,187,187,0.7647058823529411,9,132,0.7058823529411765,0.8373493975903614,0.016180042355421587,11,8,9,0.0374331550802139,1002,5.358288770053476,0.6736526946107785,4.689839572192513,559,5,5,1,No,Yes,53,0.28342245989304815,-0.032576737967914444,No,0.026737967914438502,0.10160427807486631,0.0213903743315508,,0.6631016042780749,0.06951871657754011,0.6042780748663101,2.4069518716577543,2.5547169811320756,3.386904761904762,81,No,No,52,1,0.0053475935828877
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 6,17,193,193,0.7668393782383419,12,133,0.689119170984456,0.8304093567251462,0.030559035836257298,15,6,28,0.046632124352331605,1224,6.341968911917099,0.6013071895424836,7.766839378238342,749,16,1,9,No,Yes,56,0.29015544041450775,-0.057803886010362675,No,0.06217616580310881,0.11917098445595854,0.0051813471502590676,0.015544041450777202,0.6580310880829016,0.08808290155440414,0.6217616580310881,2.5922279792746115,2.5714285714285716,4.366279069767442,111.4,No,No,70,,
6,Chicago,Bears,True,DET,NFC,NFC North,Open,Closed,Cover 3,17,162,162,0.7777777777777778,9,113,0.6975308641975309,0.8175675675675675,0.0034391806689189064,10,3,44,0.04938271604938271,844,5.209876543209877,0.6587677725118484,4.716049382716049,557,5,4,,No,No,42,0.25925925925925924,-0.08823055555555553,No,0.05555555555555555,0.12345679012345678,0.030864197530864196,0.006172839506172839,0.654320987654321,0.12962962962962962,0.6481481481481481,2.5895061728395063,2.5452380952380955,3.738255033557047,81.9,No,Yes,45,1,0.006172839506172839
4,Buffalo,Bills,True,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,166,166,0.7289156626506024,8,104,0.6265060240963856,0.7891156462585034,-0.017786499768707498,16,3,50,0.07228915662650602,837,5.042168674698795,0.6726403823178017,4.650602409638554,534,8,5,10,Yes,No,57,0.3433734939759036,-0.006134337349397612,No,0.03614457831325301,0.15060240963855423,0.03614457831325301,0.006024096385542169,0.6566265060240963,0.07228915662650602,0.5060240963855421,2.6012048192771084,2.3438596491228068,3.63265306122449,78.8,No,Yes,46,,
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Cover 0,17,190,190,0.8052631578947368,9,138,0.7263157894736842,0.8497109826589595,0.044455357104046245,10,6,41,0.04736842105263158,1241,6.531578947368421,0.6357775987107172,7.21578947368421,743,11,2,4,Yes,No,52,0.2736842105263158,-0.0678078947368421,No,0.005263157894736842,0.10526315789473684,0.015789473684210527,0.005263157894736842,0.6368421052631579,0.07894736842105263,0.6578947368421053,2.554736842105263,2.5519230769230767,4.2701149425287355,104.7,No,Yes,61,,
27,Pittsburgh,Steelers,True,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,165,165,0.7515151515151515,11,110,0.6666666666666666,0.7891156462585034,-0.02732100074829935,13,3,33,0.03636363636363636,957,5.8,0.722048066875653,5.951515151515151,547,8,3,2,No,Yes,41,0.24848484848484848,-0.10071060606060606,Yes,0.024242424242424242,0.12121212121212122,0.03636363636363636,,0.6060606060606061,0.12121212121212122,0.6303030303030303,2.599393939393939,2.5146341463414634,3.6711409395973154,90.4,No,No,46,1,0.006060606060606061
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Closed,Cover 3,17,143,143,0.7972027972027972,8,100,0.6993006993006993,0.8384615384615385,0.023717588138461587,9,3,11,0.06293706293706294,839,5.8671328671328675,0.6912991656734208,6.986013986013986,464,8,,4,Yes,No,32,0.22377622377622378,-0.11888916083916086,Yes,0.04895104895104895,0.11188811188811189,0.013986013986013986,0.006993006993006993,0.6223776223776224,0.1258741258741259,0.6643356643356644,2.5615384615384618,2.340625,3.5419847328244276,103.5,No,Yes,44,,
