id,name,pos,team,accurateThrows,adjustedCompletionPercentage,battedPasses,cleanPocketDropbacks,drops,explosiveInterceptions,explosiveThrows,explosiveTouchdowns,explosiveYards,highlightThrows,qbHits,spikes,successfulPlays,throwaways,yardsAfterCatch,dvoa,dyar,epa,turnover_battedPasses,brokenPasses,intWorthyThrows,pickSixes,turnover_throwaways,endZoneCompletions,endZoneInterceptions,endZoneThrows,endZoneTouchdowns,redZoneCompletions,redZoneInterceptions,redZoneThrows,redZoneTouchdowns,airYards,alex,catchableAirYards,droppedAirYards,prayerYards,twentyPlusCompletions,twentyPlusPassingYards,twentyPlusThrows,twentyPlusTouchdowns,closingCoverage,emptyRouteCoverage,manCoverage,manYards,openCoverage,singleHighRoutes,singleHighYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards,adjustedSackRate,avoidedSacks,blitzes,pressures,qbFaultSacks,pressure_qbHits,sacks,scrambles,timeToPressure,timeToThrow
00-0033077,Dak Prescott,QB,DAL,447,0.7956,10,441,28,2,53,9,1749,9,94,3,302,15,2021,0.1915,1305.8839999999998,126.48699999999998,10,91,16,0,15,18,2,55,18,57,3,102,21,4809,-0.4967,2859,246,1950,29,1071,66,5,92,3,231,1767,181,270,2031,103,160,353,2138,46,31,175,423,2577,0.0517,5,215,202,17,94,31,26,478.5999999999998,1606.8000000000004
00-0036389,Jalen Hurts,QB,PHI,323,0.7573,4,352,18,1,40,9,1286,10,51,2,210,23,1265,0.1021,671.0440000000001,38.89600000000002,4,57,10,0,23,9,0,20,9,37,2,52,16,4072,0.1498,2240,131,1832,24,881,65,9,62,2,182,994,183,249,1555,45,119,230,1213,23,45,275,342,2049,0.0683,6,193,155,9,51,31,40,391.79999999999995,1284.100000000001
00-0033873,Patrick Mahomes,QB,KC,353,0.7819,12,372,22,2,49,4,1490,17,99,2,255,25,1895,0.0895,705.8320000000014,81.11100000000005,12,53,17,1,25,13,1,38,13,46,3,87,19,4050,-0.6434,2150,142,1900,21,743,66,1,9,3,204,894,170,301,1754,147,130,265,1542,37,19,96,381,2498,0.0697,11,150,173,10,99,33,52,475.79999999999984,1340.1
00-0036355,Justin Herbert,QB,LAC,371,0.7973,9,359,18,1,43,7,1352,15,128,0,256,14,1657,-0.0394,261.47200000000066,19.986999999999973,9,60,17,1,14,17,1,44,17,43,4,82,20,4011,-1.0059,2355,127,1656,24,756,64,6,60,2,236,1206,176,323,1950,90,122,262,1372,59,28,105,377,2221,0.1094,11,196,223,17,128,54,49,511.40000000000003,1398.3
00-0039917,Michael Penix Jr.,QB,ATL,183,0.7056,4,221,9,0,26,1,768,4,30,0,130,12,888,0.0702,333.95000000000033,8.174,4,26,11,1,12,5,0,13,5,16,0,30,8,2300,-0.529,1271,93,1029,9,275,35,0,33,0,100,548,90,159,1045,57,74,136,810,16,7,26,202,1333,0.058,2,91,73,6,30,13,13,173.99999999999994,726.8
00-0034855,Baker Mayfield,QB,TB,382,0.7146,8,427,20,3,54,12,1554,8,52,1,250,13,1923,-0.0361,284.33100000000013,14.881000000000014,8,91,15,1,13,14,1,38,14,40,1,67,16,4406,-0.6832,2132,129,2274,21,748,69,8,61,1,196,791,233,320,1594,50,141,288,1798,48,12,67,424,2668,0.0663,19,211,177,15,52,36,42,447.1000000000002,1445.4000000000003
00-0036442,Joe Burrow,QB,CIN,205,0.7735,3,194,8,0,22,3,602,12,46,0,136,7,818,0.1279,445.80400000000026,36.10900000000001,3,39,4,3,7,13,0,26,13,22,2,42,16,1868,-1.1081,1371,46,497,10,322,28,3,29,0,87,545,84,141,944,32,68,135,716,39,8,36,197,1151,0.0656,5,71,87,3,46,17,8,196.30000000000004,663.4999999999999
00-0026158,Joe Flacco,QB,CIN,284,0.7597,4,304,24,4,25,5,702,7,59,4,177,27,1148,-0.1938,-233.5120000000001,-42.346000000000004,4,58,11,2,27,8,0,20,8,24,1,46,10,3047,-1.6226,1507,123,1540,15,456,47,4,57,4,161,788,144,207,1077,61,114,222,1277,22,5,7,273,1573,0.0457,6,111,131,6,59,18,4,311.40000000000003,1075.3000000000004
00-0035710,Daniel Jones,QB,IND,279,0.7794,7,294,11,3,36,4,1106,8,61,2,204,8,1344,0.2064,846.1460000000002,67.29100000000005,7,58,14,0,8,11,0,20,11,34,0,57,16,3073,-0.8411,1875,64,1198,16,562,37,3,62,4,122,677,148,199,1450,40,95,205,1417,30,20,53,302,2243,0.0573,4,144,118,6,61,22,22,237.29999999999995,985.2000000000002
00-0036212,Tua Tagovailoa,QB,ATL,281,0.7753,5,301,16,6,33,5,902,6,45,2,187,13,1410,-0.034,204.05499999999998,4.604000000000002,5,45,20,1,13,13,1,23,13,36,0,55,16,2613,-1.9531,1383,91,1230,10,334,33,2,41,5,83,465,172,187,1224,46,77,220,1176,37,13,58,337,1993,0.0807,6,121,117,3,45,30,11,244.7,959.1999999999998
