id,name,pos,team,avoidedTackles,jukes,openFieldYards,powerSuccessRate,secondLevelYards,stuffedAttempts,success,winYards,yardsAfterContact,yardsBeforeContact,adjustedLineYards,adjustedLineYardsAvg,dvoa,dyar,epa,goalLineAttempts,goalLineTouchdowns,redZoneAttempts
00-0040242,,,,49,4,360,0.5556,273,32,75,527,492,313,674.25495,3.8529,-0.1012,-11.999999999999988,-5.996999999999995,12,2,31
00-0035250,Devin Singletary,RB,NYG,19,2,105,0.4667,135,17,46,237,225,212,447.0080700000001,3.7564,-0.0604,13.524,-7.0969999999999995,10,2,22
00-0033955,,,,13,0,119,0.5,50,7,18,171,171,50,139.74651,3.1761,-0.1428,-9.94000000000003,-0.17100000000000126,1,0,5
00-0035719,Deebo Samuel Sr.,WR,FA,3,0,48,0,16,6,5,57,57,18,0,0,-0.3892,-0.30200000000001337,0.41000000000000003,1,0,4
00-0035261,Tony Pollard,RB,TEN,55,3,431,0.5833,346,34,95,627,603,479,1045.68984,4.321,0.0935,171.81,-28.556000000000008,4,2,19
00-0036158,J.K. Dobbins,RB,DEN,38,2,365,0.4167,224,22,70,413,404,368,731.9690700000002,4.7841,0.0197,71.41799999999999,-1.4919999999999995,7,1,20
00-0040730,RJ Harvey,RB,DEN,30,2,187,0.6667,173,31,53,306,289,251,546.80928,3.7453,-0.1179,-20.27100000000003,-25.046000000000006,9,2,28
00-0040705,Chimere Dike,WR,TEN,3,0,0,0,16,3,2,16,16,2,0,0,-0.7273,-24.971,-4.236999999999999,2,0,2
00-0039732,Bo Nix,QB,DEN,3,0,200,0.7143,125,25,36,22,22,334,0,0,-0.3964,-53.876999999999995,7.706000000000001,1,0,17
00-0037594,,,,1,0,27,0.6667,0,4,4,17,17,23,31.39506,2.8541,-0.0491,2.4119999999999986,-3.239,2,0,4
00-0038134,Kenneth Walker III,RB,KC,76,8,565,0.75,250,42,84,569,504,523,916.1052000000004,4.1453,-0.0112,64.69399999999992,-20.089999999999993,8,2,34
00-0040673,,,,0,0,0,0,0,1,0,2,2,2,0,0,-0.8848,-6.018,-6.441,0,0,0
00-0037834,Brock Purdy,QB,SF,1,0,68,1,54,5,19,4,4,143,0,0,0.0945,18.836000000000002,16.191999999999997,2,1,7
00-0033280,Christian McCaffrey,RB,SF,63,1,398,0.6522,412,58,122,627,627,575,1220.17593,3.9234,-0.0569,39.49600000000001,-23.303999999999995,20,5,75
00-0037746,,,,23,0,135,1,136,13,40,212,212,188,415.38882000000007,4.5151,0.0537,54.69600000000001,-2.050000000000001,2,1,13
00-0039165,Zach Charbonnet,RB,SEA,44,1,237,0.56,266,41,76,483,480,250,792.4058999999994,4.3066,0.0277,93.54500000000003,-2.2130000000000116,18,6,51
00-0039793,AJ Barner,TE,SEA,0,0,0,0.9,0,1,9,5,5,9,0,0,0.5088,70.07200000000002,7.2330000000000005,1,1,3
00-0034869,Sam Darnold,QB,SEA,0,0,36,0.8,37,17,16,2,2,93,0,0,-0.0618,2.619999999999999,-14.253000000000002,2,0,6
00-0035700,Josh Jacobs,RB,GB,58,6,354,0.5161,271,42,102,678,616,313,930.0078,3.9744,-0.0591,28.003000000000014,-19.807,20,5,52
00-0039139,Jahmyr Gibbs,RB,DET,73,11,653,0.6471,322,46,97,683,599,624,940.6730399999999,3.8711,0.0634,153.19400000000007,-7.639999999999996,10,2,52
00-0038996,Tucker Kraft,TE,GB,0,0,0,0,0,0,0,1,1,2,0,0,-0.05,1.005,-0.681,0,0,0
00-0035685,David Montgomery,RB,HOU,29,4,297,0.6,213,24,68,489,402,314,672.0779100000003,4.2808,0.0628,102.736,-4.617000000000002,16,4,34
00-0037240,Jameson Williams,WR,DET,4,0,0,0,16,2,2,24,24,-12,0,0,-0.6816,-9.112,-1.426,0,0,1
00-0033106,Jared Goff,QB,DET,0,0,24,0.75,19,11,7,12,12,33,0,0,0.32,10.924,-14.841999999999999,0,0,3
00-0038685,Chris Brooks,RB,GB,5,0,32,1,51,4,10,76,76,30,108.69690000000001,4.0258,0.0233,11.118,-4.859999999999999,0,0,3
00-0036264,Jordan Love,QB,GB,0,0,110,1,46,15,21,1,1,198,0,0,-0.002,6.12,12.340999999999996,2,0,6
00-0038797,Emanuel Wilson,RB,SEA,28,0,145,0.8182,136,14,55,350,350,146,552.9456,4.4236,0.0863,94.024,-8.879999999999997,4,2,24
00-0034791,Nick Chubb,RB,FA,37,2,160,0.3,151,19,42,339,327,179,524.3522100000001,4.298,-0.05,18.488999999999997,-21.116000000000017,6,0,13
00-0033854,,,,2,0,0,0,16,3,3,22,22,3,32.29746,2.9361,-0.5478,-22.747,-3.664,3,0,6
00-0037840,Kyren Williams,RB,LAR,65,0,405,0.6,512,32,130,718,718,534,1356.0054599999996,5.2355,0.2005,343.717,0.43899999999999184,18,6,53
00-0039075,Puka Nacua,WR,LAR,3,1,87,1,12,1,7,81,75,30,0,0,0.8139,72.618,9.332,0,0,1
00-0039163,C.J. Stroud,QB,HOU,0,0,113,0.8889,54,13,24,9,9,200,0,0,0.1025,16.254,15.041999999999998,2,1,8
00-0037258,,,,2,0,10,0,10,0,2,28,28,8,45.77000999999999,3.2693,-0.4742,-18.774,-3.877,0,0,1
00-0040583,Woody Marks,RB,HOU,37,1,222,0.6111,278,45,71,454,447,256,762.52236,3.8904,-0.1711,-71.21200000000005,-34.29500000000001,9,1,33
00-0026498,Matthew Stafford,QB,LAR,0,0,0,0,6,22,1,0,0,1,0,0,-1.0867,-18.705,-31.837,3,0,7
00-0039751,Jordan Whittington,WR,LAR,0,0,0,0,6,0,2,4,4,8,0,0,0.1942,8.190999999999999,0.236,0,0,1
00-0039738,Blake Corum,RB,LAR,37,2,379,0.7273,220,19,74,363,343,403,705.8248500000004,4.8678,0.2435,210.11799999999994,15.909000000000008,13,4,27
00-0038618,Xavier Hutchinson,WR,HOU,2,0,0,0,17,0,3,11,11,11,0,0,0.2323,12.664,1.8,0,0,1
00-0037248,James Cook III,RB,BUF,71,4,706,0.5,513,33,141,997,927,694,1564.5740700000017,5.0633,0.1438,298.6509999999999,1.6680000000000035,16,4,56
00-0034857,Josh Allen,QB,BUF,9,0,327,0.8571,143,27,64,156,156,423,0,0,0.2488,116.28099999999999,34.32400000000001,17,9,33
00-0035537,Ty Johnson,RB,BUF,9,1,40,0.6429,90,9,25,100,98,102,234.10230000000004,4.682,0.0745,40.11700000000001,2.215,6,1,19
00-0032764,Derrick Henry,RB,BAL,54,3,787,0.6129,393,47,128,897,873,722,1386.22035,4.5154,0.1163,279.349,7.127000000000003,27,8,63
00-0034796,Lamar Jackson,QB,BAL,4,2,198,1,106,14,33,52,37,312,0,0,-0.0158,17.049,19.993,1,0,13
00-0034975,Justice Hill,RB,BAL,4,0,71,0.6667,18,4,5,81,81,12,41.200199999999995,2.2889,-0.1937,-8.18,-2.1189999999999998,1,1,3
00-0039064,Zay Flowers,WR,BAL,5,1,29,0,22,2,5,36,28,34,0,0,0.7692,45.497,2.501,0,0,1
00-0039796,,,,0,0,0,0,9,2,2,11,11,13,21.746429999999997,3.1066,-0.3217,-8.373,-3.7219999999999995,0,0,2
00-0036980,,,,1,1,11,0,8,2,3,10,6,18,0,0,-0.0646,17.594999999999995,-0.5209999999999999,1,0,1
00-0039875,Ray Davis,RB,BUF,11,0,130,0.5,73,10,24,153,153,122,273.26222999999993,4.7114,0.1478,55.70799999999999,-2.4090000000000016,2,0,7
00-0033293,Aaron Jones Sr.,RB,MIN,20,0,183,0.8889,163,18,57,312,312,236,567.5757600000004,4.2998,-0.0766,4.868000000000002,-2.7750000000000017,3,1,14
00-0036275,D'Andre Swift,RB,CHI,46,6,434,0.8421,382,27,107,617,555,532,1049.71962,4.7073,0.2285,292.51399999999995,11.097,14,3,40
00-0039918,Caleb Williams,QB,CHI,0,0,210,0.6667,133,22,37,8,8,375,0,0,-0.5822,-60.52200000000001,-0.3049999999999976,2,1,20
00-0036322,Justin Jefferson,WR,MIN,0,0,0,0,0,0,1,4,4,3,0,0,-0.4528,-0.716,-0.05600000000000001,0,0,0
00-0034827,,,,1,0,39,0,25,2,8,28,28,51,0,0,0.2032,54.237,4.173,0,0,2
00-0037525,Jordan Mason,RB,MIN,42,6,343,0.5625,211,28,74,475,422,336,739.5492300000001,4.6513,0.0641,104.97699999999996,-8.15800000000001,7,1,29
00-0039923,J.J. McCarthy,QB,MIN,2,1,115,0.8,85,13,17,29,19,162,0,0,0.2862,19.448,5.551,1,1,6
00-0040667,Matthew Golden,WR,GB,7,1,0,0,31,0,5,52,48,1,0,0,0.0508,24.697000000000003,1.682,0,0,2
00-0040009,Savion Williams,WR,GB,1,0,16,0,14,3,3,19,19,18,0,0,-0.7822,-22.520999999999994,-6.994,0,0,1
00-0040784,Quinshon Judkins,RB,CLE,47,3,331,0.64,227,51,76,512,488,339,825.2828699999999,3.5882,-0.0981,-12.389999999999935,-36.290000000000006,11,4,32
00-0034753,Mark Andrews,TE,BAL,0,0,35,0.7,0,3,7,0,0,48,0,0,0.1979,52.414,6.521,3,0,3
00-0040782,Isaiah Bond,WR,CLE,2,0,0,0,26,1,3,11,11,18,0,0,0.0665,13.761,0.8780000000000001,0,0,0
00-0033662,,,,0,0,0,0,0,4,0,0,0,-4,0,0,0,0,-6.42,0,0,0
00-0035100,,,,0,0,24,1,0,1,7,3,3,36,0,0,0.1748,9.568999999999999,7.902999999999999,1,1,2
00-0040691,Jaxson Dart,QB,NYG,6,1,270,0.8235,178,14,53,76,58,429,0,0,0.0002,33.19,39.689,7,3,22
00-0035208,Olamide Zaccheaus,WR,ATL,1,0,12,0,9,1,2,15,15,10,0,0,0.232,12.521999999999998,0.6349999999999999,0,0,0
00-0036963,Amon-Ra St. Brown,WR,DET,0,0,0,0,6,0,1,7,7,2,0,0,-0.2947,1.6450000000000005,0.558,0,0,1
00-0032464,Kalif Raymond,WR,CHI,2,0,10,0,19,0,2,16,16,3,0,0,0.7564,12.702,1.5550000000000002,0,0,0
00-0040236,Kyle Monangai,RB,CHI,31,2,255,0.6923,338,24,77,386,375,408,750.4189200000003,4.4668,0.1388,155.65899999999996,-1.1480000000000017,10,3,36
00-0038416,,,,0,0,0,0,7,1,1,0,0,7,0,0,0,0,-0.37100000000000005,0,0,0
00-0035567,,,,0,0,0,0,0,1,0,3,3,1,3.94659,1.3155,-1.3531,-12.131,-2.358,0,0,0
