id,name,pos,team,catchableTargets,contestedReceptions,contestedTargets,createdCatches,drops,explosiveReceptions,explosiveTouchdowns,explosiveYards,firstReadTargets,missedTackles,success,dvoa,dyar,epa,endZoneTargets,endZoneTouchdowns,redZoneTargets,redZoneTouchdowns,airYards,catchableAirYards,droppedAirYards,prayerYards,deepReceptions,deepTargets,deepTouchdowns,deepYards,backfieldRoutes,backfieldYards,closingCoverage,emptyRouteCoverage,emptyRouteYards,inlineRoutes,inlineYards,manCoverage,manYards,offlineRoutes,offlineYards,openCoverage,outWideRoutes,outWideYards,singleHighRoutes,singleHighYards,slotRoutes,slotYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards
00-0033923,Kareem Hunt,RB,FA,19,0,2,0,1,1,0,22,7,3,11,0.1648,39.80500000000001,1.3830000000000005,2,1,5,1,0,-10,0,10,0,0,0,0,278,143,0,1,0,1,0,121,42,3,0,11,7,0,157,68,7,0,7,3,122,62,4,16,13,174,101
00-0036637,Noah Gray,TE,KC,25,2,4,2,3,1,0,28,23,0,13,-0.428,-86.70999999999997,-5.906999999999998,1,0,2,0,0,125,28,114,0,4,0,0,6,8,3,1,0,61,0,75,74,90,90,12,32,16,139,79,74,64,9,9,113,99,4,10,0,187,104
00-0040666,Omarion Hampton,RB,LAC,34,3,4,0,1,1,0,22,4,2,16,-0.1564,-3.2680000000000065,-0.5930000000000006,0,0,2,1,0,-49,0,-5,0,0,0,0,186,146,7,2,-1,0,0,96,47,5,5,10,7,19,118,86,11,22,3,3,77,103,12,12,4,111,146
00-0040727,Tre' Harris,WR,LAC,34,3,8,0,1,3,0,84,27,3,26,0.0819,70.211,15.324,2,1,5,1,0,232,5,166,2,7,0,61,4,5,5,2,0,0,0,99,101,2,3,9,166,220,136,172,98,96,14,13,117,134,2,15,18,169,223
00-0038492,,,,0,0,0,0,0,0,0,0,1,0,0,-1.1034,-5.28,-0.713,1,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,0,7,0,0,0,0,1,6,0,0,0,0,8,0
00-0034159,,,,13,1,5,0,1,0,0,0,8,0,6,-0.2826,-21.627999999999997,2.7999999999999994,0,0,1,0,0,43,9,29,0,0,0,0,3,0,2,0,0,29,39,39,33,35,52,5,16,0,46,55,16,6,3,3,44,42,3,9,0,60,64
00-0038542,Brian Robinson Jr.,RB,ATL,82,4,7,3,4,10,1,346,27,19,56,0.2861,250.83599999999987,26.587999999999997,1,1,13,3,0,-40,2,141,0,3,0,0,376,622,13,0,0,0,0,156,188,4,0,38,52,70,247,467,57,128,14,14,229,354,23,13,-1,333,632
00-0032385,,,,41,2,5,0,1,5,0,124,21,6,25,-0.1002,10.527999999999983,-1.8790000000000027,4,1,7,1,0,231,2,222,1,5,0,24,1,0,7,0,0,0,0,117,142,1,0,24,158,175,171,182,165,196,7,10,148,169,4,6,20,208,229
00-0039394,,,,8,1,5,0,1,1,0,25,10,0,6,-0.1241,0.28500000000000014,3.728999999999999,0,0,0,0,0,112,12,150,0,4,0,0,0,0,2,0,0,0,0,37,26,0,0,2,61,24,52,26,33,70,1,9,39,61,0,3,7,57,68
00-0034407,,,,9,1,1,0,2,1,0,24,5,2,5,-0.4701,-39.136,-9.451000000000002,1,0,1,0,0,25,2,59,0,0,0,0,2,12,5,0,0,0,0,36,14,0,0,4,84,-7,58,10,40,64,1,1,65,45,2,3,14,90,55
