id,name,pos,team,avoidedTackles,jukes,openFieldYards,powerSuccessRate,secondLevelYards,stuffedAttempts,success,winYards,yardsAfterContact,yardsBeforeContact,adjustedLineYards,adjustedLineYardsAvg,dvoa,dyar,epa,goalLineAttempts,goalLineTouchdowns,redZoneAttempts
24,,,,100,7,798,0.661,679,75,214,1041,987,1128,1706.8938299999993,4.3322,-0.12,213.00399999999996,0.11899999999999888,36,12,92
9,,,,99,11,1103,0.7273,640,92,205,1021,972,1161,1347.5750699999994,3.9174,0.052,-29.813999999999975,25.72099999999999,27,10,99
26,,,,76,8,817,0.6,604,92,166,735,702,1089,1332.7080299999989,3.9664,-0.0781,85.41199999999978,-35.434000000000005,20,2,74
16,,,,93,5,656,0.7,571,86,183,877,850,947,1442.5935599999998,4.0867,-0.1132,162.44999999999987,-21.24300000000001,22,4,79
30,,,,65,10,785,0.6,531,91,150,750,685,999,1097.4636299999997,3.5517,-0.1095,260.64099999999996,-45.76500000000002,18,2,53
2,,,,80,7,885,0.717,720,74,206,1046,1009,1137,1662.8637599999997,4.3645,-0.0444,84.52500000000002,16.010000000000005,21,6,84
8,,,,97,9,892,0.6944,708,112,172,1073,1020,959,1414.1848800000002,3.6637,-0.1463,520.4729999999996,-40.637999999999984,22,4,73
7,,,,91,11,1158,0.5366,650,65,213,1324,1229,1271,1864.0467900000003,4.7796,0.0364,-70.12400000000002,16.63099999999999,23,1,95
17,,,,84,6,1177,0.6207,542,92,207,1119,1080,1171,1514.55432,4.0068,-0.1089,132.389,3.2249999999999885,24,8,90
14,,,,67,5,637,0.7018,633,93,193,778,736,996,1464.0847799999983,3.9677,-0.0847,137.21399999999994,-21.595999999999986,27,8,88
5,,,,88,7,876,0.6957,572,77,190,1081,1025,1071,1687.5302999999997,4.2831,-0.0299,79.95500000000014,-13.573999999999993,32,11,94
15,,,,63,3,496,0.6667,507,68,141,750,735,720,1209.2611200000001,4.0444,-0.1676,97.57000000000002,-3.523000000000006,27,5,67
19,,,,69,7,672,0.8462,529,76,181,716,655,1074,1292.7585000000001,3.8705,-0.0812,120.91399999999999,-23.540000000000003,16,3,59
23,,,,114,9,807,0.6232,666,118,208,1093,1047,939,1659.675750000001,4.0186,-0.0691,370.14500000000027,-46.891000000000034,46,12,130
20,,,,95,8,802,0.6531,715,105,201,1145,1079,971,1763.4714899999997,4.054,-0.144,410.9969999999993,-55.80599999999997,21,6,68
1,,,,143,5,1047,0.6786,590,106,206,1262,1227,931,1839.89772,4.543,-0.0198,77.13200000000003,-4.9279999999999955,37,10,104
25,,,,83,12,804,0.7288,546,76,182,925,866,1056,1519.5005999999998,3.9778,-0.1475,377.8760000000008,-8.549000000000003,17,5,68
22,,,,101,7,1098,0.6809,711,121,223,1187,1121,1250,1795.2373800000012,4.175,-0.0842,231.284,4.031999999999988,24,8,102
21,,,,108,10,1415,0.7879,671,99,218,1264,1217,1253,1544.75511,4.291,0.1086,-145.31100000000006,66.99800000000006,20,3,68
32,,,,100,5,1036,0.566,770,88,226,1171,1151,1255,1881.034470000001,4.468,0.0042,5.872999999999974,33.793999999999954,26,8,100
10,,,,91,6,509,0.6279,544,78,152,870,844,704,1175.0404200000003,3.7185,-0.179,206.10199999999998,-1.4050000000000071,21,6,58
31,,,,79,6,920,0.7292,602,100,176,1015,937,1011,1439.4591300000013,4.0096,-0.0499,-11.886999999999913,-14.001000000000001,27,8,79
27,,,,89,7,611,0.6458,696,78,202,903,875,958,1553.2447199999979,4.4126,-0.0223,81.07599999999998,-15.67400000000001,12,5,65
28,,,,60,2,447,0.54,564,82,153,683,668,895,1269.6908999999998,3.6277,-0.3012,322.0600000000001,-77.45499999999997,22,4,71
11,,,,63,6,851,0.5349,604,77,179,952,916,1031,1499.0795700000006,4.2587,-0.0706,332.8970000000001,-3.4400000000000177,27,7,75
12,,,,78,4,643,0.7222,705,77,215,1086,1054,947,1712.3561700000002,4.1765,-0.0499,284.15800000000013,-10.402000000000026,26,8,82
29,,,,93,11,693,0.7292,543,57,171,1145,1083,801,1467.8339699999995,4.1231,-0.1569,184.00900000000019,-38.55299999999997,17,5,64
13,,,,86,5,565,0.5946,573,75,158,815,791,802,1278.9729300000004,3.8178,-0.2042,194.6330000000001,-9.984000000000005,17,8,53
3,,,,81,9,807,0.6364,535,84,178,999,870,943,1322.5729500000002,3.9598,-0.1348,391.1850000000002,-44.04199999999998,33,9,95
4,,,,96,7,1251,0.7805,547,85,204,1229,1193,1122,1434.3365999999999,3.9083,0.0627,-141.54699999999997,37.842000000000006,21,4,84
6,,,,87,6,1035,0.6522,661,69,206,1135,1041,1246,1625.85831,4.4422,0.0074,41.45,10.777000000000012,21,5,81
18,,,,115,6,789,0.7544,762,109,225,1283,1243,867,1809.8407499999994,3.9689,-0.1369,436.23100000000034,-38.753,24,8,96
