teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedTotal,opponentStatsPassingSackedFaultTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingSackedYardsLost,opponentStatsPassingSackedPercentage,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToSack,opponentStatsPassingAverageTimeToScramble,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingIncompletionsBatted
3,Baltimore,Ravens,True,CLV,AFC,AFC North,Closed,Closed,Cover 1,17,212,141,0.5602836879432624,11,70,0.49645390070921985,0.6728971962616822,-0.007831210457943993,28,28,0.014184397163120567,907,6.432624113475177,0.3528114663726571,2.0927835051546393,1151,4,6,53,15,22,-311,0.25,No,Yes,212,1,0.6462002358490566,No,0.014150943396226415,0.20567375886524822,19,0.1347517730496454,0.07801418439716312,0.03546099290780142,0.2907801418439716,0.12056737588652482,0.3049645390070922,3.65886524822695,3.6528301886792454,4.966666666666667,2.5457547169811323,10.383928571428571,62,No,No,46,1
20,Miami,Dolphins,,NYJ,AFC,AFC East,Open,Open,Cover 6,17,211,154,0.551948051948052,16,72,0.4675324675324675,0.6610169491525424,-0.04902747874576263,27,74,0.03896103896103896,743,4.824675324675325,0.38492597577388965,3.074074074074074,1087,11,3,35,13,29,-247,0.16587677725118483,No,Yes,211,1,0.6337940758293839,No,0.004739336492890996,0.21428571428571427,21,0.13636363636363635,0.01948051948051948,0.05844155844155844,0.3051948051948052,0.16883116883116883,0.35714285714285715,3.4837662337662336,3.505714285714286,5.1499999999999995,2.4331753554502367,8.870967741935484,76.8,No,No,42,3
25,New York,Jets,True,MIA,AFC,AFC East,Open,Open,Cover 6,17,229,158,0.569620253164557,10,75,0.47468354430379744,0.6461538461538462,-0.031596075923076894,23,90,0.056962025316455694,954,6.037974683544304,0.37840670859538783,2.8636363636363638,1494,4,4,40,8,31,-287,0.17467248908296942,No,Yes,229,1,0.6457810043668122,No,0.008733624454148471,0.24050632911392406,30,0.189873417721519,0.012658227848101266,0.0759493670886076,0.3924050632911392,0.12658227848101267,0.37341772151898733,3.5512658227848104,3.725,5.006451612903225,2.5489082969432317,11.149253731343284,64.7,No,No,46,1
18,Los Angeles,Chargers,,LV,AFC,AFC West,Open,Open,Cover 6,17,185,111,0.5585585585585585,9,51,0.4594594594594595,0.6309523809523809,-0.0637935858571429,17,5,0.018018018018018018,616,5.54954954954955,0.3198051948051948,2.5384615384615383,873,3,1,45,14,18,-235,0.24324324324324326,No,Yes,185,1,0.7022118918918919,No,0.010810810810810811,0.1891891891891892,15,0.13513513513513514,0.018018018018018018,0.036036036036036036,0.36936936936936937,0.13513513513513514,0.27927927927927926,3.452252252252252,3.6355555555555554,4.941379310344828,2.558918918918919,9.695652173913043,68.8,No,Yes,25,2
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Closed,Closed,Cover 1,17,205,133,0.5939849624060151,8,65,0.48872180451127817,0.6981132075471698,-0.00639016481132082,21,33,0.06766917293233082,801,6.022556390977444,0.3895131086142322,3.9698795180722892,1066,6,1,33,10,19,-217,0.16097560975609757,No,Yes,205,1,0.6320151219512196,Yes,0.004878048780487805,0.20300751879699247,14,0.10526315789473684,0.022556390977443608,0.022556390977443608,0.2706766917293233,0.12030075187969924,0.3609022556390977,3.8631578947368417,3.5272727272727273,5.253846153846154,2.7053658536585368,9.779816513761467,79.8,No,No,37,3
14,Indianapolis,Colts,True,JAX,AFC,AFC South,Closed,Closed,Cover 1,17,160,102,0.5490196078431373,8,49,0.4803921568627451,0.6144578313253012,-0.0967855473493976,15,-7,0.0196078431372549,637,6.245098039215686,0.37205651491365777,2.81021897810219,779,6,3,35,12,17,-237,0.21875,No,Yes,160,1,0.683093125,Yes,,0.27450980392156865,13,0.12745098039215685,0.06862745098039216,0.058823529411764705,0.28431372549019607,0.18627450980392157,0.3333333333333333,3.4568627450980394,3.5142857142857142,4.721739130434782,2.5412500000000002,9.25287356321839,75.5,No,No,31,
10,Denver,Broncos,True,KC,AFC,AFC West,Open,Open,Cover 6,17,214,129,0.5116279069767442,8,57,0.4418604651162791,0.62,-0.10919233331,23,18,0.03875968992248062,736,5.705426356589148,0.43478260869565216,2.0104166666666665,766,5,2,63,18,29,-360,0.29439252336448596,No,Yes,214,1,0.7107677570093458,No,,0.2558139534883721,6,0.046511627906976744,0.007751937984496124,0.031007751937984496,0.29457364341085274,0.14728682170542637,0.3023255813953488,3.356589147286822,3.515873015873016,5.327272727272727,2.43411214953271,7.436893203883495,69.1,No,No,36,3
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 2,17,211,145,0.5379310344827586,10,67,0.46206896551724136,0.6166666666666667,-0.10386658242499991,14,51,0.04827586206896552,809,5.5793103448275865,0.49938195302843014,1.9365079365079365,1024,5,5,44,15,28,-318,0.20853080568720378,Yes,Yes,211,1,0.6752630331753555,Yes,0.014218009478672985,0.27586206896551724,16,0.1103448275862069,0.041379310344827586,0.034482758620689655,0.3724137931034483,0.12413793103448276,0.27586206896551724,3.3144827586206898,3.6795454545454547,4.613636363636363,2.5279620853080567,8.256,61,No,No,39,6
22,New England,Patriots,True,BUF,AFC,AFC East,Open,Closed,Cover 1,17,180,123,0.5447154471544715,12,59,0.4796747967479675,0.62,-0.03739287804000002,19,15,0.024390243902439025,682,5.544715447154472,0.28885630498533726,2.9735099337748343,1248,5,4,28,6,13,-153,0.15555555555555556,No,Yes,180,1,0.6523491666666666,No,0.005555555555555556,0.2764227642276423,20,0.16260162601626016,0.056910569105691054,0.04878048780487805,0.34959349593495936,0.08943089430894309,0.3252032520325203,3.524390243902439,3.625,4.7,2.5700000000000003,12.375,65.2,No,No,40,
30,Tampa Bay,Buccaneers,True,NO,NFC,NFC South,Closed,Closed,Cover 3,17,245,172,0.5872093023255814,7,86,0.5,0.706766917293233,0.00379657331578942,34,52,0.046511627906976744,1000,5.813953488372093,0.358,3.009259259259259,1336,7,4,44,16,28,-310,0.17959183673469387,No,Yes,245,1,0.686974081632653,Yes,0.004081632653061225,0.1744186046511628,22,0.12790697674418605,0.046511627906976744,0.05813953488372093,0.436046511627907,0.12209302325581395,0.4069767441860465,3.1598837209302326,3.5204545454545455,4.69655172413793,2.501224489795918,10,71.9,No,Yes,44,2
