teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingReceptionsHero
7,Cincinnati,Bengals,1,CLV,AFC,AFC North,Open,Open,Bracket,17,91,No,Yes,No,374,75,No,15,No,60,0.8,14,0.2005,46,7,0.6133,647,318,90,839,6,5,5,6,0.1304,0.12,0.2533,0.2667,0.36,26,0.3467,2,0.0267,11.1867,104.7,1.7299,8.6267,0.5203,0.0667,14.0652,6.913,1.9565,31,18,
26,Philadelphia,Eagles,1,WAS,NFC,NFC East,Open,Open,Cover 4,17,70,No,Yes,No,297,60,No,7,No,41,0.6833,5,0.202,35,3,0.5833,475,239,90,701,6,2,1,8,0.2286,0.1167,0.2,0.35,0.3333,22,0.3667,2,0.0333,11.6833,110.1,1.5993,7.9167,-0.5788,0.0167,13.5714,6.8286,2.5714,20,9,1
8,Cleveland,Browns,,CIN,AFC,AFC North,Open,Open,Bracket,17,79,No,Yes,No,322,63,No,6,No,52,0.8254,9,0.1957,44,3,0.6984,580,298,62,468,8,5,6,5,0.1136,0.1746,0.4127,0.1587,0.2381,36,0.5714,2,0.0317,7.4286,138.2,1.8012,9.2063,1.6665,0.0952,13.1818,6.7727,1.4091,33,12,1
2,Atlanta,Falcons,1,NO,NFC,NFC South,Open,Open,Cover 6,17,78,No,Yes,Yes,332,61,No,9,Yes,48,0.7869,5,0.1837,44,5,0.7213,471,144,33,580,5,2,2,6,0.1364,0.1475,0.1475,0.1803,0.5082,26,0.4262,1,0.0164,9.5082,114.9,1.4187,7.7213,-0.3611,0.0328,10.7045,3.2727,0.75,27,13,1
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 4,17,103,No,Yes,No,447,78,No,13,No,58,0.7436,9,0.1745,49,7,0.6282,607,296,113,683,9,6,5,3,0.0612,0.1026,0.3205,0.1923,0.3718,40,0.5128,2,0.0256,8.7564,120,1.3579,7.7821,0.0069,0.0641,12.3878,6.0408,2.3061,35,15,
4,Buffalo,Bills,1,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,80,Yes,No,No,329,59,No,8,Yes,44,0.7458,8,0.1793,31,3,0.5254,428,117,57,637,4,3,8,4,0.129,0.0847,0.1356,0.2881,0.4915,28,0.4746,,,10.7966,91.6,1.3009,7.2542,-0.7437,0.1356,13.8065,3.7742,1.8387,26,11,3
1,Arizona,Cardinals,,LA,NFC,NFC West,Closed,Closed,Cover 3,17,79,Yes,No,Yes,324,59,No,7,Yes,45,0.7627,8,0.1821,40,3,0.678,512,256,113,515,6,3,2,9,0.225,0.0847,0.3559,0.2542,0.3051,29,0.4915,1,0.0169,8.7288,114.5,1.5802,8.678,1.1158,0.0339,12.8,6.4,2.825,25,16,
24,New York,Giants,1,DAL,NFC,NFC East,Open,Open,Cover 4,17,83,No,Yes,No,333,67,No,11,No,53,0.791,7,0.2012,41,5,0.6119,507,194,39,697,5,2,5,2,0.0488,0.1194,0.194,0.2239,0.4627,33,0.4925,4,0.0597,10.403,109.5,1.5225,7.5672,-0.5197,0.0746,12.3659,4.7317,0.9512,29,12,1
6,Chicago,Bears,1,DET,NFC,NFC North,Open,Open,Cover 4,17,75,No,Yes,No,311,63,No,4,No,49,0.7778,6,0.2026,43,,0.6825,467,279,92,498,4,3,3,8,0.186,0.1746,0.3175,0.1746,0.3333,39,0.619,1,0.0159,7.9048,71.4,1.5016,7.4127,-0.0936,0.0476,10.8605,6.4884,2.1395,22,10,1
16,Kansas City,Chiefs,,LV,AFC,AFC West,Closed,Closed,Cover 3,17,82,Yes,Yes,Yes,331,74,No,12,No,62,0.8378,3,0.2236,52,6,0.7027,649,301,75,620,3,2,3,4,0.0769,0.1892,0.1486,0.2568,0.4054,34,0.4595,2,0.027,8.3784,99.4,1.9607,8.7703,1.2455,0.0405,12.4808,5.7885,1.4423,28,13,3
