Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,ReceptionsHero
Quentin Skinner,NYJ,WR,2,Yes,No,No,2,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
J.K. Dobbins,DEN,RB,78,Yes,No,No,24,9,No,,Yes,8,0.8889,0.375,7,0.7778,28,36,6,-17,,0.0417,5,-1.8889,79.6,1.1667,3.1111,-2.7856,4,5.1429,0.8571,,12.5885,12.5885,0.1385,2.8,9.8,6.3,13.3,9.8,9.8,6.3,9.8,9.8,9.8,6.3,9.8,9.8,10,,,,,1,0.1111,,,,0.9583,2,0.2222,,,
Emari Demercado,ARZ,RB,8,Yes,No,No,6,2,No,,Yes,1,0.5,0.3333,1,0.5,3,8,,4,,,,2,56.3,0.5,1.5,-5.1328,3,8,,,3.6785,3.6785,0.4,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,13,,,,,,,,,,1,,,,,
Efton Chism,NE,WR,14,Yes,No,Yes,10,2,No,,Yes,2,1,0.2,2,1,45,16,2,32,0.1,,2,16,158.3,4.5,22.5,12.0767,22.5,8,1,2,4.4407,4.4407,0.1818,10.5,12.5,11.5,12.5,12.5,12.5,11.5,12.5,12.5,12.5,11.5,12.5,12.5,8,1,,1,1,,,1,,,,,,0.9,,
Dare Ogunbowale,HST,RB,2,Yes,No,Yes,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,1,,,,,
Nico Collins,HST,WR,115,Yes,No,No,110,32,No,3,Yes,23,0.7188,0.2909,20,0.625,333,122,36,480,,0.1,25,15,94.9,3.0273,10.4062,0.9249,16.65,6.1,1.8,14,66.5514,66.5514,0.3333,39.3,59.3,49.3,59.3,59.3,62.3,52.3,59.3,59.3,59.3,49.3,59.3,59.3,15,1,1,1,1,1,0.0312,1,2,0.1,,3,0.0938,0.9,9,
Jerry Jeudy,CLV,WR,128,Yes,Yes,No,117,20,No,2,No,12,0.6,0.1709,10,0.5,169,37,4,307,0.0085,0.0598,14,15.35,56,1.4444,8.45,-1.1204,16.9,3.7,0.4,6,35.5271,35.5271,0.2041,21.9,31.9,26.9,31.9,31.9,34.9,28.9,30.9,30.9,30.9,25.9,31.9,30.9,17,1,2,1,1,1,0.05,,,,,1,0.05,0.9316,5,
Jake Ferguson,DAL,TE,127,Yes,No,No,98,38,No,6,Yes,35,0.9211,0.3878,32,0.8421,191,163,46,49,0.7959,0.1429,29,1.2895,122.7,1.949,5.0263,-1.0038,5.9688,5.0938,1.4375,8,66.4657,66.4657,0.3455,43.1,75.1,59.1,75.1,91.1,78.1,62.1,75.1,75.1,75.1,59.1,91.1,75.1,17,2,3,4,2,1,0.0263,11,2,0.0625,0.0306,6,0.1579,0.0306,,1
Davante Adams,LA,WR,133,Yes,Yes,No,119,33,No,7,No,24,0.7273,0.2773,18,0.5455,285,55,14,497,,0.1513,28,15.0606,123.1,2.395,8.6364,-0.5243,15.8333,3.0556,0.7778,18,85.7851,85.7851,0.2683,70.5,88.5,79.5,88.5,88.5,91.5,82.5,88.5,88.5,88.5,79.5,88.5,88.5,14,13,4,7,7,3,0.0909,14,,,,,,0.8487,8,
Elijah Arroyo,SEA,TE,41,Yes,No,No,31,9,No,2,Yes,7,0.7778,0.2903,6,0.6667,72,50,10,61,0.871,0.0323,6,6.7778,51.4,2.3226,8,0.4302,12,8.3333,1.6667,3,23.0991,23.0991,0.2727,7.2,13.2,10.2,13.2,16.2,13.2,10.2,13.2,13.2,13.2,10.2,16.2,13.2,13,1,1,,,,,3,,,0.0645,,,0.0323,1,
